date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,102.33,102.45,100.27,100.30,1012954,-2.36,-2.30%,100.30,101937883.29,10096
2018-03-09,101.07,102.68,100.50,102.66,1016787,2.38,2.37%,102.66,103803843.80,9093
2018-03-08,101.89,101.89,99.49,100.28,1058990,-1.43,-1.41%,100.28,106290117.84,9981
2018-03-07,100.14,101.88,99.87,101.71,912051,0.68,0.67%,101.71,92238552.28,8818
2018-03-06,102.15,102.4599,100.19,101.03,999660,-0.89,-0.87%,101.03,100974231.08,9868
2018-03-05,100.49,102.50,99.47,101.92,1068091,1.14,1.13%,101.92,108370434.36,10086
2018-03-02,99.44,101.04,98.51,100.78,937846,0.97,0.97%,100.78,93867132.32,9020
2018-03-01,101.38,101.71,99.24,99.81,1124872,-1.61,-1.59%,99.81,113031435.57,12379
2018-02-28,102.58,103.09,101.37,101.42,1052684,-0.95,-0.93%,101.42,107411993.06,8336
2018-02-27,102.55,104.15,102.28,102.37,770806,-0.31,-0.30%,102.37,79471245.56,8709
2018-02-26,100.62,103.18,99.775,102.68,1101995,2.23,2.22%,102.68,112674600.61,11266
2018-02-23,100.24,100.59,98.91,100.45,974525,0.96,0.96%,100.45,97438116.99,8254
2018-02-22,100.59,100.96,99.08,99.49,1150004,-0.71,-0.71%,99.49,114763431.33,11071
2018-02-21,100.46,102.2628,100.12,100.20,1096272,-0.06,-0.06%,100.20,111066094.27,11809
2018-02-20,99.87,102.34,99.46,100.26,1260085,0.04,0.04%,100.26,126960959.19,12151
2018-02-16,99.72,100.98,98.84,100.22,1265244,0.46,0.46%,100.22,126621801.01,12551
2018-02-15,102.46,102.91,97.61,99.76,2520979,-2.37,-2.32%,99.76,250598396.48,23573
2018-02-14,102.01,103.82,101.17,102.13,1336635,-0.87,-0.84%,102.13,136687515.05,12501
2018-02-13,102.18,103.11,100.81,103.00,1426510,-0.09,-0.09%,103.00,145875785.62,11879
2018-02-12,102.57,103.93,101.10,103.09,1332143,1.43,1.41%,103.09,136787559.12,14445
2018-02-09,101.18,102.65,97.90,101.66,2704028,1.30,1.30%,101.66,270649001.75,28981
2018-02-08,104.04,104.95,100.09,100.36,3144021,-4.02,-3.85%,100.36,321482208.92,27888
2018-02-07,103.01,107.09,103.01,104.38,3105225,0.71,0.68%,104.38,327542902.74,31580
2018-02-06,99.79,106.61,99.79,103.67,2812499,4.29,4.32%,103.67,288980489.44,28684
2018-02-05,103.29,104.02,99.19,99.38,1932885,-4.37,-4.21%,99.38,196513273.15,21173
2018-02-02,106.00,106.72,103.51,103.75,1202247,-2.98,-2.79%,103.75,126201240.56,14684
2018-02-01,106.99,107.31,104.55,106.73,1941828,-0.51,-0.48%,106.73,206596937.47,22336
2018-01-31,110.92,112.13,106.61,107.24,1628975,-1.45,-1.33%,107.24,176166350.07,14575
2018-01-30,109.03,109.82,107.71,108.69,1954486,-2.58,-2.32%,108.69,213143339.64,16422
2018-01-29,111.18,112.42,110.87,111.27,822084,0.47,0.42%,111.27,91615254.83,8545
2018-01-26,110.91,111.06,110.265,110.80,1111482,0.14,0.13%,110.80,123092472.33,9428
2018-01-25,111.36,111.36,109.79,110.66,784824,-0.36,-0.32%,110.66,86797669.93,7853
2018-01-24,111.34,112.21,110.91,111.02,716509,0.05,0.05%,111.02,79744554.85,7633
2018-01-23,111.17,112.33,110.12,110.97,854460,-0.62,-0.56%,110.97,95059271.41,9121
2018-01-22,111.66,111.785,109.81,111.59,1144558,0.92,0.83%,111.59,127287181.07,12002
2018-01-19,111.95,111.95,109.0601,110.67,1236893,-0.33,-0.30%,110.67,136818752.21,10943
2018-01-18,111.18,111.76,109.74,111.00,1079847,-0.35,-0.31%,111.00,119771962.14,9692
2018-01-17,110.33,111.72,108.90,111.35,1217379,2.05,1.88%,111.35,134902634.07,10996
2018-01-16,110.50,111.62,108.64,109.30,1190923,-0.18,-0.16%,109.30,130585342.90,11289
2018-01-12,107.78,109.70,107.00,109.48,757907,2.70,2.53%,109.48,82529576.28,9041
2018-01-11,106.09,106.80,105.68,106.78,624849,0.98,0.93%,106.78,66565183.34,7240
2018-01-10,105.62,106.06,103.40,105.80,920847,-0.17,-0.16%,105.80,96750510.20,9288
2018-01-09,105.41,106.74,105.04,105.97,1085157,1.05,1.00%,105.97,114806107.71,10362
2018-01-08,105.40,105.58,103.5844,104.92,1352719,-0.57,-0.54%,104.92,141445056.15,13240
2018-01-05,103.10,106.02,102.66,105.49,1437488,2.99,2.92%,105.49,150478295.14,13528
2018-01-04,105.00,105.00,102.19,102.50,1037648,-1.93,-1.85%,102.50,106682094.43,9947
2018-01-03,103.45,104.52,102.57,104.43,1149021,1.84,1.79%,104.43,119290236.48,11292
2018-01-02,100.70,102.68,99.07,102.59,1120179,1.71,1.70%,102.59,114102324.60,11419
2017-12-29,103.50,103.85,100.8411,100.88,807538,-2.02,-1.96%,100.88,82057809.13,7212
2017-12-28,102.47,103.42,101.81,102.90,629127,-0.12,-0.12%,102.90,64597126.52,6098
2017-12-27,102.64,103.96,102.34,103.02,717392,0.76,0.74%,103.02,74151641.51,7687
2017-12-26,102.29,103.28,101.89,102.26,511767,0.10,0.10%,102.26,52458656.89,6177
2017-12-22,102.19,102.67,101.26,102.16,766702,-0.43,-0.42%,102.16,78224560.27,7830
2017-12-21,103.21,103.99,101.53,102.59,1613116,-0.36,-0.35%,102.59,165181187.83,14228
