date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,25.66,25.66,25.10,25.52,4142123,0.00,0.00%,25.52,105369727.31,27266
2018-03-09,25.08,25.57,25.07,25.52,3424290,0.57,2.28%,25.52,87086687.10,22393
2018-03-08,25.55,25.5791,24.85,24.95,3843691,-0.46,-1.81%,24.95,96205341.01,25811
2018-03-07,24.95,25.535,24.92,25.41,5962491,0.22,0.87%,25.41,151049132.03,35855
2018-03-06,25.45,25.55,25.05,25.19,2887826,-0.12,-0.47%,25.19,72966716.87,20927
2018-03-05,25.16,25.65,25.13,25.31,5427891,0.05,0.20%,25.31,137984186.60,35326
2018-03-02,24.88,25.35,24.71,25.26,6534317,0.34,1.36%,25.26,163349071.00,40097
2018-03-01,24.17,25.00,24.14,24.92,6141706,0.76,3.15%,24.92,151621880.58,40188
2018-02-28,24.46,24.65,24.15,24.16,4044583,-0.08,-0.33%,24.16,98556800.93,27598
2018-02-27,24.92,25.27,24.24,24.24,4928559,-0.70,-2.81%,24.24,121554652.40,33380
2018-02-26,24.76,25.00,24.50,24.94,5702137,0.48,1.96%,24.94,141409929.85,36469
2018-02-23,24.48,25.49,24.01,24.46,8510455,0.58,2.43%,24.46,207766478.32,45487
2018-02-22,23.50,24.25,23.35,23.88,7452537,0.63,2.71%,23.88,177958885.09,47797
2018-02-21,23.92,23.96,23.24,23.25,7216209,-0.67,-2.80%,23.25,169828903.74,39309
2018-02-20,24.15,24.20,23.77,23.92,4681789,0.03,0.13%,23.92,112170678.33,29056
2018-02-16,23.97,24.21,23.83,23.89,5411496,-0.16,-0.67%,23.89,129825517.56,32678
2018-02-15,24.02,24.26,23.795,24.05,6197963,0.05,0.21%,24.05,148908496.87,38243
2018-02-14,23.49,24.26,23.29,24.00,5864130,0.27,1.14%,24.00,140454111.55,38040
2018-02-13,23.84,23.90,23.58,23.73,3606836,-0.11,-0.46%,23.73,85633460.64,22454
2018-02-12,24.01,24.27,23.55,23.84,7359145,0.20,0.85%,23.84,175572796.17,42551
2018-02-09,23.19,23.80,22.595,23.64,9291097,0.63,2.74%,23.64,216400621.92,61295
2018-02-08,23.41,23.93,23.00,23.01,9140680,-0.36,-1.54%,23.01,213946381.31,53448
2018-02-07,24.54,24.66,23.35,23.37,8007593,-1.23,-5.00%,23.37,190194298.99,44093
2018-02-06,23.65,24.74,23.48,24.60,9514985,0.52,2.16%,24.60,231163496.75,62950
2018-02-05,24.76,25.14,23.905,24.08,9238111,-1.11,-4.41%,24.08,225556175.41,59393
2018-02-02,25.82,25.85,25.03,25.19,6586802,-1.01,-3.85%,25.19,166454559.57,43493
2018-02-01,26.29,26.46,25.87,26.20,5662463,-0.15,-0.57%,26.20,147881631.15,34832
2018-01-31,26.75,26.90,26.26,26.35,6085916,-0.34,-1.27%,26.35,160913420.47,29686
2018-01-30,26.87,27.04,26.52,26.69,3826348,-0.37,-1.37%,26.69,102269010.80,21679
2018-01-29,27.56,27.60,26.975,27.06,3633501,-0.77,-2.77%,27.06,98794201.82,18699
2018-01-26,27.86,28.03,27.655,27.83,3057248,0.21,0.76%,27.83,84978981.08,14385
2018-01-25,28.27,28.34,27.59,27.62,2923857,-0.49,-1.74%,27.62,81276488.03,18062
2018-01-24,28.60,28.78,28.03,28.11,4218285,-0.25,-0.88%,28.11,119228176.18,24964
2018-01-23,28.17,28.51,27.96,28.36,4121129,0.31,1.11%,28.36,116462001.08,24723
2018-01-22,27.71,28.13,27.60,28.11,4119795,0.599,2.18%,28.05,115113062.48,23684
2018-01-19,27.57,27.63,27.26,27.51,4393963,-0.06,-0.22%,27.4513,120719871.28,24095
2018-01-18,27.88,28.09,27.46,27.57,4450627,-0.409,-1.47%,27.5112,123154479.13,25287
2018-01-17,27.80,28.145,27.55,27.98,5376957,-0.05,-0.18%,27.9203,150338131.52,25302
2018-01-16,28.78,28.8499,27.95,28.03,4725773,-0.848,-2.94%,27.9702,133323994.63,25651
2018-01-12,28.30,28.95,28.26,28.88,6908199,0.479,1.69%,28.8184,198323630.32,33788
2018-01-11,28.19,28.91,28.00,28.40,6340114,0.439,1.57%,28.3394,180643815.13,32489
2018-01-10,29.14,29.22,27.81,27.96,5037825,-1.158,-3.98%,27.9003,142334682.33,30896
