date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,252.00,252.56,240.46,240.95,940617,-10.48,-4.17%,240.95,228887081.66,10636
2018-03-09,251.53,260.26,247.18,251.43,1196670,2.85,1.15%,251.43,303001892.75,14174
2018-03-08,247.71,250.55,245.27,248.58,658314,2.35,0.95%,248.58,163326200.47,7915
2018-03-07,238.42,246.50,237.93,246.23,690142,5.83,2.43%,246.23,168007222.30,8526
2018-03-06,236.58,241.59,234.591,240.40,535489,3.90,1.65%,240.40,128010222.47,7047
2018-03-05,232.94,237.34,230.24,236.50,406597,2.12,0.90%,236.50,95869944.08,5380
2018-03-02,226.70,234.78,226.70,234.38,428537,7.51,3.31%,234.38,99685483.29,5984
2018-03-01,230.29,230.56,224.70,226.87,443480,-3.65,-1.58%,226.87,101054978.25,6240
2018-02-28,233.00,234.8975,230.49,230.52,361238,-1.66,-0.71%,230.52,83888295.87,3725
2018-02-27,233.06,234.20,231.78,232.18,242004,-0.66,-0.28%,232.18,56370962.64,4639
2018-02-26,230.51,233.34,228.06,232.84,305793,2.30,1.00%,232.84,70785018.07,3717
2018-02-23,229.39,230.79,227.50,230.54,243325,2.57,1.13%,230.54,55793048.20,3113
2018-02-22,230.66,232.42,227.55,227.97,390406,-1.17,-0.51%,227.97,89574693.30,4598
2018-02-21,230.94,232.82,229.04,229.14,389726,-1.23,-0.53%,229.14,89875341.49,4947
2018-02-20,231.51,233.43,229.56,230.37,306038,-2.10,-0.90%,230.37,70661440.97,4151
2018-02-16,232.90,235.22,231.48,232.47,418697,-0.06,-0.03%,232.47,97704342.98,4524
2018-02-15,230.55,232.56,229.05,232.53,263737,2.74,1.19%,232.53,60990229.08,3851
2018-02-14,224.80,229.98,224.00,229.79,323975,3.97,1.76%,229.79,74005471.88,3840
2018-02-13,226.63,227.02,224.575,225.82,363222,-0.94,-0.41%,225.82,82013680.25,3726
2018-02-12,227.78,229.83,224.68,226.76,450687,0.00,0.00%,226.76,102145324.60,5742
2018-02-09,222.27,228.73,219.08,226.76,555656,3.59,1.61%,226.76,124483675.36,5427
2018-02-08,230.04,231.25,222.82,223.17,618384,-7.30,-3.17%,223.17,139527270.63,7421
2018-02-07,228.35,233.26,227.05,230.47,393066,1.19,0.52%,230.47,90804132.56,5341
2018-02-06,227.48,231.40,223.82,229.28,462711,-1.71,-0.74%,229.28,105311949.19,7872
2018-02-05,241.16,242.50,230.99,230.99,593555,-10.33,-4.28%,230.99,140320457.17,8170
2018-02-02,241.18,243.93,240.06,241.32,1079721,-2.29,-0.94%,241.32,261348653.41,11772
2018-02-01,243.35,245.37,240.97,243.61,443670,-1.06,-0.43%,243.61,107864697.68,5470
2018-01-31,242.72,245.10,241.21,244.67,524218,1.81,0.75%,244.67,127496414.88,5695
2018-01-30,240.79,245.005,240.16,242.86,380607,-0.74,-0.30%,242.86,92604029.54,4730
2018-01-29,246.06,247.71,243.22,243.60,313367,-1.98,-0.81%,243.60,76555501.07,4145
2018-01-26,244.19,245.72,242.16,245.58,221386,1.79,0.73%,245.58,54076300.26,3525
2018-01-25,240.21,243.87,240.21,243.79,339242,4.46,1.86%,243.79,82330545.31,3627
2018-01-24,239.00,242.60,238.26,239.33,365424,0.63,0.26%,239.33,87732507.14,5164
2018-01-23,241.70,242.19,237.77,238.70,431154,-2.61,-1.08%,238.70,103221797.89,5779
2018-01-22,240.73,243.98,240.64,241.31,490980,0.69,0.29%,241.31,118551040.49,5558
2018-01-19,235.82,241.54,235.82,240.65,447729,5.129,2.18%,240.6199,107315271.24,5370
2018-01-18,235.64,236.22,234.01,235.52,578305,0.33,0.14%,235.4906,135981614.10,6176
2018-01-17,232.35,235.45,231.12,235.19,735725,4.229,1.83%,235.1606,172242700.85,7110
2018-01-16,231.75,234.07,229.15,230.96,488489,0.12,0.05%,230.9311,112660372.43,5444
2018-01-12,228.88,231.31,225.92,230.84,352605,2.20,0.96%,230.8111,80847477.12,4589
2018-01-11,230.28,231.23,227.68,228.64,660263,-2.35,-1.02%,228.6114,151164001.01,5389
2018-01-10,233.09,234.86,228.28,230.99,564520,-3.26,-1.39%,230.9611,129891495.76,5996
2018-01-09,232.02,235.76,231.25,234.25,481891,2.60,1.12%,234.2207,112979001.36,5961
2018-01-08,230.30,232.07,229.38,231.65,390721,1.15,0.50%,231.621,90387430.03,4413
2018-01-05,226.25,230.81,226.19,230.50,799003,6.949,3.11%,230.4712,183097077.74,8678
2018-01-04,227.64,228.625,223.17,223.55,561320,-3.19,-1.41%,223.5221,126271423.45,7455
2018-01-03,220.83,227.01,220.83,226.74,589499,6.119,2.77%,226.7117,132573835.48,7039
2018-01-02,217.92,222.97,217.12,220.62,368368,2.74,1.26%,220.5924,81441010.59,4661
2017-12-29,220.41,221.41,217.87,217.88,286315,-2.30,-1.04%,217.8528,62565457.31,4042
2017-12-28,221.54,222.01,218.865,220.18,228168,-1.01,-0.46%,220.1525,50201029.60,4346
2017-12-27,220.96,222.21,220.34,221.19,198843,0.75,0.34%,221.1624,43972697.78,3238
2017-12-26,219.36,221.16,218.30,220.44,215150,0.64,0.29%,220.4124,47316121.70,3375
2017-12-22,221.59,222.58,218.95,219.80,219646,-1.97,-0.89%,219.7725,48365002.81,3411
2017-12-21,223.99,225.67,221.70,221.77,343287,-2.84,-1.26%,221.7423,76427091.22,4761
2017-12-20,224.58,225.68,223.03,224.61,420474,0.73,0.33%,224.5819,94337255.67,5888
2017-12-19,227.22,228.40,223.38,223.88,546185,-0.18,-0.08%,223.852,123157807.17,6310
2017-12-18,229.71,230.73,223.64,224.06,629246,-5.239,-2.29%,224.032,142700261.27,7720
2017-12-15,227.00,229.83,225.745,229.30,696259,4.439,1.97%,229.2713,159280504.76,5392
2017-12-14,224.21,226.14,221.91,224.86,651934,0.67,0.30%,224.8319,146137484.37,8475
2017-12-13,228.88,230.38,223.92,224.19,637059,-5.469,-2.38%,224.162,143757943.99,9341
2017-12-12,228.81,230.1712,227.80,229.66,735174,1.21,0.53%,229.6313,168226139.09,6942
2017-12-11,226.94,228.97,226.06,228.45,774286,1.89,0.83%,228.4214,176338873.09,7446
2017-12-08,227.49,230.88,221.20,226.56,1375477,-12.238,-5.13%,226.5317,310237591.17,16378
2017-12-07,234.95,241.09,234.95,238.80,660757,4.729,2.02%,238.7702,157988573.94,8931
2017-12-06,231.42,234.33,230.97,234.07,497174,2.18,0.94%,234.0407,115879272.04,7663
2017-12-05,231.10,235.235,229.84,231.89,574030,2.15,0.94%,231.861,133521206.86,7134
2017-12-04,238.64,239.145,229.60,229.74,493998,-8.359,-3.51%,229.7113,114420610.61,7063
2017-12-01,241.60,241.95,236.00,238.10,413513,-3.08,-1.28%,238.0702,98686660.10,5721
2017-11-30,243.43,243.72,239.95,241.18,464642,-1.41,-0.58%,241.1499,112179994.23,5756
2017-11-29,242.97,244.52,238.81,242.59,429559,-0.66,-0.27%,242.5597,103803032.01,6359
2017-11-28,244.28,246.58,243.04,243.25,285863,-0.04,-0.02%,243.2196,69775767.39,5128
2017-11-27,243.41,244.07,242.01,243.29,206181,1.00,0.41%,243.2596,50138750.85,3285
2017-11-24,239.16,242.62,239.16,242.29,96235,3.39,1.42%,242.2597,23219062.48,1432
2017-11-22,240.85,241.085,237.64,238.90,306551,-1.21,-0.50%,238.8701,73239728.12,4348
2017-11-21,241.22,242.265,239.29,240.11,240625,0.17,0.07%,240.08,57846416.51,3737
2017-11-20,239.44,240.38,237.73,239.94,184623,1.29,0.54%,239.91,44275104.98,2065
2017-11-17,238.32,240.17,236.405,238.65,216265,-0.80,-0.33%,238.6202,51570764.92,2791
2017-11-16,235.88,239.74,235.88,239.45,189874,4.789,2.04%,239.4201,45384524.43,2976
2017-11-15,236.80,237.81,234.47,234.66,343775,-2.12,-0.90%,234.6307,81185063.13,3798
2017-11-14,236.22,238.17,234.58,236.78,251195,-0.29,-0.12%,236.7504,59481026.73,3674
2017-11-13,229.15,237.68,227.66,237.07,372582,8.009,3.50%,237.0404,87792968.73,5333
2017-11-10,230.97,231.41,227.11,229.06,341895,-2.89,-1.25%,229.0314,78312358.52,3413
2017-11-09,230.58,232.49,229.66,231.95,286724,1.47,0.64%,231.921,66310121.59,3916
2017-11-08,229.67,231.29,228.455,230.48,318582,1.15,0.50%,230.4512,73357265.40,3730
2017-11-07,227.70,229.61,226.26,229.33,349318,1.69,0.74%,229.3013,79874205.74,4385
2017-11-06,228.43,230.58,227.23,227.64,292320,-1.63,-0.71%,227.6115,66757389.67,4192
2017-11-03,226.22,229.51,225.71,229.27,426751,2.37,1.04%,229.2413,97449324.43,5409
2017-11-02,233.06,234.03,225.98,226.90,638043,-7.069,-3.02%,226.8716,146332371.25,8880
2017-11-01,240.54,240.57,233.45,233.97,506955,-6.289,-2.62%,233.9408,119625282.66,7331
2017-10-31,242.51,243.05,239.72,240.26,346388,-2.49,-1.03%,240.23,83326509.81,5102
2017-10-30,244.27,244.46,240.75,242.75,282136,-1.68,-0.69%,242.7197,68439137.94,5325
2017-10-27,240.71,245.39,239.78,244.43,328737,4.019,1.67%,244.3994,80034249.86,4440
2017-10-26,237.63,243.04,237.63,240.41,454779,2.54,1.07%,240.3799,109587883.25,5665
2017-10-25,237.85,239.27,235.377,237.87,317241,-1.68,-0.70%,237.8403,75471850.58,4755
2017-10-24,238.14,239.55,236.06,239.55,233684,2.24,0.94%,239.5201,55814118.98,3701
2017-10-23,236.12,238.85,234.90,237.31,496431,1.96,0.83%,237.2803,117956283.35,5857
2017-10-20,236.97,238.33,234.48,235.35,722378,-0.73,-0.31%,235.3206,170243385.99,8202
2017-10-19,236.55,236.70,234.62,236.08,861653,0.30,0.13%,236.0505,203113543.75,8946
2017-10-18,236.55,237.32,235.09,235.78,723547,-0.20,-0.08%,235.7505,170746630.96,7932
2017-10-17,237.80,238.1899,235.52,235.98,551549,-0.97,-0.41%,235.9505,130399878.56,6082
2017-10-16,235.88,237.75,235.88,236.95,399569,0.95,0.40%,236.9204,94681628.50,6927
2017-10-13,236.85,236.85,235.10,236.00,310793,-1.67,-0.70%,235.9705,73367846.50,3900
2017-10-12,237.38,238.865,236.78,237.67,481972,0.15,0.06%,237.6403,114678992.97,5146
2017-10-11,233.37,237.59,233.37,237.52,357060,3.55,1.52%,237.4903,84322129.87,4136
2017-10-10,236.58,236.58,233.50,233.97,344697,-2.65,-1.12%,233.9408,80763741.12,5250
2017-10-09,240.62,241.00,235.51,236.62,399944,-4.709,-1.95%,236.5904,94877151.34,4796
2017-10-06,241.31,242.62,240.05,241.33,305294,-0.34,-0.14%,241.2998,73623380.34,3716
2017-10-05,241.35,242.10,239.24,241.67,241890,0.64,0.27%,241.6398,58311247.68,3507
2017-10-04,239.81,242.25,239.81,241.03,433443,0.91,0.38%,240.9999,104480781.95,6052
2017-10-03,240.02,242.01,238.33,240.12,423165,-0.44,-0.18%,240.09,101601560.62,5453
2017-10-02,237.90,240.64,236.24,240.56,434613,3.45,1.46%,240.5299,104065433.45,5342
2017-09-29,231.16,237.30,230.7713,237.11,484079,5.509,2.38%,237.0804,113904387.99,5964
2017-09-28,235.65,235.86,231.29,231.60,436533,-3.82,-1.62%,231.5711,101437757.29,4793
2017-09-27,235.85,236.615,233.66,235.42,414208,-0.43,-0.18%,235.3906,97374069.45,4846
2017-09-26,239.19,240.63,235.35,235.85,380244,-4.00,-1.67%,235.8205,90166320.14,5274
2017-09-25,238.98,241.155,237.34,239.85,519586,0.08,0.03%,239.82,124452580.29,6627
2017-09-22,232.96,240.68,230.69,239.77,1196838,7.359,3.17%,239.74,283450388.17,10164
2017-09-21,236.00,236.00,231.51,232.41,636793,-3.70,-1.57%,232.3809,148387075.19,6250
2017-09-20,236.50,239.40,232.80,236.11,736244,0.12,0.05%,236.0805,174015082.41,7958
2017-09-19,248.83,248.83,235.675,235.99,1168332,-13.118,-5.27%,235.9605,279328816.10,11656
2017-09-18,245.68,249.75,243.69,249.11,501191,3.90,1.59%,249.0789,124440535.47,6572
2017-09-15,247.77,248.01,244.76,245.21,862709,-1.83,-0.74%,245.1793,211914398.04,5061
