date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,55.01,55.41,54.59,54.74,5074351,-0.32,-0.58%,54.74,278412822.97,36159
2018-03-09,54.07,55.07,54.01,55.06,5310042,1.49,2.78%,55.06,291308872.26,38371
2018-03-08,54.13,54.38,52.92,53.57,4726027,-0.50,-0.92%,53.57,252399748.10,33301
2018-03-07,53.31,54.46,53.241,54.07,7245777,0.01,0.02%,54.07,391142526.69,49778
2018-03-06,54.28,54.39,53.50,54.06,4931938,0.07,0.13%,54.06,266389457.67,35033
2018-03-05,53.49,54.225,53.31,53.99,5266045,-0.07,-0.13%,53.99,283848256.44,33286
2018-03-02,53.54,54.21,52.78,54.06,4574396,0.18,0.33%,54.06,245312831.39,31407
2018-03-01,54.50,55.01,53.52,53.88,5135391,-0.43,-0.79%,53.88,278313434.48,36969
2018-02-28,56.02,56.58,54.30,54.31,5889949,-1.52,-2.72%,54.31,324197005.41,38649
2018-02-27,56.50,57.62,55.82,55.83,5378320,-0.76,-1.34%,55.83,304433435.67,37987
2018-02-26,57.26,57.54,56.515,56.59,5986348,-0.46,-0.81%,56.59,339928491.50,38391
2018-02-23,55.35,57.14,55.07,57.05,6513912,2.14,3.90%,57.05,368305085.14,43907
2018-02-22,54.26,55.50,54.19,54.91,5565872,1.16,2.16%,54.91,306110687.25,39575
2018-02-21,54.59,55.44,53.73,53.75,5286957,-1.09,-1.99%,53.75,287876759.54,32194
2018-02-20,54.60,55.30,54.34,54.84,4262866,0.19,0.35%,54.84,234072829.61,28260
2018-02-16,54.39,55.06,54.23,54.65,5070906,0.11,0.20%,54.65,277327413.04,33218
2018-02-15,55.64,55.71,53.76,54.54,6190824,-0.97,-1.75%,54.54,337364125.04,44511
2018-02-14,52.70,55.86,52.54,55.51,6612440,2.19,4.11%,55.51,362834607.26,48910
2018-02-13,52.93,53.94,52.61,53.32,5438295,-0.09,-0.17%,53.32,290556991.41,35416
2018-02-12,52.63,53.96,52.55,53.41,7035416,1.39,2.67%,53.41,376176489.25,46503
2018-02-09,53.24,53.60,50.18,52.02,9685635,-0.935,-1.77%,52.02,501074733.02,73730
2018-02-08,55.62,55.8296,53.23,53.24,8618439,-2.377,-4.30%,52.955,467524848.26,57191
2018-02-07,56.06,56.9701,55.63,55.63,7721650,-0.308,-0.55%,55.3322,433617363.48,50822
2018-02-06,54.75,56.54,54.42,55.94,11013514,0.00,0.00%,55.6406,611319379.10,84047
2018-02-05,57.14,58.47,55.41,55.94,11060265,-1.77,-3.08%,55.6406,629293917.92,82060
2018-02-02,59.17,59.44,57.61,57.72,8433342,-1.621,-2.75%,57.411,489956626.58,54202
2018-02-01,59.00,59.97,58.151,59.35,7011049,0.537,0.92%,59.0323,414533958.09,46179
2018-01-31,58.53,59.24,58.28,58.81,7073708,0.348,0.60%,58.4952,415629599.23,45638
2018-01-30,58.94,59.32,58.08,58.46,6380960,-1.194,-2.01%,58.1471,374328126.10,37842
2018-01-29,59.92,60.53,59.56,59.66,4167626,-0.726,-1.21%,59.3406,249902403.45,25958
2018-01-26,59.70,60.52,59.61,60.39,5277702,0.905,1.53%,60.0667,318062975.16,30208
2018-01-25,60.75,60.90,59.40,59.48,5473390,-1.005,-1.67%,59.1616,327722105.25,37431
2018-01-24,60.54,61.315,60.45,60.49,4992002,0.02,0.03%,60.1662,303170132.09,34354
2018-01-23,60.61,60.70,60.03,60.47,5478827,-0.199,-0.33%,60.1463,331204274.66,34815
2018-01-22,59.86,60.68,59.79,60.67,5748807,0.915,1.54%,60.3452,347183872.45,30078
2018-01-19,59.68,59.81,59.27,59.75,5037506,-0.01,-0.02%,59.4302,300356378.64,28452
2018-01-18,59.62,60.06,59.15,59.76,4554801,-0.099,-0.17%,59.4401,271974300.53,26161
2018-01-17,58.97,60.187,58.78,59.86,5798442,1.015,1.73%,59.5396,346527679.48,36166
2018-01-16,60.00,60.22,58.80,58.84,5458604,-1.204,-2.01%,58.525,323880236.58,36421
2018-01-12,59.39,60.24,59.12,60.05,6742061,0.865,1.47%,59.7286,403876604.18,39147
2018-01-11,58.17,59.48,57.54,59.18,7341782,1.522,2.65%,58.8632,431481733.46,43068
2018-01-10,58.14,58.28,57.561,57.65,4627894,-0.279,-0.48%,57.3414,267627185.57,28677
2018-01-09,57.47,58.32,57.41,57.93,5519676,0.467,0.82%,57.6199,319959710.01,36939
2018-01-08,56.76,57.46,56.59,57.46,4522857,0.577,1.02%,57.1524,258225310.98,26102
2018-01-05,56.68,56.91,56.18,56.88,3771851,-0.109,-0.19%,56.5755,213670138.91,24871
2018-01-04,56.41,57.1853,56.09,56.99,4897240,0.647,1.15%,56.6849,278480489.90,32801
2018-01-03,55.38,56.39,55.33,56.34,4105840,1.015,1.84%,56.0384,230346283.22,29256
2018-01-02,55.09,55.51,54.82,55.32,3985183,0.428,0.78%,55.0239,220130721.03,26623
2017-12-29,55.44,55.50,54.87,54.89,3668511,-0.288,-0.53%,54.5962,201871142.47,21804
2017-12-28,55.49,55.59,55.10,55.18,4240881,-0.408,-0.74%,54.8846,234229031.50,22354
2017-12-27,56.06,56.07,55.14,55.59,4369646,-0.637,-1.14%,55.2924,242374327.04,28955
2017-12-26,55.78,56.37,55.54,56.23,3194935,0.726,1.32%,55.929,179295078.01,22305
2017-12-22,56.05,56.21,55.455,55.50,3911891,-0.448,-0.80%,55.2029,217921918.24,26069
2017-12-21,54.17,56.07,54.026,55.95,7824702,1.691,3.13%,55.6505,433681095.84,48952
2017-12-20,52.86,54.51,52.46,54.25,8064572,1.562,2.98%,53.9596,433366945.89,48027
2017-12-19,52.50,52.93,52.14,52.68,4795788,0.338,0.65%,52.398,252610368.52,28084
2017-12-18,52.23,52.66,52.11,52.34,5565299,0.169,0.33%,52.0598,291714992.10,31583
2017-12-15,52.75,53.05,52.06,52.17,11363352,-0.139,-0.27%,51.8907,595364101.24,35650
2017-12-14,51.85,52.76,51.85,52.31,6436210,0.627,1.22%,52.03,337365281.32,41503
2017-12-13,51.92,52.09,51.58,51.68,4906794,-0.279,-0.54%,51.4034,253927374.59,30932
2017-12-12,52.02,52.06,51.205,51.96,6200232,0.269,0.52%,51.6819,321408060.43,37503
2017-12-11,51.54,52.31,51.41,51.69,4040363,0.119,0.23%,51.4133,209709437.53,27026
2017-12-08,50.87,51.71,50.74,51.57,5316227,1.024,2.04%,51.2939,273504387.66,32122
2017-12-07,50.32,50.831,50.08,50.54,4037792,0.159,0.32%,50.2695,203977594.73,24843
2017-12-06,51.07,51.24,50.32,50.38,4437278,-0.845,-1.66%,50.1103,225000789.31,29623
2017-12-05,51.23,51.695,51.11,51.23,4531747,-0.06,-0.12%,50.9558,232822272.54,29573
2017-12-04,51.87,52.36,51.25,51.29,6168487,-0.448,-0.87%,51.0154,319179723.93,43069
2017-12-01,51.51,52.47,51.23,51.74,6683882,0.855,1.69%,51.463,346707456.68,44931
2017-11-30,50.92,51.78,50.65,50.88,11184263,0.149,0.30%,50.6076,571476873.33,59901
2017-11-29,49.92,50.8285,49.72,50.73,6897811,0.597,1.20%,50.4584,347927000.89,41817
2017-11-28,49.36,50.16,48.97,50.13,6524684,0.965,1.97%,49.8617,325507317.58,37794
2017-11-27,50.22,50.25,49.08,49.16,6369003,-1.303,-2.60%,48.8968,314842390.04,38313
2017-11-24,50.45,50.87,50.4401,50.47,2288899,0.249,0.50%,50.1998,115858713.65,15782
2017-11-22,50.52,50.59,50.02,50.22,4818737,0.209,0.42%,49.9512,242483423.64,28433
2017-11-21,50.27,50.735,49.67,50.01,6331514,-0.07,-0.14%,49.7423,317340103.69,31162
2017-11-20,50.00,50.25,49.58,50.08,4429560,-0.05,-0.10%,49.8119,221585376.96,26565
2017-11-17,50.24,50.52,50.00,50.13,4191820,-0.09,-0.18%,49.8617,210337978.13,27725
2017-11-16,50.40,50.65,50.08,50.22,5694865,-0.269,-0.53%,49.9512,286459995.53,33944
2017-11-15,50.74,51.17,49.95,50.49,7262742,-0.736,-1.44%,50.2197,367347333.33,42054
2017-11-14,52.19,52.43,51.08,51.23,6945025,-1.333,-2.55%,50.9558,357215548.22,44277
2017-11-13,52.66,52.96,52.51,52.57,6728262,-0.418,-0.79%,52.2886,354634996.30,35042
2017-11-10,53.40,53.49,52.50,52.99,5504552,-0.537,-1.01%,52.7063,291524310.60,36800
2017-11-09,53.27,53.65,52.83,53.53,6704217,0.01,0.02%,53.2435,357071518.32,43298
2017-11-08,54.10,54.22,53.16,53.52,7513026,0.04,0.07%,53.2335,402947348.08,43934
2017-11-07,53.93,54.07,52.93,53.48,8577450,-0.189,-0.35%,53.1937,458425254.81,46985
2017-11-06,53.01,53.94,52.80,53.67,8438870,0.706,1.34%,53.3827,451546515.87,49771
2017-11-03,52.37,53.27,51.99,52.96,8030110,0.477,0.91%,52.6765,424160793.13,45817
2017-11-02,52.06,52.59,51.69,52.48,6177111,0.378,0.73%,52.1991,322555165.31,36933
2017-11-01,51.81,52.28,51.43,52.10,6455505,0.945,1.86%,51.8211,335264567.05,47803
2017-10-31,51.32,51.61,51.02,51.15,6171526,-0.239,-0.47%,50.8762,316405306.57,38194
2017-10-30,51.39,51.80,50.885,51.39,6647604,0.179,0.35%,51.1149,341003338.96,40690
2017-10-27,51.16,52.23,50.20,51.21,7835701,-0.249,-0.49%,50.9359,404108421.51,48954
2017-10-26,50.39,51.77,49.79,51.46,7564583,1.502,3.02%,51.1845,388334752.08,47312
2017-10-25,51.06,51.13,49.75,49.95,6342324,-1.034,-2.04%,49.6826,318989158.04,45298
2017-10-24,50.48,51.32,50.42,50.99,7609398,0.726,1.45%,50.7171,387749826.29,45868
2017-10-23,50.28,50.75,49.93,50.26,5589025,0.01,0.02%,49.991,281766872.48,29646
2017-10-20,49.90,50.40,49.5601,50.25,5993187,0.537,1.09%,49.981,300509249.84,32353
