date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,19.41,19.46,19.12,19.19,2726049,-0.21,-1.08%,19.19,52453688.92,15405
2018-03-09,19.43,19.80,19.20,19.40,5598802,0.08,0.41%,19.40,108785517.89,28635
2018-03-08,19.30,19.405,19.13,19.32,2977309,0.11,0.57%,19.32,57503245.84,14330
2018-03-07,19.12,19.39,19.10,19.21,2734759,-0.04,-0.21%,19.21,52546881.86,16582
2018-03-06,19.44,19.53,19.12,19.25,4999250,-0.09,-0.47%,19.25,96386619.84,22939
2018-03-05,19.17,19.54,18.94,19.34,4543511,-0.11,-0.57%,19.34,87790364.72,26978
2018-03-02,18.95,19.48,18.87,19.45,4948892,0.41,2.15%,19.45,95185662.42,26828
2018-03-01,19.15,19.235,18.91,19.04,5112874,-0.28,-1.45%,19.04,97432087.57,29036
2018-02-28,19.83,19.945,19.30,19.32,3943224,-0.53,-2.67%,19.32,76796274.78,22181
2018-02-27,20.54,20.64,19.83,19.85,3176424,-0.665,-3.24%,19.85,63536891.17,19703
2018-02-26,20.81,20.86,20.40,20.64,3267495,-0.119,-0.58%,20.515,67440253.79,19208
2018-02-23,20.70,20.93,20.29,20.76,5902863,0.099,0.48%,20.6343,121667521.85,23160
2018-02-22,20.98,21.13,20.65,20.66,4850650,-0.139,-0.67%,20.5349,100821977.76,25263
2018-02-21,21.19,21.28,20.79,20.80,4766138,-0.388,-1.84%,20.674,99863126.04,23705
2018-02-20,21.50,21.68,21.095,21.19,5505305,-0.258,-1.21%,21.0617,117260959.54,26812
2018-02-16,21.42,21.60,21.27,21.45,5000647,-0.08,-0.37%,21.3201,107256322.17,28038
2018-02-15,21.53,21.64,21.21,21.53,5027939,0.278,1.32%,21.3996,107887468.69,32504
2018-02-14,20.46,21.34,20.21,21.25,6381605,0.686,3.36%,21.1213,134082186.00,40399
2018-02-13,20.35,20.76,20.31,20.56,7354435,0.139,0.69%,20.4355,151325876.83,37756
2018-02-12,20.02,20.635,19.98,20.42,9902160,0.557,2.82%,20.2963,200808368.28,49505
2018-02-09,19.61,20.00,18.82,19.86,11642091,-0.099,-0.50%,19.7397,228819978.17,68104
2018-02-08,19.50,20.25,19.34,19.96,15122202,2.465,14.19%,19.8391,300582587.67,80246
2018-02-07,17.40,17.66,17.15,17.48,13399513,0.05,0.29%,17.3741,233401199.33,55971
2018-02-06,16.90,17.48,16.50,17.43,6314959,0.149,0.87%,17.3244,108166804.57,36651
2018-02-05,17.90,18.12,17.26,17.28,5928458,-0.765,-4.27%,17.1754,104975881.65,34619
2018-02-02,18.80,18.85,18.03,18.05,6702014,-0.805,-4.29%,17.9407,122258595.12,33970
2018-02-01,19.55,19.56,18.64,18.86,7430256,-0.745,-3.82%,18.7458,140566036.25,37882
