date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,127.87,128.20,126.78,126.78,5609794,-0.63,-0.49%,126.78,713838208.40,39207
2018-03-09,127.19,127.50,126.25,127.41,5637799,1.05,0.83%,127.41,716112699.03,39013
2018-03-08,125.76,127.29,125.70,126.36,6127919,1.03,0.82%,126.36,774837205.13,45680
2018-03-07,123.38,125.77,123.1789,125.33,6750393,0.85,0.68%,125.33,844437104.64,41281
2018-03-06,122.87,124.69,122.75,124.48,8154828,1.98,1.62%,124.48,1011001700.28,53972
2018-03-05,120.00,122.94,119.66,122.50,10121251,0.58,0.48%,122.50,1230778877.98,68499
2018-03-02,118.65,122.33,117.64,121.92,10627548,2.49,2.08%,121.92,1279369564.31,81323
2018-03-01,120.91,122.47,118.05,119.43,15555500,3.18,2.74%,119.43,1868481922.38,113234
2018-02-28,117.00,118.15,116.22,116.25,9684436,-0.22,-0.19%,116.25,1133829197.47,68221
2018-02-27,117.30,117.61,115.76,116.47,5908216,-0.18,-0.15%,116.47,689179128.06,40544
2018-02-26,116.11,116.80,115.365,116.65,5418949,1.69,1.47%,116.65,629907193.70,41457
2018-02-23,113.63,114.96,112.74,114.96,4173529,1.96,1.73%,114.96,475384247.32,31242
2018-02-22,114.52,115.00,112.481,113.00,4763427,-1.48,-1.29%,113.00,540873998.32,37880
2018-02-21,114.77,115.67,114.17,114.48,4976536,0.13,0.11%,114.48,571536432.90,38275
2018-02-20,112.45,115.26,112.282,114.35,4287773,1.49,1.32%,114.35,489799526.11,35931
2018-02-16,112.84,114.15,112.67,112.86,4667328,-0.26,-0.23%,112.86,528627291.42,35693
2018-02-15,112.31,113.43,110.05,113.12,8341909,4.10,3.76%,113.12,937347931.04,64094
2018-02-14,106.73,109.22,106.73,109.02,7427952,1.33,1.24%,109.02,804788493.71,51536
2018-02-13,108.01,108.08,105.93,107.69,7542752,-0.86,-0.79%,107.69,808612091.71,43310
2018-02-12,107.70,109.48,106.26,108.55,4624113,1.57,1.47%,108.55,500135923.64,40118
2018-02-09,105.32,108.11,102.37,106.98,6615838,2.95,2.84%,106.98,697954382.64,57997
2018-02-08,110.10,110.18,104.00,104.03,6803753,-6.02,-5.47%,104.03,723067775.08,61125
2018-02-07,109.07,112.29,108.81,110.05,4515370,0.48,0.44%,110.05,500548419.91,41186
