date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,45.53,45.87,45.40,45.55,18299843,0.18,0.40%,45.55,835037573.95,97203
2018-03-09,44.62,45.54,44.61,45.37,22230941,1.03,2.32%,45.37,1005512931.03,103551
2018-03-08,44.25,44.41,43.935,44.34,20285571,0.14,0.32%,44.34,895907780.39,91188
2018-03-07,44.03,44.39,43.80,44.20,22034446,-0.09,-0.20%,44.20,972812263.57,115496
2018-03-06,44.65,44.785,44.135,44.29,21929955,-0.23,-0.52%,44.29,973950617.59,120472
2018-03-05,43.92,44.765,43.70,44.52,22101667,0.46,1.04%,44.52,981122304.94,118351
2018-03-02,43.29,44.22,43.10,44.06,28848064,0.26,0.59%,44.06,1258130536.98,130220
2018-03-01,44.68,45.00,43.35,43.80,32154328,-0.98,-2.19%,43.80,1418092938.72,168265
2018-02-28,45.27,45.89,44.78,44.78,26885228,-0.26,-0.58%,44.78,1217152962.01,114811
2018-02-27,45.41,45.61,44.62,45.04,27419328,-0.32,-0.71%,45.04,1236028346.60,132178
2018-02-26,44.30,45.45,44.13,45.36,27771122,1.36,3.09%,45.36,1250275657.71,122490
2018-02-23,43.37,44.04,42.92,44.00,25781446,1.06,2.47%,44.00,1121827209.01,116376
2018-02-22,43.49,43.56,42.75,42.94,25887633,-0.37,-0.85%,42.94,1117598835.61,130673
2018-02-21,44.11,44.42,43.28,43.31,28499215,-0.75,-1.70%,43.31,1251263563.42,126463
2018-02-20,44.00,44.69,43.81,44.06,29006862,-0.27,-0.61%,44.06,1282923121.34,117832
2018-02-16,43.885,45.09,43.79,44.33,39267531,0.25,0.57%,44.33,1750955346.25,164179
2018-02-15,45.065,45.13,43.26,44.08,72267456,1.99,4.73%,44.08,3173702511.88,290680
2018-02-14,41.04,42.26,40.99,42.09,43835852,0.86,2.09%,42.09,1836074962.45,199326
2018-02-13,40.50,41.31,40.22,41.23,30999078,0.63,1.55%,41.23,1266167973.59,144213
2018-02-12,40.515,40.91,40.225,40.60,38210735,1.07,2.71%,40.60,1552890919.07,174726
2018-02-09,39.00,39.92,38.23,39.53,51304217,0.76,1.96%,39.53,2004847671.10,275019
2018-02-08,40.44,40.76,38.72,38.77,42982066,-1.57,-3.89%,38.77,1704971417.27,235129
2018-02-07,40.31,41.206,40.03,40.34,32690837,0.17,0.42%,40.34,1328117852.68,171652
2018-02-06,38.33,40.305,37.35,40.17,55171559,1.39,3.58%,40.17,2166092233.05,324627
2018-02-05,40.87,41.405,38.72,38.78,52399572,-2.15,-5.25%,38.78,2100909749.76,254517
2018-02-02,41.50,41.95,40.87,40.93,27224206,-0.77,-1.85%,40.93,1125590024.12,134525
2018-02-01,41.09,42.11,40.67,41.70,26148507,0.16,0.39%,41.70,1090549214.57,125080
2018-01-31,41.98,42.01,41.35,41.54,36512097,-0.71,-1.68%,41.54,1519779379.48,151570
2018-01-30,42.685,42.86,41.97,42.25,28993938,-0.60,-1.40%,42.25,1226834647.64,129984
2018-01-29,42.30,42.98,42.30,42.85,23625873,0.29,0.68%,42.85,1011322929.66,106496
2018-01-26,42.15,42.56,41.95,42.56,23380407,0.66,1.58%,42.56,988554493.48,92269
2018-01-25,42.27,42.47,41.82,41.90,19207511,-0.27,-0.64%,41.90,808240922.52,95512
2018-01-24,42.20,42.685,42.01,42.17,26696212,0.07,0.17%,42.17,1130189901.40,121569
2018-01-23,41.54,42.13,41.54,42.10,23984518,0.44,1.06%,42.10,1006622833.23,97515
2018-01-22,41.20,41.66,41.02,41.66,22995116,0.37,0.90%,41.66,953935209.91,91358
2018-01-19,41.28,41.52,41.10,41.29,24582041,-0.01,-0.02%,41.29,1014752920.90,91828
2018-01-18,41.24,41.48,41.03,41.30,19610169,0.10,0.24%,41.30,809214623.90,83223
2018-01-17,40.84,41.32,40.705,41.20,24427130,0.66,1.63%,41.20,1004369156.13,107617
2018-01-16,40.90,41.16,40.32,40.54,32844965,-0.33,-0.81%,40.54,1335733912.81,123513
2018-01-12,40.22,40.93,40.05,40.87,23770515,0.77,1.92%,40.87,965591027.53,103371
2018-01-11,40.14,40.21,39.75,40.10,21685577,0.19,0.48%,40.10,867430626.58,75830
2018-01-10,39.65,40.24,39.63,39.91,19473023,0.22,0.55%,39.91,776357939.13,95712
2018-01-09,39.79,39.96,39.54,39.69,21449790,-0.25,-0.63%,39.69,853309496.94,95391
2018-01-08,39.52,39.96,39.35,39.94,16581967,0.41,1.04%,39.94,659410040.77,78912
2018-01-05,39.55,39.88,39.365,39.53,24588152,0.54,1.38%,39.53,971968665.03,101346
2018-01-04,39.05,39.54,38.93,38.99,20731358,0.11,0.28%,38.99,811509127.54,99078
2018-01-03,38.72,39.285,38.53,39.17,29536019,0.308,0.80%,38.88,1151174669.68,103138
2018-01-02,38.67,38.95,38.43,38.86,20135657,0.556,1.46%,38.5723,780004308.29,82652
2017-12-29,38.41,38.62,38.30,38.30,12583621,-0.288,-0.75%,38.0164,483479543.12,42769
2017-12-28,38.73,38.73,38.45,38.59,8807745,0.03,0.08%,38.3043,339623617.34,35676
2017-12-27,38.54,38.65,38.45,38.56,10543034,0.079,0.21%,38.2745,406353085.09,38038
2017-12-26,38.55,38.68,38.36,38.48,8186082,-0.069,-0.18%,38.1951,315158230.28,35080
2017-12-22,38.52,38.74,38.47,38.55,11441622,0.02,0.05%,38.2646,441399275.66,53122
2017-12-21,38.88,38.995,38.49,38.53,16387522,-0.208,-0.54%,38.2447,634684548.24,77477
2017-12-20,38.49,38.80,38.21,38.74,18939533,0.437,1.15%,38.4532,730612996.99,76124
2017-12-19,38.66,38.86,38.28,38.30,19695238,-0.179,-0.47%,38.0164,757614593.06,74578
