date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,57.99,58.05,57.36,57.59,4071118,-0.41,-0.71%,57.59,234911329.22,30733
2018-03-09,56.82,58.00,56.60,58.00,6168366,1.75,3.11%,58.00,355754248.16,41290
2018-03-08,56.36,56.77,55.32,56.25,4660374,0.00,0.00%,56.25,260918080.22,33513
2018-03-07,55.95,56.73,55.68,56.25,5510799,0.11,0.20%,56.25,310389950.80,39337
2018-03-06,56.50,57.15,55.79,56.14,7768046,-0.24,-0.43%,56.14,437557811.50,52015
2018-03-05,54.83,56.47,53.78,56.38,9658595,1.34,2.43%,56.38,536859229.92,55877
2018-03-02,54.39,55.35,53.58,55.04,11229009,0.52,0.95%,55.04,612926203.56,65477
2018-03-01,53.95,55.74,53.13,54.52,13347694,0.80,1.49%,54.52,729051646.93,89803
2018-02-28,55.03,55.42,53.645,53.72,9933526,-1.18,-2.15%,53.72,537812531.13,48088
2018-02-27,56.24,56.99,55.09,55.12,7013393,-1.086,-1.94%,54.90,391053573.43,49061
2018-02-26,56.23,56.69,55.635,56.21,6677500,0.369,0.66%,55.9857,375108662.66,40669
2018-02-23,55.45,55.87,54.58,55.84,4568053,0.847,1.55%,55.6171,252619191.71,32469
2018-02-22,55.27,55.67,54.54,54.99,5161030,0.03,0.05%,54.7705,284399724.54,35394
2018-02-21,54.60,56.37,54.45,54.96,5810725,0.369,0.68%,54.7407,322659710.07,45987
2018-02-20,55.73,55.97,54.32,54.59,6388391,-1.504,-2.69%,54.3721,350457343.24,49220
2018-02-16,55.63,56.42,55.36,56.10,7596287,0.538,0.97%,55.8761,425051606.42,48587
2018-02-15,55.72,55.91,54.73,55.56,5622884,0.408,0.74%,55.3383,311492535.58,44719
2018-02-14,53.26,55.23,53.13,55.15,9448661,1.584,2.97%,54.9299,516642767.90,68005
2018-02-13,52.69,53.71,52.198,53.56,7490844,0.398,0.75%,53.3462,398951482.23,52433
2018-02-12,51.56,53.60,51.33,53.16,11144717,2.261,4.46%,52.9478,587107257.87,80937
2018-02-09,50.83,51.35,48.43,50.89,12278165,0.418,0.83%,50.6869,612915904.15,87404
2018-02-08,52.91,53.16,50.46,50.47,7798145,-2.49,-4.72%,50.2686,401087473.88,59744
2018-02-07,53.38,54.36,52.94,52.97,6496219,-0.847,-1.58%,52.7586,347825397.38,48407
2018-02-06,51.27,54.00,50.12,53.82,10563695,1.823,3.52%,53.6052,557045145.03,79567
2018-02-05,54.89,55.04,51.96,51.99,9070246,-3.247,-5.90%,51.7825,484698136.80,62277
2018-02-02,56.19,56.35,55.20,55.25,9275832,-1.325,-2.35%,55.0295,516563459.35,40766
2018-02-01,56.10,57.10,56.04,56.58,4079061,-0.189,-0.33%,56.3542,230869676.27,26812
2018-01-31,57.18,57.72,56.40,56.77,6199613,-0.09,-0.16%,56.5434,352116846.72,31312
2018-01-30,57.21,57.76,56.48,56.86,6402018,-0.369,-0.65%,56.6331,365827588.85,24899
2018-01-29,57.56,58.01,57.04,57.23,4166491,-0.677,-1.17%,57.0016,238912552.02,28342
2018-01-26,56.37,58.01,56.16,57.91,6081850,1.763,3.15%,57.6789,348987098.93,38497
