date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,17.91,18.18,17.86,18.02,9542567,0.08,0.45%,18.02,172104661.77,41230
2018-03-09,17.88,17.98,17.73,17.94,6861796,0.12,0.67%,17.94,122348553.67,33565
2018-03-08,17.86,17.90,17.53,17.82,6671534,-0.06,-0.34%,17.82,118258737.71,33248
2018-03-07,17.91,18.16,17.70,17.88,14986245,-0.18,-1.00%,17.88,267992740.10,39319
2018-03-06,18.00,18.25,17.84,18.06,12264762,0.22,1.23%,18.06,221324927.82,49210
2018-03-05,17.18,17.88,17.06,17.84,12830259,0.49,2.82%,17.84,225808260.26,61804
2018-03-02,16.76,17.38,16.72,17.35,11040422,0.49,2.91%,17.35,189447480.96,50991
2018-03-01,17.87,17.92,17.30,17.40,14012419,-0.262,-1.53%,16.86,246473685.99,65532
2018-02-28,18.13,18.17,17.655,17.67,16507945,-0.397,-2.27%,17.1216,294017676.33,59413
2018-02-27,18.45,18.62,18.07,18.08,10007681,-0.32,-1.79%,17.5189,182331931.67,33221
2018-02-26,18.25,18.48,18.02,18.41,12950468,0.194,1.10%,17.8387,237504240.20,39771
2018-02-23,18.12,18.22,17.96,18.21,8898536,0.223,1.28%,17.6449,161263327.12,40101
2018-02-22,17.90,18.41,17.775,17.98,13671395,0.078,0.45%,17.422,246928607.73,54117
2018-02-21,18.47,18.60,17.88,17.90,11844266,-0.552,-3.09%,17.3445,215396102.38,52127
2018-02-20,18.80,18.91,18.38,18.47,13563861,-0.446,-2.43%,17.8968,251341626.78,55586
2018-02-16,18.94,19.27,18.53,18.93,14837112,-0.194,-1.05%,18.3425,281681651.42,60498
2018-02-15,18.92,19.47,18.41,19.13,25595518,1.502,8.82%,18.5363,484437589.92,101857
2018-02-14,17.19,17.83,17.0061,17.58,18736053,0.359,2.15%,17.0344,329215515.29,72656
2018-02-13,16.65,17.36,16.45,17.21,16725078,0.436,2.68%,16.6759,285349917.50,54127
2018-02-12,16.05,16.95,16.05,16.76,12828667,0.756,4.88%,16.2399,213950876.44,53794
