date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,69.27,69.56,68.7701,69.01,4752572,-0.26,-0.38%,69.01,328157872.69,34770
2018-03-09,68.77,69.37,68.23,69.27,5795576,0.91,1.33%,69.27,400124573.36,35038
2018-03-08,67.85,69.36,67.85,68.36,8374047,0.85,1.26%,68.36,572996443.72,61126
2018-03-07,66.96,67.89,66.54,67.51,6790081,-0.14,-0.21%,67.51,456583400.03,45134
2018-03-06,68.38,68.47,67.06,67.65,8838326,-0.66,-0.97%,67.65,596101285.96,59415
2018-03-05,67.50,68.60,66.99,68.31,7754206,0.85,1.26%,68.31,527074566.31,52822
2018-03-02,67.11,67.61,66.6276,67.46,10613869,0.31,0.46%,67.46,713693767.26,78221
2018-03-01,67.70,68.53,66.76,67.15,9556429,-0.58,-0.86%,67.15,644468561.32,73208
2018-02-28,68.37,68.69,67.61,67.73,10799790,-0.52,-0.76%,67.73,734457635.80,58395
2018-02-27,69.30,69.66,68.1184,68.25,7391900,0.02,0.03%,68.25,507945163.71,58386
2018-02-26,68.20,68.47,67.57,68.23,7837609,0.07,0.10%,68.23,533919893.90,41991
2018-02-23,68.51,68.78,67.425,68.16,5804823,0.16,0.24%,68.16,393970597.13,43136
2018-02-22,68.96,69.14,67.56,68.00,10061471,-0.76,-1.11%,68.00,686895447.98,64825
2018-02-21,70.59,70.8999,68.72,68.76,10624802,-1.90,-2.69%,68.76,738797041.42,62081
2018-02-20,71.25,71.45,69.7275,70.66,6415188,-1.24,-1.72%,70.66,453290037.56,44223
2018-02-16,70.37,72.21,70.32,71.90,6469876,1.41,2.00%,71.90,463927330.40,47240
2018-02-15,70.59,70.94,69.09,70.49,6770206,0.70,1.00%,70.49,474610586.74,53905
2018-02-14,69.66,70.22,69.56,69.79,6577049,-0.32,-0.46%,69.79,459304329.88,45949
2018-02-13,69.71,71.22,69.60,70.11,8796159,0.24,0.34%,70.11,618747728.75,59641
2018-02-12,70.09,70.64,69.50,69.87,8943768,0.48,0.69%,69.87,626032376.32,64203
2018-02-09,71.01,71.35,67.31,69.39,16718546,-1.16,-1.64%,69.39,1153004021.02,131907
2018-02-08,74.00,75.34,70.50,70.55,11725186,-3.80,-5.11%,70.55,847347815.62,93992
2018-02-07,73.84,75.56,73.57,74.35,9611066,0.33,0.45%,74.35,719209649.22,66960
2018-02-06,72.50,74.645,71.77,74.02,11241194,0.70,0.95%,74.02,825617024.93,82671
2018-02-05,75.31,76.399,73.29,73.32,12199495,-3.13,-4.09%,73.32,909843399.89,91868
2018-02-02,78.36,78.54,75.58,76.45,10395622,-2.34,-2.97%,76.45,795986944.60,70486
2018-02-01,78.30,79.2042,77.60,78.79,9149986,0.10,0.13%,78.79,720153445.37,61214
2018-01-31,80.60,81.27,78.04,78.69,12472396,-1.50,-1.87%,78.69,990309053.11,70757
2018-01-30,78.49,80.94,78.18,80.19,16517869,-3.44,-4.11%,80.19,1316873247.53,103443
2018-01-29,82.00,83.88,81.75,83.63,8372862,1.62,1.98%,83.63,698029621.62,45507
2018-01-26,81.64,82.01,80.92,82.01,5883258,0.43,0.53%,82.01,479985815.73,35570
2018-01-25,81.30,81.99,80.76,81.58,6357392,0.66,0.82%,81.58,518393816.37,46516
2018-01-24,80.76,81.19,80.35,80.92,7308523,0.48,0.60%,80.92,590870931.15,51731
2018-01-23,80.48,80.70,79.70,80.44,5780587,-0.01,-0.01%,80.44,464261139.42,35681
2018-01-22,80.09,80.98,79.93,80.95,7016240,1.083,1.36%,80.45,566183885.24,42372
2018-01-19,79.58,80.0399,79.11,79.86,7963595,0.507,0.64%,79.3667,633889826.39,48084
2018-01-18,79.92,80.69,79.26,79.35,8065783,-0.149,-0.19%,78.8599,643569398.24,48609
2018-01-17,79.60,79.97,78.93,79.50,7448679,0.06,0.08%,79.0089,591187410.36,47928
2018-01-16,78.83,80.15,78.83,79.44,8437277,0.656,0.84%,78.9493,671857136.03,58073
2018-01-12,78.92,79.68,78.51,78.78,7098202,-0.239,-0.30%,78.2934,560694663.33,42417
2018-01-11,78.01,79.06,77.68,79.02,7158159,1.57,2.04%,78.5319,561406429.02,53971
2018-01-10,77.16,77.63,76.60,77.44,8772233,-0.248,-0.32%,76.9617,677840303.90,57158
2018-01-09,77.98,78.33,77.44,77.69,7778358,-0.08,-0.10%,77.2101,605209277.47,60916
2018-01-08,78.32,78.78,77.15,77.77,9589234,-0.676,-0.87%,77.2896,745783965.75,58544
2018-01-05,76.31,78.5586,76.14,78.45,15338063,3.299,4.42%,77.9654,1196800864.53,91645
2018-01-04,75.19,76.67,74.68,75.13,13715528,1.918,2.64%,74.6659,1037328191.56,89404
2018-01-03,73.73,73.90,73.06,73.20,6139515,-0.318,-0.44%,72.7478,450262090.23,42599
2018-01-02,73.06,74.03,72.87,73.52,5878294,1.014,1.41%,73.0659,432171681.10,44266
2017-12-29,72.96,73.10,72.44,72.50,4757487,-0.547,-0.75%,72.0522,345690195.03,27994
2017-12-28,72.87,73.23,72.47,73.05,4196626,0.288,0.40%,72.5988,305678125.15,29924
2017-12-27,73.81,73.90,72.65,72.76,5248597,-0.914,-1.25%,72.3106,382864219.75,33520
2017-12-26,73.50,74.00,72.76,73.68,4801740,0.268,0.37%,73.2249,353533989.63,31350
2017-12-22,74.71,74.715,73.30,73.41,5282394,-1.222,-1.65%,72.9565,388948153.34,42024
2017-12-21,73.75,75.87,73.39,74.64,10518549,1.073,1.47%,74.1789,787263208.65,66002
2017-12-20,72.855,74.18,72.61,73.56,10571601,1.242,1.73%,73.1056,776779907.99,61229
2017-12-19,71.65,72.9757,71.60,72.31,11825638,0.636,0.89%,71.8633,858215652.56,72427
2017-12-18,73.32,73.39,71.65,71.67,12709291,-1.401,-1.93%,71.2273,917621269.95,79972
2017-12-15,71.14,73.68,70.76,73.08,14334083,2.266,3.22%,72.6286,1043746875.20,69422
2017-12-14,71.70,71.885,70.4699,70.80,8214278,-0.815,-1.14%,70.3627,581873019.97,49740
2017-12-13,72.77,72.90,71.00,71.62,9940380,-1.222,-1.69%,71.1776,712269042.20,65390
2017-12-12,72.90,73.19,72.17,72.85,8233130,-0.229,-0.31%,72.40,599113804.77,51459
2017-12-11,72.91,73.60,72.56,73.08,6687005,-0.01,-0.01%,72.6286,488185221.31,44008
2017-12-08,71.58,73.80,70.8901,73.09,12510534,1.988,2.81%,72.6385,912200357.21,74363
2017-12-07,71.13,71.33,69.52,71.09,12366237,-0.288,-0.41%,70.6509,874238049.81,73714
2017-12-06,71.22,71.57,70.20,71.38,12371712,0.368,0.52%,70.9391,877185928.67,82115
