date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,117.50,118.35,116.56,116.79,6877032,-0.43,-0.37%,116.79,806632995.94,51481
2018-03-09,114.31,117.3901,114.24,117.22,8833337,3.87,3.41%,117.22,1028977592.62,59991
2018-03-08,114.60,114.745,112.60,113.35,6095136,-0.49,-0.43%,113.35,690838732.26,41806
2018-03-07,112.95,115.08,112.63,113.84,6660025,0.19,0.17%,113.84,757404876.24,49843
2018-03-06,113.85,115.52,113.02,113.65,7957870,0.50,0.44%,113.65,908045568.52,59523
2018-03-05,111.40,113.33,111.02,113.15,7814896,1.51,1.35%,113.15,879016094.79,57601
2018-03-02,111.50,112.18,109.83,111.64,6607334,-0.40,-0.36%,111.64,734736816.02,49910
2018-03-01,111.53,113.9001,110.97,112.04,7516691,0.12,0.11%,112.04,843152573.84,52551
2018-02-28,115.02,115.4613,111.88,111.92,7441025,-1.69,-1.49%,111.92,842806550.71,46203
2018-02-27,114.87,116.05,113.61,113.61,6059659,-0.99,-0.86%,113.61,695567865.86,48621
2018-02-26,113.18,114.66,112.85,114.60,7405831,2.01,1.79%,114.60,844709698.54,46379
2018-02-23,110.46,112.74,110.25,112.59,6460219,2.70,2.46%,112.59,722871263.36,43984
2018-02-22,109.55,111.44,108.90,109.89,8176706,0.83,0.76%,109.89,900547754.14,54148
2018-02-21,111.14,112.06,109.06,109.06,6892254,-1.92,-1.73%,109.06,760687583.97,44359
2018-02-20,112.28,112.76,110.58,110.98,6810929,-1.16,-1.03%,110.98,759036939.90,44591
2018-02-16,112.35,112.94,111.21,112.14,5950365,-0.39,-0.35%,112.14,667480021.99,40591
2018-02-15,112.86,113.02,110.84,112.53,5404995,0.02,0.02%,112.53,605194971.41,43485
2018-02-14,112.50,114.05,111.40,113.63,7031911,0.337,0.30%,112.5099,794292797.94,54955
2018-02-13,113.34,113.605,111.8586,113.29,7065907,-0.683,-0.61%,112.1733,798620301.89,50282
2018-02-12,114.80,115.85,112.91,113.98,8358207,0.475,0.42%,112.8565,954942041.69,62354
2018-02-09,113.34,114.62,109.50,113.50,10922392,1.188,1.07%,112.3812,1226738507.18,91052
2018-02-08,115.17,115.89,112.21,112.30,9927483,-2.961,-2.59%,111.1931,1129761027.07,76323
2018-02-07,117.40,119.27,115.23,115.29,11535704,-1.871,-1.61%,114.1536,1349190169.08,82035
2018-02-06,111.20,117.63,110.76,117.18,18416320,4.832,4.35%,116.025,2116268723.77,150538
2018-02-05,115.17,115.89,112.21,112.30,9882147,-6.218,-5.30%,111.1931,1124601728.79,76309
2018-02-02,123.95,123.95,117.64,118.58,13182551,-6.921,-5.57%,117.4112,1582238228.01,95023
2018-02-01,125.60,125.63,124.06,125.57,7844464,0.218,0.18%,124.3323,981038096.89,60405
2018-01-31,125.42,125.815,124.05,125.35,9626771,0.119,0.10%,124.1144,1206000100.32,62627
2018-01-30,127.61,128.01,125.19,125.23,8084022,-3.218,-2.53%,123.9956,1020003731.29,53853
2018-01-29,130.06,131.58,128.32,128.48,6350723,-2.683,-2.07%,127.2136,823137778.02,47634
2018-01-26,130.71,131.75,130.37,131.19,6310543,0.535,0.41%,129.8969,827288472.28,31687
2018-01-25,131.76,131.87,130.34,130.65,4597183,-0.733,-0.56%,129.3622,601575676.74,35707
2018-01-24,131.38,132.6678,131.07,131.39,6868223,0.366,0.28%,130.0949,904358222.12,42418
2018-01-23,132.38,132.56,130.73,131.02,5747334,-1.525,-1.16%,129.7285,755184784.76,41287
2018-01-22,131.30,132.56,131.28,132.56,5248785,1.248,0.96%,131.2534,693752000.55,37063
2018-01-19,131.83,132.00,130.21,131.30,6048904,-0.287,-0.22%,130.0058,793399260.86,36758
2018-01-18,132.35,132.50,131.03,131.59,5890004,-0.762,-0.58%,130.2929,775711270.93,38544
2018-01-17,132.19,132.80,130.96,132.36,5632748,0.347,0.27%,131.0553,744709758.78,39827
2018-01-16,133.67,133.88,131.60,132.01,6254209,-1.574,-1.19%,130.7088,828481063.06,45570
2018-01-12,132.19,133.85,132.11,133.60,7232883,1.02,0.78%,132.2831,963929210.56,45899
2018-01-11,128.92,133.32,128.76,132.57,11641292,3.871,3.04%,131.2633,1532887438.15,63278
2018-01-10,128.31,128.76,127.7999,128.66,5292182,0.812,0.64%,127.3918,679487045.92,37745
2018-01-09,128.43,128.935,127.79,127.84,4422338,-0.683,-0.54%,126.5799,567250243.85,32675
2018-01-08,127.86,128.63,127.63,128.53,4826132,0.624,0.49%,127.2631,618947008.26,27856
2018-01-05,127.97,128.10,127.10,127.90,4189223,-0.208,-0.16%,126.6393,534734387.82,31004
2018-01-04,127.95,128.35,127.22,128.11,4598264,-0.396,-0.31%,126.8472,587699831.66,34862
2018-01-03,127.46,128.94,126.90,128.51,5805458,0.921,0.73%,127.2433,744409746.05,43821
2018-01-02,125.71,127.74,125.54,127.58,5626785,2.366,1.91%,126.3224,713859848.41,40235
2017-12-29,125.36,125.98,125.19,125.19,3829007,-0.386,-0.31%,123.956,480081315.02,20837
2017-12-28,125.69,125.89,125.29,125.58,2191821,0.03,0.02%,124.3422,275305526.60,18800
2017-12-27,125.96,126.20,125.13,125.55,3452329,-0.426,-0.34%,124.3125,433342363.85,24086
2017-12-26,125.23,126.14,125.0514,125.98,3348496,0.99,0.80%,124.7382,421480894.01,22112
2017-12-22,124.78,125.65,124.5748,124.98,4735086,0.158,0.13%,123.7481,592277284.79,29885
2017-12-21,121.45,125.35,121.07,124.82,10109047,3.891,3.25%,123.5896,1256574224.41,53182
2017-12-20,120.48,121.30,119.65,120.89,6286656,1.04,0.88%,119.6984,758948354.09,36655
2017-12-19,120.125,120.75,119.51,119.84,4599323,0.139,0.12%,118.6587,551988757.10,29636
2017-12-18,120.12,121.29,119.62,119.70,4654119,-0.03,-0.03%,118.5201,559148881.84,31985
2017-12-15,120.36,120.47,119.51,119.73,11226856,0.198,0.17%,118.5498,1347572986.68,30378
2017-12-14,119.77,120.2802,119.50,119.53,3736920,-0.396,-0.33%,118.3518,447446569.86,26137
2017-12-13,119.43,120.17,118.68,119.93,4399835,0.248,0.21%,118.7478,526481180.62,32425
2017-12-12,120.63,120.74,119.56,119.68,4300171,-0.733,-0.61%,118.5003,515700742.08,34170
2017-12-11,120.29,121.11,120.12,120.42,5929728,0.495,0.42%,119.233,714511084.52,32583
