date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,153.91,154.45,151.385,153.48,926040,0.19,0.12%,153.48,141856514.38,10163
2018-03-09,151.29,153.77,150.98,153.29,1232132,3.55,2.37%,153.29,188447118.98,11932
2018-03-08,152.98,153.69,149.06,149.74,1262295,-2.81,-1.84%,149.74,190037877.32,11598
2018-03-07,150.22,152.84,150.03,152.55,1040845,1.19,0.79%,152.55,157728837.36,10957
2018-03-06,153.61,153.705,150.77,151.36,1018725,-1.59,-1.04%,151.36,154533660.26,11780
2018-03-05,150.19,153.72,149.745,152.95,732305,2.38,1.58%,152.95,111673931.12,10219
2018-03-02,149.50,151.07,147.75,150.57,1285887,0.23,0.15%,150.57,192749037.43,15049
2018-03-01,151.18,152.12,149.25,150.34,1215865,-0.46,-0.31%,150.34,183452394.61,15077
2018-02-28,154.34,155.02,150.79,150.80,1196054,-2.29,-1.50%,150.80,182294161.56,13106
2018-02-27,154.79,156.12,153.08,153.09,1130571,-1.86,-1.20%,153.09,174278247.74,12923
2018-02-26,153.92,157.01,153.01,154.95,1523314,2.14,1.40%,154.95,236879886.28,16227
2018-02-23,149.76,152.97,149.14,152.81,1259380,3.63,2.43%,152.81,190479274.22,14708
2018-02-22,150.39,151.02,147.95,149.18,1602099,0.02,0.01%,149.18,239507956.04,18536
2018-02-21,153.70,153.70,144.90,149.16,2911940,2.01,1.37%,149.16,434831875.89,27604
2018-02-20,147.00,149.21,145.98,147.15,1384506,0.63,0.43%,147.15,204371640.75,14911
2018-02-16,145.59,147.52,144.86,146.52,1037860,0.48,0.33%,146.52,152002337.36,11079
2018-02-15,146.89,147.35,143.65,146.04,1384902,-0.82,-0.56%,146.04,202072696.08,14832
2018-02-14,140.66,147.28,140.12,146.86,1124767,5.20,3.67%,146.86,162986129.14,12661
2018-02-13,142.22,143.37,141.01,141.66,1177975,-1.82,-1.27%,141.66,167300026.39,9713
2018-02-12,140.97,145.13,140.31,143.48,1720352,4.50,3.24%,143.48,246076834.49,16531
2018-02-09,140.64,141.39,133.58,138.98,2347322,-1.11,-0.79%,138.98,322710755.75,22872
2018-02-08,148.01,148.95,140.07,140.09,2184622,-8.01,-5.41%,140.09,312403357.82,23126
2018-02-07,149.98,151.77,147.92,148.10,1992643,-0.95,-0.64%,148.10,297599594.10,17929
2018-02-06,148.97,152.42,145.42,149.05,3023051,-2.39,-1.58%,149.05,448563028.13,29067
2018-02-05,152.46,156.495,150.56,151.44,1956475,-3.09,-2.00%,151.44,299550512.81,19789
2018-02-02,156.81,157.775,153.46,154.53,1718302,-4.73,-2.97%,154.53,265841811.87,19104
2018-02-01,158.03,159.65,156.44,159.26,1003247,1.82,1.16%,159.26,159079554.56,11437
2018-01-31,157.75,158.50,156.17,157.44,1007521,0.08,0.05%,157.44,158664738.55,13782
2018-01-30,159.90,159.90,156.14,157.36,1605772,-3.92,-2.43%,157.36,253389307.36,16997
2018-01-29,160.61,162.91,159.96,161.28,815426,-0.38,-0.24%,161.28,131864714.02,10157
2018-01-26,160.46,162.015,159.66,161.66,866522,1.87,1.17%,161.66,139848466.50,9163
2018-01-25,161.54,162.21,159.061,159.79,792073,-1.11,-0.69%,159.79,126967831.02,8928
2018-01-24,161.17,161.96,158.82,160.90,1145027,0.37,0.23%,160.90,183629554.40,11191
2018-01-23,160.84,161.90,159.24,160.53,930054,0.12,0.07%,160.53,149443060.53,10430
2018-01-22,156.80,160.52,156.445,160.41,1227739,4.22,2.70%,160.41,195830746.15,13479
2018-01-19,156.29,157.21,155.12,156.19,1083301,-0.28,-0.18%,156.19,169320377.45,10805
2018-01-18,155.52,158.4489,154.85,156.47,872835,-0.11,-0.07%,156.47,136825234.92,10719
2018-01-17,156.79,157.60,155.02,156.58,927559,-0.14,-0.09%,156.58,144990758.06,11241
2018-01-16,159.56,160.37,156.315,156.72,995465,-2.37,-1.49%,156.72,157173542.79,13138
2018-01-12,158.46,159.37,156.90,159.09,879485,1.23,0.78%,159.09,139664623.39,9643
2018-01-11,155.48,159.52,154.41,157.86,1415974,3.35,2.17%,157.86,223825444.24,14112
2018-01-10,155.17,156.04,153.57,154.51,812996,-0.48,-0.31%,154.51,125755654.59,10012
2018-01-09,156.36,156.77,154.60,154.99,714352,-1.05,-0.67%,154.99,110991861.95,8727
2018-01-08,155.10,156.36,154.17,156.04,1052955,0.44,0.28%,156.04,163829453.77,9270
2018-01-05,152.94,155.70,152.00,155.60,1081099,1.99,1.30%,155.60,167156199.76,12170
2018-01-04,154.73,154.80,152.10,153.61,1050377,1.02,0.67%,153.61,161299828.93,12613
2018-01-03,152.37,153.96,151.41,152.59,1114964,0.69,0.45%,152.59,170396490.62,10284
2018-01-02,150.87,152.29,150.535,151.90,810014,1.68,1.12%,151.90,122817953.97,9893
2017-12-29,152.38,152.95,149.20,150.22,888934,-1.11,-0.73%,150.22,133568562.26,9614
2017-12-28,151.03,151.91,150.25,151.33,876689,0.30,0.20%,151.33,132603663.08,8705
2017-12-27,153.69,154.13,150.04,151.03,1035144,-2.89,-1.88%,151.03,156666048.69,10081
2017-12-26,152.52,155.05,151.12,153.92,1152217,2.15,1.42%,153.92,176925240.92,10978
2017-12-22,149.98,152.6699,149.33,151.77,1165866,1.94,1.29%,151.77,176615436.11,11536
2017-12-21,146.55,151.02,145.40,149.83,1957412,3.02,2.06%,149.83,291537002.00,19253
2017-12-20,140.75,147.00,140.28,146.81,1462563,6.50,4.63%,146.81,212199749.67,15446
2017-12-19,138.96,140.58,138.47,140.31,962884,1.80,1.30%,140.31,134926624.96,10025
2017-12-18,136.35,139.06,135.88,138.51,946656,2.11,1.55%,138.51,130915187.27,9066
2017-12-15,137.18,138.02,136.00,136.40,1343248,-0.40,-0.29%,136.40,183772574.33,9197
2017-12-14,138.04,139.09,136.70,136.80,738920,-1.49,-1.08%,136.80,101566851.30,8183
2017-12-13,139.45,140.17,138.13,138.29,856644,-1.21,-0.87%,138.29,118842565.63,9736
2017-12-12,141.46,141.46,138.9401,139.50,814341,-1.65,-1.17%,139.50,113858237.58,10541
2017-12-11,140.47,142.11,140.07,141.15,906492,0.94,0.67%,141.15,127908408.90,6752
2017-12-08,139.45,141.665,138.81,140.21,743606,2.00,1.45%,140.21,104455314.15,8657
2017-12-07,136.63,138.76,135.44,138.21,1110723,2.24,1.65%,138.21,153292315.17,10869
2017-12-06,137.96,138.41,135.66,135.97,964534,-2.34,-1.69%,135.97,131723341.16,9887
2017-12-05,139.09,141.20,137.99,138.31,802227,-0.88,-0.63%,138.31,111578514.04,9179
2017-12-04,141.09,141.41,139.01,139.19,915284,-2.27,-1.60%,139.19,128168169.50,10184
2017-12-01,140.92,144.42,140.35,141.46,1426199,1.60,1.14%,141.46,203011786.08,15358
2017-11-30,138.14,141.38,137.99,139.86,1397949,2.35,1.71%,139.86,195545044.61,12023
2017-11-29,137.69,138.90,136.1989,137.51,1086178,-0.27,-0.20%,137.51,149411862.89,9754
2017-11-28,138.53,138.97,137.27,137.78,753024,-0.64,-0.46%,137.78,103887526.89,9497
2017-11-27,139.72,140.34,137.79,138.42,1456347,-2.16,-1.54%,138.42,202585319.83,11779
2017-11-24,141.35,141.64,140.41,140.58,374991,0.29,0.21%,140.58,52789646.77,2537
2017-11-22,140.85,141.4334,139.56,140.29,936269,0.66,0.47%,140.29,131755198.55,10040
2017-11-21,139.22,140.85,139.02,139.63,975944,0.60,0.43%,139.63,136466305.15,9057
2017-11-20,138.21,139.78,137.01,139.03,726049,0.38,0.27%,139.03,100841564.20,7677
2017-11-17,138.56,139.85,137.95,138.65,533377,0.41,0.30%,138.65,73985785.09,6731
2017-11-16,138.47,138.92,137.20,138.24,695128,0.08,0.06%,138.24,96047150.25,8617
2017-11-15,138.69,140.20,137.09,138.16,1188523,-2.30,-1.64%,138.16,164733375.13,12384
2017-11-14,141.61,142.27,139.375,140.46,1163753,-1.95,-1.37%,140.46,163773636.50,11470
2017-11-13,142.55,144.30,141.32,142.41,865272,-0.80,-0.56%,142.41,123238294.16,9561
2017-11-10,144.31,145.06,142.51,143.21,830751,-1.22,-0.84%,143.21,119190702.09,8104
2017-11-09,144.41,145.94,143.725,144.43,939666,-0.63,-0.43%,144.43,136015308.84,10521
2017-11-08,146.38,146.38,143.22,145.06,1487454,-1.65,-1.12%,145.06,215622814.83,13413
2017-11-07,146.83,147.77,145.45,146.71,1505522,0.09,0.06%,146.71,220425127.58,13061
2017-11-06,143.26,147.12,143.1708,146.62,1547876,3.77,2.64%,146.62,225768475.43,17363
2017-11-03,140.41,144.39,139.68,142.85,1796341,2.87,2.05%,142.85,256231188.58,16668
2017-11-02,139.81,140.50,138.23,139.98,1498995,-0.28,-0.20%,139.98,208875007.42,14847
2017-11-01,139.84,144.89,136.57,140.26,2521806,6.05,4.51%,140.26,352822392.32,23326
2017-10-31,132.73,134.88,132.235,134.21,1182623,1.41,1.06%,134.21,158351744.97,13333
2017-10-30,132.32,134.75,132.07,132.80,1332372,0.43,0.32%,132.80,177811141.67,12033
2017-10-27,129.31,133.67,129.13,132.37,1918848,2.25,1.73%,132.37,253300416.19,20134
2017-10-26,130.90,130.965,128.86,130.12,806593,-0.44,-0.34%,130.12,104846788.19,8614
2017-10-25,130.08,131.20,129.27,130.56,969300,-0.10,-0.08%,130.56,126158193.69,12064
2017-10-24,132.79,132.96,130.38,130.66,1227100,-1.04,-0.79%,130.66,161253408.56,12434
2017-10-23,134.26,134.375,131.62,131.70,962156,-2.41,-1.80%,131.70,127344099.33,9990
2017-10-20,132.72,134.59,131.89,134.11,853310,1.85,1.40%,134.11,114194478.69,8700
2017-10-19,132.08,133.40,131.74,132.26,685446,-0.80,-0.60%,132.26,90680253.98,8207
2017-10-18,133.59,135.00,132.80,133.06,598954,-0.36,-0.27%,133.06,79978916.99,7291
2017-10-17,133.29,134.14,131.84,133.42,854454,0.15,0.11%,133.42,113656553.97,11207
2017-10-16,134.32,134.89,132.38,133.27,1336678,-0.12,-0.09%,133.27,178110274.32,12814
2017-10-13,136.50,136.62,133.21,133.39,860788,-1.61,-1.19%,133.39,115444339.02,9788
2017-10-12,133.86,135.08,132.60,135.00,1058763,-0.67,-0.49%,135.00,142014788.55,11381
