date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,56.25,56.48,55.57,56.16,6337589,0.07,0.12%,56.16,355384086.72,40805
2018-03-09,54.94,56.09,54.58,56.09,6975883,1.45,2.65%,56.09,387951197.38,45552
2018-03-08,53.96,55.01,53.8601,54.64,6740693,1.11,2.07%,54.64,367837823.99,37869
2018-03-07,53.36,53.67,53.13,53.53,4554377,-0.31,-0.58%,53.53,243364797.34,29146
2018-03-06,53.92,54.1124,53.48,53.84,4690923,0.05,0.09%,53.84,252476321.27,31097
2018-03-05,52.91,54.085,52.58,53.79,5963984,0.53,1.00%,53.79,319521468.61,39966
2018-03-02,52.78,53.425,51.81,53.26,6860526,-0.09,-0.17%,53.26,362632441.55,52363
2018-03-01,53.87,54.96,53.01,53.35,7876803,-0.55,-1.02%,53.35,424398041.83,61100
2018-02-28,53.87,54.50,53.36,53.90,6328226,0.28,0.52%,53.90,341636925.11,40145
2018-02-27,54.59,55.01,53.53,53.62,5979226,-1.07,-1.96%,53.62,322907693.54,34890
2018-02-26,54.61,54.80,53.7501,54.69,7397721,1.23,2.30%,54.69,403118432.57,43387
2018-02-23,52.80,53.48,52.625,53.46,4270244,0.91,1.73%,53.46,226776393.48,27199
2018-02-22,53.26,53.445,52.45,52.55,4899788,-0.305,-0.58%,52.55,259185859.56,31527
2018-02-21,52.67,54.39,52.58,53.16,7604716,0.686,1.32%,52.855,407118972.97,48499
2018-02-20,52.53,53.21,52.30,52.47,6719442,-0.378,-0.72%,52.169,353593016.87,34903
2018-02-16,52.87,53.52,52.77,52.85,5556492,-0.099,-0.19%,52.5468,295043507.49,31424
2018-02-15,52.57,53.16,51.98,52.95,4877772,0.746,1.44%,52.6462,256847391.51,34356
2018-02-14,51.89,52.58,51.75,52.20,7797896,0.03,0.06%,51.9005,407306020.17,44404
2018-02-13,51.86,52.29,51.36,52.17,8220582,0.119,0.23%,51.8707,427160808.41,42975
2018-02-12,51.22,52.485,50.72,52.05,10610194,1.581,3.15%,51.7514,548074632.13,67713
2018-02-09,51.95,52.00,48.52,50.46,19053376,-0.766,-1.50%,50.1705,952830982.34,121458
2018-02-08,53.85,53.90,51.21,51.23,12197853,-2.605,-4.87%,50.9361,635703441.12,80051
2018-02-07,52.83,54.45,52.80,53.85,8995436,0.746,1.41%,53.5411,483833396.22,60285
2018-02-06,51.87,53.50,51.26,53.10,12240794,0.577,1.10%,52.7954,641990695.09,82771
2018-02-05,54.00,54.72,52.50,52.52,9476720,-2.088,-3.84%,52.2187,507950960.03,67097
2018-02-02,56.08,56.269,54.54,54.62,8963034,-1.79,-3.19%,54.3066,494475205.21,51076
2018-02-01,56.51,57.18,56.00,56.42,5492898,-0.348,-0.62%,56.0963,310211123.43,37138
2018-01-31,56.30,57.27,56.24,56.77,8609582,0.646,1.16%,56.4443,489965896.19,49429
2018-01-30,55.60,56.54,55.42,56.12,7026841,0.358,0.65%,55.798,394765229.07,39294
2018-01-29,55.00,56.20,55.00,55.76,8781660,0.497,0.90%,55.4401,489322007.48,49145
2018-01-26,55.31,55.90,54.83,55.26,9431541,0.447,0.82%,54.943,520821804.12,49164
2018-01-25,57.00,57.14,54.49,54.81,18385760,-1.979,-3.50%,54.4956,1015063928.35,98095
2018-01-24,56.44,57.14,55.56,56.80,21197903,-3.112,-5.22%,56.4741,1196214073.47,121305
2018-01-23,60.10,60.28,59.41,59.93,7427127,-0.199,-0.33%,59.5862,443933967.67,38868
2018-01-22,59.90,60.16,59.39,60.13,7055621,0.119,0.20%,59.785,422730152.04,38014
2018-01-19,59.69,60.02,59.08,60.01,6192397,0.557,0.94%,59.6657,369940397.88,31429
2018-01-18,59.80,60.05,59.23,59.45,5846637,-0.268,-0.45%,59.1089,348517879.56,32725
2018-01-17,59.63,60.1589,59.4701,59.72,6088132,0.368,0.62%,59.3774,364262593.34,38702
2018-01-16,60.20,60.79,58.90,59.35,12082914,-0.477,-0.80%,59.0095,722649144.88,51413
2018-01-12,59.11,60.50,58.91,59.83,12268422,1.302,2.24%,59.4868,733065192.76,72523
2018-01-11,57.10,59.20,56.26,58.52,25935290,2.645,4.76%,58.1843,1492903190.99,128187
2018-01-10,54.74,55.95,54.72,55.86,12318257,1.68,3.12%,55.5395,683391017.70,59063
2018-01-09,54.80,55.22,53.88,54.17,10374706,-0.507,-0.93%,53.8592,564210738.44,48698
2018-01-08,55.92,56.03,54.495,54.68,9654671,-1.283,-2.30%,54.3663,528846508.23,49468
2018-01-05,55.72,56.045,55.40,55.97,5191272,0.278,0.50%,55.6489,289597538.04,30564
2018-01-04,55.73,55.86,54.93,55.69,9026090,0.00,0.00%,55.3705,501313100.34,43472
2018-01-03,56.47,56.60,55.0736,55.69,9332031,-1.044,-1.85%,55.3705,518349481.64,53812
2018-01-02,56.29,56.74,55.87,56.74,5297601,0.736,1.32%,56.4145,299150087.83,28893
2017-12-29,56.53,56.69,55.99,56.00,3120196,-0.348,-0.62%,55.6787,175437697.27,17508
2017-12-28,56.18,56.51,55.99,56.35,3651781,0.229,0.41%,56.0267,205342851.89,22073
2017-12-27,56.37,56.49,55.92,56.12,3766412,-0.308,-0.55%,55.798,211177899.83,21197
2017-12-26,55.90,56.78,55.885,56.43,3276736,0.398,0.71%,56.1063,185126510.72,20368
2017-12-22,56.08,56.225,55.87,56.03,3891774,0.00,0.00%,55.7086,218082969.92,22418
2017-12-21,56.54,56.84,55.90,56.03,8245119,-0.189,-0.34%,55.7086,464549050.68,40236
2017-12-20,55.98,56.61,55.68,56.22,7234687,0.467,0.84%,55.8975,406579128.91,37662
