date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,167.96,168.05,162.80,164.03,2260882,-3.90,-2.32%,164.03,372266665.19,22607
2018-03-09,162.00,168.01,161.73,167.93,3828040,6.87,4.27%,167.93,637177671.43,34287
2018-03-08,157.69,161.35,155.72,161.06,3508011,3.16,2.00%,161.06,557455723.25,28484
2018-03-07,156.04,158.32,154.98,157.90,2589069,-0.61,-0.38%,157.90,405772242.92,20547
2018-03-06,158.60,159.57,157.46,158.51,2393992,0.97,0.62%,158.51,379404992.06,20684
2018-03-05,152.54,158.24,151.04,157.54,3093424,4.23,2.76%,157.54,481475266.99,30050
2018-03-02,155.55,156.26,151.775,153.31,4169468,-3.50,-2.23%,153.31,641026948.18,37073
2018-03-01,160.75,162.85,155.74,156.81,3697016,-4.06,-2.52%,156.81,586357348.04,38973
2018-02-28,163.92,164.92,160.87,160.87,2781390,-2.71,-1.66%,160.87,453420896.11,26803
2018-02-27,167.53,167.53,163.58,163.58,2281832,-3.88,-2.32%,163.58,376707649.44,23287
2018-02-26,167.05,168.31,165.63,167.46,1770001,1.22,0.73%,167.46,295907537.03,18200
2018-02-23,165.02,166.26,162.87,166.24,2038824,2.08,1.27%,166.24,336950291.35,19607
2018-02-22,163.00,165.80,162.76,164.16,1908817,2.07,1.28%,164.16,313985629.89,20993
2018-02-21,164.80,166.78,161.97,162.09,2753281,-2.68,-1.63%,162.09,452457806.50,28077
2018-02-20,169.04,169.96,163.645,164.77,3750423,-4.67,-2.76%,164.77,623166197.72,35201
2018-02-16,165.755,175.26,162.01,169.44,6626872,2.63,1.58%,169.44,1129123760.65,55235
2018-02-15,165.00,167.419,162.991,166.81,3026210,3.53,2.16%,166.81,499994059.76,29806
2018-02-14,159.96,164.88,159.76,163.28,2853962,1.98,1.23%,163.28,465440695.92,29942
2018-02-13,158.02,161.61,157.56,161.30,1795898,2.09,1.31%,161.30,287280367.41,19549
2018-02-12,156.74,160.36,155.91,159.21,2343108,4.28,2.76%,159.21,371289256.86,20354
2018-02-09,155.41,157.15,148.60,154.93,3895342,1.27,0.83%,154.93,596718485.59,34698
2018-02-08,161.20,161.22,153.61,153.66,3051313,-7.78,-4.82%,153.66,478500530.47,29464
2018-02-07,161.17,164.16,160.91,161.44,2378814,-0.44,-0.27%,161.44,386619109.89,27393
2018-02-06,153.95,162.26,151.45,161.88,3377384,4.86,3.10%,161.88,534345517.79,33908
2018-02-05,163.10,166.06,156.97,157.02,3549609,-7.94,-4.81%,157.02,572906473.75,34264
2018-02-02,166.66,167.93,164.72,164.96,2568696,-2.89,-1.72%,164.96,426808406.16,25644
2018-02-01,165.99,168.39,164.26,167.85,1721318,1.43,0.86%,167.85,287727536.85,16834
2018-01-31,169.42,170.575,166.16,166.42,1969831,-2.09,-1.24%,166.42,329410341.01,17425
2018-01-30,167.75,169.40,166.82,168.51,1712703,-0.67,-0.40%,168.51,288117389.80,14188
2018-01-29,171.49,171.95,168.76,169.18,1487645,-2.31,-1.35%,169.18,253217320.23,15925
2018-01-26,169.50,171.96,169.14,171.49,1554515,2.36,1.40%,171.49,266022740.45,15237
2018-01-25,171.00,171.40,166.9128,169.13,1651278,-0.47,-0.28%,169.13,278824639.46,15685
2018-01-24,169.71,170.43,168.06,169.60,1448670,0.94,0.56%,169.60,245502719.36,14230
2018-01-23,169.90,170.09,168.43,168.66,1365034,-1.72,-1.01%,168.66,230776822.31,12560
2018-01-22,170.00,170.40,168.715,170.38,1401045,0.06,0.04%,170.38,237803407.06,14644
2018-01-19,168.53,170.32,168.09,170.32,1613861,2.42,1.44%,170.32,273291668.78,13829
2018-01-18,166.96,168.45,166.26,167.90,2185930,0.47,0.28%,167.90,366993295.74,13874
2018-01-17,168.60,168.64,166.39,167.43,1960392,-0.11,-0.07%,167.43,327785293.79,16645
2018-01-16,170.15,170.61,166.36,167.54,2046074,-1.76,-1.04%,167.54,344769646.10,17839
2018-01-12,168.45,170.73,167.96,169.30,2317251,1.84,1.10%,169.30,393275652.87,20706
2018-01-11,165.13,167.55,163.77,167.46,1958155,2.52,1.53%,167.46,325584756.18,16998
2018-01-10,166.74,168.44,164.10,164.94,5473728,-0.66,-0.40%,164.94,908715803.14,36504
2018-01-09,162.01,165.98,161.52,165.60,4345247,4.49,2.79%,165.60,717251350.70,32453
2018-01-08,160.05,161.18,158.90,161.11,2711764,0.79,0.49%,161.11,435012006.98,16094
2018-01-05,159.80,160.47,156.59,160.32,1574438,0.68,0.43%,160.32,251643944.87,12868
2018-01-04,159.20,160.105,157.35,159.64,1747032,0.91,0.57%,159.64,278017013.84,14952
