date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,106.99,107.00,105.59,105.60,1024083,-1.39,-1.30%,105.60,108524292.65,8659
2018-03-09,105.21,107.52,104.16,106.99,1027865,2.35,2.25%,106.99,109565343.68,9132
2018-03-08,104.77,105.16,103.65,104.64,764623,0.28,0.27%,104.64,79751289.13,7615
2018-03-07,103.97,105.91,103.39,104.36,1416188,0.22,0.21%,104.36,148073783.49,12606
2018-03-06,103.58,104.17,102.77,104.14,877665,1.25,1.21%,104.14,90993324.89,9305
2018-03-05,101.00,103.08,100.54,102.89,472215,1.45,1.43%,102.89,48257009.41,5619
2018-03-02,100.14,101.86,100.14,101.44,850160,1.03,1.03%,101.44,86026376.90,9736
2018-03-01,103.03,103.59,100.06,100.41,1217950,-2.64,-2.56%,100.41,123464428.23,14653
2018-02-28,104.99,105.48,103.05,103.05,1648900,-1.74,-1.66%,103.05,171244507.74,13228
2018-02-27,104.10,106.00,103.9456,104.79,1535864,0.70,0.67%,104.79,161414986.01,13646
2018-02-26,102.74,104.09,102.61,104.09,1018289,1.49,1.45%,104.09,105481056.63,9088
2018-02-23,101.00,102.60,100.26,102.60,766595,1.75,1.74%,102.60,78179641.79,6818
2018-02-22,102.16,102.64,100.65,100.85,1052237,-1.06,-1.04%,100.85,106565304.28,8517
2018-02-21,102.40,103.50,101.87,101.91,839062,-0.35,-0.34%,101.91,86111962.27,8373
2018-02-20,104.00,104.355,102.02,102.26,1108295,-2.27,-2.17%,102.26,113820354.86,8790
2018-02-16,102.70,104.79,102.35,104.53,782955,1.44,1.40%,104.53,81590440.84,7626
2018-02-15,102.17,103.14,101.67,103.09,941391,1.58,1.56%,103.09,96673297.27,8444
2018-02-14,100.76,101.87,100.39,101.51,1201925,0.12,0.12%,101.51,121734400.30,10298
2018-02-13,99.87,101.88,99.22,101.39,1306178,2.32,2.34%,101.39,132217789.68,11763
2018-02-12,98.71,99.71,97.89,99.07,974006,0.73,0.74%,99.07,96431466.95,10727
2018-02-09,97.50,99.125,95.27,98.34,1516223,1.92,1.99%,98.34,147670781.78,15645
2018-02-08,100.50,100.70,96.39,96.42,1518572,-4.16,-4.14%,96.42,148880527.06,13369
2018-02-07,100.73,102.44,100.52,100.58,1431987,-0.55,-0.54%,100.58,145131863.83,14153
2018-02-06,97.49,101.71,95.68,101.13,1662928,1.03,1.03%,101.13,166387786.45,18101
2018-02-05,102.75,104.43,100.10,100.10,2169918,-3.01,-2.92%,100.10,222186084.61,18139
2018-02-02,103.30,104.45,102.815,103.11,1320905,-0.47,-0.45%,103.11,136874813.95,13774
2018-02-01,105.98,105.98,102.001,103.58,1814662,-2.24,-2.12%,103.58,188197761.28,16200
2018-01-31,107.47,107.47,105.105,105.82,1446735,-1.34,-1.25%,105.82,153704358.41,13148
2018-01-30,106.92,108.30,105.825,107.16,1102717,-0.72,-0.67%,107.16,118400641.91,10879
2018-01-29,107.00,108.81,106.62,107.88,1221682,1.26,1.18%,107.88,131631848.44,10312
2018-01-26,105.60,106.64,104.71,106.62,732501,1.47,1.40%,106.62,77721621.59,7323
2018-01-25,104.76,105.22,103.76,105.15,1064019,0.53,0.51%,105.15,111398319.36,10652
2018-01-24,103.74,105.16,103.45,104.62,890897,1.50,1.45%,104.62,93152156.47,9400
2018-01-23,103.08,103.37,102.14,103.12,896665,-0.45,-0.43%,103.12,92377849.97,5966
2018-01-22,103.23,103.58,102.91,103.57,589546,0.51,0.49%,103.57,60927354.74,5673
2018-01-19,102.14,103.59,102.14,103.06,876549,1.49,1.47%,103.06,90293296.71,7445
2018-01-18,101.49,102.085,101.11,101.57,579374,0.08,0.08%,101.57,58891883.90,6610
2018-01-17,101.68,101.74,101.02,101.49,520500,0.27,0.27%,101.49,52773925.97,5819
2018-01-16,101.87,102.25,101.19,101.22,580411,-0.41,-0.40%,101.22,58896449.37,5581
2018-01-12,101.40,101.66,100.70,101.63,588136,0.61,0.60%,101.63,59671030.54,5659
2018-01-11,100.69,101.11,100.67,101.02,780048,0.65,0.65%,101.02,78713138.97,6537
2018-01-10,100.58,101.10,100.10,100.37,1198705,-0.77,-0.76%,100.37,120469863.29,11768
2018-01-09,99.86,101.43,99.61,101.14,1083971,1.45,1.45%,101.14,108993457.49,10726
2018-01-08,99.46,99.84,98.80,99.69,554682,0.23,0.23%,99.69,55147696.97,5829
2018-01-05,99.58,100.08,99.00,99.91,877410,0.826,0.84%,99.46,87407947.45,7927
2018-01-04,99.59,99.59,98.60,99.08,933452,-0.169,-0.17%,98.6337,92472541.86,9387
2018-01-03,98.72,99.44,98.00,99.25,855149,0.348,0.35%,98.803,84648464.74,8445
2018-01-02,98.77,99.095,98.35,98.90,874804,0.408,0.42%,98.4546,86357726.41,8768
2017-12-29,99.54,99.74,98.49,98.49,459969,-0.637,-0.65%,98.0464,45461755.97,4121
2017-12-28,99.34,99.35,98.65,99.13,842375,-0.07,-0.07%,98.6835,83407401.77,4862
2017-12-27,99.34,99.48,98.80,99.20,421592,-0.07,-0.07%,98.7532,41790119.81,5171
2017-12-26,99.23,100.01,99.07,99.27,365585,0.03,0.03%,98.8229,36338868.60,3687
2017-12-22,99.32,99.42,98.93,99.24,464987,0.09,0.09%,98.793,46109866.25,4972
2017-12-21,99.58,99.93,98.46,99.15,1484525,0.11,0.11%,98.7034,147121192.83,8598
2017-12-20,99.58,99.95,98.43,99.04,928872,-0.438,-0.44%,98.5939,92087164.40,9075
2017-12-19,99.22,100.15,98.235,99.48,897268,0.747,0.76%,99.0319,89398525.53,8803
2017-12-18,99.21,99.70,98.59,98.73,1023733,-0.259,-0.26%,98.2853,101202897.80,10064
2017-12-15,97.915,99.67,97.47,98.99,1644801,1.862,1.93%,98.5441,162421802.61,9234
2017-12-14,97.03,98.35,96.955,97.12,1395544,-0.02,-0.02%,96.6826,136063799.76,12343
2017-12-13,96.96,97.69,96.53,97.14,1126441,0.129,0.13%,96.7025,109528758.45,9714
2017-12-12,97.57,98.16,97.01,97.01,1199840,-0.09,-0.09%,96.5731,116725586.11,10616
2017-12-11,96.77,97.24,96.26,97.10,700384,0.01,0.01%,96.6627,67889532.94,7470
2017-12-08,96.73,97.425,96.26,97.09,764412,0.468,0.49%,96.6527,74113901.04,7631
2017-12-07,97.23,97.62,96.51,96.62,1177434,-0.767,-0.79%,96.1848,114067440.46,11044
2017-12-06,98.04,98.09,97.37,97.39,1026257,-0.478,-0.49%,96.9514,100173974.08,10127
2017-12-05,100.11,100.385,97.86,97.87,1884468,-2.359,-2.36%,97.4292,185372505.29,15246
2017-12-04,99.63,102.62,99.61,100.24,2135807,1.025,1.04%,99.7885,215739695.46,20415
2017-12-01,98.35,99.25,97.0732,99.21,2595827,0.747,0.76%,98.7632,255646037.50,25824
2017-11-30,97.31,99.44,97.31,98.46,3487600,1.125,1.16%,98.0165,343428753.50,27051
2017-11-29,93.28,97.43,93.27,97.33,2134025,3.962,4.26%,96.8916,205958792.46,20368
2017-11-28,92.73,93.52,92.35,93.35,899726,0.846,0.92%,92.9296,83713386.16,9334
2017-11-27,91.73,92.66,91.48,92.50,981800,0.876,0.96%,92.0834,90605493.51,10167
2017-11-24,92.37,92.51,91.08,91.62,634803,-0.896,-0.97%,91.2073,58118693.56,5661
2017-11-22,92.53,93.66,92.21,92.52,1476451,0.06,0.06%,92.1033,136949984.25,14356
2017-11-21,91.81,93.52,91.80,92.46,1328456,0.05,0.05%,92.0436,123031877.06,12884
2017-11-20,92.25,92.75,90.31,92.41,2092776,-0.627,-0.68%,91.9938,192281186.68,17579
2017-11-17,92.63,93.715,92.02,93.04,2013414,0.10,0.11%,92.6209,187453484.32,11490
2017-11-16,92.17,93.38,92.17,92.94,850664,1.085,1.19%,92.5214,79102584.39,8658
2017-11-15,92.14,92.405,91.44,91.85,737334,-0.567,-0.62%,91.4363,67836258.71,7141
2017-11-14,91.64,92.62,91.42,92.42,1359814,0.418,0.46%,92.0037,125410877.71,12586
2017-11-13,92.00,92.43,91.855,92.00,1058589,-0.05,-0.05%,91.5856,97573637.24,10024
2017-11-10,92.80,93.07,92.04,92.05,1056006,-0.966,-1.04%,91.6354,97477227.38,9621
2017-11-09,92.94,93.92,92.16,93.02,1843558,-0.129,-0.14%,92.601,171581360.76,18079
2017-11-08,92.38,93.76,91.76,93.15,928958,0.488,0.53%,92.7305,86382029.18,9879
2017-11-07,93.40,93.92,92.4269,92.66,904416,-0.488,-0.53%,92.2427,84031227.82,9778
2017-11-06,93.83,94.57,93.14,93.15,1165931,-0.936,-1.00%,92.7305,109081187.29,9087
2017-11-03,93.86,94.42,93.70,94.09,658399,0.338,0.36%,93.6662,61908848.45,6795
2017-11-02,93.20,94.70,93.08,93.75,1263277,0.647,0.70%,93.3277,118620923.28,11454
2017-11-01,93.91,94.49,93.00,93.10,1371905,-0.677,-0.73%,92.6807,128149440.26,13147
2017-10-31,93.35,94.27,93.07,93.78,1217600,0.00,0.00%,93.3576,114018340.91,12277
2017-10-30,95.43,95.43,92.70,93.78,1398597,-1.891,-1.99%,93.3576,130963901.40,12603
2017-10-27,95.12,95.84,94.45,95.68,887486,0.876,0.93%,95.2491,84717059.06,8779
2017-10-26,94.89,95.75,94.16,94.80,1216616,0.528,0.56%,94.373,115593095.06,11829
2017-10-25,94.86,94.95,93.67,94.27,1276669,-0.995,-1.05%,93.8454,120332194.03,13522
2017-10-24,95.10,95.49,94.45,95.27,1125373,0.07,0.07%,94.8409,106922721.82,10698
2017-10-23,95.19,96.00,94.94,95.20,1418182,0.119,0.13%,94.7712,135290922.33,14909
2017-10-20,93.61,95.29,93.55,95.08,1807088,1.842,1.98%,94.6518,171591076.06,13534
2017-10-19,92.89,94.11,90.10,93.23,2452929,1.175,1.28%,92.8101,228151572.14,21568
2017-10-18,92.18,93.09,91.60,92.05,1916273,-0.129,-0.14%,91.6354,177109481.61,18608
2017-10-17,91.50,92.28,90.79,92.18,1393009,0.647,0.71%,91.7648,127944452.63,12891
2017-10-16,90.93,91.56,90.69,91.53,1064424,0.468,0.52%,91.1177,97125273.20,10244
2017-10-13,91.16,91.61,90.59,91.06,785808,-0.458,-0.50%,90.6499,71655980.16,8123
2017-10-12,91.44,92.04,90.94,91.52,1615029,0.07,0.08%,91.1078,147814443.93,15192
2017-10-11,91.06,91.93,90.83,91.45,1318298,0.587,0.65%,91.0381,120567872.85,10137
2017-10-10,90.67,90.9273,90.18,90.86,1840671,-0.199,-0.22%,90.4508,166720336.71,17598
2017-10-09,92.51,92.58,90.93,91.06,965066,-1.354,-1.47%,90.6499,88261494.93,9184
2017-10-06,92.48,92.77,91.941,92.42,1160643,-0.02,-0.02%,92.0037,107248674.39,7556
2017-10-05,93.12,93.405,92.12,92.44,1072640,-0.518,-0.56%,92.0237,99364418.29,9563
2017-10-04,92.84,93.34,92.53,92.96,1432062,0.07,0.08%,92.5413,133169844.08,10527
2017-10-03,93.21,94.0435,92.42,92.89,1581794,-0.677,-0.73%,92.4716,146884777.10,13958
2017-10-02,93.49,93.99,93.00,93.57,1534963,0.378,0.41%,93.1486,143673641.97,12290
