date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,43.88,44.50,43.76,44.34,2671780,0.54,1.23%,44.34,118369640.73,19692
2018-03-09,43.84,43.89,43.02,43.80,2777549,0.21,0.48%,43.80,121275060.96,20050
2018-03-08,43.58,43.60,42.71,43.59,4176311,0.14,0.32%,43.59,180748915.03,25321
2018-03-07,43.43,43.82,43.03,43.45,3937157,0.01,0.02%,43.45,170862042.53,28597
2018-03-06,42.50,43.48,42.00,43.44,5429257,1.22,2.89%,43.44,233759461.63,36556
2018-03-05,41.81,42.62,41.74,42.22,4592941,0.17,0.40%,42.22,193820470.52,28790
2018-03-02,41.84,42.165,41.34,42.05,4976449,-0.23,-0.54%,42.05,208242126.02,34833
2018-03-01,42.14,42.50,41.43,42.28,9601404,0.38,0.91%,42.28,403642928.15,65407
2018-02-28,43.41,43.64,41.90,41.90,9253679,-1.45,-3.34%,41.90,392620237.66,49125
2018-02-27,44.45,45.18,43.34,43.35,4954136,-0.95,-2.14%,43.35,217414661.12,31198
2018-02-26,44.77,44.84,43.71,44.30,4796021,-0.17,-0.38%,44.30,211991840.20,25584
2018-02-23,44.31,44.49,43.51,44.47,3901176,0.21,0.47%,44.47,172485776.42,27523
2018-02-22,44.93,45.07,44.16,44.26,3527249,-0.545,-1.22%,44.26,157093773.00,29033
2018-02-21,45.22,46.47,44.90,44.93,5067173,-0.229,-0.51%,44.805,232126364.11,36751
2018-02-20,45.56,45.8399,44.931,45.16,5088365,-0.409,-0.90%,45.0344,230546730.06,30032
2018-02-16,45.17,46.06,45.14,45.57,6271724,0.459,1.02%,45.4432,285616575.05,30113
2018-02-15,45.90,45.90,44.63,45.11,7143523,-0.309,-0.68%,44.9845,321435075.67,36514
2018-02-14,44.57,45.74,44.48,45.42,5377609,0.568,1.27%,45.2936,243572830.51,39650
2018-02-13,44.77,45.1435,44.365,44.85,5843051,0.01,0.02%,44.7252,261573783.99,29853
2018-02-12,44.66,45.20,44.10,44.84,7880094,0.758,1.72%,44.7153,352660872.74,47508
2018-02-09,45.02,45.34,43.61,44.08,9567441,-0.469,-1.05%,43.9574,422317714.35,72797
2018-02-08,46.29,46.50,44.54,44.55,6733809,-1.735,-3.76%,44.4261,304829998.36,49391
2018-02-07,46.00,47.43,45.87,46.29,8491098,0.179,0.39%,46.1612,397842856.69,52139
2018-02-06,43.94,46.31,43.41,46.11,8093179,1.366,3.06%,45.9817,368001923.55,65448
2018-02-05,45.74,46.87,44.40,44.74,7225446,-1.625,-3.52%,44.6155,329702520.06,53420
2018-02-02,47.59,47.70,46.18,46.37,7556650,-1.705,-3.56%,46.241,353582870.10,50778
2018-02-01,48.46,49.28,47.8084,48.08,6072737,-0.967,-1.98%,47.9462,294644553.60,44343
2018-01-31,50.51,51.24,48.38,49.05,10727141,0.519,1.07%,48.9135,529231707.50,66960
2018-01-30,47.79,48.72,47.14,48.53,8820264,0.209,0.43%,48.395,424825413.58,58323
2018-01-29,50.07,50.25,48.18,48.32,9399871,-2.024,-4.03%,48.1856,458379304.39,63015
2018-01-26,50.68,51.0062,50.04,50.35,4982575,0.00,0.00%,50.2099,251317062.06,34316
2018-01-25,51.91,51.95,49.825,50.35,7394248,-1.496,-2.89%,50.2099,373328971.06,43729
2018-01-24,52.40,52.735,51.41,51.85,3310692,-0.529,-1.01%,51.7058,172339396.34,24501
2018-01-23,52.52,52.63,51.77,52.38,3872346,0.01,0.02%,52.2343,202490494.31,26596
2018-01-22,51.73,52.41,51.13,52.37,4770812,0.888,1.73%,52.2243,247702882.43,26937
2018-01-19,51.21,51.52,50.69,51.48,3502880,0.538,1.06%,51.3368,179344972.46,22231
2018-01-18,52.26,52.45,50.845,50.94,3931911,-1.157,-2.23%,50.7983,201783175.76,24648
2018-01-17,51.22,52.16,51.04,52.10,2935848,1.266,2.50%,51.9551,151979614.78,22419
2018-01-16,52.00,52.06,50.81,50.83,2336120,-1.077,-2.08%,50.6886,119744803.92,18051
2018-01-12,52.24,52.37,51.705,51.91,1781051,-0.13,-0.25%,51.7656,92543121.43,15069
2018-01-11,51.45,52.29,51.31,52.04,4170686,1.067,2.10%,51.8952,216378768.13,26228
2018-01-10,52.59,52.59,50.84,50.97,4583909,-1.855,-3.52%,50.8282,234781694.88,32648
2018-01-09,53.00,53.24,52.35,52.83,3473976,-0.04,-0.08%,52.683,183310113.91,25946
2018-01-08,52.66,53.19,52.52,52.87,3389052,0.379,0.72%,52.7229,179462673.44,21428
2018-01-05,52.40,52.51,51.935,52.49,2732525,0.419,0.81%,52.344,142875602.99,20119
2018-01-04,53.08,53.32,51.68,52.07,3086981,-0.788,-1.49%,51.9251,160808600.96,23446
2018-01-03,51.28,52.98,51.28,52.86,4104524,1.795,3.53%,52.7129,215900265.04,29994
2018-01-02,51.37,51.47,50.40,51.06,3356414,-0.01,-0.02%,50.918,170768299.42,22811
2017-12-29,51.52,51.83,51.00,51.07,1926763,-0.269,-0.53%,50.9279,98652675.98,12974
2017-12-28,51.09,51.38,50.99,51.34,1453416,0.319,0.63%,51.1972,74490664.32,10373
2017-12-27,51.01,51.32,50.88,51.02,2596427,0.05,0.10%,50.8781,132598651.89,9493
2017-12-26,50.86,51.05,50.79,50.97,1178247,0.14,0.28%,50.8282,60020746.98,9002
2017-12-22,50.92,51.30,50.80,50.83,2360761,-0.10,-0.20%,50.6886,120364872.70,13333
2017-12-21,50.84,51.215,50.74,50.93,2735604,0.15,0.30%,50.7883,139416611.00,18456
2017-12-20,51.02,51.25,50.54,50.78,3941387,-0.02,-0.04%,50.6387,200070830.50,25010
2017-12-19,51.655,51.79,50.76,50.80,3101632,-0.648,-1.26%,50.6587,158479292.08,24662
2017-12-18,51.14,51.62,51.06,51.45,2893561,0.868,1.72%,51.3069,148762406.84,23288
2017-12-15,50.50,50.81,50.33,50.58,6087764,0.239,0.48%,50.4393,307839901.31,25531
2017-12-14,49.94,50.855,49.85,50.34,3708325,0.529,1.06%,50.20,186747961.42,23695
2017-12-13,50.21,50.34,49.79,49.81,3685498,-0.189,-0.38%,49.6714,184306661.62,28147
2017-12-12,49.96,50.88,49.85,50.00,3755373,-0.469,-0.93%,49.8609,188983531.94,28906
2017-12-11,50.81,50.9793,50.25,50.47,3459633,-0.309,-0.61%,50.3296,174544411.20,24791
2017-12-08,49.85,50.94,49.85,50.78,3109046,0.618,1.24%,50.6387,157132145.54,22615
2017-12-07,49.65,50.76,49.41,50.16,3927817,0.449,0.91%,50.0205,197492166.68,25959
2017-12-06,50.02,50.56,49.62,49.71,4999094,-0.529,-1.05%,49.5717,249641616.74,31773
2017-12-05,49.65,50.80,49.25,50.24,4400305,-0.339,-0.67%,50.1002,220629132.15,32024
2017-12-04,51.37,51.47,50.53,50.58,4122321,0.15,0.30%,50.4393,209681973.09,31587
2017-12-01,50.95,51.21,49.17,50.43,4203722,-0.568,-1.12%,50.2897,211927205.99,32068
2017-11-30,50.73,51.53,50.54,51.00,4194176,0.464,0.92%,50.8581,213855816.69,27492
2017-11-29,50.11,50.95,49.79,50.66,4073728,0.547,1.10%,50.3944,205769134.18,30092
2017-11-28,49.54,50.14,49.26,50.11,5216533,0.637,1.29%,49.8473,260153393.82,29668
2017-11-27,50.00,50.00,49.39,49.47,3753922,-0.527,-1.06%,49.2107,186005588.80,26181
2017-11-24,49.62,50.06,49.56,50.00,1366385,0.418,0.85%,49.7379,68156943.96,10923
2017-11-22,49.30,49.67,49.00,49.58,4039843,0.229,0.47%,49.3201,199844924.97,21090
2017-11-21,48.74,49.54,48.63,49.35,5487142,1.144,2.39%,49.0913,270127616.43,36253
2017-11-20,48.21,48.565,47.99,48.20,4630801,0.07,0.15%,47.9473,223480187.17,23675
2017-11-17,47.43,48.31,47.41,48.13,3078630,0.607,1.28%,47.8777,147902474.18,21804
2017-11-16,47.58,47.90,47.38,47.52,4211120,-0.01,-0.02%,47.2709,200632032.50,22395
2017-11-15,47.47,47.795,46.93,47.53,3473699,-0.109,-0.23%,47.2808,165171608.49,26217
2017-11-14,46.86,47.91,46.57,47.64,4560770,0.547,1.17%,47.3903,216645308.87,33303
2017-11-13,45.92,47.29,45.81,47.09,5762336,1.084,2.37%,46.8431,269309618.62,39422
2017-11-10,46.80,46.80,45.53,46.00,8271843,0.01,0.02%,45.7589,380355462.96,52023
2017-11-09,44.60,46.78,44.31,45.99,9899654,0.577,1.28%,45.7489,454237902.06,47011
2017-11-08,44.74,45.775,44.625,45.41,5728864,0.458,1.02%,45.172,260094951.40,34904
