date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,104.715,105.94,104.715,105.17,6485284,0.44,0.42%,105.17,682501008.98,43111
2018-03-09,104.43,104.75,103.6425,104.73,5618412,0.70,0.67%,104.73,586012355.67,44738
2018-03-08,103.99,104.585,103.47,104.03,6626981,0.44,0.42%,104.03,689514456.95,42303
2018-03-07,103.72,104.24,102.77,103.59,6214836,-1.35,-1.29%,103.59,642976497.85,47361
2018-03-06,104.00,104.95,103.51,104.94,6216200,1.53,1.48%,104.94,649104244.52,46467
2018-03-05,102.71,103.97,102.42,103.41,5736713,0.42,0.41%,103.41,592975867.02,44789
2018-03-02,102.00,103.17,101.44,102.99,7835408,0.42,0.41%,102.99,801553940.70,55773
2018-03-01,103.20,104.03,101.33,102.57,10487306,-0.59,-0.57%,102.57,1075994334.05,81849
2018-02-28,105.45,105.572,103.14,103.16,10760757,-1.71,-1.63%,103.16,1120648703.19,64045
2018-02-27,108.00,108.16,104.85,104.87,14179597,-4.94,-4.50%,104.87,1499999714.55,101478
2018-02-26,108.00,109.81,107.67,109.81,8138181,2.56,2.39%,109.81,888470106.33,52036
2018-02-23,105.75,107.36,105.43,107.25,6101126,2.01,1.91%,107.25,649673661.54,44158
2018-02-22,105.31,106.01,104.93,105.24,4462165,0.19,0.18%,105.24,470485273.92,35889
2018-02-21,106.00,106.91,105.02,105.05,6743262,-0.93,-0.88%,105.05,714890872.48,39715
2018-02-20,106.37,107.565,105.52,105.98,6734505,-0.55,-0.52%,105.98,717091722.15,50657
2018-02-16,105.19,107.345,105.19,106.53,8746390,1.35,1.28%,106.53,931435432.74,55494
2018-02-15,105.36,105.57,103.93,105.18,6494683,0.58,0.55%,105.18,681287921.24,49670
2018-02-14,103.49,104.76,102.6901,104.60,7425685,0.48,0.46%,104.60,772877079.36,54445
2018-02-13,102.64,104.31,102.40,104.12,8447868,0.73,0.71%,104.12,874978027.20,53193
2018-02-12,103.93,104.64,102.10,103.39,9584727,0.30,0.29%,103.39,990298632.65,72306
2018-02-09,102.55,103.75,100.26,103.09,12479727,1.74,1.72%,103.09,1270804610.14,108755
2018-02-08,105.47,105.8249,101.19,101.35,12667500,-3.41,-3.26%,101.35,1306540188.27,96882
2018-02-07,107.83,108.03,104.41,104.76,12444982,-1.41,-1.33%,104.76,1320197914.26,98445
2018-02-06,102.88,106.20,101.76,106.17,17765068,1.47,1.40%,106.17,1852733846.61,142027
2018-02-05,107.10,108.63,104.01,104.70,15107942,-4.00,-3.68%,104.70,1609637955.86,113263
2018-02-02,109.95,110.58,108.45,108.70,9947657,-1.79,-1.62%,108.70,1087765748.43,67276
2018-02-01,108.62,110.65,107.36,110.49,9518857,1.82,1.67%,110.49,1046490259.57,64265
2018-01-31,110.08,110.12,108.47,108.67,9841413,-1.44,-1.31%,108.67,1073978973.18,59095
2018-01-30,111.42,112.42,110.10,110.11,8393878,-1.43,-1.28%,110.11,931388857.85,53840
2018-01-29,112.10,112.45,111.24,111.54,6847766,-0.65,-0.58%,111.54,765381550.87,44578
2018-01-26,110.81,112.5324,110.67,112.19,7743825,1.64,1.48%,112.19,866201513.14,46142
2018-01-25,110.60,111.82,110.12,110.55,6291011,0.05,0.05%,110.55,696492051.79,45969
2018-01-24,110.96,111.43,110.29,110.50,7211784,0.09,0.08%,110.50,798938891.25,51982
2018-01-23,110.27,111.14,109.89,110.41,7477282,-0.69,-0.62%,110.41,825596293.22,53569
2018-01-22,110.27,111.555,110.06,111.10,8073624,0.51,0.46%,111.10,896515853.22,52491
2018-01-19,110.97,111.09,109.84,110.59,10514262,0.17,0.15%,110.59,1160646271.83,61414
2018-01-18,111.74,111.99,110.20,110.42,8070928,-1.55,-1.38%,110.42,896025492.04,54983
2018-01-17,111.20,112.21,110.565,111.97,7030711,1.28,1.16%,111.97,783871932.86,45555
2018-01-16,113.07,113.16,110.62,110.69,8069201,-1.78,-1.58%,110.69,899761349.17,61820
2018-01-12,111.32,112.72,111.00,112.47,5899861,1.48,1.33%,112.47,660458346.68,43480
2018-01-11,110.25,111.08,109.51,110.99,6426959,1.52,1.39%,110.99,709171607.95,45403
2018-01-10,109.96,110.50,109.01,109.47,6059991,-0.47,-0.43%,109.47,665508750.96,46777
2018-01-09,110.13,110.86,109.86,109.94,5838021,-0.08,-0.07%,109.94,643589062.89,45233
2018-01-08,110.89,111.28,109.54,110.02,8052594,-1.60,-1.43%,110.02,886561618.11,48792
2018-01-05,112.68,112.68,111.24,111.62,6008285,-0.61,-0.54%,111.62,670549450.26,40430
