date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,93.06,94.955,92.695,94.29,5354959,1.59,1.72%,94.29,503247742.50,35832
2018-03-09,91.89,92.75,91.08,92.70,4464309,1.38,1.51%,92.70,410858093.92,38505
2018-03-08,91.00,93.78,90.72,91.32,11477534,2.07,2.32%,91.32,1056318922.35,79856
2018-03-07,90.25,90.84,86.85,89.25,22028282,-15.11,-14.48%,89.25,1949263884.06,149331
2018-03-06,102.95,104.73,101.17,104.36,4489755,1.72,1.68%,104.36,464362451.60,38095
2018-03-05,103.48,103.85,100.2439,102.64,3121900,-1.77,-1.70%,102.64,319312012.32,28277
2018-03-02,103.38,105.59,102.12,104.41,2334426,0.32,0.31%,104.41,243545617.55,25090
2018-03-01,102.94,105.40,102.07,104.09,2790804,1.45,1.41%,104.09,290297877.60,28799
2018-02-28,104.57,105.11,102.61,102.64,3570812,-1.29,-1.24%,102.64,369833855.14,29516
2018-02-27,106.32,107.41,103.09,103.93,2959335,-2.29,-2.16%,103.93,309848313.89,31567
2018-02-26,107.50,108.83,106.01,106.22,2825535,-0.39,-0.37%,106.22,301611213.68,25090
2018-02-23,107.67,107.70,104.46,106.61,2557745,-0.39,-0.36%,106.61,271072071.03,25651
2018-02-22,106.50,107.845,106.11,107.00,1825679,1.31,1.24%,107.00,195485431.52,15065
2018-02-21,106.81,108.26,105.57,105.69,1532838,-1.12,-1.05%,105.69,163674186.84,16771
2018-02-20,105.71,109.23,104.59,106.81,2430693,-1.15,-1.07%,106.81,260209569.90,24555
2018-02-16,108.25,109.57,107.56,107.96,2116775,-0.61,-0.56%,107.96,229585270.44,19373
2018-02-15,106.02,108.58,105.27,108.57,1975941,2.70,2.55%,108.57,211997680.42,18081
2018-02-14,103.79,107.77,103.2125,105.87,2641963,1.03,0.98%,105.87,280634009.91,24081
2018-02-13,103.73,106.82,103.72,104.84,2483182,0.10,0.10%,104.84,261798116.24,22944
2018-02-12,108.17,108.692,103.6825,104.74,5204155,-2.88,-2.68%,104.74,548536333.69,36576
2018-02-09,102.33,108.91,101.54,107.62,4168825,6.04,5.95%,107.62,437437875.51,41769
2018-02-08,105.74,106.35,101.54,101.58,3005255,-4.50,-4.24%,101.58,312894588.63,29707
2018-02-07,107.07,108.7599,106.06,106.08,2124663,-1.77,-1.64%,106.08,227839851.55,22013
2018-02-06,103.03,108.485,101.071,107.85,2850463,2.61,2.48%,107.85,302800331.83,28282
2018-02-05,108.39,110.44,105.24,105.24,2024747,-3.59,-3.30%,105.24,218193497.35,22758
2018-02-02,112.53,112.89,108.67,108.83,2159934,-5.04,-4.43%,108.83,238145361.27,23131
2018-02-01,113.60,114.89,111.7445,113.87,1436657,-1.13,-0.98%,113.87,163633025.59,15016
2018-01-31,114.77,116.65,113.74,115.00,1802799,0.40,0.35%,115.00,207602660.13,16423
2018-01-30,115.99,116.46,114.34,114.60,1921055,-1.75,-1.50%,114.60,221085150.65,15676
2018-01-29,115.03,116.58,114.54,116.35,1806100,0.92,0.80%,116.35,209470704.99,14709
2018-01-26,115.00,115.50,113.83,115.43,1632284,0.36,0.31%,115.43,187138207.03,14405
2018-01-25,114.68,115.52,113.06,115.07,1562625,0.73,0.64%,115.07,179094232.64,14039
2018-01-24,114.41,115.485,112.72,114.34,1728817,-0.36,-0.31%,114.34,197578801.69,15592
2018-01-23,115.10,116.2799,113.86,114.70,2060136,-0.32,-0.28%,114.70,236715238.21,14915
2018-01-22,114.28,115.04,113.43,115.02,1784611,0.29,0.25%,115.02,204361102.34,14421
2018-01-19,113.10,115.00,112.34,114.73,1908248,1.83,1.62%,114.73,217803419.40,15927
2018-01-18,113.07,113.33,111.57,112.90,1566449,0.10,0.09%,112.90,176363266.03,14884
2018-01-17,114.49,114.79,112.57,112.80,2230787,-0.08,-0.07%,112.80,252887615.83,22198
2018-01-16,115.49,115.89,112.55,112.88,2022778,-1.96,-1.71%,112.88,229852954.96,16987
2018-01-12,112.10,115.05,111.64,114.84,2400068,3.49,3.13%,114.84,274762280.71,19324
2018-01-11,109.66,111.69,109.18,111.35,2063706,1.72,1.57%,111.35,228151535.09,19467
2018-01-10,109.16,109.94,108.78,109.63,1048811,-0.06,-0.05%,109.63,114873555.56,10380
2018-01-09,109.50,109.815,108.66,109.69,1584757,0.59,0.54%,109.69,173395245.81,14080
2018-01-08,110.76,111.63,109.05,109.10,1801721,-2.04,-1.84%,109.10,197299542.70,18446
2018-01-05,109.59,111.23,109.29,111.14,2055498,2.28,2.09%,111.14,227200457.04,20092
2018-01-04,108.10,109.76,106.50,108.86,1825534,0.84,0.78%,108.86,197955125.49,18824
2018-01-03,109.06,109.48,107.58,108.02,1519844,-0.67,-0.62%,108.02,164301946.82,16945
2018-01-02,107.99,109.21,107.99,108.69,1412062,1.38,1.29%,108.69,153527135.68,15288
2017-12-29,107.86,108.70,107.27,107.31,1370891,-0.76,-0.70%,107.31,147820564.98,12229
2017-12-28,108.00,108.41,107.45,108.07,1259931,0.58,0.54%,108.07,136125029.17,12933
2017-12-27,108.50,108.77,107.12,107.49,1768947,-1.01,-0.93%,107.49,190268641.59,16739
2017-12-26,109.58,110.69,108.20,108.50,1180612,-0.96,-0.88%,108.50,128730450.86,13868
2017-12-22,108.45,109.74,107.79,109.46,1447533,0.99,0.91%,109.46,158173346.60,13465
2017-12-21,109.32,109.63,108.32,108.47,2052918,-0.45,-0.41%,108.47,223151242.26,13196
2017-12-20,109.63,110.75,108.31,108.92,1607848,-0.25,-0.23%,108.92,175336549.54,15892
2017-12-19,109.52,110.855,108.51,109.17,1814736,0.07,0.06%,109.17,198257015.31,17421
2017-12-18,107.06,109.50,106.45,109.10,2483573,2.81,2.64%,109.10,270492891.92,24808
2017-12-15,105.21,107.27,104.26,106.29,3283771,1.64,1.57%,106.29,348516040.65,19497
2017-12-14,106.15,106.78,104.00,104.65,1969732,-0.94,-0.89%,104.65,206800709.02,20883
2017-12-13,106.00,106.55,105.25,105.59,2185153,-0.63,-0.59%,105.59,230844901.25,22111
