date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,100.36,101.76,100.28,100.91,1537614,0.38,0.38%,100.91,155450970.24,16618
2018-03-09,100.37,100.59,99.59,100.53,1466819,0.13,0.13%,100.53,146913188.02,14009
2018-03-08,100.16,100.81,99.86,100.40,860295,0.48,0.48%,100.40,86384453.42,10058
2018-03-07,100.88,101.455,99.52,99.92,1125535,-1.28,-1.26%,99.92,112580135.79,11062
2018-03-06,102.43,102.50,100.68,101.20,824643,-1.37,-1.34%,101.20,83518347.96,9151
2018-03-05,100.67,102.72,100.22,102.57,1063160,1.78,1.77%,102.57,108561990.35,12325
2018-03-02,100.71,101.91,99.82,100.79,876094,0.06,0.06%,100.79,88118842.53,9930
2018-03-01,100.85,102.06,100.06,100.73,1039571,-0.05,-0.05%,100.73,104877849.07,12568
2018-02-28,102.20,102.36,100.72,100.78,2176531,-1.25,-1.23%,100.78,220619119.74,17080
2018-02-27,104.02,104.69,102.01,102.03,2119624,-1.73,-1.67%,102.03,217998815.72,14180
2018-02-26,104.95,105.065,103.58,103.76,924565,-0.94,-0.90%,103.76,96174504.09,9907
2018-02-23,101.94,104.70,101.87,104.70,1053904,2.84,2.79%,104.70,109533720.29,10872
2018-02-22,102.32,102.93,101.49,101.86,1027054,-0.04,-0.04%,101.86,104943275.69,11616
2018-02-21,103.20,104.12,101.88,101.90,978278,-1.30,-1.26%,101.90,100747628.19,11355
2018-02-20,105.05,105.70,102.89,103.20,1398798,-2.02,-1.92%,103.20,144773787.15,12622
2018-02-16,102.73,105.56,102.53,105.22,1716854,2.07,2.01%,105.22,179583355.90,15944
2018-02-15,101.53,103.23,101.40,103.15,987439,1.92,1.90%,103.15,101371862.26,11470
2018-02-14,101.58,101.99,100.62,101.23,950154,-0.98,-0.96%,101.23,96402371.15,10645
2018-02-13,101.06,102.395,100.40,102.21,957695,0.96,0.95%,102.21,97336347.44,11451
2018-02-12,101.23,101.56,100.06,101.25,1572728,0.19,0.19%,101.25,158953033.40,12474
2018-02-09,98.77,101.86,98.65,101.06,1462049,2.57,2.61%,101.06,146716766.28,16552
2018-02-08,99.04,100.4399,98.48,98.49,1973527,-0.78,-0.79%,98.49,195673273.91,15785
2018-02-07,99.29,100.55,99.04,99.27,1157299,-0.09,-0.09%,99.27,115436734.17,13124
