date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,76.12,76.73,76.055,76.55,3581759,0.42,0.55%,76.55,274076825.49,21805
2018-03-09,75.90,76.15,75.52,76.13,3870073,0.14,0.18%,76.13,294037174.88,24831
2018-03-08,75.53,76.03,75.24,75.99,4733938,0.74,0.98%,75.99,359078684.11,24444
2018-03-07,75.41,75.70,74.925,75.25,9936928,-0.61,-0.80%,75.25,748131166.97,59233
2018-03-06,77.23,77.39,75.63,75.86,3655394,-1.63,-2.10%,75.86,278565627.26,25462
2018-03-05,75.22,77.67,74.87,77.49,3840629,2.14,2.84%,77.49,295233886.73,27699
2018-03-02,75.46,76.30,74.5797,75.35,3631350,-0.21,-0.28%,75.35,273259926.34,28203
2018-03-01,75.35,76.82,75.16,75.56,3209749,0.22,0.29%,75.56,243147239.74,29931
2018-02-28,76.02,76.56,75.31,75.34,3321658,-0.99,-1.30%,75.34,251757358.54,22194
2018-02-27,77.88,78.29,76.33,76.33,4088571,-1.59,-2.04%,76.33,314491462.59,30737
2018-02-26,79.11,79.63,77.65,77.92,5253815,0.70,0.91%,77.92,411800618.49,40075
2018-02-23,75.45,77.30,75.38,77.22,2839067,1.68,2.22%,77.22,217612492.52,23328
2018-02-22,75.48,76.25,75.17,75.54,3103913,0.21,0.28%,75.54,235195646.04,25947
2018-02-21,75.58,76.50,75.30,75.33,4242824,-0.36,-0.48%,75.33,322132220.29,34278
2018-02-20,76.21,76.62,74.82,75.69,4016959,-1.01,-1.32%,75.69,303020551.44,30075
2018-02-16,76.07,76.89,75.77,76.70,3796604,0.50,0.66%,76.70,290282320.43,30259
2018-02-15,74.77,76.21,74.6601,76.20,3923792,1.61,2.16%,76.20,296838451.15,30484
2018-02-14,76.62,76.66,75.45,75.48,4562984,-1.581,-2.08%,74.59,346576111.03,33051
2018-02-13,76.54,77.30,75.82,77.08,3808020,0.267,0.35%,76.1711,291405695.51,28579
2018-02-12,76.12,77.25,75.66,76.81,4373075,0.702,0.93%,75.9043,334683014.03,33535
2018-02-09,74.32,76.72,73.86,76.10,6312295,1.759,2.40%,75.2027,475670974.78,53612
2018-02-08,74.09,75.87,73.80,74.32,6160098,-0.079,-0.11%,73.4437,462422626.85,48873
2018-02-07,74.46,75.56,74.18,74.40,4840376,-0.089,-0.12%,73.5228,362441711.00,37067
