date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,72.18,72.50,71.12,72.26,2354160,-0.20,-0.28%,72.26,169502319.10,18975
2018-03-09,72.95,73.175,71.53,72.46,1489183,-0.14,-0.19%,72.46,107522756.41,12983
2018-03-08,72.16,72.82,71.74,72.60,973377,0.41,0.57%,72.60,70477364.61,10287
2018-03-07,71.41,72.51,70.93,72.19,1032483,0.13,0.18%,72.19,74353054.21,8639
2018-03-06,72.25,72.59,71.48,72.06,1141232,-0.13,-0.18%,72.06,82194003.97,11143
2018-03-05,71.53,72.48,71.11,72.19,1224230,0.28,0.39%,72.19,88246343.71,12018
2018-03-02,70.23,72.32,69.60,71.91,1462926,1.46,2.07%,71.91,104107459.59,15501
2018-03-01,71.88,72.00,69.45,70.45,2449493,-1.57,-2.18%,70.45,173234734.10,27195
2018-02-28,73.71,73.83,72.01,72.02,1245325,-1.65,-2.24%,72.02,90342706.11,10744
2018-02-27,73.27,74.06,72.85,73.67,1042163,0.17,0.23%,73.67,76786421.85,12431
2018-02-26,73.27,73.80,72.54,73.50,856156,0.32,0.44%,73.50,62854511.23,9456
2018-02-23,72.62,73.36,71.70,73.18,1062572,1.11,1.54%,73.18,77233632.36,8804
2018-02-22,72.84,73.57,71.80,72.07,1311657,-0.48,-0.66%,72.07,95244266.59,11758
2018-02-21,72.88,74.03,72.53,72.55,1085030,-0.22,-0.30%,72.55,79608609.87,12039
2018-02-20,73.27,74.26,72.34,72.77,1364135,-0.88,-1.19%,72.77,99973888.30,13143
2018-02-16,73.81,74.51,73.16,73.65,1302583,-0.19,-0.26%,73.65,96211722.91,13044
2018-02-15,75.00,75.48,73.675,73.84,1841981,-0.91,-1.22%,73.84,136872822.64,14539
2018-02-14,72.07,74.84,71.56,74.75,2581787,1.21,1.65%,74.75,189546849.64,24460
2018-02-13,72.69,74.03,72.69,73.54,1736349,0.13,0.18%,73.54,127532135.76,16752
2018-02-12,73.41,74.27,72.61,73.41,1388096,0.44,0.60%,73.41,101994509.56,14673
2018-02-09,72.62,73.61,70.55,72.97,1937782,1.06,1.47%,72.97,140067111.20,20074
2018-02-08,74.57,75.15,71.87,71.91,1337139,-2.75,-3.68%,71.91,97987674.65,14535
2018-02-07,73.85,75.64,73.6583,74.66,1010894,0.63,0.85%,74.66,75855255.73,11526
2018-02-06,71.57,74.74,70.50,74.03,1578492,1.19,1.63%,74.03,115708472.16,17036
2018-02-05,75.23,76.30,72.79,72.84,1764489,-2.81,-3.71%,72.84,131117855.99,16136
2018-02-02,77.21,77.37,75.21,75.65,1577999,-1.90,-2.45%,75.65,120007208.98,14916
2018-02-01,77.53,78.26,76.50,77.55,1896685,-0.49,-0.63%,77.55,146914117.12,20977
2018-01-31,78.91,79.035,77.19,78.04,1714321,-0.89,-1.13%,78.04,133864725.04,14322
2018-01-30,78.05,79.33,77.23,78.93,1311916,-0.16,-0.20%,78.93,103380221.87,10418
2018-01-29,78.95,79.55,78.66,79.09,1320848,-0.01,-0.01%,79.09,104537622.07,11386
2018-01-26,79.01,79.30,78.47,79.10,1105793,0.14,0.18%,79.10,87415546.32,8566
2018-01-25,78.77,79.04,78.25,78.96,588558,0.32,0.41%,78.96,46347558.80,6131
2018-01-24,79.18,79.4494,78.14,78.64,863175,-0.40,-0.51%,78.64,67883242.95,7659
2018-01-23,78.63,79.55,77.55,79.04,790871,0.09,0.11%,79.04,62481721.78,7914
2018-01-22,78.76,79.14,77.95,78.95,912110,0.34,0.43%,78.95,71797592.38,8645
2018-01-19,78.18,78.74,77.73,78.61,1098926,0.42,0.54%,78.61,86136443.02,7763
2018-01-18,79.00,79.00,78.11,78.19,1082874,-0.87,-1.10%,78.19,84913149.97,10124
2018-01-17,79.13,79.35,78.55,79.06,1378993,-0.09,-0.11%,79.06,108819647.21,12558
2018-01-16,79.50,79.635,78.38,79.15,1244610,0.02,0.03%,79.15,98600411.28,11228
2018-01-12,80.00,80.03,79.02,79.13,1440371,-0.90,-1.12%,79.13,114282961.59,12414
2018-01-11,78.25,80.71,78.25,80.03,2360604,1.96,2.51%,80.03,188959613.04,16001
2018-01-10,77.27,78.12,76.50,78.07,1575601,0.60,0.77%,78.07,122006260.08,12980
2018-01-09,75.60,77.52,75.38,77.47,1483975,1.81,2.39%,77.47,114011818.14,11732
2018-01-08,75.55,75.81,74.79,75.66,1860797,0.13,0.17%,75.66,140513935.88,10243
