date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,32.73,33.35,32.60,32.82,7303005,0.10,0.31%,32.82,239900303.75,41876
2018-03-09,32.56,32.85,32.15,32.72,9139491,0.33,1.02%,32.72,296777725.40,55434
2018-03-08,31.79,32.51,31.715,32.39,12183865,1.44,4.65%,32.39,392207740.06,68905
2018-03-07,30.97,31.50,30.74,30.95,6492362,-0.38,-1.21%,30.95,201226215.54,40940
2018-03-06,32.16,32.22,31.26,31.33,6937107,-0.67,-2.09%,31.33,218708329.83,42723
2018-03-05,31.12,32.33,31.11,32.00,9848927,0.64,2.04%,32.00,315123628.78,61217
2018-03-02,30.40,31.42,29.97,31.36,9107619,0.82,2.69%,31.36,280609202.29,49496
2018-03-01,30.66,31.48,30.41,30.54,8932285,-0.13,-0.42%,30.54,275826879.58,56036
2018-02-28,31.92,32.19,30.66,30.67,12820759,-1.19,-3.74%,30.67,400909134.01,72472
2018-02-27,31.42,32.48,31.39,31.86,10584866,0.25,0.79%,31.86,339214216.85,60301
2018-02-26,31.54,31.98,30.73,31.61,11189356,0.18,0.57%,31.61,352064828.80,68056
2018-02-23,30.77,31.46,30.24,31.43,11877786,1.02,3.35%,31.43,367045620.69,69293
2018-02-22,30.71,31.56,30.19,30.41,18625437,-0.16,-0.52%,30.41,571486313.64,98316
2018-02-21,31.13,33.21,30.25,30.57,31052282,-4.08,-11.77%,30.57,976974783.56,156097
2018-02-20,34.30,34.90,34.18,34.65,6373401,0.54,1.58%,34.65,220354533.41,39768
2018-02-16,34.63,34.91,34.00,34.11,6752850,-0.63,-1.81%,34.11,232197213.20,44442
2018-02-15,35.65,35.685,33.56,34.74,6839574,-0.82,-2.31%,34.74,235694531.10,46946
2018-02-14,34.03,35.80,33.79,35.56,6463497,0.99,2.86%,35.56,227555601.14,44918
2018-02-13,35.37,35.39,34.40,34.57,4889999,-1.21,-3.38%,34.57,169768716.32,34607
2018-02-12,35.30,36.11,35.0456,35.78,6551611,1.10,3.17%,35.78,233295123.71,47351
2018-02-09,35.28,35.28,32.69,34.68,11522676,-0.26,-0.74%,34.68,392914747.87,79651
2018-02-08,36.88,37.39,34.89,34.94,7717826,-1.82,-4.95%,34.94,278006665.94,53866
2018-02-07,38.37,38.92,36.74,36.76,8469519,-1.62,-4.22%,36.76,316322703.93,54531
2018-02-06,37.73,39.23,37.23,38.38,8520392,-0.27,-0.70%,38.38,324075631.76,63986
2018-02-05,39.37,40.18,38.30,38.65,8425349,-1.38,-3.45%,38.65,330874467.16,56205
2018-02-02,41.62,41.75,39.95,40.03,6009878,-2.19,-5.19%,40.03,243897202.12,38391
2018-02-01,41.68,42.345,41.46,42.22,7342188,0.85,2.05%,42.22,307727780.53,43228
2018-01-31,41.52,41.97,41.07,41.37,4526866,-0.15,-0.36%,41.37,187605812.14,30204
2018-01-30,42.92,43.04,41.4099,41.52,6403935,-1.81,-4.18%,41.52,267504737.35,38188
2018-01-29,43.59,44.41,43.31,43.33,3401046,-0.53,-1.21%,43.33,148646738.87,22145
2018-01-26,44.03,44.31,43.755,43.86,2734485,-0.05,-0.11%,43.86,120290249.46,16397
2018-01-25,44.97,45.16,43.89,43.91,3634123,-0.61,-1.37%,43.91,161168943.22,27346
2018-01-24,44.70,45.03,44.06,44.52,5302090,0.00,0.00%,44.52,235710349.29,29075
2018-01-23,44.89,45.14,44.24,44.52,4173473,-0.29,-0.65%,44.52,186202369.24,27276
2018-01-22,43.06,44.82,42.99,44.81,4840643,1.96,4.57%,44.81,214335568.80,31714
2018-01-19,42.94,43.03,42.39,42.85,5604301,-0.35,-0.81%,42.85,239730700.44,22744
2018-01-18,43.23,43.784,42.8999,43.20,2714666,-0.24,-0.55%,43.20,117792104.98,17585
2018-01-17,43.45,43.84,42.66,43.44,4341487,0.18,0.42%,43.44,187961466.96,28404
2018-01-16,44.17,44.419,43.24,43.26,5634854,-0.78,-1.77%,43.26,247026415.22,33866
2018-01-12,43.08,44.205,43.02,44.04,7671384,0.97,2.25%,44.04,335770616.74,45734
2018-01-11,42.62,43.5599,42.25,43.07,6856908,0.89,2.11%,43.07,295864184.02,37289
2018-01-10,42.55,42.68,41.96,42.18,3457092,-0.36,-0.85%,42.18,146239268.02,22282
2018-01-09,43.36,43.36,42.44,42.54,5826136,-0.71,-1.64%,42.54,249196992.14,34621
2018-01-08,43.13,43.41,42.5678,43.25,3595988,0.14,0.32%,43.25,154980473.37,26210
2018-01-05,43.07,43.265,42.57,43.11,3722210,-0.12,-0.28%,43.11,160005301.27,24637
2018-01-04,42.88,43.29,42.291,43.23,4243507,0.51,1.19%,43.23,182631710.54,22563
