date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,72.24,73.23,71.18,71.34,6995596,-0.89,-1.23%,71.34,502188995.48,49443
2018-03-09,70.85,72.27,70.61,72.23,5267737,1.65,2.34%,72.23,378095168.19,33149
2018-03-08,70.50,70.80,69.6975,70.58,5739209,0.41,0.58%,70.58,403288523.13,34736
2018-03-07,69.66,70.50,69.42,70.17,7748132,-0.62,-0.88%,70.17,542865221.17,46383
2018-03-06,70.11,71.70,69.65,70.79,6677548,1.13,1.62%,70.79,472097501.89,46758
2018-03-05,67.98,69.99,67.53,69.66,9278886,1.23,1.80%,69.66,640089698.34,57438
2018-03-02,68.27,68.80,67.65,68.43,9488512,-0.33,-0.48%,68.43,648346295.97,59550
2018-03-01,70.14,70.49,68.36,68.76,10963015,-1.54,-2.19%,68.76,759433570.95,71780
2018-02-28,72.50,72.96,70.25,70.30,8154011,-2.06,-2.85%,70.30,580640119.01,51364
2018-02-27,73.27,73.82,72.36,72.36,6727280,-1.32,-1.79%,72.36,490648253.52,44276
2018-02-26,73.42,74.12,73.05,74.06,6646957,0.796,1.09%,73.68,490312816.34,43063
2018-02-23,72.46,73.37,71.70,73.26,6021458,1.323,1.85%,72.8841,438093910.53,38186
2018-02-22,71.33,72.665,71.20,71.93,6506456,0.965,1.37%,71.5609,468606366.94,44143
2018-02-21,71.50,72.65,70.92,70.96,7298841,-0.657,-0.92%,70.5959,523164040.66,41718
2018-02-20,71.60,72.34,71.33,71.62,6743006,-0.328,-0.46%,71.2525,484263743.07,35857
2018-02-16,71.66,72.945,71.51,71.95,6939146,0.099,0.14%,71.5808,500881061.86,42165
2018-02-15,72.06,72.25,70.88,71.85,6405878,0.517,0.73%,71.4813,459200611.27,43726
2018-02-14,69.99,71.50,69.90,71.33,7483385,0.577,0.82%,70.964,530745446.40,52157
2018-02-13,71.34,71.75,70.60,70.75,6619120,-1.084,-1.52%,70.387,470669909.41,46122
2018-02-12,70.20,72.05,70.17,71.84,10242542,2.348,3.40%,71.4714,730284948.14,64023
2018-02-09,68.86,70.22,67.24,69.48,13137503,1.263,1.86%,69.1235,901729815.78,87008
2018-02-08,70.67,71.48,68.12,68.21,13079261,-2.378,-3.39%,67.86,909659790.51,80371
2018-02-07,70.96,72.14,70.52,70.60,11215147,-1.283,-1.79%,70.2378,800649052.74,71046
2018-02-06,66.63,71.95,66.19,71.89,23151934,4.029,5.97%,71.5211,1617228619.22,155866
2018-02-05,70.19,71.8652,67.03,67.84,19108846,-3.034,-4.30%,67.4919,1326460341.85,122931
2018-02-02,73.06,73.29,70.64,70.89,12794618,-2.597,-3.55%,70.5263,914762063.75,83640
2018-02-01,74.68,76.00,73.43,73.50,13258373,-2.069,-2.75%,73.1229,982858888.40,76165
2018-01-31,75.38,76.05,74.79,75.58,10170190,0.448,0.60%,75.1922,766744231.81,63265
2018-01-30,75.49,75.98,74.92,75.13,7536597,-0.736,-0.98%,74.7445,567161934.54,48775
2018-01-29,77.02,77.06,75.83,75.87,5883221,-1.144,-1.49%,75.4807,448970385.96,35948
2018-01-26,76.57,77.02,75.26,77.02,6201046,0.368,0.48%,76.6248,475809025.25,35770
2018-01-25,76.33,76.97,76.21,76.65,6660050,0.637,0.84%,76.2567,510483588.35,37777
2018-01-24,76.28,77.08,75.61,76.01,9253691,-0.129,-0.17%,75.62,705339304.93,49023
2018-01-23,75.86,76.37,75.6057,76.14,5663582,-0.04,-0.05%,75.7493,430725996.33,31567
2018-01-22,75.79,76.18,75.29,76.18,6074526,0.169,0.22%,75.7891,461237908.75,29847
2018-01-19,76.49,76.49,75.76,76.01,8179008,-0.02,-0.03%,75.62,622692718.69,38352
2018-01-18,75.57,76.65,75.12,76.03,10220286,0.259,0.34%,75.6399,777439444.26,51189
2018-01-17,75.97,76.35,75.09,75.77,7768222,0.816,1.09%,75.3812,588843400.40,44604
