date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,59.28,60.40,59.26,60.20,2155800,0.82,1.38%,60.20,129647311.27,18045
2018-03-09,59.51,59.61,58.94,59.38,2594540,-0.18,-0.30%,59.38,153853936.21,16252
2018-03-08,59.02,59.85,58.89,59.56,1715998,0.45,0.76%,59.56,102093191.19,14413
2018-03-07,60.21,60.63,58.80,59.11,2400438,-0.96,-1.60%,59.11,142395909.71,18285
2018-03-06,60.49,60.61,59.46,60.07,2319709,-0.60,-0.99%,60.07,138892478.95,18453
2018-03-05,59.41,60.84,59.12,60.67,2790683,1.08,1.81%,60.67,168470864.82,20210
2018-03-02,60.71,61.30,59.04,59.59,3112932,-1.19,-1.96%,59.59,185739484.86,21076
2018-03-01,60.65,61.64,60.25,60.78,3417127,0.19,0.31%,60.78,207965430.01,28901
2018-02-28,61.12,61.35,60.35,60.59,3906195,-0.26,-0.43%,60.59,237305361.82,23501
2018-02-27,61.59,62.62,60.84,60.85,3497726,-0.77,-1.25%,60.85,214898323.22,25840
2018-02-26,62.07,62.16,61.295,61.62,2902955,-0.55,-0.88%,61.62,179094293.25,18178
2018-02-23,62.00,62.56,60.901,62.17,3884370,2.43,4.07%,62.17,240186670.62,28214
2018-02-22,59.33,60.19,58.87,59.74,2882467,0.65,1.10%,59.74,172352813.62,19861
2018-02-21,60.35,60.65,59.05,59.09,3382567,-1.22,-2.02%,59.09,201872319.05,25883
2018-02-20,60.81,60.92,59.86,60.31,2635617,-0.74,-1.21%,60.31,158894867.95,16996
2018-02-16,60.04,61.37,60.04,61.05,4010051,0.96,1.60%,61.05,244685604.70,20872
2018-02-15,59.73,60.12,59.19,60.09,2878674,0.85,1.43%,60.09,172071825.81,19531
2018-02-14,59.82,60.02,59.17,59.24,2033381,-0.93,-1.55%,59.24,121087826.35,14359
2018-02-13,59.66,60.42,59.38,60.17,2338888,0.11,0.18%,60.17,140281794.06,15003
2018-02-12,59.05,60.38,58.69,60.06,2853644,1.12,1.90%,60.06,170843186.06,20888
2018-02-09,58.48,59.28,57.63,58.94,4457682,0.87,1.50%,58.94,260613233.96,28437
2018-02-08,59.50,59.62,58.03,58.07,3765726,-1.62,-2.71%,58.07,222033482.43,29344
2018-02-07,60.14,60.97,59.55,59.69,3077462,-0.67,-1.11%,59.69,185155405.83,23728
2018-02-06,59.91,60.81,58.76,60.36,4053804,-0.15,-0.25%,60.36,242905042.37,34391
2018-02-05,61.44,61.96,60.33,60.51,5521031,-1.09,-1.77%,60.51,338096438.13,35657
2018-02-02,61.46,61.95,61.16,61.60,4418230,-0.14,-0.23%,61.60,271684098.14,26362
2018-02-01,62.45,67.56,61.5301,61.74,8274442,-0.79,-1.26%,61.74,522600865.14,50965
2018-01-31,62.52,62.86,61.28,62.53,8259686,0.03,0.05%,62.53,514988845.08,34211
2018-01-30,62.40,62.98,62.20,62.50,2668036,0.09,0.14%,62.50,166942187.48,18065
2018-01-29,62.17,63.49,61.90,62.41,3377356,-0.05,-0.08%,62.41,211011525.54,20606
2018-01-26,62.74,62.84,61.58,62.46,2638257,0.05,0.08%,62.46,163969010.15,19177
2018-01-25,61.70,62.48,61.63,62.41,2682837,0.71,1.15%,62.41,166847339.31,20332
2018-01-24,62.12,62.13,61.52,61.70,3296099,-0.34,-0.55%,61.70,203480686.78,22572
2018-01-23,62.17,62.75,61.84,62.04,2948751,-0.10,-0.16%,62.04,183543823.55,20524
2018-01-22,62.35,62.58,61.80,62.14,2595179,0.02,0.03%,62.14,161225573.23,19900
2018-01-19,61.87,62.59,61.44,62.12,3222289,0.20,0.32%,62.12,200238236.01,21403
2018-01-18,61.67,62.64,61.59,61.92,3358988,0.21,0.34%,61.92,208387228.68,23020
2018-01-17,61.60,61.96,61.17,61.71,3045456,0.38,0.62%,61.71,187869734.27,21088
2018-01-16,61.51,61.80,60.64,61.33,5043850,-0.09,-0.15%,61.33,309252510.80,17565
2018-01-12,62.14,62.88,61.25,61.42,3170664,-0.90,-1.44%,61.42,195914313.95,22722
2018-01-11,63.17,63.42,62.00,62.32,2945423,-0.52,-0.83%,62.32,183888292.34,21132
2018-01-10,63.61,63.71,62.51,62.84,3587148,-0.68,-1.07%,62.84,226468383.21,24701
2018-01-09,64.21,64.34,63.21,63.52,5086104,-0.68,-1.06%,63.52,324450503.40,36613
2018-01-08,62.91,64.28,62.75,64.20,3473944,1.22,1.94%,64.20,221803622.67,23704
2018-01-05,62.63,63.125,62.03,62.98,3719790,0.69,1.11%,62.98,233460451.92,20877
2018-01-04,62.84,63.295,62.19,62.29,3970894,-0.46,-0.73%,62.29,248530222.34,22276
2018-01-03,63.21,63.73,62.35,62.75,3595666,-0.50,-0.79%,62.75,225881589.89,26789
2018-01-02,63.63,63.63,62.59,63.25,2387937,0.01,0.02%,63.25,150767378.96,17521
2017-12-29,64.10,64.25,63.19,63.24,2125647,-0.70,-1.09%,63.24,134774620.17,14841
2017-12-28,64.11,64.25,63.32,63.94,1964403,0.145,0.23%,63.94,125560192.35,13764
2017-12-27,64.04,64.85,63.94,64.40,2085424,0.357,0.56%,63.795,134308154.13,14824
2017-12-26,65.25,65.30,63.99,64.04,2666872,-1.179,-1.82%,63.4384,171612205.12,17381
2017-12-22,64.195,65.38,63.77,65.23,4807726,1.902,3.03%,64.6172,312659676.68,28232
2017-12-21,65.855,66.50,62.67,63.31,9494457,-4.943,-7.31%,62.7153,603632149.90,58963
2017-12-20,69.72,70.08,67.91,68.30,6041477,-1.535,-2.22%,67.6584,414927957.67,34515
2017-12-19,71.10,71.115,69.59,69.85,4518932,-1.09,-1.55%,69.1938,316358634.91,29758
2017-12-18,70.44,70.98,70.02,70.95,3687099,1.228,1.78%,70.2835,260859075.97,25255
2017-12-15,69.74,70.40,69.46,69.71,4531667,0.416,0.61%,69.0551,316307886.84,21288
2017-12-14,68.80,69.66,68.66,69.29,4087576,-0.505,-0.73%,68.6391,282873359.88,25676
2017-12-13,69.43,70.50,68.66,69.80,4615756,1.209,1.78%,69.1443,322041180.73,30127
2017-12-12,69.68,70.17,67.28,68.58,10717432,-4.359,-6.03%,67.9358,733156159.12,61576
2017-12-11,71.69,73.23,71.65,72.98,3807996,1.169,1.64%,72.2944,276882961.06,24496
2017-12-08,71.91,73.308,71.24,71.80,5823869,0.03,0.04%,71.1255,418546946.12,27830
2017-12-07,68.93,72.28,68.26,71.77,7682644,3.021,4.44%,71.0958,544467497.53,48532
2017-12-06,68.46,70.00,67.80,68.72,10027619,-1.268,-1.83%,68.0744,688130382.64,63932
2017-12-05,79.77,79.77,69.14,70.00,17109960,-10.164,-12.78%,69.3424,1227291887.17,108308
2017-12-04,80.74,81.19,80.14,80.26,1608162,-0.495,-0.62%,79.506,129543187.02,12639
2017-12-01,81.72,81.96,80.48,80.76,1600928,-0.505,-0.63%,80.0013,129518627.66,12779
2017-11-30,81.36,81.84,81.00,81.27,2391785,-0.139,-0.17%,80.5066,194490264.69,14978
2017-11-29,80.97,81.62,80.69,81.41,1354763,0.267,0.33%,80.6452,110026984.92,12069
2017-11-28,81.05,81.355,80.86,81.14,1356629,0.317,0.40%,80.3778,110060737.24,8780
2017-11-27,80.62,81.02,80.34,80.82,918158,0.267,0.34%,80.0608,74249973.00,8586
2017-11-24,80.45,81.14,80.35,80.55,567613,0.396,0.50%,79.7933,45725177.17,5162
2017-11-22,80.22,80.44,79.72,80.15,1157993,-0.069,-0.09%,79.3971,92699645.21,8605
2017-11-21,80.52,80.65,80.19,80.22,1464761,-0.208,-0.26%,79.4664,117710996.05,13964
2017-11-20,80.84,81.02,80.39,80.43,1342924,-0.456,-0.57%,79.6744,108167770.22,12116
2017-11-17,81.47,81.78,80.76,80.89,1574315,-0.852,-1.05%,80.1301,127504267.76,11549
2017-11-16,81.85,82.01,81.49,81.75,1384340,-0.089,-0.11%,80.982,113093167.63,12934
2017-11-15,82.88,83.38,81.68,81.84,1554871,-0.792,-0.97%,81.0712,127520263.49,13682
2017-11-14,80.97,82.80,80.72,82.64,2575468,1.526,1.90%,81.8637,212120631.03,21967
2017-11-13,80.18,81.15,80.155,81.10,1096078,1.03,1.30%,80.3381,88647116.78,10011
2017-11-10,79.92,80.24,79.51,80.06,1232134,-0.277,-0.35%,79.3079,98547379.69,11685
2017-11-09,79.98,80.36,79.33,80.34,1362491,0.139,0.17%,79.5853,109069527.31,11118
2017-11-08,79.29,80.43,79.29,80.20,2393112,0.792,1.01%,79.4466,191276725.34,19536
2017-11-07,78.97,79.69,78.68,79.40,1647068,0.545,0.70%,78.6541,130803825.70,14801
2017-11-06,79.57,79.73,78.83,78.85,927103,-0.664,-0.84%,78.1093,73277846.57,10874
2017-11-03,78.83,80.05,78.83,79.52,1185900,0.446,0.57%,78.773,94458074.65,10554
2017-11-02,79.23,79.41,78.63,79.07,1851542,-0.01,-0.01%,78.3272,146390857.34,14574
2017-11-01,80.12,80.12,78.995,79.08,1378566,-0.862,-1.09%,78.3371,109365435.97,13094
2017-10-31,80.59,80.64,79.28,79.95,2026032,0.357,0.45%,79.1989,161786765.41,15443
2017-10-30,79.34,79.785,79.13,79.59,1751084,0.119,0.15%,78.8423,139328754.54,16983
2017-10-27,78.60,79.63,78.59,79.47,966804,0.733,0.94%,78.7235,76703341.52,9499
2017-10-26,79.58,79.9067,78.71,78.73,1359617,-0.243,-0.31%,77.9904,107511806.73,12081
2017-10-25,79.41,79.62,78.55,78.975,1490627,-0.887,-1.12%,78.2331,117764872.43,15422
2017-10-24,79.57,79.94,79.31,79.87,1384734,-0.139,-0.17%,79.1197,110354988.63,12639
2017-10-23,79.84,80.20,79.275,80.01,1217724,0.406,0.52%,79.2584,97152004.39,10218
2017-10-20,79.33,79.825,79.155,79.60,1795688,0.129,0.16%,78.8522,142824976.04,10618
2017-10-19,77.98,79.47,77.72,79.47,1321038,1.605,2.08%,78.7235,104468323.10,10854
2017-10-18,77.65,78.36,77.575,77.85,1975036,0.248,0.32%,77.1187,153804447.22,17061
2017-10-17,77.58,77.86,76.93,77.60,3760758,-0.04,-0.05%,76.871,290999635.42,24624
2017-10-16,77.90,78.20,77.39,77.64,1698111,-0.347,-0.45%,76.9107,132036909.48,14728
2017-10-13,79.61,79.88,77.75,77.99,2998282,-1.654,-2.10%,77.2574,235799180.30,21544
2017-10-12,78.52,79.68,78.43,79.66,2836650,1.228,1.58%,78.9117,225160787.23,18861
2017-10-11,78.42,79.16,78.25,78.42,1934070,-0.119,-0.15%,77.6833,151838323.60,12782
2017-10-10,77.56,78.56,77.39,78.54,1545037,0.981,1.28%,77.8022,121058727.49,12218
2017-10-09,77.79,77.88,77.40,77.55,655568,-0.069,-0.09%,76.8215,50848831.67,6825
2017-10-06,77.35,77.69,77.01,77.62,1340026,-0.059,-0.08%,76.8908,103886891.86,8881
2017-10-05,77.88,77.88,77.38,77.68,975670,-0.168,-0.22%,76.9503,75706589.72,9352
2017-10-04,77.15,77.88,76.96,77.85,1429369,0.832,1.09%,77.1187,110877026.67,12288
2017-10-03,76.99,77.12,76.55,77.01,1758749,0.01,0.01%,76.2866,135065621.60,16090
2017-10-02,77.44,77.73,76.82,77.00,2148413,-0.168,-0.22%,76.2767,165898004.82,18449
2017-09-29,77.45,77.57,76.96,77.17,2029966,-0.396,-0.52%,76.4451,156681029.72,18908
2017-09-28,77.50,77.77,76.93,77.57,1967687,0.032,0.04%,76.8413,152393192.56,16270
2017-09-27,78.66,79.05,77.67,78.08,1764204,-1.053,-1.35%,76.8091,137919389.27,13350
2017-09-26,79.26,79.45,78.8801,79.15,1204127,-0.118,-0.15%,77.8617,95370176.97,11056
2017-09-25,78.33,79.28,78.13,79.27,2080513,0.974,1.26%,77.9797,164405888.42,12691
2017-09-22,78.92,78.954,78.22,78.28,1275912,-0.374,-0.48%,77.0059,100040136.17,11652
2017-09-21,79.05,79.25,78.595,78.66,1686717,-0.423,-0.54%,77.3797,133078710.88,13907
2017-09-20,79.90,80.00,78.78,79.09,1643727,-0.61,-0.78%,77.8027,130290646.91,15820
2017-09-19,80.51,80.65,79.53,79.71,2506899,-0.826,-1.04%,78.4126,199926889.91,20665
2017-09-18,81.15,81.41,79.64,80.55,2455913,-0.639,-0.80%,79.2389,197398022.79,16311
2017-09-15,81.15,81.53,80.95,81.20,3039441,0.167,0.21%,79.8783,246784627.87,16314
2017-09-14,80.78,81.19,80.61,81.03,1931017,0.049,0.06%,79.7111,156407557.18,18046
2017-09-13,80.68,81.3225,80.43,80.98,2941935,0.236,0.30%,79.6619,238120398.36,22502
2017-09-12,81.30,81.58,80.34,80.74,2866702,-0.738,-0.92%,79.4258,232308107.23,21700
2017-09-11,80.75,81.57,80.44,81.49,1804962,0.738,0.93%,80.1636,146837387.75,12407
2017-09-08,80.11,80.78,79.80,80.74,1387061,0.561,0.71%,79.4258,111556295.07,11173
2017-09-07,79.77,80.34,79.56,80.17,1814120,0.61,0.78%,78.8651,145134525.34,12920
2017-09-06,80.30,80.45,79.40,79.55,2490508,-0.698,-0.88%,78.2552,198417716.38,13463
2017-09-05,80.06,80.31,79.55,80.26,1675050,0.295,0.38%,78.9536,134061594.92,10766
2017-09-01,80.39,80.39,79.54,79.96,1051623,-0.216,-0.27%,78.6585,84029474.15,10550
2017-08-31,80.51,80.64,80.13,80.18,1547440,-0.118,-0.15%,78.8749,124252095.59,12766
2017-08-30,80.30,80.55,80.19,80.30,1047290,-0.148,-0.19%,78.993,84172867.28,10745
2017-08-29,81.00,81.32,80.385,80.45,1333625,-0.403,-0.51%,79.1405,107604948.10,10718
2017-08-28,81.00,81.07,80.59,80.86,1014252,0.108,0.14%,79.5439,81954730.12,9501
2017-08-25,80.58,81.26,80.58,80.75,1606036,0.541,0.69%,79.4357,129933289.51,13209
