date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,145.00,145.97,144.69,145.37,1259136,0.32,0.22%,145.37,182990012.01,11021
2018-03-09,145.25,145.41,144.53,145.05,1814078,0.66,0.46%,145.05,262929668.01,12664
2018-03-08,143.60,144.42,142.78,144.39,1944703,0.84,0.59%,144.39,279846693.89,12532
2018-03-07,141.53,143.86,141.42,143.55,1627005,0.87,0.61%,143.55,232976740.59,14145
2018-03-06,142.16,143.12,141.70,142.68,2033597,1.04,0.73%,142.68,289446538.28,17312
2018-03-05,140.10,141.81,139.56,141.64,2085256,0.99,0.70%,141.64,294587074.10,14528
2018-03-02,137.41,140.74,137.41,140.65,1680428,2.11,1.52%,140.65,234252585.75,15802
2018-03-01,138.26,139.27,137.04,138.54,2361243,0.10,0.07%,138.54,326132521.92,22887
2018-02-28,139.85,140.80,138.44,138.44,1616928,-1.34,-0.96%,138.44,225105058.67,16645
2018-02-27,142.59,143.26,139.56,139.78,1861818,-3.13,-2.19%,139.78,261592083.14,18400
2018-02-26,142.62,143.63,142.31,143.29,1119428,0.898,0.63%,142.91,160177903.62,11427
2018-02-23,140.69,142.45,140.37,142.39,1065312,2.234,1.60%,142.0124,150900301.72,11849
2018-02-22,140.10,141.29,139.61,140.15,1191461,0.329,0.24%,139.7783,167412969.09,13407
2018-02-21,139.37,142.21,139.35,139.82,1965592,0.469,0.34%,139.4492,276696338.67,18942
2018-02-20,140.74,141.05,139.051,139.35,1399695,-1.686,-1.20%,138.9804,195888061.29,14860
2018-02-16,139.21,141.669,139.21,141.04,2087302,1.406,1.01%,140.666,293753245.05,21595
2018-02-15,140.00,140.53,137.9486,139.63,2262577,-0.10,-0.07%,139.2597,315183709.53,22507
2018-02-14,137.17,139.986,136.48,139.73,1693306,2.224,1.62%,139.3594,235446874.06,18806
2018-02-13,136.38,137.73,136.38,137.50,1740770,0.469,0.34%,137.1353,238736018.14,17156
2018-02-12,135.41,137.98,135.41,137.03,2273358,2.274,1.69%,136.6666,311470231.15,21128
2018-02-09,132.18,135.29,131.18,134.75,3029107,3.281,2.50%,134.3926,404457980.24,31127
2018-02-08,135.13,135.60,131.24,131.46,3067492,-3.241,-2.41%,131.1114,409299187.63,31540
2018-02-07,136.83,137.50,133.985,134.71,2835714,-2.503,-1.83%,134.3527,383177961.19,26203
2018-02-06,132.89,137.74,131.68,137.22,3546158,2.912,2.17%,136.8561,481521581.87,39240
2018-02-05,133.40,137.04,132.541,134.30,3610531,-0.09,-0.07%,133.9438,488752570.05,35609
2018-02-02,138.74,138.74,133.035,134.39,3279624,-0.17,-0.13%,134.0336,444344580.30,30263
2018-02-01,135.13,136.42,133.88,134.56,2098582,-0.399,-0.30%,134.2031,282840586.21,20916
2018-01-31,136.96,137.7699,134.10,134.96,2024939,-1.666,-1.22%,134.6021,274995192.59,19361
2018-01-30,136.00,137.195,135.2301,136.63,1318348,0.03,0.02%,136.2677,180001232.16,13310
2018-01-29,137.76,138.20,136.13,136.60,1374568,-1.107,-0.81%,136.2377,188377156.10,12735
2018-01-26,136.87,137.85,135.84,137.71,1587948,0.539,0.39%,137.3448,218135073.36,12820
2018-01-25,136.96,137.67,136.26,137.17,1115434,0.918,0.68%,136.8062,152807952.79,11835
2018-01-24,136.82,137.60,135.12,136.25,1623197,-0.469,-0.34%,135.8887,221627390.24,16709
2018-01-23,134.76,137.16,134.76,136.72,1317853,1.845,1.37%,136.3574,180022906.62,13370
2018-01-22,133.74,135.69,133.59,134.87,1388010,0.419,0.31%,134.5123,187100141.95,12459
2018-01-19,131.58,134.46,131.32,134.45,1380073,3.461,2.65%,134.0934,184287789.98,12667
2018-01-18,132.21,132.45,130.78,130.98,1147123,-1.077,-0.82%,130.6326,150651698.00,10551
2018-01-17,129.28,132.59,129.01,132.06,1613444,3.391,2.64%,131.7098,211917324.60,16345
2018-01-16,129.20,130.39,128.46,128.66,1618911,0.13,0.10%,128.3188,208954528.06,15496
2018-01-12,129.16,129.49,128.42,128.53,1465988,-0.559,-0.43%,128.1891,188708515.13,13430
2018-01-11,130.59,130.87,128.75,129.09,1250244,-1.227,-0.94%,128.7477,161510384.42,12424
2018-01-10,131.30,131.30,128.27,130.32,1599133,-1.376,-1.05%,129.9744,207261878.68,16036
2018-01-09,131.30,132.49,131.00,131.70,1249330,0.728,0.56%,131.3507,164701670.06,12263
2018-01-08,129.78,131.25,129.59,130.97,967924,0.977,0.75%,130.6227,126641461.97,8696
2018-01-05,130.22,130.63,129.71,129.99,1572037,-0.239,-0.18%,129.6453,204471452.27,11502
2018-01-04,130.00,131.59,129.9475,130.23,1904289,0.608,0.47%,129.8846,248640645.79,18870
2018-01-03,127.55,129.72,127.19,129.62,2121226,2.025,1.59%,129.2762,273620093.88,20593
2018-01-02,127.64,128.07,126.80,127.59,1288852,0.349,0.28%,127.2516,164396610.50,12293
2017-12-29,127.80,128.13,127.20,127.24,805149,-0.648,-0.51%,126.9026,102656650.48,7563
2017-12-28,127.62,128.21,127.38,127.89,794077,0.14,0.11%,127.5508,101537282.41,8045
