date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,72.31,72.48,71.02,71.42,2250810,-0.85,-1.18%,71.42,160980382.33,19469
2018-03-09,71.40,72.31,70.66,72.27,3389652,2.06,2.93%,72.27,243845714.34,24667
2018-03-08,69.95,70.28,69.22,70.21,3190706,0.62,0.89%,70.21,222618710.04,23687
2018-03-07,69.67,70.58,69.27,69.59,3511699,-0.88,-1.25%,69.59,245063654.85,24214
2018-03-06,70.61,70.61,69.71,70.47,2480550,0.32,0.46%,70.47,174145244.12,21177
2018-03-05,69.14,70.52,68.97,70.15,3935463,0.79,1.14%,70.15,275598974.48,27407
2018-03-02,69.11,69.62,68.44,69.36,3893723,-0.22,-0.32%,69.36,268590745.25,30793
2018-03-01,70.96,71.51,69.33,69.58,4605649,-1.48,-2.08%,69.58,323838324.56,39961
2018-02-28,73.41,73.42,71.04,71.06,4858805,-2.03,-2.78%,71.06,348349133.49,28968
2018-02-27,73.48,74.43,73.09,73.09,3454843,-0.44,-0.60%,73.09,254560398.35,26423
2018-02-26,72.85,73.62,72.28,73.53,3881238,1.34,1.86%,73.53,284155315.61,24078
2018-02-23,72.48,72.55,71.26,72.19,1901649,0.10,0.14%,72.19,136596845.38,15406
2018-02-22,72.06,72.56,71.54,72.09,2534679,0.28,0.39%,72.09,182833878.64,21508
2018-02-21,71.12,72.57,71.04,71.81,4368230,0.74,1.04%,71.81,314936138.53,27011
2018-02-20,72.42,73.155,70.89,71.07,3897201,-1.92,-2.63%,71.07,279336086.75,29537
2018-02-16,71.38,73.37,71.33,72.99,4783836,1.49,2.08%,72.99,348307291.23,30962
2018-02-15,71.93,72.59,70.59,71.50,4089784,0.675,0.95%,71.50,291904145.06,30451
2018-02-14,70.71,71.91,69.73,71.31,5000194,0.924,1.32%,70.825,356383677.15,40510
2018-02-13,69.89,70.52,69.40,70.38,3542085,0.07,0.10%,69.9013,248218740.13,30072
2018-02-12,69.71,71.06,69.54,70.31,5187914,1.232,1.80%,69.8318,365683669.12,42902
2018-02-09,67.50,69.77,66.40,69.07,5979295,2.652,4.02%,68.6003,406416962.33,51402
2018-02-08,68.96,69.12,66.36,66.40,4350192,-2.543,-3.71%,65.9484,295115915.98,35450
2018-02-07,69.41,70.52,68.731,68.96,4045693,-0.288,-0.42%,68.491,281273662.32,30914
2018-02-06,66.70,71.38,66.00,69.25,7320437,0.804,1.18%,68.779,498684778.51,56085
2018-02-05,70.02,71.42,68.215,68.44,4426299,-2.116,-3.02%,67.9745,307510257.84,40939
2018-02-02,71.86,72.34,70.51,70.57,4852958,-1.996,-2.77%,70.0901,345210372.61,35257
2018-02-01,71.43,73.10,69.73,72.58,3022225,0.348,0.48%,72.0864,218979528.38,24540
2018-01-31,72.95,73.2473,72.03,72.23,5458129,-0.238,-0.33%,71.7388,395086618.54,25231
2018-01-30,72.43,72.91,72.09,72.47,2311602,-0.516,-0.71%,71.9771,167589785.78,18614
2018-01-29,73.67,73.87,72.91,72.99,2136367,-1.053,-1.43%,72.4936,156567785.19,16434
2018-01-26,72.90,74.05,72.68,74.05,3587451,1.361,1.88%,73.5464,264373255.25,19859
2018-01-25,73.08,73.20,71.79,72.68,3293690,0.05,0.07%,72.1857,239081743.92,21177
2018-01-24,73.54,73.7041,72.16,72.63,3284325,-0.487,-0.67%,72.136,239066387.88,25994
2018-01-23,73.34,73.85,73.01,73.12,3205619,-0.139,-0.19%,72.6227,234774445.04,25042
2018-01-22,72.94,73.28,72.35,73.26,3521480,0.119,0.16%,72.7618,256917947.48,21416
2018-01-19,73.63,73.80,72.88,73.14,3538255,-0.308,-0.42%,72.6426,258904630.51,23590
2018-01-18,73.48,73.95,73.00,73.45,2356169,0.377,0.52%,72.9505,173065320.68,20698
2018-01-17,73.05,73.78,72.8878,73.07,3276125,0.238,0.33%,72.5731,240237371.52,29544
2018-01-16,73.39,73.88,72.11,72.83,3899883,-1.073,-1.46%,72.3347,284488353.09,31935
2018-01-12,74.00,74.45,73.85,73.91,3500893,0.03,0.04%,73.4073,259380728.26,25500
