date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,102.50,102.82,100.49,100.65,5209091,-2.15,-2.09%,100.65,525698343.47,31490
2018-03-09,101.58,102.90,101.28,102.80,2910164,2.21,2.20%,102.80,298057893.93,26064
2018-03-08,101.53,101.60,99.655,100.59,2525902,-0.28,-0.28%,100.59,253580169.19,21910
2018-03-07,99.98,101.10,99.33,100.87,3331365,-0.14,-0.14%,100.87,334542359.35,30210
2018-03-06,102.71,102.94,100.74,101.01,3421320,-0.80,-0.79%,101.01,346495791.02,29468
2018-03-05,100.91,102.76,100.40,101.81,3129484,0.36,0.35%,101.81,319152182.68,27887
2018-03-02,100.54,102.21,99.40,101.45,4040044,0.27,0.27%,101.45,409352153.72,34473
2018-03-01,101.79,102.11,99.84,101.18,4604948,-0.24,-0.24%,101.18,464534822.19,41249
2018-02-28,101.63,106.40,101.31,101.42,7738731,-5.52,-5.16%,101.42,794747955.41,60397
2018-02-27,109.28,109.53,106.74,106.94,3581296,-2.55,-2.33%,106.94,386075365.92,34918
2018-02-26,109.56,110.16,108.57,109.49,4474264,0.66,0.61%,109.49,489430298.26,25977
2018-02-23,107.73,108.88,107.33,108.83,2063917,1.74,1.62%,108.83,223569873.14,20578
2018-02-22,106.70,109.11,105.9401,107.09,3165934,1.28,1.21%,107.09,340288291.65,23298
2018-02-21,107.65,108.74,105.78,105.81,4119303,-2.15,-1.99%,105.81,438625109.43,27155
2018-02-20,107.78,109.03,106.15,107.96,3381622,0.32,0.30%,107.96,364668421.83,26724
2018-02-16,107.14,108.74,106.60,107.64,2973536,-0.05,-0.05%,107.64,320608283.99,29513
2018-02-15,106.60,108.06,105.01,107.69,3495524,0.93,0.87%,107.69,373874434.26,35309
2018-02-14,101.58,107.06,101.50,106.76,4089159,4.29,4.19%,106.76,432190595.64,37155
2018-02-13,102.49,103.24,101.61,102.47,1735273,-0.67,-0.65%,102.47,177737245.83,17336
2018-02-12,101.54,104.03,101.33,103.14,3551493,3.07,3.07%,103.14,365658892.29,30353
2018-02-09,101.89,102.5999,96.54,100.07,5335724,-0.97,-0.96%,100.07,530186957.82,47815
2018-02-08,106.02,106.50,100.98,101.04,4675563,-4.74,-4.48%,101.04,483038019.53,42152
2018-02-07,108.42,109.71,105.76,105.78,4666029,-2.49,-2.30%,105.78,500395285.21,38466
2018-02-06,107.76,110.90,106.09,108.27,4635477,-1.29,-1.18%,108.27,500455187.09,43369
