date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,52.61,52.64,51.72,52.20,2061095,-0.24,-0.46%,52.20,107603687.66,15321
2018-03-09,51.22,52.84,51.22,52.44,2253434,1.37,2.68%,52.44,117957041.56,18852
2018-03-08,51.49,51.60,50.63,51.07,1859827,-0.28,-0.55%,51.07,95005005.15,15987
2018-03-07,51.27,52.17,50.785,51.35,2166267,-0.47,-0.91%,51.35,111050079.59,18213
2018-03-06,52.30,52.61,51.58,51.82,3772530,-0.07,-0.13%,51.82,196219256.10,16944
2018-03-05,50.28,52.16,50.28,51.89,3534025,1.57,3.12%,51.89,182826390.32,24914
2018-03-02,49.73,50.47,48.80,50.32,4071183,0.19,0.38%,50.32,202214446.40,25023
2018-03-01,50.58,50.92,49.92,50.13,3751245,-0.18,-0.36%,50.13,188700812.88,30676
2018-02-28,51.65,52.00,50.31,50.31,3291987,-1.06,-2.06%,50.31,167208911.39,20239
2018-02-27,52.28,52.91,51.35,51.37,4602103,-1.13,-2.15%,51.37,238567450.98,28252
2018-02-26,52.63,52.75,51.97,52.50,3786298,0.42,0.81%,52.50,198458453.76,22716
2018-02-23,51.17,52.36,51.00,52.08,3887685,1.26,2.48%,52.08,201157740.25,27962
2018-02-22,50.07,51.54,49.61,50.82,6856727,1.01,2.03%,50.82,349054743.14,47107
2018-02-21,53.55,53.55,49.77,49.81,7223890,-1.59,-3.09%,49.81,369756370.01,48627
2018-02-20,52.77,53.00,51.24,51.40,6081677,-1.15,-2.19%,51.40,313589328.70,33601
2018-02-16,52.97,53.86,52.27,52.55,6195597,-0.79,-1.48%,52.55,327602575.20,42496
2018-02-15,49.11,53.55,48.26,53.34,11157433,4.83,9.96%,53.34,582908539.14,67021
2018-02-14,46.87,48.95,46.70,48.51,4854837,1.14,2.41%,48.51,235008983.09,35504
2018-02-13,47.39,47.57,46.87,47.37,4615193,-0.37,-0.78%,47.37,218412273.41,21337
2018-02-12,46.50,48.14,46.50,47.77,4466768,2.039,4.46%,47.74,212624160.14,30556
2018-02-09,46.46,46.78,43.70,45.73,4453575,-0.52,-1.12%,45.7013,201079267.54,32220
2018-02-08,47.64,48.46,46.25,46.25,5506318,-1.399,-2.94%,46.221,259193709.25,37240
2018-02-07,49.46,49.95,47.13,47.65,4853511,-1.989,-4.01%,47.6201,232700424.91,34112
2018-02-06,48.28,50.58,47.68,49.64,4332400,0.37,0.75%,49.6088,213337037.25,32704
2018-02-05,51.24,51.74,48.95,49.27,5611332,-2.638,-5.09%,49.2391,279445091.13,38933
2018-02-02,52.67,53.09,51.71,51.91,4048034,-1.409,-2.64%,51.8774,211666840.22,26767
2018-02-01,54.17,54.67,52.555,53.32,5508000,-0.969,-1.79%,53.2865,292712150.74,31881
2018-01-31,54.65,55.03,54.12,54.29,4198930,-0.36,-0.66%,54.2559,228403598.04,28914
2018-01-30,56.32,56.41,54.34,54.65,4127469,-2.199,-3.87%,54.6157,226585653.31,25403
2018-01-29,58.31,58.40,56.62,56.85,2070830,-1.889,-3.22%,56.8143,118285498.98,14930
2018-01-26,58.89,59.11,58.40,58.74,2926930,0.26,0.44%,58.7031,171770665.72,17106
2018-01-25,58.99,59.41,58.08,58.48,2155645,-0.28,-0.48%,58.4433,126145642.22,18992
2018-01-24,58.73,59.63,58.58,58.76,3013853,0.32,0.55%,58.7231,177756658.14,21439
2018-01-23,57.73,58.72,57.40,58.44,6166277,1.279,2.24%,58.4033,358845010.11,30277
2018-01-22,56.78,57.33,56.06,57.16,2900263,1.129,2.02%,57.1241,164859603.30,20686
2018-01-19,56.87,56.91,55.97,56.03,2327586,-1.119,-1.96%,55.9948,130962133.70,16794
2018-01-18,57.85,57.97,57.07,57.15,2266007,-1.009,-1.74%,57.1141,130035165.19,16143
2018-01-17,58.47,59.01,58.00,58.16,4679873,0.04,0.07%,58.1235,273474546.83,23862
2018-01-16,58.38,58.74,57.66,58.12,5142727,-0.34,-0.58%,58.0835,299516133.53,20192
2018-01-12,58.74,59.20,58.10,58.46,3119905,-0.24,-0.41%,58.4233,182489224.31,19671
2018-01-11,58.53,59.16,58.17,58.70,5637409,0.71,1.22%,58.6631,330735088.41,29414
2018-01-10,58.58,58.985,57.93,57.99,2225748,-0.71,-1.21%,57.9536,129817813.78,16405
2018-01-09,58.73,59.20,58.37,58.70,2120442,-0.03,-0.05%,58.6631,124730108.79,14863
2018-01-08,57.95,58.83,57.28,58.73,2949121,0.919,1.59%,58.6931,172159391.55,17334
2018-01-05,58.60,58.60,57.15,57.81,3173522,-1.159,-1.97%,57.7737,182849274.06,20975
2018-01-04,59.15,59.24,58.37,58.97,1924089,0.04,0.07%,58.933,113222211.01,15413
2018-01-03,58.95,59.66,58.16,58.93,4424325,0.31,0.53%,58.893,260316868.14,28467
2018-01-02,57.51,58.75,57.13,58.62,3434063,1.699,2.99%,58.5832,200193304.23,24434
2017-12-29,57.46,57.60,56.75,56.92,3118700,-0.34,-0.59%,56.8843,177981545.63,20896
2017-12-28,55.49,57.49,55.31,57.26,3445689,1.929,3.49%,57.224,195067793.61,25172
2017-12-27,55.48,55.67,54.84,55.33,3041154,-0.12,-0.22%,55.2953,168166856.96,18407
2017-12-26,55.08,55.66,54.93,55.45,1625648,0.68,1.24%,55.4152,89979533.89,14012
2017-12-22,55.39,55.7074,54.70,54.77,2220242,-0.65,-1.17%,54.7356,122089882.01,16931
2017-12-21,54.035,55.62,53.43,55.42,2829154,1.199,2.21%,55.3852,156012828.78,23079
2017-12-20,54.17,54.65,53.6426,54.22,3189691,-0.20,-0.37%,54.1859,172998840.16,26299
2017-12-19,55.395,55.80,54.31,54.42,4123310,-0.909,-1.64%,54.3858,224877390.03,23444
2017-12-18,55.11,56.11,54.96,55.33,3728147,0.62,1.13%,55.2953,206719085.22,18957
2017-12-15,56.21,56.49,54.63,54.71,5709160,-1.299,-2.32%,54.6756,313938098.99,23963
2017-12-14,56.70,56.89,55.88,56.01,2806947,-0.799,-1.41%,55.9748,157672500.55,19768
2017-12-13,55.65,57.57,55.65,56.81,3632868,0.819,1.46%,56.7743,206667604.72,23303
2017-12-12,57.67,57.81,55.94,55.99,2713742,-1.139,-2.00%,55.9548,153003669.52,21603
2017-12-11,56.60,57.85,56.57,57.13,2818304,0.75,1.33%,57.0941,161301974.10,18920
2017-12-08,56.28,56.61,55.47,56.38,5723412,0.58,1.04%,56.3446,322082657.98,25861
2017-12-07,57.00,57.295,55.735,55.80,2868511,-1.379,-2.41%,55.765,161012052.46,20379
2017-12-06,59.05,59.05,57.07,57.18,2893076,-1.839,-3.12%,57.1441,166328765.90,21742
2017-12-05,58.85,59.68,58.61,59.02,2838481,-0.63,-1.06%,58.9829,167590946.32,14961
2017-12-04,59.57,60.29,59.2396,59.65,4966021,0.08,0.13%,59.6125,296586888.86,26574
2017-12-01,59.99,60.35,58.61,59.57,3877494,-0.03,-0.05%,59.5326,231179367.95,28617
2017-11-30,57.95,59.73,57.95,59.60,4524177,1.489,2.56%,59.5626,267668018.95,30007
2017-11-29,56.90,58.28,56.68,58.11,2846614,1.239,2.18%,58.0735,164802403.23,24993
2017-11-28,56.88,57.24,56.34,56.87,2834065,-0.01,-0.02%,56.8343,161198873.83,20687
2017-11-27,57.80,57.91,56.47,56.88,3714423,-0.77,-1.34%,56.8443,211081937.62,20991
2017-11-24,58.12,58.34,57.22,57.65,1167237,-0.53,-0.91%,57.6138,67310841.31,9101
2017-11-22,58.32,58.78,58.00,58.18,1721472,-0.14,-0.24%,58.1435,100331511.09,14806
2017-11-21,59.34,59.61,57.92,58.32,2349793,-1.009,-1.70%,58.2834,137420110.17,21021
2017-11-20,58.75,59.40,57.97,59.33,3718864,0.30,0.51%,59.2927,219726714.24,20006
2017-11-17,59.35,59.70,58.76,59.03,2701753,-0.27,-0.46%,58.9929,159712240.07,21474
2017-11-16,60.21,60.21,58.74,59.30,2679689,-0.21,-0.35%,59.2628,158830086.94,24258
2017-11-15,59.92,60.00,58.56,59.51,6962914,-1.089,-1.80%,59.4726,413726420.76,36094
2017-11-14,64.43,64.54,60.33,60.60,5644776,-3.978,-6.16%,60.5619,347241579.29,46847
2017-11-13,65.19,65.82,64.23,64.58,8251678,-0.60,-0.92%,64.5394,534459500.72,28726
2017-11-10,65.82,66.03,64.43,65.18,22746698,-0.73,-1.11%,65.1391,1481876950.92,55758
2017-11-09,64.54,65.95,64.54,65.91,9547106,1.489,2.31%,65.8686,625689172.82,60955
2017-11-08,63.37,64.81,62.81,64.45,5371413,1.209,1.91%,64.3796,345066118.87,47975
2017-11-07,63.83,64.12,62.76,63.24,2663753,-0.589,-0.92%,63.1709,168858525.81,25754
2017-11-06,63.28,64.04,62.59,63.83,3827658,1.049,1.67%,63.7603,243481359.73,27036
2017-11-03,62.14,63.24,60.81,62.78,2822249,0.749,1.21%,62.7114,176284688.65,29218
2017-11-02,61.90,62.99,61.54,62.03,2166406,-0.03,-0.05%,61.9622,134797607.19,17507
2017-11-01,63.08,63.3815,61.92,62.06,3375101,-0.479,-0.77%,61.9922,211066342.17,31124
2017-10-31,62.21,63.08,61.64,62.54,2963345,0.589,0.95%,62.4717,185311540.90,22904
2017-10-30,63.30,63.64,61.62,61.95,5409650,-1.359,-2.15%,61.8823,337923162.17,40588
2017-10-27,59.55,65.03,59.24,63.31,11653173,3.236,5.39%,63.2408,731778198.62,77880
2017-10-26,60.86,60.86,58.20,60.07,6846637,-0.639,-1.05%,60.0044,406457219.36,56477
2017-10-25,63.60,63.91,60.64,60.71,5832757,-3.336,-5.21%,60.6437,359940711.84,47581
2017-10-24,63.56,64.34,63.14,64.05,2848213,1.079,1.72%,63.98,182181219.36,22666
