date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,57.34,58.30,56.85,57.06,3158763,-0.18,-0.31%,57.06,181484308.55,25378
2018-03-09,56.88,57.245,56.64,57.24,1634017,0.37,0.65%,57.24,93108675.96,15105
2018-03-08,56.49,57.12,56.49,56.87,2284181,0.58,1.03%,56.87,129787196.40,17520
2018-03-07,56.65,57.055,56.125,56.29,2226910,-0.39,-0.69%,56.29,125540801.95,15723
2018-03-06,57.55,57.59,56.57,56.68,1876980,-1.04,-1.80%,56.68,106748477.48,16059
2018-03-05,56.42,57.85,56.34,57.72,1812025,1.125,1.99%,57.72,104100000.91,15508
2018-03-02,56.58,57.41,56.53,57.10,2678411,0.545,0.97%,56.595,152551504.60,22722
2018-03-01,57.00,57.73,56.45,56.55,2715368,-0.446,-0.79%,56.0499,154281279.40,24995
2018-02-28,57.67,57.88,57.00,57.00,1912482,-0.387,-0.68%,56.4959,109758049.60,15246
2018-02-27,58.96,59.15,57.38,57.39,1777432,-1.417,-2.43%,56.8824,103101171.37,17198
2018-02-26,59.39,59.39,58.50,58.82,1699421,-0.644,-1.09%,58.2998,100069334.95,15235
2018-02-23,57.60,59.59,57.48,59.47,2514179,1.972,3.46%,58.944,148341141.83,21463
2018-02-22,57.48,58.06,57.13,57.48,3204831,0.119,0.21%,56.9716,184630108.80,26495
2018-02-21,58.11,58.64,57.34,57.36,1900674,-0.803,-1.39%,56.8527,110065644.09,15010
2018-02-20,58.78,59.01,57.96,58.17,1145147,-0.942,-1.61%,57.6555,66702523.60,10725
2018-02-16,58.47,59.38,58.47,59.12,1509747,0.545,0.94%,58.5971,89100011.00,11485
2018-02-15,57.84,58.58,57.65,58.57,3189243,0.981,1.72%,58.052,185975727.14,21528
2018-02-14,57.29,57.77,56.84,57.58,2544376,-0.04,-0.07%,57.0708,146289343.39,19340
2018-02-13,57.23,57.79,56.62,57.62,1787750,0.089,0.16%,57.1104,102396499.09,15005
2018-02-12,57.08,57.86,56.51,57.53,2176612,0.505,0.89%,57.0212,124652388.27,19730
2018-02-09,56.27,57.43,55.93,57.02,2749817,0.902,1.62%,56.5157,155791638.33,21884
2018-02-08,56.81,57.15,56.10,56.11,2502624,-0.773,-1.37%,55.6138,141618572.00,23463
2018-02-07,57.55,58.21,56.88,56.89,3236268,-0.644,-1.13%,56.3869,185780016.33,26524
2018-02-06,57.69,57.935,56.76,57.54,3545948,-0.783,-1.35%,57.0311,203238800.28,32573
2018-02-05,59.06,59.59,58.33,58.33,4104088,-1.011,-1.72%,57.8141,241478201.21,31946
2018-02-02,58.39,59.58,58.04,59.35,6519772,-0.803,-1.35%,58.8251,384441674.54,39058
2018-02-01,63.14,63.42,59.33,60.16,5772510,-2.904,-4.64%,59.6279,352161762.73,43108
2018-01-31,62.63,63.16,62.33,63.09,2518079,0.525,0.85%,62.532,158264966.73,19419
2018-01-30,62.38,63.15,62.23,62.56,2353049,0.119,0.19%,62.0067,147562924.11,18979
2018-01-29,63.52,63.84,62.20,62.44,2827131,-1.616,-2.54%,61.8878,176739315.79,21101
2018-01-26,64.85,64.99,63.29,64.07,3695086,-0.496,-0.77%,63.5034,236213353.53,28088
2018-01-25,61.17,64.88,61.075,64.57,6160714,3.41,5.63%,63.9989,390070714.14,40106
2018-01-24,61.01,61.48,60.52,61.13,4666571,0.01,0.02%,60.5894,285277327.03,23064
2018-01-23,60.20,61.63,60.18,61.12,3995721,0.357,0.59%,60.5795,243728348.39,26370
2018-01-22,61.12,61.34,60.61,60.76,2493408,-0.03,-0.05%,60.2226,151968854.14,18016
2018-01-19,60.98,61.19,60.65,60.79,2157985,-0.02,-0.03%,60.2524,131288814.27,15007
2018-01-18,61.76,61.76,60.65,60.81,4200727,-0.833,-1.36%,60.2722,257243153.86,17531
2018-01-17,60.94,61.78,60.87,61.65,1985958,0.694,1.15%,61.1048,122087649.82,15564
2018-01-16,61.36,61.64,60.3312,60.95,2079334,-0.396,-0.65%,60.411,126634260.18,15328
2018-01-12,61.42,61.92,61.22,61.35,2804661,-0.168,-0.28%,60.8074,172468567.05,20035
2018-01-11,61.14,61.53,60.99,61.52,1822444,0.198,0.33%,60.9759,111785029.98,13855
2018-01-10,61.60,61.63,61.15,61.32,1716249,-0.456,-0.74%,60.7777,105308110.15,13826
2018-01-09,62.20,62.39,61.46,61.78,2255305,-0.466,-0.76%,61.2336,139456662.89,14147
2018-01-08,61.82,62.29,61.56,62.25,1804643,0.426,0.70%,61.6995,111952244.83,14283
2018-01-05,61.85,62.09,61.37,61.82,2265065,0.109,0.18%,61.2733,139822874.69,15258
2018-01-04,62.52,62.61,61.61,61.71,2300313,-0.872,-1.41%,61.1642,142917133.21,14716
2018-01-03,62.94,63.35,62.30,62.59,2311972,-0.555,-0.89%,62.0365,145039616.74,18211
2018-01-02,63.18,63.44,62.53,63.15,4243895,-0.03,-0.05%,62.5915,267137322.33,21352
2017-12-29,62.87,63.405,62.87,63.18,1538409,0.228,0.37%,62.6212,97192116.16,11925
2017-12-28,62.79,63.00,62.53,62.95,1033887,0.416,0.67%,62.3933,64936020.07,7391
2017-12-27,62.32,62.69,62.135,62.53,1139020,0.565,0.92%,61.977,71190469.92,10074
2017-12-26,62.62,62.76,61.925,61.96,654194,-0.406,-0.66%,61.412,40734834.52,6599
2017-12-22,62.16,62.525,61.99,62.37,1231506,0.387,0.63%,61.8184,76770687.51,9465
2017-12-21,61.78,62.455,61.68,61.98,1579164,-0.238,-0.39%,61.4318,98114687.91,12781
2017-12-20,62.78,62.93,62.21,62.22,1012556,-0.367,-0.59%,61.6697,63218258.49,9424
2017-12-19,63.97,63.97,62.54,62.59,1341478,-1.308,-2.07%,62.0365,84445217.77,11380
2017-12-18,64.70,64.835,63.85,63.91,1426293,-0.704,-1.10%,63.3448,91387145.24,11064
2017-12-15,64.60,64.91,64.345,64.62,2786529,0.312,0.49%,64.0485,179967805.49,10929
2017-12-14,64.475,65.20,64.25,64.78,1749091,-0.295,-0.46%,63.7363,113446217.17,11965
2017-12-13,64.80,65.52,64.43,65.08,1931787,0.856,1.35%,64.0314,125717000.52,15593
2017-12-12,65.46,65.6065,64.13,64.21,1701865,-1.466,-2.27%,63.1754,109964672.71,13106
2017-12-11,65.22,65.79,64.96,65.70,1545045,0.472,0.74%,64.6414,101068452.76,11359
2017-12-08,64.84,65.23,64.565,65.22,1741416,0.305,0.48%,64.1692,113151891.65,12650
2017-12-07,65.10,65.10,64.47,64.91,2394976,-0.197,-0.31%,63.8642,155046442.47,16216
2017-12-06,64.96,65.35,64.84,65.11,1596499,0.226,0.35%,64.0609,103935183.70,13769
2017-12-05,65.50,65.50,64.32,64.88,2019634,-0.59,-0.92%,63.8346,130985744.22,16928
2017-12-04,65.53,66.105,65.32,65.48,2108879,0.049,0.08%,64.425,138384751.75,17477
2017-12-01,65.15,66.12,65.05,65.43,3423591,0.571,0.89%,64.3758,224355607.62,25340
2017-11-30,64.57,64.94,64.43,64.85,3708376,0.236,0.37%,63.8051,240073894.96,15555
2017-11-29,64.48,65.03,64.26,64.61,1599404,0.049,0.08%,63.569,103297224.25,14334
2017-11-28,64.57,64.96,64.45,64.56,1217720,0.138,0.22%,63.5198,78711593.00,10438
2017-11-27,64.20,64.64,64.01,64.42,1058884,0.089,0.14%,63.3821,68208531.71,7771
2017-11-24,64.05,64.33,63.97,64.33,621455,0.512,0.81%,63.2935,39921355.04,5546
2017-11-22,63.86,63.96,63.435,63.81,1466007,-0.118,-0.19%,62.7819,93267557.39,12097
2017-11-21,63.87,64.195,63.82,63.93,1302279,0.089,0.14%,62.8999,83368933.69,10867
2017-11-20,64.25,64.26,63.60,63.84,1486005,-0.364,-0.58%,62.8114,94891482.48,12264
2017-11-17,64.62,64.89,64.06,64.21,1602410,-0.669,-1.05%,63.1754,103076882.05,11717
2017-11-16,65.00,65.23,64.56,64.89,1677272,-0.108,-0.17%,63.8445,108759776.00,14815
2017-11-15,65.91,66.15,64.96,65.00,1608337,-0.797,-1.23%,63.9527,104934080.29,11997
2017-11-14,64.61,65.85,64.46,65.81,1761230,1.033,1.62%,64.7497,115263609.29,15398
2017-11-13,64.10,64.83,64.01,64.76,1423820,0.679,1.08%,63.7166,91957568.47,9524
2017-11-10,64.30,64.42,63.85,64.07,1555607,-0.60,-0.94%,63.0377,99704672.16,12895
2017-11-09,64.54,64.87,64.36,64.68,1300941,0.049,0.08%,63.6379,84135226.51,12193
2017-11-08,64.43,65.01,64.095,64.63,2110831,0.108,0.17%,63.5887,136228410.02,18201
2017-11-07,63.995,64.615,63.58,64.52,1990206,0.807,1.29%,63.4804,127983779.20,14795
2017-11-06,63.58,64.02,63.27,63.70,2325882,0.157,0.25%,62.6737,148259877.87,18799
2017-11-03,63.13,64.04,63.04,63.54,1381888,0.305,0.49%,62.5162,87973398.71,12830
2017-11-02,63.13,63.27,62.25,63.23,1997989,0.541,0.88%,62.2112,125902863.25,15475
2017-11-01,62.79,63.06,61.98,62.68,2622800,0.039,0.06%,61.6701,164014364.04,17132
2017-10-31,62.45,62.83,62.305,62.64,1965409,0.148,0.24%,61.6307,123040474.08,12104
2017-10-30,62.62,62.66,62.11,62.49,1925123,-0.295,-0.48%,61.4832,120179584.22,10567
2017-10-27,62.14,62.84,62.12,62.79,1266391,0.541,0.88%,61.7783,79330109.70,11228
2017-10-26,62.52,62.84,62.145,62.24,1615914,-0.098,-0.16%,61.2372,100742291.95,13211
2017-10-25,62.15,62.36,61.59,62.34,1782746,-0.079,-0.13%,61.3356,110575906.34,16532
2017-10-24,62.07,62.50,61.83,62.42,1709959,0.049,0.08%,61.4143,106395784.72,13182
2017-10-23,62.26,62.42,61.89,62.37,1401158,0.236,0.39%,61.3651,87184842.72,9295
2017-10-20,61.885,62.21,61.79,62.13,1017098,0.069,0.11%,61.129,63068283.98,8472
2017-10-19,61.56,62.06,61.43,62.06,1630212,0.61,1.01%,61.0601,100721435.54,14741
2017-10-18,61.60,61.66,61.25,61.44,1050046,-0.295,-0.49%,60.4501,64455842.01,9060
2017-10-17,61.25,61.76,61.10,61.74,1393852,0.531,0.88%,60.7452,85751564.75,9356
2017-10-16,61.54,61.72,60.99,61.20,2079225,-0.443,-0.73%,60.2139,127304717.39,15593
2017-10-13,61.97,62.20,61.51,61.65,1482702,-0.02,-0.03%,60.6567,91517184.74,12965
2017-10-12,61.26,61.95,61.11,61.67,1757388,0.364,0.60%,60.6764,108121778.32,12202
2017-10-11,60.66,61.42,60.54,61.30,1832871,0.63,1.06%,60.3123,112041901.28,12085
2017-10-10,60.27,60.69,60.08,60.66,1637362,0.335,0.56%,59.6826,99138219.90,13035
2017-10-09,60.44,60.675,60.245,60.32,1774299,-0.059,-0.10%,59.3481,107129526.37,10600
2017-10-06,60.42,60.61,60.13,60.38,1593617,-0.246,-0.41%,59.4071,96245206.29,11873
2017-10-05,60.82,60.84,60.32,60.63,1113634,-0.157,-0.26%,59.6531,67434151.33,9749
