date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,237.14,240.36,237.14,238.74,691099,1.22,0.51%,238.74,165017691.03,9338
2018-03-09,234.55,238.27,233.26,237.52,503891,3.37,1.44%,237.52,119097831.51,7367
2018-03-08,232.62,235.70,230.98,234.15,543296,2.67,1.15%,234.15,127162881.65,7296
2018-03-07,229.84,232.25,229.00,231.48,482370,1.43,0.62%,231.48,111518232.74,7804
2018-03-06,226.06,230.74,224.405,230.05,665045,4.34,1.92%,230.05,152180471.01,9888
2018-03-05,220.87,226.39,220.32,225.71,436460,3.49,1.57%,225.71,98076805.70,6218
2018-03-02,226.00,227.23,221.15,222.22,441556,-1.75,-0.78%,222.22,98513740.83,6538
2018-03-01,222.87,227.51,222.46,223.97,535610,0.14,0.06%,223.97,120153312.57,8316
2018-02-28,222.88,227.72,222.32,223.83,450896,2.00,0.90%,223.83,101318761.98,6650
2018-02-27,227.00,228.32,221.22,221.83,413125,-5.28,-2.32%,221.83,92009114.13,6140
2018-02-26,228.28,228.28,224.88,227.11,344119,-0.16,-0.07%,227.11,78000828.12,5051
2018-02-23,222.26,227.27,222.26,227.27,398339,5.68,2.56%,227.27,89943896.58,5070
2018-02-22,220.67,223.90,220.03,221.59,546428,1.44,0.65%,221.59,121436859.86,6814
2018-02-21,224.78,225.68,219.62,220.15,663632,-5.29,-2.35%,220.15,147088939.42,8933
2018-02-20,228.53,231.24,225.37,225.44,478625,-4.23,-1.84%,225.44,108950950.88,7279
2018-02-16,228.92,230.80,228.10,229.67,371254,0.10,0.04%,229.67,85171517.45,4969
2018-02-15,224.97,229.70,224.52,229.57,289076,4.81,2.14%,229.57,66064815.33,4654
2018-02-14,226.17,226.86,222.0101,224.76,426154,-3.52,-1.54%,224.76,95621434.70,6623
2018-02-13,227.35,229.55,223.445,228.28,480683,0.43,0.19%,228.28,109558759.96,6789
2018-02-12,228.70,229.56,221.26,227.85,932798,-0.09,-0.04%,227.85,211049699.38,11717
2018-02-09,220.41,230.12,218.453,227.94,764544,9.66,4.43%,227.94,172056804.48,10584
2018-02-08,218.50,226.00,216.45,218.28,773169,0.47,0.22%,218.28,171314666.80,11619
2018-02-07,218.82,223.51,217.52,217.81,540263,-1.01,-0.46%,217.81,118859238.21,7552
2018-02-06,216.07,220.66,214.03,218.82,1026001,0.83,0.38%,218.82,222995549.17,11812
2018-02-05,226.07,228.02,217.99,217.99,547258,-7.39,-3.28%,217.99,121401427.73,8333
2018-02-02,224.10,227.525,222.91,225.38,366583,-1.79,-0.79%,225.38,82483588.95,6443
2018-02-01,233.03,233.815,227.10,227.17,520415,-5.81,-2.49%,227.17,119249511.07,6964
2018-01-31,226.37,233.27,225.71,232.98,898434,6.23,2.75%,232.98,207851227.08,7696
2018-01-30,227.26,228.69,226.24,226.75,283746,-0.99,-0.43%,226.75,64467555.98,4007
2018-01-29,229.33,229.75,226.47,227.74,248329,-2.09,-0.91%,227.74,56586093.26,4723
2018-01-26,231.47,231.476,226.905,229.83,272712,-1.43,-0.62%,229.83,62455453.94,4817
2018-01-25,231.32,231.90,228.50,231.26,317443,-0.29,-0.13%,231.26,73112570.86,4570
2018-01-24,231.41,233.36,230.51,231.55,271118,-0.28,-0.12%,231.55,62834419.92,5213
2018-01-23,227.37,232.09,227.37,231.83,433522,5.23,2.31%,231.83,99841623.09,6919
2018-01-22,224.14,227.055,223.56,226.60,463182,2.97,1.33%,226.60,104809781.28,6922
2018-01-19,223.93,225.41,222.78,223.63,331504,-0.97,-0.43%,223.63,74144408.07,4608
2018-01-18,226.41,226.41,223.66,224.60,478753,-2.76,-1.21%,224.60,107460202.75,7025
2018-01-17,229.16,229.34,226.14,227.36,421024,-0.24,-0.11%,227.36,95754919.38,6555
2018-01-16,227.50,232.66,226.92,227.60,379091,0.50,0.22%,227.60,86937572.49,5752
2018-01-12,232.24,232.75,226.69,227.10,435730,-5.34,-2.30%,227.10,99309129.31,6751
2018-01-11,232.71,234.26,231.48,232.44,359047,0.22,0.09%,232.44,83454493.07,6582
2018-01-10,235.00,235.205,230.97,232.22,389384,-4.05,-1.71%,232.22,90475163.57,5803
2018-01-09,238.17,239.20,235.63,236.27,403626,-1.89,-0.79%,236.27,95686324.22,6490
2018-01-08,236.93,239.05,235.40,238.16,543780,-1.21,-0.51%,238.16,129381257.29,6562
2018-01-05,238.87,240.36,237.73,239.37,344191,0.65,0.27%,239.37,82312976.83,6333
2018-01-04,243.25,244.82,238.48,238.72,292633,-3.82,-1.57%,238.72,70384124.28,5629
2018-01-03,241.19,242.59,240.17,242.54,322120,2.46,1.02%,242.54,77775988.35,4925
2018-01-02,241.96,242.69,239.32,240.08,311114,-1.29,-0.53%,240.08,74957589.85,4845
2017-12-29,241.62,242.14,240.16,241.37,257266,0.46,0.19%,241.37,62100405.53,3736
2017-12-28,240.10,241.50,238.56,240.91,281231,1.43,0.60%,240.91,67699984.93,5779
2017-12-27,241.53,242.06,240.02,241.23,261143,0.665,0.28%,239.4801,62976534.27,4907
2017-12-26,239.56,241.59,238.40,240.56,285743,1.162,0.49%,238.815,68704614.41,4453
2017-12-22,238.705,240.38,237.80,239.39,349657,1.807,0.77%,237.6535,83723754.28,4802
2017-12-21,239.87,241.245,237.33,237.57,525398,-2.71,-1.14%,235.8467,125256651.69,6945
2017-12-20,243.195,244.436,239.295,240.30,392447,-2.502,-1.04%,238.5569,94483624.97,6034
2017-12-19,248.43,250.995,242.64,242.82,328980,-6.999,-2.82%,241.0586,80274354.20,5341
2017-12-18,248.60,251.15,248.33,249.87,309514,0.079,0.03%,248.0574,77326351.22,4813
2017-12-15,251.11,252.13,249.37,249.79,742174,0.784,0.32%,247.978,185866272.96,6656
2017-12-14,247.52,249.84,247.335,249.00,426184,1.013,0.41%,247.1938,106071323.51,7293
2017-12-13,251.65,251.65,247.46,247.98,367906,-1.162,-0.47%,246.1812,91464559.17,6354
2017-12-12,249.44,249.93,245.67,249.15,368687,-0.01,-0.00%,247.3427,91630164.28,6159
2017-12-11,245.73,249.31,244.90,249.16,464605,4.815,1.99%,247.3526,114941283.38,6857
2017-12-08,240.74,244.31,240.33,244.31,345237,3.673,1.54%,242.5378,84008343.79,5016
2017-12-07,241.92,242.04,239.78,240.61,498196,-1.34,-0.56%,238.8646,119997481.84,7772
2017-12-06,242.80,243.40,240.98,241.96,573334,-1.023,-0.42%,240.2048,138655059.01,7795
2017-12-05,246.64,246.845,242.93,242.99,383480,-3.266,-1.34%,241.2274,93741408.74,5882
2017-12-04,248.11,248.555,245.15,246.28,348182,-0.754,-0.31%,244.4935,85979775.48,5394
2017-12-01,247.64,249.38,245.245,247.04,388856,0.05,0.02%,245.248,96019543.25,4543
2017-11-30,248.32,248.45,246.01,246.99,421071,-0.685,-0.28%,245.1983,104009404.16,5004
2017-11-29,246.87,247.84,244.13,247.68,360730,0.903,0.37%,245.8833,88958552.49,4980
2017-11-28,247.57,248.52,244.54,246.77,519946,-0.834,-0.34%,244.9799,128241650.65,6489
2017-11-27,250.41,250.62,247.57,247.61,362601,-2.74,-1.10%,245.8138,90049099.97,5768
2017-11-24,251.00,252.38,250.09,250.37,81842,0.397,0.16%,248.5538,20540044.04,1805
2017-11-22,251.03,252.575,249.74,249.97,196415,-2.124,-0.85%,248.1567,49210419.06,3468
2017-11-21,251.05,252.68,250.11,252.11,305876,1.886,0.76%,250.2812,76955424.51,5323
2017-11-20,251.02,251.77,247.66,250.21,283081,-0.635,-0.26%,248.395,70797086.36,4590
2017-11-17,253.95,255.13,250.22,250.85,233681,-3.068,-1.22%,249.0303,58757350.27,4295
2017-11-16,251.91,254.61,251.23,253.94,299105,1.777,0.71%,252.0979,75783473.23,5495
2017-11-15,256.68,259.835,251.92,252.15,352890,-4.636,-1.82%,250.3209,89798155.61,5608
2017-11-14,257.71,258.90,256.04,256.82,323813,-1.797,-0.70%,254.957,83186763.12,4665
2017-11-13,256.59,258.91,255.40,258.63,168634,2.234,0.88%,256.7539,43511809.27,3812
2017-11-10,255.50,258.26,255.305,256.38,266956,-0.566,-0.22%,254.5202,68561304.12,4720
2017-11-09,258.54,259.34,256.20,256.95,251726,-1.827,-0.71%,255.0861,64790616.84,4834
2017-11-08,255.72,258.91,255.68,258.79,319557,3.763,1.49%,256.9127,82251006.63,4765
2017-11-07,254.14,256.11,252.65,255.00,396456,1.181,0.47%,253.1502,100821801.62,5725
2017-11-06,252.47,258.665,251.87,253.81,413244,-0.169,-0.07%,251.9689,105578965.72,6349
2017-11-03,251.98,255.24,251.20,253.98,538295,0.139,0.06%,252.1376,136517890.67,7758
2017-11-02,262.25,263.21,251.24,253.84,751307,-8.627,-3.31%,251.9986,191720599.13,9971
2017-11-01,262.96,264.065,260.56,262.53,291605,0.099,0.04%,260.6256,76442480.42,4720
2017-10-31,261.19,262.45,260.05,262.43,388939,1.618,0.63%,260.5263,101892905.16,4395
2017-10-30,262.17,263.21,260.25,260.80,297214,-1.588,-0.61%,258.9082,77530940.58,5780
2017-10-27,259.54,262.90,258.35,262.40,276418,2.73,1.06%,260.4966,72379507.37,4296
2017-10-26,259.08,260.26,257.51,259.65,259229,2.105,0.82%,257.7665,67217860.65,4032
2017-10-25,258.16,260.02,256.929,257.53,264240,-0.01,-0.00%,255.6619,68163032.52,4915
2017-10-24,258.83,259.145,254.67,257.54,307292,-2.085,-0.81%,255.6718,78964196.52,4563
2017-10-23,259.84,259.99,258.415,259.64,252030,0.298,0.12%,257.7566,65354804.84,3795
2017-10-20,260.19,260.19,258.05,259.34,206776,-0.596,-0.23%,257.4587,53608165.96,3028
2017-10-19,261.34,261.59,258.57,259.94,201573,-1.261,-0.49%,258.0544,52349047.51,3544
2017-10-18,260.96,261.54,258.58,261.21,172103,-0.169,-0.07%,259.3152,44812741.23,3213
2017-10-17,260.49,261.60,260.07,261.38,158378,0.357,0.14%,259.4839,41344935.78,2975
2017-10-16,262.00,262.98,259.76,261.02,206463,-0.794,-0.31%,259.1266,53869778.01,3666
2017-10-13,262.15,262.43,259.88,261.82,193123,0.715,0.28%,259.9208,50525175.68,3402
2017-10-12,258.21,261.11,258.05,261.10,167819,2.78,1.08%,259.206,43705286.44,2507
2017-10-11,259.04,259.51,257.48,258.30,186184,-0.417,-0.16%,256.4263,48102015.65,3222
2017-10-10,257.92,259.98,256.805,258.72,296126,1.112,0.43%,256.8432,76503322.95,5145
2017-10-09,256.73,257.73,255.74,257.60,238457,0.586,0.23%,255.7314,61355668.33,3111
2017-10-06,256.58,257.37,252.21,257.01,353900,-0.06,-0.02%,255.1456,90815287.26,5827
