date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,58.15,58.45,57.45,57.88,3079036,0.64,1.12%,57.88,178259015.70,26515
2018-03-09,55.55,57.27,55.49,57.24,2831103,2.07,3.75%,57.24,160710551.44,22635
2018-03-08,55.21,55.42,54.31,55.17,2572254,0.26,0.47%,55.17,141024080.20,21224
2018-03-07,53.68,55.15,53.54,54.91,2644578,0.51,0.94%,54.91,144501651.31,26408
2018-03-06,53.32,54.78,52.89,54.40,3379913,1.78,3.38%,54.40,182448514.92,29948
2018-03-05,51.04,53.115,50.771,52.62,2161057,1.10,2.14%,52.62,113197207.29,18660
2018-03-02,50.91,51.64,50.36,51.52,1984921,0.33,0.64%,51.52,101561132.83,19185
2018-03-01,52.24,52.88,50.75,51.19,3014118,-1.04,-1.99%,51.19,155358299.64,29394
2018-02-28,53.40,54.00,52.21,52.23,3485008,-0.88,-1.66%,52.23,185001980.76,21847
2018-02-27,52.32,54.7226,52.12,53.11,5663012,1.15,2.21%,53.11,304874621.91,44349
2018-02-26,51.58,51.97,50.955,51.96,3481366,0.58,1.13%,51.96,179353177.21,27116
2018-02-23,51.09,51.39,50.44,51.38,2976738,0.64,1.26%,51.38,151898903.68,22582
2018-02-22,51.92,52.50,50.64,50.74,2610149,-1.02,-1.97%,50.74,133756448.63,22805
2018-02-21,52.30,52.67,51.73,51.76,2093732,-0.25,-0.48%,51.76,109273862.13,21678
2018-02-20,51.70,52.46,51.1411,52.01,2177640,0.20,0.39%,52.01,113321245.44,15500
2018-02-16,51.49,52.19,50.84,51.81,1911650,0.08,0.15%,51.81,99078361.12,14955
2018-02-15,51.97,52.16,50.87,51.73,2860341,0.20,0.39%,51.73,147647201.25,22997
2018-02-14,49.78,51.73,49.70,51.53,1985897,1.48,2.96%,51.53,101563179.29,19433
2018-02-13,49.97,50.21,49.52,50.05,2197287,-0.15,-0.30%,50.05,109684190.04,19329
2018-02-12,49.93,50.77,49.39,50.20,2764104,0.73,1.48%,50.20,138617789.51,24551
2018-02-09,49.17,49.95,47.36,49.47,4915153,0.99,2.04%,49.47,239759983.70,39872
2018-02-08,51.65,51.66,48.47,48.48,3808183,-3.07,-5.96%,48.48,188861374.95,27378
2018-02-07,51.98,52.64,51.42,51.55,2645886,-0.73,-1.40%,51.55,137441019.24,25881
2018-02-06,48.86,52.67,48.25,52.28,6042799,1.93,3.83%,52.28,308386155.66,51147
2018-02-05,51.80,53.29,49.87,50.35,3644048,-2.22,-4.22%,50.35,187628872.13,32788
2018-02-02,53.85,54.31,52.385,52.57,2166744,-1.53,-2.83%,52.57,115141783.70,19159
2018-02-01,52.38,54.16,52.36,54.10,2991179,1.40,2.66%,54.10,160647917.59,22666
2018-01-31,52.50,53.19,52.27,52.70,2455956,0.35,0.67%,52.70,129669434.72,16534
2018-01-30,52.55,53.00,52.17,52.35,2181218,-0.27,-0.51%,52.35,114676993.23,18417
