date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,76.92,77.30,76.59,77.23,1054033,0.45,0.59%,77.23,81197562.86,10685
2018-03-09,76.82,76.95,76.19,76.78,1600000,0.12,0.16%,76.78,122576334.40,11742
2018-03-08,77.04,77.04,76.23,76.66,1437256,-0.10,-0.13%,76.66,110149628.31,12677
2018-03-07,77.41,77.72,76.23,76.76,1456628,-0.96,-1.24%,76.76,111820711.14,13818
2018-03-06,78.38,78.38,77.20,77.72,1452107,-0.85,-1.08%,77.72,112649156.51,13480
2018-03-05,76.46,78.85,76.05,78.57,1493560,2.03,2.65%,78.57,116730524.51,16191
2018-03-02,75.81,76.81,75.66,76.54,1660416,0.66,0.87%,76.54,126928596.62,14527
2018-03-01,75.87,77.23,75.57,75.88,1797949,0.06,0.08%,75.88,137111209.57,16691
2018-02-28,76.40,76.7123,75.80,75.82,1782260,-0.22,-0.29%,75.82,135580526.50,14521
2018-02-27,77.00,78.36,76.02,76.04,1873686,-0.91,-1.18%,76.04,143855592.80,17880
2018-02-26,77.96,78.00,76.55,76.95,1118804,-0.79,-1.02%,76.95,86261770.92,10839
2018-02-23,74.81,77.86,73.55,77.74,2000542,2.71,3.61%,77.74,153380618.89,17715
2018-02-22,74.70,75.83,74.30,75.03,1797459,0.59,0.79%,75.03,135025866.03,14463
2018-02-21,75.42,76.05,74.43,74.44,1197966,-0.99,-1.31%,74.44,90259745.57,12351
2018-02-20,76.25,76.71,74.84,75.43,905033,-1.29,-1.68%,75.43,68267412.99,8281
2018-02-16,76.24,77.00,76.24,76.72,1349620,0.41,0.54%,76.72,103489663.27,11289
2018-02-15,74.29,76.40,73.85,76.31,1626899,2.33,3.15%,76.31,122970550.29,9884
2018-02-14,74.53,74.92,73.73,73.98,821031,-1.07,-1.43%,73.98,60984300.06,8150
2018-02-13,74.56,75.28,73.65,75.05,757855,0.42,0.56%,75.05,56522747.82,8358
2018-02-12,74.25,75.00,73.42,74.63,1249783,0.50,0.67%,74.63,92922130.92,11965
2018-02-09,72.33,74.86,72.14,74.13,1616980,2.11,2.93%,74.13,118660867.80,15689
2018-02-08,72.57,73.70,71.99,72.02,1572721,-0.75,-1.03%,72.02,114119178.85,14115
2018-02-07,72.79,74.46,72.61,72.77,1759927,-0.10,-0.14%,72.77,129165366.67,19175
2018-02-06,73.64,74.35,71.95,73.76,2439251,-0.642,-0.87%,72.87,178900098.11,23007
2018-02-05,75.87,76.64,74.39,74.41,1697217,-1.551,-2.07%,73.5122,127868644.46,16097
2018-02-02,76.74,77.46,75.90,75.98,1209803,-1.126,-1.48%,75.0632,92590197.79,10380
2018-02-01,78.47,78.98,76.78,77.12,1843430,-1.551,-2.00%,76.1895,142604483.77,11622
2018-01-31,77.87,78.81,76.91,78.69,1632272,0.78,1.01%,77.7405,127762212.52,11003
2018-01-30,76.81,78.375,76.81,77.90,1786171,1.057,1.39%,76.9601,139249464.27,14599
2018-01-29,78.00,78.145,76.72,76.83,1055213,-1.442,-1.86%,75.903,81274749.70,8895
2018-01-26,78.29,78.53,77.45,78.29,1370052,0.207,0.27%,77.3454,106930787.12,11388
2018-01-25,76.70,78.10,76.5503,78.08,1061739,1.363,1.80%,77.1379,82325375.52,9241
2018-01-24,77.62,77.67,76.61,76.70,1945725,-0.948,-1.24%,75.7745,149518507.98,13953
2018-01-23,76.97,78.40,76.87,77.66,1321203,0.82,1.08%,76.723,102819638.88,10984
2018-01-22,77.50,77.85,76.65,76.83,1348141,-0.158,-0.21%,75.903,104067676.45,11125
2018-01-19,77.95,78.32,76.76,76.99,1382694,-0.79,-1.03%,76.061,106858631.17,10291
2018-01-18,78.54,78.6075,77.36,77.79,1069089,-0.711,-0.92%,76.8514,83244160.62,10623
2018-01-17,78.00,78.72,77.78,78.51,1347579,0.83,1.08%,77.5627,105692937.46,10602
2018-01-16,78.39,78.59,76.86,77.67,1352420,-0.543,-0.70%,76.7328,105033719.36,10905
2018-01-12,78.74,79.20,78.19,78.22,998700,-0.939,-1.20%,77.2762,78473343.86,9200
2018-01-11,79.28,79.90,78.955,79.17,1483632,-0.306,-0.39%,78.2147,117591715.38,9798
2018-01-10,79.75,79.91,79.00,79.48,981308,-0.632,-0.80%,78.521,77953566.87,9587
2018-01-09,80.74,81.02,79.82,80.12,938233,-0.711,-0.89%,79.1533,75243780.58,10144
2018-01-08,80.09,80.88,79.975,80.84,1110989,0.909,1.15%,79.8646,89470235.03,10159
2018-01-05,80.68,80.91,79.68,79.92,1328504,-0.613,-0.77%,78.9557,106360410.19,10261
2018-01-04,81.53,81.76,80.43,80.54,1095264,-1.136,-1.41%,79.5682,88721142.92,9837
2018-01-03,82.32,82.96,81.52,81.69,1474880,-0.899,-1.10%,80.7043,120826206.35,12563
2018-01-02,81.71,82.63,80.90,82.60,1813171,1.195,1.49%,81.6033,148974399.38,14072
2017-12-29,81.45,81.60,81.1008,81.39,777111,0.227,0.28%,80.4079,63260581.85,6670
2017-12-28,80.75,81.17,80.47,81.16,790609,0.652,0.82%,80.1807,63980189.87,7817
2017-12-27,79.97,80.62,79.804,80.50,1021727,0.593,0.75%,79.5287,82150418.67,6598
2017-12-26,80.53,80.85,79.82,79.90,634836,-0.405,-0.51%,78.9359,50909310.03,5537
2017-12-22,80.24,80.84,80.165,80.31,1164611,0.188,0.24%,79.341,93681306.51,8121
2017-12-21,79.825,80.80,79.66,80.12,978724,-0.079,-0.10%,79.1533,78613561.43,11180
2017-12-20,80.76,81.28,80.18,80.20,978310,-0.82,-1.02%,79.2323,78718602.79,9711
2017-12-19,82.39,82.87,80.97,81.03,1702625,-1.64,-2.01%,80.0523,138561360.88,9094
