date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,139.50,140.76,138.72,140.04,1211404,0.72,0.52%,140.04,169352315.51,11175
2018-03-09,139.01,140.07,137.64,139.32,1014743,1.07,0.77%,139.32,141007754.73,9104
2018-03-08,138.00,138.82,136.76,138.25,914974,0.48,0.35%,138.25,126114095.36,8354
2018-03-07,136.29,137.84,135.17,137.77,839334,-0.08,-0.06%,137.77,115081186.30,8629
2018-03-06,136.61,137.99,135.47,137.85,1298849,1.61,1.18%,137.85,177909637.86,13450
2018-03-05,133.93,136.90,133.50,136.24,1699258,1.68,1.25%,136.24,230780883.25,12583
2018-03-02,132.07,135.00,131.67,134.56,1106210,1.65,1.24%,134.56,148258971.12,11765
2018-03-01,133.64,134.69,130.89,132.91,1688607,-0.76,-0.57%,132.91,224186420.69,15871
2018-02-28,135.49,136.52,133.62,133.67,1188729,-1.56,-1.15%,133.67,160252933.32,12733
2018-02-27,136.93,137.8358,135.23,135.23,856245,-1.49,-1.09%,135.23,116552993.29,12907
2018-02-26,136.00,137.53,134.95,136.72,850382,1.08,0.80%,136.72,116019891.03,8320
2018-02-23,134.11,135.69,133.01,135.64,872504,1.97,1.47%,135.64,117290236.33,9551
2018-02-22,134.26,136.02,133.34,133.67,1174510,-0.58,-0.43%,133.67,157955099.01,12768
2018-02-21,134.39,136.90,134.22,134.25,939728,-0.07,-0.05%,134.25,127171866.94,10585
2018-02-20,133.81,135.93,133.00,134.32,1298383,0.50,0.37%,134.32,174755134.09,14597
2018-02-16,134.27,135.33,133.38,133.82,899858,-0.86,-0.64%,133.82,120795156.20,9062
2018-02-15,131.16,134.70,130.53,134.68,1506410,4.47,3.43%,134.68,201263816.16,13842
2018-02-14,126.33,130.63,125.97,130.21,1574786,2.86,2.25%,130.21,202324573.04,13606
2018-02-13,126.20,128.16,125.12,127.35,1051531,0.46,0.36%,127.35,133330870.00,10342
2018-02-12,126.85,128.21,124.87,126.89,1159630,0.62,0.49%,126.89,147061890.08,11787
2018-02-09,124.58,127.47,121.40,126.27,1453569,2.49,2.01%,126.27,181007819.38,17562
2018-02-08,129.97,130.33,123.70,123.78,1851931,-5.92,-4.56%,123.78,234658373.31,20139
2018-02-07,126.75,131.78,126.05,129.70,1956602,2.62,2.06%,129.70,254496621.11,21836
2018-02-06,125.06,127.62,123.37,127.08,2531169,0.38,0.30%,127.08,317477159.44,29581
2018-02-05,130.84,132.94,126.01,126.70,2604490,-5.13,-3.89%,126.70,338807798.13,23927
2018-02-02,133.76,138.48,131.45,131.83,3309483,4.85,3.82%,131.83,444575778.23,29241
