date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,64.95,64.995,64.60,64.68,1224670,-0.06,-0.09%,64.68,79282746.47,9765
2018-03-09,63.74,64.88,63.51,64.74,1102315,1.23,1.94%,64.74,71170155.57,8778
2018-03-08,62.95,63.77,62.70,63.51,1658433,0.47,0.75%,63.51,104813252.51,10940
2018-03-07,63.11,63.22,62.57,63.04,1596155,-0.68,-1.07%,63.04,100334044.72,12670
2018-03-06,63.64,63.92,62.90,63.72,990874,0.23,0.36%,63.72,62956785.80,8717
2018-03-05,63.17,63.56,62.01,63.49,2277652,0.21,0.33%,63.49,143415127.80,16051
2018-03-02,62.40,63.46,62.09,63.28,1358323,0.27,0.43%,63.28,85377703.22,13171
2018-03-01,64.89,65.24,62.69,63.01,1746499,-1.95,-3.00%,63.01,110857721.14,14852
2018-02-28,65.88,66.295,64.94,64.96,1137551,-0.56,-0.85%,64.96,74307975.51,9379
2018-02-27,66.87,67.63,65.51,65.52,1249586,-1.21,-1.81%,65.52,83055401.69,12340
2018-02-26,65.71,67.17,65.5101,66.73,1382542,1.21,1.85%,66.73,92003752.88,11837
2018-02-23,64.48,65.70,64.48,65.52,1340489,1.18,1.83%,65.52,87567221.40,11447
2018-02-22,64.20,64.87,64.13,64.34,1361562,0.35,0.55%,64.34,87851002.91,13604
2018-02-21,62.10,64.94,62.10,63.99,2144551,2.06,3.33%,63.99,137456394.59,19580
2018-02-20,64.02,65.35,60.87,61.93,2974972,-2.19,-3.42%,61.93,185059927.17,24414
2018-02-16,63.92,64.42,63.4725,64.12,2954213,-0.07,-0.11%,64.12,189303638.17,13714
2018-02-15,64.00,64.36,63.115,64.19,1226886,0.52,0.82%,64.19,78518964.28,11332
2018-02-14,62.76,63.76,62.32,63.67,1266952,0.55,0.87%,63.67,80161162.89,10841
2018-02-13,62.10,63.58,61.73,63.12,1384128,0.75,1.20%,63.12,87108150.98,12736
2018-02-12,60.76,62.40,60.70,62.37,1817845,1.75,2.89%,62.37,112650838.47,17092
2018-02-09,60.70,61.10,59.101,60.62,1370094,0.26,0.43%,60.62,82457896.23,13722
2018-02-08,62.25,62.435,60.34,60.36,1404200,-1.77,-2.85%,60.36,85903525.96,11821
2018-02-07,61.64,62.92,61.38,62.13,1621406,0.26,0.42%,62.13,101302727.78,11691
2018-02-06,60.73,62.41,60.17,61.87,1799818,0.09,0.15%,61.87,110946389.75,17252
2018-02-05,63.46,64.01,61.75,61.78,1804620,-1.83,-2.88%,61.78,113199791.91,16435
2018-02-02,64.33,64.57,63.33,63.61,965575,-0.96,-1.49%,63.61,61539692.48,9436
2018-02-01,64.48,65.07,64.08,64.57,1321749,-0.38,-0.59%,64.57,85311510.69,11190
2018-01-31,64.99,65.70,64.49,64.95,1607800,-0.01,-0.02%,64.95,104309724.55,12429
2018-01-30,66.05,66.92,64.96,64.96,913177,-1.31,-1.98%,64.96,59647628.57,9527
2018-01-29,66.90,67.33,66.14,66.27,621193,-0.78,-1.16%,66.27,41374532.43,6255
2018-01-26,66.66,67.18,60.89,67.05,683088,0.34,0.51%,67.05,45701705.50,6914
2018-01-25,67.06,67.24,65.81,66.71,726073,-0.34,-0.51%,66.71,48418212.13,8037
2018-01-24,67.03,67.54,66.27,67.05,1165069,0.16,0.24%,67.05,78182301.27,10373
2018-01-23,66.48,67.19,65.90,66.89,1160609,0.45,0.68%,66.89,77515574.44,9887
2018-01-22,66.22,66.48,65.76,66.44,501716,0.04,0.06%,66.44,33234272.91,5853
2018-01-19,66.40,66.55,66.00,66.40,928455,0.31,0.47%,66.40,61623812.64,6178
2018-01-18,66.15,66.38,65.73,66.09,691942,0.02,0.03%,66.09,45703705.99,6745
2018-01-17,65.60,66.35,65.19,66.07,915586,0.60,0.92%,66.07,60436133.45,9442
2018-01-16,66.76,66.76,65.07,65.47,1142658,-1.26,-1.89%,65.47,75070942.89,10179
2018-01-12,66.40,66.83,66.01,66.73,585335,0.34,0.51%,66.73,38977193.66,6847
2018-01-11,65.66,66.43,65.50,66.39,1123151,0.95,1.45%,66.39,74173854.58,10997
2018-01-10,66.03,66.27,65.34,65.44,1014078,-0.61,-0.92%,65.44,66541993.30,10394
2018-01-09,65.67,66.30,65.50,66.05,1081456,0.57,0.87%,66.05,71383895.46,11511
2018-01-08,65.13,65.76,65.13,65.48,1085132,0.39,0.60%,65.48,70980240.95,9835
2018-01-05,65.21,65.53,64.79,65.09,948751,0.09,0.14%,65.09,61709415.85,8695
2018-01-04,65.31,65.64,64.92,65.00,1217195,-0.07,-0.11%,65.00,79186290.72,9318
2018-01-03,64.97,65.45,64.66,65.07,845832,0.09,0.14%,65.07,55048121.88,9239
2018-01-02,66.25,66.25,64.59,64.98,1104886,0.29,0.45%,64.98,71760912.66,9408
2017-12-29,65.54,65.5601,64.68,64.69,609939,-0.67,-1.03%,64.69,39563205.89,4940
2017-12-28,65.44,65.44,64.74,65.36,695714,0.15,0.23%,65.36,45330972.43,6429
2017-12-27,65.11,65.38,64.74,65.21,516516,0.35,0.54%,65.21,33638836.40,4498
2017-12-26,64.83,65.321,64.64,64.86,347771,0.09,0.14%,64.86,22557390.73,3963
2017-12-22,64.28,64.79,63.73,64.77,620792,0.62,0.97%,64.77,40021691.70,5916
2017-12-21,64.76,64.79,63.75,64.15,662737,-0.33,-0.51%,64.15,42481116.30,7896
2017-12-20,64.60,65.185,64.21,64.48,967269,-0.19,-0.29%,64.48,62537768.33,9005
2017-12-19,64.82,65.005,64.40,64.67,913980,-0.29,-0.45%,64.67,59179766.29,8630
2017-12-18,64.66,65.48,64.62,64.96,965318,0.52,0.81%,64.96,62693222.34,7964
2017-12-15,64.27,64.63,63.78,64.44,1709683,0.38,0.59%,64.44,110079653.06,9099
2017-12-14,64.69,65.00,63.71,64.06,1331588,-0.74,-1.14%,64.06,85655097.18,11884
2017-12-13,64.25,65.05,63.91,64.80,1212253,0.45,0.70%,64.80,78559546.52,9778
2017-12-12,64.27,64.57,63.99,64.35,903040,0.19,0.30%,64.35,58098957.63,7899
2017-12-11,64.46,64.58,63.87,64.16,1083560,-0.30,-0.47%,64.16,69435055.74,7077
2017-12-08,64.49,64.58,64.00,64.46,715332,0.28,0.44%,64.46,46062740.44,5549
2017-12-07,64.16,64.64,63.77,64.18,1286416,-0.16,-0.25%,64.18,82522837.71,8869
2017-12-06,64.70,64.84,64.03,64.34,943515,-0.46,-0.71%,64.34,60703977.52,8579
2017-12-05,64.85,65.24,64.43,64.80,1181645,-0.13,-0.20%,64.80,76691002.08,10369
2017-12-04,64.66,66.01,64.35,64.93,1970896,0.46,0.71%,64.93,128756603.69,12873
2017-12-01,64.77,65.05,63.38,64.47,1634019,-0.31,-0.48%,64.47,105371578.00,12356
2017-11-30,63.56,65.41,62.691,64.78,2102275,0.79,1.23%,64.78,135928888.54,14882
2017-11-29,61.15,64.61,61.15,64.41,2181007,3.12,5.12%,63.99,138928209.17,19824
2017-11-28,60.43,61.385,60.22,61.27,880365,1.013,1.69%,60.8705,53735907.27,7919
2017-11-27,59.82,60.49,59.62,60.25,1082775,0.368,0.62%,59.8571,65197931.25,9812
2017-11-24,59.98,59.99,59.52,59.88,337873,0.06,0.10%,59.4895,20226344.13,2876
2017-11-22,59.95,60.09,59.64,59.82,955060,-0.129,-0.22%,59.4299,57168413.17,7657
2017-11-21,59.18,60.47,59.05,59.95,1494297,0.854,1.46%,59.5591,89683586.16,9471
2017-11-20,59.05,59.28,58.97,59.09,798270,-0.04,-0.07%,58.7047,47213158.68,7127
2017-11-17,59.61,59.83,58.8208,59.13,1049016,-0.646,-1.09%,58.7444,62068719.98,6440
2017-11-16,59.29,59.87,58.66,59.78,1387851,0.795,1.36%,59.3902,82787786.69,12396
2017-11-15,59.06,59.39,58.73,58.98,876015,-0.407,-0.69%,58.5954,51745671.68,8382
2017-11-14,59.10,59.73,58.96,59.39,1238351,-0.02,-0.03%,59.0027,73672142.39,12179
2017-11-13,59.86,59.90,59.39,59.41,1113206,-0.437,-0.74%,59.0226,66356773.62,9333
2017-11-10,59.25,60.22,58.9001,59.85,1024988,-0.02,-0.03%,59.4597,61399498.44,8680
2017-11-09,60.09,60.4599,59.60,59.87,1414986,-0.616,-1.02%,59.4796,84705727.17,12328
2017-11-08,60.59,61.53,57.59,60.49,2180792,-1.54,-2.50%,60.0955,132370899.17,17014
2017-11-07,59.75,62.63,58.78,62.04,3201588,4.52,7.91%,61.6354,197952722.91,24990
2017-11-06,58.04,58.06,57.30,57.49,1120617,-0.457,-0.79%,57.1151,64522124.73,11117
2017-11-03,58.20,58.37,56.445,57.95,754563,-0.209,-0.36%,57.5721,43818952.35,7025
2017-11-02,58.41,58.60,57.78,58.16,935155,-0.308,-0.53%,57.7807,54390732.93,9053
2017-11-01,58.67,58.91,58.21,58.47,660905,0.089,0.15%,58.0887,38667020.28,6751
2017-10-31,58.54,58.75,58.28,58.38,694225,-0.189,-0.32%,57.9993,40576001.01,6368
2017-10-30,59.21,59.3983,58.32,58.57,591556,-0.795,-1.35%,58.1881,34735738.26,6690
2017-10-27,59.28,59.62,59.16,59.37,698247,0.139,0.24%,58.9828,41455786.73,6978
2017-10-26,59.03,59.74,58.96,59.23,860983,0.387,0.66%,58.8438,51135283.65,7571
2017-10-25,59.16,59.18,58.57,58.84,835393,-0.378,-0.64%,58.4563,49176962.78,7310
2017-10-24,59.36,59.66,59.17,59.22,670861,0.03,0.05%,58.8338,39816652.26,6346
2017-10-23,59.05,59.28,58.9008,59.19,800478,0.268,0.46%,58.804,47340649.15,6124
2017-10-20,58.99,59.23,58.74,58.92,908242,0.01,0.02%,58.5358,53592512.17,7863
2017-10-19,58.55,58.97,58.325,58.91,715088,0.219,0.37%,58.5258,41975569.78,6650
2017-10-18,58.17,58.84,57.92,58.69,949887,0.666,1.15%,58.3073,55572284.99,8640
2017-10-17,58.87,59.06,57.93,58.02,956561,-0.844,-1.44%,57.6417,55598732.59,7952
2017-10-16,59.99,60.18,58.46,58.87,1160038,-1.292,-2.16%,58.4861,68317229.34,11941
2017-10-13,60.50,60.81,60.11,60.17,655064,-0.268,-0.45%,59.7776,39554259.83,5708
2017-10-12,60.25,60.50,60.14,60.44,777787,0.179,0.30%,60.0459,46966270.55,7788
2017-10-11,59.97,60.34,59.82,60.26,815368,0.298,0.50%,59.867,49080134.19,6792
2017-10-10,60.16,60.29,59.86,59.96,749295,-0.03,-0.05%,59.569,44945811.69,6213
2017-10-09,60.29,60.50,59.81,59.99,585358,-0.348,-0.58%,59.5988,35150519.61,4136
2017-10-06,60.13,60.46,60.04,60.34,534308,0.07,0.12%,59.9465,32218994.14,4872
2017-10-05,59.99,60.28,59.65,60.27,726812,0.169,0.28%,59.877,43692729.29,6355
2017-10-04,60.14,60.47,59.99,60.10,997940,-0.139,-0.23%,59.7081,60048393.96,7985
2017-10-03,60.21,60.43,59.80,60.24,875714,-0.099,-0.17%,59.8472,52647004.43,6575
2017-10-02,59.83,60.36,59.50,60.34,1042150,0.477,0.80%,59.9465,62590602.53,9724
2017-09-29,59.81,60.30,59.64,59.86,1213265,0.228,0.39%,59.4697,72623496.26,9352
2017-09-28,59.29,59.75,59.15,59.63,725352,0.228,0.39%,59.2412,43220608.84,6696
2017-09-27,59.19,59.48,58.66,59.40,794677,0.447,0.76%,59.0127,47075967.75,7446
2017-09-26,58.09,59.10,57.92,58.95,885554,0.864,1.50%,58.5656,52051055.82,8181
2017-09-25,58.06,58.11,57.70,58.08,540382,-0.109,-0.19%,57.7013,31334298.85,5291
2017-09-22,57.80,58.63,57.80,58.19,774974,0.437,0.76%,57.8105,45136688.24,5004
2017-09-21,58.02,58.50,57.64,57.75,455795,-0.238,-0.41%,57.3734,26367846.04,4898
2017-09-20,57.28,58.04,57.28,57.99,1103150,0.864,1.52%,57.6118,63866269.14,7661
2017-09-19,57.08,57.19,56.72,57.12,556782,0.228,0.40%,56.7475,31746192.97,5548
2017-09-18,57.06,57.1315,56.80,56.89,566150,-0.01,-0.02%,56.519,32227919.47,5353
2017-09-15,56.98,57.06,56.77,56.90,1322338,-0.139,-0.25%,56.529,75300972.46,7183
2017-09-14,56.82,57.21,56.765,57.04,1704824,0.318,0.56%,56.668,97207011.87,9706
2017-09-13,57.46,57.49,56.69,56.72,1270940,-1.232,-2.14%,56.3501,72356662.96,9542
2017-09-12,57.28,58.18,56.86,57.96,898510,0.805,1.42%,57.582,51988372.63,7871
2017-09-11,57.06,57.45,56.86,57.15,1254275,0.179,0.32%,56.7773,71574293.53,8729
