date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,112.77,114.99,112.1701,114.44,1774109,2.22,1.98%,114.44,202371456.91,18382
2018-03-09,110.98,112.63,110.07,112.22,1948406,1.89,1.71%,112.22,217352288.08,19937
2018-03-08,111.41,112.58,109.75,110.33,1822739,-1.02,-0.92%,110.33,201775889.46,17996
2018-03-07,107.94,112.36,107.4355,111.35,3210228,3.04,2.81%,111.35,355901789.18,27929
2018-03-06,107.98,109.38,106.96,108.61,1583204,0.947,0.88%,108.31,171229579.44,15447
2018-03-05,104.39,108.57,103.80,107.66,2308736,3.151,3.02%,107.3626,247538645.18,22650
2018-03-02,103.00,104.86,101.3673,104.50,1882431,0.539,0.52%,104.2114,194556148.61,20882
2018-03-01,104.99,105.595,102.73,103.96,2074500,-1.207,-1.15%,103.6729,215801001.40,23077
2018-02-28,105.41,106.60,103.93,105.17,2175844,1.456,1.41%,104.8795,229579503.77,21857
2018-02-27,106.04,106.94,103.69,103.71,2502156,-2.902,-2.73%,103.4236,261735025.79,27594
2018-02-26,106.59,107.465,105.21,106.62,1796082,0.239,0.23%,106.3255,190926280.77,19271
2018-02-23,105.13,106.84,104.27,106.38,2413446,1.845,1.77%,106.0862,255016923.64,24079
2018-02-22,103.14,104.83,102.31,104.53,2137319,1.536,1.50%,104.2413,222780079.69,20607
2018-02-21,104.53,105.31,102.90,102.99,2056508,-1.107,-1.07%,102.7055,213434296.16,21880
2018-02-20,103.75,106.18,102.74,104.10,2951229,0.249,0.24%,103.8125,308601818.02,28820
2018-02-16,102.00,104.27,101.44,103.85,2685789,1.616,1.58%,103.5632,277148363.70,24255
2018-02-15,101.48,102.9699,99.07,102.23,3931760,2.124,2.13%,101.9476,400400546.09,38125
2018-02-14,100.69,101.10,99.08,100.10,4011129,-1.655,-1.63%,99.8235,401212600.62,35044
2018-02-13,102.07,102.92,100.19,101.76,2958075,-1.057,-1.03%,101.4789,300622799.43,28040
2018-02-12,104.17,105.73,100.38,102.82,4820580,-1.177,-1.13%,102.536,493892003.28,41191
2018-02-09,105.00,107.99,98.52,104.00,17183644,-18.977,-15.47%,103.7128,1775149315.31,132304
2018-02-08,129.13,130.93,122.305,123.03,4892256,-6.283,-4.87%,122.6902,619421873.34,41812
2018-02-07,127.13,132.441,126.53,129.33,3157948,2.044,1.61%,128.9728,410373460.46,29826
2018-02-06,123.37,128.22,123.15,127.28,3570871,2.224,1.78%,126.9285,452663511.99,37726
2018-02-05,125.33,128.24,124.51,125.05,3227631,-1.586,-1.26%,124.7046,407907324.75,29923
2018-02-02,128.35,128.84,125.97,126.64,1909019,-2.463,-1.91%,126.2902,242032929.36,21025
2018-02-01,127.25,130.64,127.25,129.11,2196097,1.097,0.86%,128.7534,284506584.41,19929
2018-01-31,129.17,129.62,127.07,128.01,1334174,-0.878,-0.68%,127.6564,170975469.44,16065
2018-01-30,130.00,130.34,127.98,128.89,1437746,-1.506,-1.16%,128.534,185548685.28,14459
2018-01-29,131.60,131.75,129.3794,130.40,1296683,-1.356,-1.03%,130.0398,169515150.75,13166
2018-01-26,131.90,132.30,130.86,131.76,1538668,0.648,0.50%,131.3961,202729890.39,14700
2018-01-25,131.76,132.23,130.45,131.11,1407463,0.678,0.52%,130.7479,184733942.41,13181
2018-01-24,130.37,131.70,129.44,130.43,1701225,1.496,1.16%,130.0698,222122515.92,17741
2018-01-23,128.19,129.07,127.56,128.93,1489885,0.738,0.58%,128.5739,191475023.13,13186
2018-01-22,126.52,128.2538,125.39,128.19,1509715,1.915,1.52%,127.8359,192498792.69,15391
2018-01-19,127.43,128.16,124.60,126.27,2319076,-0.618,-0.49%,125.9212,291485882.27,21180
2018-01-18,130.31,130.415,126.75,126.89,2824603,-3.74,-2.87%,126.5395,360716019.33,21464
2018-01-17,131.82,131.82,129.25,130.64,1885220,0.04,0.03%,130.2792,245645340.49,17540
2018-01-16,132.82,133.68,129.9001,130.60,3182351,-1.755,-1.33%,130.2393,418156287.90,19259
2018-01-12,130.34,132.789,128.87,132.36,2245457,2.942,2.28%,131.9944,295159735.95,20223
2018-01-11,130.01,131.23,128.34,129.41,2483382,2.224,1.75%,129.0526,322188927.00,22040
2018-01-10,128.13,128.13,126.38,127.18,1234133,-0.10,-0.08%,126.8287,157022618.00,11519
2018-01-09,128.43,128.88,127.08,127.28,1283389,-0.927,-0.73%,126.9285,163725233.04,12940
2018-01-08,126.56,128.28,126.10,128.21,1760509,1.087,0.86%,127.8559,224157116.51,16021
2018-01-05,126.47,127.35,125.41,127.12,1618081,0.977,0.78%,126.7689,204995597.72,15248
2018-01-04,125.92,126.65,123.94,126.14,2261723,0.967,0.77%,125.7916,283732940.01,22029
2018-01-03,124.48,127.75,124.30,125.17,2451030,3.74,3.09%,124.8243,308610260.85,23978
2018-01-02,120.64,122.67,120.01,121.42,1550213,1.645,1.38%,121.0846,188343205.95,16238
