date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,88.26,88.479,87.29,87.56,1119206,-0.63,-0.71%,87.56,98118265.09,10558
2018-03-09,87.49,88.19,86.63,88.19,730259,1.14,1.31%,88.19,64035192.18,8255
2018-03-08,86.18,87.13,85.73,87.05,576739,0.86,1.00%,87.05,50109400.50,7014
2018-03-07,86.12,86.87,85.54,86.19,647073,-0.06,-0.07%,86.19,55733359.04,7320
2018-03-06,85.99,86.59,84.75,86.25,703556,0.03,0.03%,86.25,60247316.16,7142
2018-03-05,84.64,87.02,84.64,86.22,869419,1.17,1.38%,86.22,74967589.47,9056
2018-03-02,85.88,86.30,84.17,85.05,844082,-0.81,-0.94%,85.05,71762312.88,9211
2018-03-01,85.12,86.86,85.02,85.86,975742,0.81,0.95%,85.86,83920431.43,14013
2018-02-28,85.36,86.55,84.80,85.05,1953892,0.17,0.20%,85.05,166811939.03,9475
2018-02-27,86.86,87.24,84.87,84.88,974470,-1.78,-2.05%,84.88,83493896.36,10670
2018-02-26,87.11,87.79,86.36,86.66,1326622,0.06,0.07%,86.66,115186921.48,14275
2018-02-23,84.91,86.63,84.43,86.60,959147,2.17,2.57%,86.60,82487740.22,10012
2018-02-22,81.77,84.71,80.18,84.43,1446604,2.93,3.60%,84.43,121441589.92,14063
2018-02-21,82.63,86.00,81.40,81.50,2656932,0.75,0.93%,81.50,220288466.60,21622
2018-02-20,82.00,82.49,80.61,80.75,1226616,-1.45,-1.76%,80.75,99845600.36,12604
2018-02-16,82.37,83.16,81.37,82.20,1212016,-0.31,-0.38%,82.20,99542581.98,11047
2018-02-15,81.71,82.87,81.45,82.51,1124790,1.37,1.69%,82.51,92604101.30,10717
2018-02-14,81.46,81.67,80.18,81.14,1056878,-1.44,-1.74%,81.14,85655821.05,11040
2018-02-13,80.80,83.02,80.72,82.58,971564,1.78,2.20%,82.58,79776454.00,11056
2018-02-12,80.67,81.09,78.61,80.80,1196394,0.41,0.51%,80.80,95924610.93,11936
2018-02-09,78.17,81.10,77.63,80.39,2314948,2.83,3.65%,80.39,184335626.16,24111
2018-02-08,80.25,80.60,77.53,77.56,1216440,-2.86,-3.56%,77.56,96084126.23,10898
2018-02-07,79.52,81.10,79.28,80.42,1103119,0.69,0.87%,80.42,88923254.34,10114
2018-02-06,79.06,80.89,77.60,79.73,1320985,-0.14,-0.18%,79.73,104510018.89,13433
2018-02-05,81.32,82.14,78.92,79.87,1111843,-1.97,-2.41%,79.87,89602625.73,11585
2018-02-02,81.60,82.5499,80.65,81.84,1219523,-0.22,-0.27%,81.84,99676546.54,11509
2018-02-01,83.54,83.54,81.72,82.06,1202921,-1.42,-1.70%,82.06,99216049.56,9484
2018-01-31,82.94,83.89,82.72,83.48,4801633,0.57,0.69%,83.48,400272601.76,15475
2018-01-30,82.32,83.29,81.66,82.91,1009933,0.12,0.14%,82.91,83507287.72,10387
2018-01-29,83.91,83.91,82.34,82.79,1210469,-1.42,-1.69%,82.79,100310356.77,12258
2018-01-26,85.25,85.25,83.78,84.21,1022576,-0.79,-0.93%,84.21,86164102.58,9721
2018-01-25,85.22,85.30,84.24,85.00,865013,-0.54,-0.63%,85.00,73374687.93,9065
2018-01-24,86.69,86.99,85.07,85.54,808705,-1.18,-1.36%,85.54,69365418.69,8102
2018-01-23,85.38,87.04,85.13,86.72,1231071,1.57,1.84%,86.72,106621556.17,11415
2018-01-22,83.80,85.43,83.33,85.15,1252377,1.51,1.81%,85.15,106059598.89,12179
2018-01-19,82.79,83.65,82.54,83.64,1020163,0.94,1.14%,83.64,85008040.45,8172
2018-01-18,83.46,83.46,82.13,82.70,1083069,-0.76,-0.91%,82.70,89459630.02,9578
2018-01-17,83.03,84.04,82.875,83.46,1169601,0.75,0.91%,83.46,97512885.69,9131
2018-01-16,82.36,84.11,82.36,82.71,882748,0.46,0.56%,82.71,73283688.34,7862
2018-01-12,82.28,82.29,81.36,82.25,835116,0.00,0.00%,82.25,68548252.07,7129
2018-01-11,82.38,83.16,82.135,82.25,838393,-0.11,-0.13%,82.25,69156172.10,7929
2018-01-10,82.74,82.79,80.4801,82.36,1056858,-0.75,-0.90%,82.36,86429699.28,11334
2018-01-09,84.86,85.44,83.0098,83.11,1045135,-2.06,-2.42%,83.11,87205206.34,10067
