date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,57.89,58.11,57.50,57.81,1810141,-0.16,-0.28%,57.81,104672541.90,16272
2018-03-09,56.87,58.00,56.76,57.97,2628485,1.45,2.57%,57.97,151264575.22,21379
2018-03-08,56.74,56.89,56.24,56.52,1694956,-0.12,-0.21%,56.52,95808825.22,15194
2018-03-07,56.13,56.735,55.65,56.64,2504993,0.17,0.30%,56.64,140950487.71,18699
2018-03-06,56.06,56.89,55.72,56.47,2361938,1.20,2.17%,56.47,133143637.84,21482
2018-03-05,53.92,55.605,53.77,55.27,3145838,0.86,1.58%,55.27,173362992.26,23126
2018-03-02,53.45,54.58,52.72,54.41,2157308,0.62,1.15%,54.41,116259871.59,18695
2018-03-01,54.70,55.43,53.5704,53.79,2888235,-0.93,-1.70%,53.79,156887787.24,26930
2018-02-28,55.54,55.81,54.67,54.72,1751319,-0.63,-1.14%,54.72,96451265.20,15863
2018-02-27,55.96,56.51,55.35,55.35,1335912,-0.71,-1.27%,55.35,74547265.45,14056
2018-02-26,55.56,56.12,55.03,56.06,1221607,0.86,1.56%,56.06,68172136.57,12573
2018-02-23,54.62,55.23,54.245,55.20,1189868,1.01,1.86%,55.20,65161141.08,11410
2018-02-22,54.54,54.8499,53.96,54.19,1202958,-0.19,-0.35%,54.19,65344563.08,10975
2018-02-21,54.29,55.14,54.22,54.38,2027258,0.14,0.26%,54.38,110917640.63,16905
2018-02-20,54.63,54.87,54.06,54.24,1431669,-0.51,-0.93%,54.24,77937937.19,13931
2018-02-16,55.52,55.72,54.50,54.75,1992312,-0.92,-1.65%,54.75,109720365.39,16884
2018-02-15,54.96,55.87,54.64,55.67,2491244,1.02,1.87%,55.67,137946288.81,21136
2018-02-14,53.38,54.735,52.81,54.65,2549880,1.08,2.02%,54.65,138033770.89,20360
2018-02-13,52.42,53.67,52.35,53.57,1933770,0.73,1.38%,53.57,102817001.95,16937
2018-02-12,53.78,53.96,52.60,52.84,3428028,-0.64,-1.20%,52.84,182330799.99,25678
2018-02-09,52.56,53.97,51.54,53.48,3700891,1.33,2.55%,53.48,195735354.54,35204
2018-02-08,53.09,53.57,52.15,52.15,2825548,-1.09,-2.05%,52.15,149316205.56,26941
2018-02-07,52.83,53.95,52.72,53.24,2734556,0.22,0.41%,53.24,146050770.99,23206
2018-02-06,51.45,53.47,51.45,53.02,5624019,0.96,1.84%,53.02,295724917.20,51401
2018-02-05,53.33,54.22,51.33,52.06,4582867,-1.50,-2.80%,52.06,241953677.72,39863
2018-02-02,54.04,54.36,53.36,53.56,2684006,-0.94,-1.72%,53.56,144181718.40,22235
2018-02-01,54.58,55.44,53.99,54.50,3183662,-0.46,-0.84%,54.50,173612392.18,19786
2018-01-31,56.00,56.26,54.37,54.96,3551507,-0.87,-1.56%,54.96,195327454.75,24873
2018-01-30,55.90,56.20,55.06,55.83,2752456,-0.27,-0.48%,55.83,152930080.34,21142
2018-01-29,57.37,57.79,56.35,56.47,2383538,-1.212,-2.11%,56.10,135205544.73,19427
2018-01-26,57.17,57.815,56.65,57.69,2670276,0.586,1.03%,57.312,153041691.27,18503
2018-01-25,57.34,57.68,56.28,57.10,4142036,0.238,0.42%,56.7259,236493492.78,34501
2018-01-24,55.63,57.05,55.54,56.86,5483758,2.434,4.50%,56.4875,309663339.51,39683
2018-01-23,54.17,54.79,53.77,54.41,2956462,0.079,0.15%,54.0535,160757006.31,19674
2018-01-22,53.84,54.43,53.33,54.33,3103656,0.581,1.09%,53.974,167549283.19,23946
2018-01-19,53.42,53.90,53.23,53.745,3469469,0.452,0.85%,53.3929,185936396.74,20805
2018-01-18,52.35,53.89,52.35,53.29,5823353,1.083,2.09%,52.9408,310181019.84,31257
2018-01-17,52.80,54.05,51.50,52.20,8706489,-3.219,-5.84%,51.858,456873184.40,59646
2018-01-16,55.98,56.145,55.03,55.44,3767892,-0.149,-0.27%,55.0768,209690216.92,25711
2018-01-12,55.34,55.61,55.08,55.59,2125570,0.497,0.91%,55.2258,117799021.38,17082
2018-01-11,54.52,55.14,54.32,55.09,2109563,0.676,1.25%,54.7291,115806483.96,14965
2018-01-10,53.58,55.22,53.08,54.41,3101121,-0.944,-1.72%,54.0535,169195704.23,25749
2018-01-09,55.63,55.915,54.93,55.36,1917708,-0.109,-0.20%,54.9973,106504529.70,16288
2018-01-08,54.76,55.69,54.665,55.47,2258590,0.576,1.06%,55.1066,124792355.50,14782
2018-01-05,55.04,55.3318,54.62,54.89,1742035,0.109,0.20%,54.5304,95611272.18,12520
2018-01-04,54.97,55.14,54.58,54.78,2090073,0.219,0.40%,54.4211,114565031.51,14827
2018-01-03,54.57,54.76,53.92,54.56,2030649,0.02,0.04%,54.2025,110603328.62,16386
2018-01-02,55.13,55.29,54.13,54.54,2081638,-0.149,-0.27%,54.1827,113557308.01,13341
2017-12-29,55.06,55.45,54.68,54.69,1254204,-0.447,-0.82%,54.3317,68871507.25,8177
2017-12-28,54.73,55.175,54.33,55.14,1847183,0.427,0.79%,54.7787,101411405.14,13672
2017-12-27,54.31,54.75,53.93,54.71,1295382,0.576,1.07%,54.3515,70627421.05,9782
2017-12-26,53.95,54.5322,53.95,54.13,628892,0.079,0.15%,53.7753,34061074.98,5739
2017-12-22,54.12,54.16,53.47,54.05,1210374,-0.06,-0.11%,53.6959,65334730.94,9099
