date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,63.69,63.69,62.43,62.76,1829745,-0.76,-1.20%,62.76,115037219.06,10361
2018-03-09,62.45,63.55,61.88,63.52,1236366,1.55,2.50%,63.52,77939423.40,9817
2018-03-08,62.11,62.26,61.71,61.97,1407656,0.18,0.29%,61.97,87203071.58,11553
2018-03-07,61.56,62.16,61.35,61.79,1025091,-0.44,-0.71%,61.79,63313786.13,9723
2018-03-06,61.28,62.27,61.02,62.23,1614643,1.13,1.85%,62.23,99897734.75,11408
2018-03-05,59.71,61.41,59.38,61.10,2378398,1.09,1.82%,61.10,144765791.71,16040
2018-03-02,59.60,60.23,59.11,60.01,2014718,0.11,0.18%,60.01,120540170.97,16030
2018-03-01,60.68,60.995,59.43,59.90,2307070,-0.76,-1.25%,59.90,139053921.68,21798
2018-02-28,62.88,62.88,60.65,60.66,2097357,-1.86,-2.98%,60.66,128837016.28,18305
2018-02-27,63.70,64.01,62.49,62.52,1431308,-0.99,-1.56%,62.52,89998060.67,8900
2018-02-26,63.92,63.93,63.11,63.51,1311866,-0.01,-0.02%,63.51,83255782.37,9690
2018-02-23,63.52,63.55,63.12,63.52,1797496,0.26,0.41%,63.52,113933284.55,9143
2018-02-22,63.64,64.17,63.21,63.26,1661186,-0.02,-0.03%,63.26,105684988.88,13094
2018-02-21,63.92,64.73,63.45,63.48,1842413,-0.349,-0.55%,63.28,118021783.88,12044
2018-02-20,63.78,64.44,63.55,63.83,1879733,0.01,0.02%,63.6289,120003006.24,13757
2018-02-16,62.69,64.29,62.69,63.82,3327072,0.907,1.45%,63.6189,212254497.49,17380
2018-02-15,63.70,63.82,62.46,62.91,2158885,-0.249,-0.40%,62.7118,135634678.96,18384
2018-02-14,62.53,63.31,62.47,63.16,1631419,0.08,0.13%,62.961,102733743.37,13781
2018-02-13,63.03,63.27,62.62,63.08,1314167,-0.07,-0.11%,62.8812,82801701.77,10804
2018-02-12,62.48,63.69,62.01,63.15,3198096,1.435,2.33%,62.951,201198778.65,26056
2018-02-09,62.75,63.52,61.09,61.71,3588374,-0.728,-1.17%,61.5156,222726247.55,31193
2018-02-08,63.48,64.60,62.43,62.44,3572888,-0.957,-1.51%,62.2433,226489607.77,27436
2018-02-07,64.02,64.87,63.28,63.40,3292289,-0.758,-1.18%,63.2002,210098759.20,24005
2018-02-06,61.93,64.43,61.01,64.16,2912828,1.176,1.87%,63.9578,184769325.31,26121
2018-02-05,64.58,65.555,62.98,62.98,3063710,-1.914,-2.96%,62.7816,197090768.21,29140
2018-02-02,64.29,67.84,64.29,64.90,4064665,-4.904,-7.05%,64.6955,269692327.46,29711
2018-02-01,70.79,71.02,69.76,69.82,1728394,-1.107,-1.56%,69.60,121443438.73,14560
2018-01-31,71.12,71.62,70.82,70.93,1261253,0.11,0.16%,70.7065,89641284.20,10678
2018-01-30,71.02,71.14,70.38,70.82,1051984,-0.778,-1.09%,70.5968,74544303.69,10341
2018-01-29,72.60,72.65,71.56,71.60,1193001,-1.465,-2.01%,71.3744,85808521.24,11467
2018-01-26,72.65,73.10,72.32,73.07,530972,0.588,0.81%,72.8398,38667307.41,4729
2018-01-25,73.38,73.38,72.23,72.48,847408,-0.648,-0.89%,72.2516,61498545.04,6977
2018-01-24,72.67,73.62,72.57,73.13,1038420,0.628,0.87%,72.8996,75978013.83,8895
2018-01-23,72.58,73.11,72.13,72.50,897286,-0.339,-0.47%,72.2716,65130695.01,6857
2018-01-22,72.75,72.86,72.33,72.84,635814,0.199,0.28%,72.6105,46223286.77,7125
