date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,18.39,18.58,18.19,18.56,10999075,0.13,0.71%,18.56,202885120.77,44203
2018-03-09,18.11,18.44,18.08,18.43,15467350,0.56,3.13%,18.43,283351751.82,61250
2018-03-08,18.03,18.11,17.71,17.87,12134387,-0.25,-1.38%,17.87,216832552.65,45521
2018-03-07,18.35,18.52,18.07,18.12,13955347,-0.58,-3.10%,18.12,254481097.44,54711
2018-03-06,18.60,18.89,18.415,18.70,18429775,0.51,2.80%,18.70,345105848.70,70467
2018-03-05,18.19,18.39,18.05,18.19,16410834,-0.13,-0.71%,18.19,299023053.54,56347
2018-03-02,18.28,18.5367,18.04,18.32,16260616,-0.22,-1.19%,18.32,297776579.39,64320
2018-03-01,18.75,18.75,18.20,18.54,15127720,-0.06,-0.32%,18.54,279793928.36,69667
2018-02-28,18.98,19.17,18.60,18.60,17068423,-0.49,-2.57%,18.60,321130482.05,54233
2018-02-27,19.40,19.42,18.94,19.09,15050376,-0.44,-2.25%,19.09,288217243.91,52925
2018-02-26,19.60,19.74,19.26,19.53,13857759,-0.02,-0.10%,19.53,270326145.65,49178
2018-02-23,19.17,19.63,19.17,19.55,15111653,0.39,2.04%,19.55,294097278.48,60908
2018-02-22,18.93,19.40,18.91,19.16,16885254,0.43,2.30%,19.16,324028615.24,64188
2018-02-21,18.44,19.135,18.44,18.73,16481498,0.30,1.63%,18.73,310081568.37,67578
2018-02-20,18.32,18.76,18.27,18.43,12946545,-0.30,-1.60%,18.43,239468022.29,54688
2018-02-16,19.04,19.26,18.65,18.73,16549355,-0.39,-2.04%,18.73,312777546.81,58410
2018-02-15,19.27,19.35,18.77,19.12,21663125,0.00,0.00%,19.12,412178646.96,80022
2018-02-14,17.56,19.18,17.33,19.12,35128651,1.32,7.42%,19.12,651624953.85,114204
2018-02-13,17.65,17.97,17.50,17.80,23234584,0.23,1.31%,17.80,412828975.08,78260
2018-02-12,17.74,17.89,17.3825,17.57,26314090,0.00,0.00%,17.57,463316156.06,104719
2018-02-09,17.44,17.75,16.64,17.57,34794826,0.41,2.39%,17.57,599241956.16,128388
2018-02-08,17.87,18.13,16.86,17.16,29904049,-0.70,-3.92%,17.16,519141228.38,105250
2018-02-07,18.37,18.48,17.775,17.86,31024247,-0.88,-4.70%,17.86,561570546.46,97769
2018-02-06,17.24,18.785,17.07,18.74,38602352,1.09,6.18%,18.74,707857929.63,132063
2018-02-05,18.14,18.65,17.36,17.65,29891974,-0.32,-1.78%,17.65,539672538.33,107628
2018-02-02,19.26,19.28,17.925,17.97,25449182,-1.48,-7.61%,17.97,467254132.74,89448
2018-02-01,19.45,19.69,19.30,19.45,10716705,-0.05,-0.26%,19.45,208574171.13,44479
2018-01-31,19.44,19.58,19.2855,19.50,15107609,0.37,1.93%,19.50,294092331.03,50644
2018-01-30,19.47,19.71,19.11,19.13,16342622,-0.50,-2.55%,19.13,316204224.87,56166
2018-01-29,19.50,19.76,19.36,19.63,17668879,0.09,0.46%,19.63,346538274.98,58085
2018-01-26,19.70,19.73,19.36,19.54,18346672,-0.28,-1.41%,19.54,359286492.07,65814
2018-01-25,19.96,20.25,19.33,19.82,31662853,0.22,1.12%,19.82,627467982.27,105192
2018-01-24,19.89,20.14,19.40,19.60,26371285,0.05,0.26%,19.60,518086652.24,88887
2018-01-23,19.60,19.72,18.94,19.55,27792123,-0.44,-2.20%,19.55,536576988.13,88229
2018-01-22,19.85,20.18,19.69,19.99,17637649,0.03,0.15%,19.99,351694756.34,69239
2018-01-19,19.48,20.16,19.41,19.96,22636088,0.56,2.89%,19.96,449779634.46,74246
2018-01-18,19.70,19.805,19.37,19.40,23340984,-0.37,-1.87%,19.40,455203129.01,49393
2018-01-17,19.34,19.82,19.31,19.77,16886551,0.45,2.33%,19.77,331924292.37,59759
2018-01-16,19.50,19.745,19.13,19.32,22835370,-0.43,-2.18%,19.32,443593823.41,71729
2018-01-12,19.94,20.07,19.61,19.75,14187599,-0.13,-0.65%,19.75,280678108.99,50347
2018-01-11,19.64,19.94,19.37,19.88,21236145,0.37,1.90%,19.88,419110547.89,64646
2018-01-10,19.07,19.74,19.00,19.51,28035239,0.59,3.12%,19.51,546820299.85,81496
2018-01-09,19.78,19.79,18.85,18.92,32628483,-0.89,-4.49%,18.92,625138829.08,108715
2018-01-08,19.96,19.9901,19.72,19.81,15237170,-0.09,-0.45%,19.81,302200316.33,50744
2018-01-05,19.69,19.91,19.53,19.90,13870616,0.16,0.81%,19.90,274292887.81,48528
2018-01-04,19.63,19.82,19.315,19.74,19540525,0.27,1.39%,19.74,383775598.35,67590
2018-01-03,19.81,19.85,19.16,19.47,20673587,-0.30,-1.52%,19.47,401099962.64,66822
2018-01-02,19.05,19.7899,18.98,19.77,21899857,0.81,4.27%,19.77,429028403.96,68856
2017-12-29,19.37,19.4458,18.68,18.96,15589690,-0.31,-1.61%,18.96,296124368.74,47843
2017-12-28,18.84,19.30,18.70,19.27,18291666,0.58,3.10%,19.27,348563078.92,56361
2017-12-27,18.73,19.06,18.50,18.69,17299489,0.02,0.11%,18.69,324191974.07,55052
2017-12-26,18.10,18.79,18.03,18.67,16561215,0.57,3.15%,18.67,307145088.33,54218
2017-12-22,18.13,18.31,18.01,18.10,13649056,-0.08,-0.44%,18.10,247965921.81,41655
2017-12-21,17.77,18.345,17.73,18.18,20761700,0.52,2.94%,18.18,376124978.09,68486
2017-12-20,17.54,17.68,17.37,17.66,20886491,0.33,1.90%,17.66,367289737.92,63768
2017-12-19,17.26,17.45,17.195,17.33,17764819,-0.02,-0.12%,17.33,308054130.36,56043
2017-12-18,16.985,17.46,16.82,17.35,25429218,0.37,2.18%,17.35,438199717.52,80280
2017-12-15,16.43,16.99,16.38,16.98,36565956,0.79,4.88%,16.98,614710030.35,89763
2017-12-14,16.34,16.44,16.15,16.19,23485241,-0.13,-0.80%,16.19,382617272.06,76179
2017-12-13,15.70,16.35,15.68,16.32,27314271,0.61,3.88%,16.32,439173871.99,84373
2017-12-12,15.15,15.745,15.11,15.71,24138467,0.69,4.59%,15.71,375981896.50,76359
2017-12-11,15.05,15.16,14.95,15.02,15508974,0.05,0.33%,15.02,233549143.18,44395
2017-12-08,14.97,15.00,14.85,14.97,12024545,0.13,0.88%,14.97,179548101.03,38037
2017-12-07,14.20,14.87,14.20,14.84,20610031,0.49,3.41%,14.84,303237756.26,65596
2017-12-06,14.11,14.46,14.11,14.35,22659379,0.24,1.70%,14.35,324747920.52,53422
2017-12-05,13.92,14.14,13.81,14.11,19535161,-0.19,-1.33%,14.11,273920152.17,64144
2017-12-04,14.25,14.65,14.20,14.30,16978959,0.19,1.35%,14.30,244977446.22,64028
2017-12-01,13.94,14.31,13.84,14.11,13706073,0.19,1.36%,14.11,193148050.33,50000
2017-11-30,14.10,14.15,13.84,13.92,18073300,-0.09,-0.64%,13.92,252063941.36,48968
2017-11-29,14.07,14.185,13.84,14.01,11271253,-0.20,-1.41%,14.01,157704621.79,42614
2017-11-28,13.96,14.25,13.88,14.21,11794120,0.12,0.85%,14.21,166258501.64,41218
2017-11-27,14.25,14.30,13.965,14.09,11047393,-0.26,-1.81%,14.09,155522668.80,37667
2017-11-24,14.28,14.54,14.25,14.35,6136288,0.11,0.77%,14.35,88416865.62,21207
