date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,247.08,248.50,245.65,246.54,1277097,-0.58,-0.23%,246.54,315412496.41,16377
2018-03-09,242.43,247.3899,240.94,247.12,1644863,7.15,2.98%,247.12,403395500.53,17767
2018-03-08,242.00,242.01,236.18,240.47,1837494,-1.207,-0.50%,239.9701,439165091.95,19672
2018-03-07,240.00,243.41,239.50,241.68,1648170,-1.357,-0.56%,241.1775,397657422.22,18304
2018-03-06,243.57,244.62,241.58,243.04,1434938,1.098,0.45%,242.5347,348725721.35,16954
2018-03-05,239.40,243.11,237.195,241.94,1064196,0.629,0.26%,241.437,256628699.76,12757
2018-03-02,241.58,242.82,238.00,241.31,1729861,-2.385,-0.98%,240.8083,416516642.55,21848
2018-03-01,246.35,250.47,242.49,243.70,1967791,-2.704,-1.10%,243.1933,483490213.80,23957
2018-02-28,249.56,251.60,246.26,246.41,1739389,-2.325,-0.94%,245.8977,431714196.44,16572
2018-02-27,254.63,255.92,248.61,248.74,1393714,-5.758,-2.27%,248.2229,350289389.72,16520
2018-02-26,253.00,255.15,250.00,254.51,1534266,2.285,0.91%,253.9809,388494249.40,17614
2018-02-23,248.22,252.24,247.50,252.22,1806885,6.776,2.77%,251.6956,452468176.51,21630
2018-02-22,244.15,248.19,244.05,245.43,1383457,2.126,0.88%,244.9198,340266580.99,15024
2018-02-21,241.00,247.75,241.00,243.30,1281339,2.315,0.96%,242.7942,313507784.78,16985
2018-02-20,243.36,244.30,240.25,240.98,1125377,-3.203,-1.31%,240.479,272163512.21,15937
2018-02-16,244.00,247.72,242.60,244.19,1476758,-0.838,-0.34%,243.6823,361609497.59,19006
2018-02-15,241.92,245.13,238.67,245.03,1707730,4.201,1.75%,244.5206,413451479.58,22455
2018-02-14,239.75,242.33,238.85,240.82,1817122,0.499,0.21%,240.3193,437290701.86,23675
2018-02-13,238.74,241.53,236.72,240.32,1537662,0.389,0.16%,239.8204,368581753.08,21785
2018-02-12,236.81,241.375,235.40,239.93,2667200,4.60,1.96%,239.4312,636939239.71,31821
2018-02-09,235.70,238.9999,226.20,235.32,5153335,-3.942,-1.65%,234.8308,1203726048.61,63250
2018-02-08,251.65,251.65,239.14,239.27,2735396,-11.855,-4.73%,238.7726,668371894.19,29256
