date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,32.70,32.89,32.5485,32.70,6814799,0.05,0.15%,32.70,222763696.67,29402
2018-03-09,31.80,32.66,31.68,32.65,8118828,0.85,2.67%,32.65,262607510.48,37786
2018-03-08,31.74,31.91,31.50,31.80,3894902,0.21,0.66%,31.80,123659913.52,18297
2018-03-07,31.76,31.87,31.29,31.59,5005344,-0.26,-0.82%,31.59,157831119.80,28323
2018-03-06,32.55,32.65,31.77,31.85,5186123,-0.78,-2.39%,31.85,165861844.17,28291
2018-03-05,32.20,32.72,32.1084,32.63,9118612,0.35,1.08%,32.63,296602597.09,35200
2018-03-02,32.26,32.59,32.03,32.28,9225032,-0.03,-0.09%,32.28,297690315.86,24624
2018-03-01,32.34,32.86,32.105,32.31,7098794,-0.02,-0.06%,32.31,229692738.56,42255
2018-02-28,32.97,33.035,32.325,32.33,6759459,-0.57,-1.73%,32.33,220495357.36,36365
2018-02-27,33.78,33.91,32.87,32.90,5444986,-0.77,-2.29%,32.90,180813632.08,28601
2018-02-26,33.90,34.06,33.55,33.67,4850147,-0.13,-0.38%,33.67,163369717.92,23027
2018-02-23,32.99,33.84,32.92,33.80,5105674,0.88,2.67%,33.80,171212160.64,32231
2018-02-22,32.80,33.40,32.59,32.92,5658432,0.16,0.49%,32.92,186965768.68,33973
2018-02-21,33.51,33.86,32.74,32.76,12353141,-0.04,-0.12%,32.76,411506869.45,60733
2018-02-20,32.83,33.06,32.43,32.80,5779130,-0.23,-0.70%,32.80,189214495.33,36556
2018-02-16,32.89,33.30,32.71,33.03,4806437,0.24,0.73%,33.03,158831892.53,24816
2018-02-15,32.04,32.87,31.955,32.79,7773022,0.84,2.63%,32.79,253251391.77,36745
2018-02-14,31.90,32.30,31.59,31.95,7642009,-0.15,-0.47%,31.95,245012001.88,37647
2018-02-13,31.62,32.21,31.26,32.10,10010952,0.60,1.90%,32.10,316892180.63,35462
2018-02-12,31.38,31.68,31.09,31.50,7463103,0.21,0.67%,31.50,235137142.78,31299
2018-02-09,30.76,31.555,30.71,31.29,8359573,0.65,2.12%,31.29,260349981.42,58343
2018-02-08,30.70,31.315,30.4938,30.64,8581585,-0.17,-0.55%,30.64,265031371.28,49884
