date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,42.74,43.60,42.48,43.32,5439895,0.76,1.79%,43.32,235315518.14,33664
2018-03-09,41.13,42.575,40.93,42.56,4880482,1.71,4.19%,42.56,204511995.92,35529
2018-03-08,40.91,41.61,40.50,40.85,2993746,0.13,0.32%,40.85,122714319.14,23967
2018-03-07,41.51,41.83,40.365,40.72,3699607,-1.38,-3.28%,40.72,151230193.09,28221
2018-03-06,41.44,42.13,41.01,42.10,3533309,0.47,1.13%,42.10,147352514.34,28995
2018-03-05,39.92,42.01,39.92,41.63,8893229,1.59,3.97%,41.63,367934280.84,59279
2018-03-02,40.65,41.00,38.17,40.04,22782902,-5.84,-12.73%,40.04,899633463.51,129299
2018-03-01,45.90,46.57,44.6955,45.88,6700590,-0.03,-0.07%,45.88,306369428.22,54868
2018-02-28,47.99,48.42,45.81,45.91,5247211,-1.63,-3.43%,45.91,244677527.64,40567
2018-02-27,49.88,50.61,47.49,47.54,4253251,-1.78,-3.61%,47.54,206841695.29,36031
2018-02-26,49.02,49.59,48.27,49.32,3187872,1.07,2.22%,49.32,156707607.44,22132
2018-02-23,48.50,48.80,47.55,48.25,2952483,-0.01,-0.02%,48.25,141842299.59,25783
2018-02-22,48.83,48.8725,47.90,48.26,3843173,-0.16,-0.33%,48.26,185432785.95,21289
2018-02-21,48.50,49.52,48.27,48.42,1804417,0.25,0.52%,48.42,88339000.05,15753
2018-02-20,48.55,49.11,47.65,48.17,2619806,-1.00,-2.03%,48.17,126905215.55,21570
2018-02-16,49.24,49.95,48.83,49.17,2790785,-0.07,-0.14%,49.17,137966564.51,19653
2018-02-15,49.10,49.295,48.12,49.24,2037190,0.66,1.36%,49.24,99557057.68,16033
2018-02-14,46.14,48.96,45.80,48.58,3675608,1.94,4.16%,48.58,176328435.58,27937
2018-02-13,46.13,47.69,45.96,46.64,3205501,0.30,0.65%,46.64,150454013.60,27527
2018-02-12,46.79,47.00,44.90,46.34,3269176,0.10,0.22%,46.34,150818439.46,28979
2018-02-09,46.51,47.06,44.04,46.24,4477864,0.36,0.78%,46.24,205101212.35,38289
2018-02-08,48.22,48.50,45.87,45.88,3230002,-2.13,-4.44%,45.88,151249659.58,28657
2018-02-07,47.70,48.95,47.40,48.01,3217191,0.37,0.78%,48.01,155439075.40,28209
2018-02-06,44.80,47.96,44.19,47.64,3971181,2.01,4.40%,47.64,186434172.66,32057
2018-02-05,47.77,48.56,45.49,45.63,4434488,-2.75,-5.68%,45.63,208737518.53,37179
2018-02-02,48.76,48.98,47.92,48.38,3464544,-0.83,-1.69%,48.38,167563605.99,30297
2018-02-01,48.75,50.01,48.55,49.21,1951101,0.06,0.12%,49.21,96216452.28,15678
2018-01-31,51.65,51.65,48.58,49.15,3882949,-0.75,-1.50%,49.15,193099061.54,28908
2018-01-30,50.94,51.46,49.70,49.90,2898122,-1.38,-2.69%,49.90,145511193.10,20674
2018-01-29,51.18,51.91,50.81,51.28,2135225,-0.31,-0.60%,51.28,109531172.77,17282
2018-01-26,52.47,52.47,50.60,51.59,3330611,-0.85,-1.62%,51.59,171254395.55,23189
2018-01-25,52.81,53.17,52.02,52.44,4206069,0.19,0.36%,52.44,220544714.87,27052
2018-01-24,51.60,52.54,51.365,52.25,3819575,0.73,1.42%,52.25,199236457.25,28502
2018-01-23,51.18,51.64,50.261,51.52,2753323,1.15,2.28%,51.52,140498278.61,21173
2018-01-22,49.68,50.64,49.50,50.37,4033417,0.16,0.32%,50.37,202727524.59,27953
2018-01-19,49.85,50.4499,49.345,50.21,4012287,1.62,3.33%,50.21,200326709.14,27928
2018-01-18,47.79,48.85,47.61,48.59,3075758,0.83,1.74%,48.59,148600938.63,23090
2018-01-17,47.00,48.45,46.95,48.07,2963590,1.103,2.36%,47.76,142150437.70,23943
2018-01-16,47.53,48.88,46.64,46.96,3684310,-0.487,-1.03%,46.6572,174502107.75,27173
2018-01-12,46.58,47.65,46.41,47.45,3281041,1.143,2.48%,47.144,155504072.00,28172
2018-01-11,46.50,46.50,45.55,46.30,2445792,0.02,0.04%,46.0014,112802475.56,20005
2018-01-10,45.93,46.48,45.14,46.28,3497773,0.278,0.61%,45.9815,160871625.51,25599
2018-01-09,46.82,46.96,45.73,46.00,3057804,-0.964,-2.07%,45.7033,140824603.84,24154
2018-01-08,47.30,47.88,45.87,46.97,3675472,0.01,0.02%,46.6671,172256350.44,26390
2018-01-05,46.84,47.09,46.00,46.96,3101827,0.646,1.40%,46.6572,144550001.86,23449
2018-01-04,47.87,47.98,44.99,46.31,3980480,-1.55,-3.26%,46.0113,182976268.97,29666
2018-01-03,48.04,48.45,47.40,47.87,3482047,-0.02,-0.04%,47.5613,166819032.38,27087
2018-01-02,47.45,48.18,47.15,47.89,3215836,1.003,2.15%,47.5812,153445402.74,24550
2017-12-29,47.35,47.85,46.87,46.88,2062364,-0.209,-0.45%,46.5777,97551287.67,16165
2017-12-28,47.62,47.89,46.93,47.09,1681979,-0.586,-1.24%,46.7863,79419453.99,14315
2017-12-27,48.51,48.61,47.40,47.68,2952996,-0.864,-1.79%,47.3725,141364982.91,23165
2017-12-26,47.31,49.13,47.135,48.55,2297157,1.282,2.73%,48.2369,111828805.00,16633
2017-12-22,46.95,47.47,46.76,47.26,2350880,-0.715,-1.50%,46.9552,110928137.05,18112
2017-12-21,46.77,48.0779,46.46,47.98,4043258,1.679,3.65%,47.6706,192872503.93,26610
2017-12-20,46.40,46.68,45.52,46.29,3923131,0.079,0.17%,45.9915,181450210.90,29090
2017-12-19,46.67,46.91,45.84,46.21,4535675,-0.358,-0.77%,45.912,210544241.91,30459
2017-12-18,46.25,46.97,46.07,46.57,3817266,0.914,2.02%,46.2697,177598262.48,27231
2017-12-15,46.10,47.24,45.55,45.65,7738236,1.311,2.98%,45.3556,356707035.09,44424
2017-12-14,44.82,45.57,43.97,44.33,4004607,-1.013,-2.25%,44.0441,178514199.20,32190
2017-12-13,44.46,45.9141,44.39,45.35,3756672,0.775,1.75%,45.0575,170163879.12,27707
2017-12-12,44.57,45.43,44.52,44.57,2921763,0.159,0.36%,44.2826,131209261.84,24885
2017-12-11,44.89,45.07,43.80,44.41,3320162,-0.556,-1.25%,44.1236,147106812.83,26346
2017-12-08,43.38,45.04,43.03,44.97,3540630,1.739,4.05%,44.68,157669200.16,24783
2017-12-07,43.04,43.575,42.48,43.22,5177657,0.397,0.93%,42.9413,223669775.61,42278
2017-12-06,43.25,43.49,42.32,42.82,3583713,-0.576,-1.34%,42.5439,154023161.06,28283
2017-12-05,45.58,45.58,43.00,43.40,5042650,-2.345,-5.16%,43.1201,219635031.14,37984
2017-12-04,44.30,46.25,44.05,45.76,6918514,2.434,5.66%,45.4649,314874551.27,48484
2017-12-01,42.64,43.82,41.76,43.31,5987336,0.467,1.10%,43.0307,258086004.29,44226
2017-11-30,41.96,44.39,41.81,42.84,15926862,0.248,0.59%,42.5637,685861643.68,67770
2017-11-29,40.46,43.29,40.45,42.59,7587669,2.126,5.29%,42.3153,320900868.99,54672
2017-11-28,39.52,40.65,38.67,40.45,4544756,1.043,2.66%,40.1891,180464157.46,31174
2017-11-27,40.34,40.91,38.96,39.40,5660096,-0.695,-1.75%,39.1459,223339147.06,40235
2017-11-24,40.71,40.779,39.99,40.10,1884645,-0.437,-1.09%,39.8414,75885824.59,14556
2017-11-22,40.65,40.98,40.3099,40.54,3007626,-0.149,-0.37%,40.2786,122130184.75,21725
2017-11-21,40.55,41.33,40.13,40.69,5810150,0.00,0.00%,40.4276,236693681.53,37610
2017-11-20,40.82,41.78,39.50,40.69,11052346,-0.129,-0.32%,40.4276,447466274.87,61761
2017-11-17,41.33,41.73,38.26,40.82,30583604,8.912,28.16%,40.5568,1221379897.45,163965
2017-11-16,31.32,32.26,31.00,31.85,6309605,0.646,2.08%,31.6446,201032085.28,42371
2017-11-15,29.74,31.63,29.55,31.20,4970894,1.192,4.00%,30.9988,154750626.01,36243
2017-11-14,29.06,30.01,28.68,30.00,3895044,0.358,1.21%,29.8065,115728678.73,29326
2017-11-13,30.34,30.52,29.21,29.64,3615684,-0.695,-2.31%,29.4489,107703752.74,27471
2017-11-10,30.59,31.50,30.085,30.34,3786832,-0.268,-0.88%,30.1443,115933649.62,25285
2017-11-09,29.73,31.37,29.64,30.61,4814297,0.725,2.44%,30.4126,147977008.37,36278
2017-11-08,29.07,29.97,28.42,29.88,3012717,0.636,2.19%,29.6873,89187112.32,20622
2017-11-07,29.61,29.65,28.85,29.24,3238334,-0.407,-1.38%,29.0514,94552124.84,23886
2017-11-06,29.78,30.20,29.57,29.65,2739811,-0.199,-0.67%,29.4588,81841146.44,18838
2017-11-03,29.90,30.05,29.24,29.85,2505673,-0.159,-0.53%,29.6575,74772657.46,17860
2017-11-02,29.84,30.42,29.75,30.01,2949068,0.099,0.33%,29.8165,88449037.27,22683
2017-11-01,30.19,30.89,29.70,29.91,3000303,-0.169,-0.57%,29.7171,90259369.28,22527
2017-10-31,30.20,30.33,29.70,30.08,3790922,-0.497,-1.64%,29.886,114035460.12,25026
2017-10-30,31.34,31.435,30.43,30.58,2747526,-0.964,-3.07%,30.3828,84628526.54,19756
2017-10-27,32.49,32.75,31.52,31.55,4684993,-1.51,-4.60%,31.3465,149872560.64,36814
2017-10-26,31.425,33.21,31.33,33.07,5548389,1.769,5.69%,32.8567,180926329.42,38640
2017-10-25,31.00,32.10,29.8901,31.29,5921649,0.159,0.51%,31.0882,183681374.18,39468
2017-10-24,31.91,31.97,31.09,31.13,2498943,-0.487,-1.55%,30.9292,78220581.85,20846
2017-10-23,30.75,31.90,30.40,31.62,3600993,0.338,1.09%,31.4161,113765318.41,24265
2017-10-20,31.31,31.6656,30.92,31.28,2663651,0.288,0.94%,31.0783,83592144.71,17881
2017-10-19,30.93,31.31,30.73,30.99,2392170,-0.189,-0.61%,30.7901,74123856.17,18691
2017-10-18,31.20,31.92,31.054,31.18,3636415,0.159,0.52%,30.9789,114215027.81,24191
2017-10-17,30.97,31.19,30.58,31.02,2922440,0.07,0.23%,30.82,90289941.09,20341
2017-10-16,31.63,31.88,30.91,30.95,3031854,-0.695,-2.21%,30.7504,94292745.32,21224
2017-10-13,31.62,32.44,31.41,31.65,2835704,0.219,0.70%,31.4459,90384256.65,20832
2017-10-12,32.64,32.69,31.38,31.43,4098376,-1.182,-3.65%,31.2273,129924740.53,26486
2017-10-11,33.60,33.72,32.78,32.93,3914297,-0.659,-1.99%,32.4096,129163197.38,17374
2017-10-10,33.47,33.91,33.38,33.60,2397503,0.207,0.63%,33.069,80483840.06,16491
2017-10-09,34.41,34.57,33.3099,33.39,1770275,-1.004,-2.96%,32.8624,59421583.50,12917
2017-10-06,34.24,34.80,34.16,34.41,2779679,0.03,0.09%,33.8662,95592682.71,13986
2017-10-05,33.82,34.65,33.57,34.38,2610775,0.522,1.57%,33.8367,89636147.97,19942
2017-10-04,34.35,34.59,33.79,33.85,2441298,-0.522,-1.54%,33.3151,83181438.59,19475
2017-10-03,34.78,35.08,34.04,34.38,3521649,-0.364,-1.06%,33.8367,120719687.22,23922
2017-10-02,35.18,35.18,34.12,34.75,4221139,-0.463,-1.33%,34.2009,146419948.60,25395
2017-09-29,34.86,35.28,34.59,35.22,2788972,0.354,1.03%,34.6634,97685916.91,20390
2017-09-28,35.08,35.32,34.33,34.86,2309042,-0.207,-0.60%,34.3091,80331418.78,18853
2017-09-27,34.71,35.185,34.28,35.07,2386185,-0.049,-0.14%,34.5158,83138119.12,18900
2017-09-26,34.86,35.21,34.23,35.12,2781321,0.453,1.33%,34.565,96877462.81,22401
2017-09-25,33.67,34.89,33.63,34.66,4297301,1.043,3.15%,34.1123,148484955.16,27504
2017-09-22,33.65,34.18,33.25,33.60,5525634,-0.098,-0.30%,33.069,186126196.09,35878
2017-09-21,34.68,34.73,33.68,33.70,4181909,-0.856,-2.52%,33.1675,142185792.56,30511
2017-09-20,34.89,35.15,34.32,34.57,4378204,-0.472,-1.37%,34.0237,151715000.46,31406
2017-09-19,36.26,36.33,34.88,35.05,3552376,-1.191,-3.34%,34.4961,125357967.19,23908
2017-09-18,37.01,37.15,36.03,36.26,2824976,-0.659,-1.81%,35.687,102942487.04,20224
2017-09-15,36.51,37.05,36.37,36.93,3977521,0.305,0.85%,36.3464,146518401.78,20807
2017-09-14,36.17,36.735,35.44,36.62,4666408,0.512,1.44%,36.0413,170237390.79,23480
2017-09-13,35.75,36.25,35.69,36.10,4727652,0.394,1.12%,35.5295,170388246.74,26910
2017-09-12,35.18,36.03,34.87,35.70,3456696,0.699,2.03%,35.1359,123222712.38,27445
2017-09-11,35.81,36.03,34.93,34.99,3946355,-0.728,-2.07%,34.4371,139361130.59,28678
2017-09-08,36.10,36.29,35.31,35.73,2392080,-0.423,-1.19%,35.1654,85421248.56,18810
2017-09-07,36.73,36.85,36.02,36.16,3346892,-0.531,-1.47%,35.5886,121283253.21,24951
2017-09-06,36.37,36.86,35.93,36.70,6193341,0.364,1.02%,36.1201,225836469.75,36063
2017-09-05,35.91,36.44,35.4947,36.33,5560054,-0.01,-0.03%,35.7559,200018817.09,41154
2017-09-01,35.49,36.65,35.37,36.34,4046208,1.092,3.15%,35.7657,146834221.87,30841
2017-08-31,35.29,35.6931,34.92,35.23,4801654,-0.01,-0.03%,34.6733,168758729.81,29179
2017-08-30,35.37,35.42,34.89,35.24,3936544,0.079,0.23%,34.6831,138687259.75,31177
2017-08-29,34.85,35.42,34.45,35.16,4668947,-0.531,-1.51%,34.6044,164115896.23,30013
