date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,51.67,51.70,50.65,50.82,1150308,-0.72,-1.40%,50.82,58596015.44,7661
2018-03-09,50.47,51.55,50.20,51.54,930950,1.26,2.51%,51.54,47668278.15,7896
2018-03-08,50.27,50.31,49.91,50.28,1015432,0.24,0.48%,50.28,50938641.61,8598
2018-03-07,50.13,50.34,49.74,50.04,1138444,-0.46,-0.91%,50.04,57031872.00,6755
2018-03-06,49.93,50.58,49.72,50.50,1350218,0.81,1.63%,50.50,67953708.04,10694
2018-03-05,48.61,49.76,48.31,49.69,886342,0.76,1.55%,49.69,43806765.55,6575
2018-03-02,48.87,49.06,48.49,48.93,1042502,-0.23,-0.47%,48.93,50883415.48,10297
2018-03-01,49.23,49.51,48.60,49.16,1144152,0.06,0.12%,49.16,56128394.64,13288
2018-02-28,49.34,49.60,48.76,49.10,1464915,0.06,0.12%,49.10,71974167.16,9932
2018-02-27,49.65,49.72,48.98,49.04,1449526,-0.60,-1.21%,49.04,71381878.88,10645
2018-02-26,48.79,49.76,48.67,49.64,750192,1.15,2.37%,49.64,37074799.97,7361
2018-02-23,47.93,48.555,47.72,48.49,761247,0.63,1.32%,48.49,36833956.17,7309
2018-02-22,48.42,49.00,47.81,47.86,1142184,-0.29,-0.60%,47.86,54993779.29,11782
2018-02-21,48.96,49.72,48.27,48.31,1756104,-0.508,-1.04%,48.15,86049650.93,14428
2018-02-20,48.77,49.61,48.69,48.82,1251208,-0.269,-0.55%,48.6583,61353649.92,9514
2018-02-16,49.25,50.01,48.61,49.09,866071,-0.389,-0.79%,48.9274,42762233.97,8765
2018-02-15,49.40,50.81,49.09,49.48,1184750,0.409,0.84%,49.3161,58747958.93,11454
2018-02-14,46.94,49.13,46.12,49.07,1907761,0.857,1.78%,48.9075,91031912.41,17789
2018-02-13,47.41,48.30,47.02,48.21,761003,0.528,1.11%,48.0503,36529831.14,7645
2018-02-12,47.31,48.01,46.91,47.68,996568,0.638,1.36%,47.5221,47384603.00,8152
