date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,58.50,58.88,58.18,58.28,987683,-0.24,-0.41%,58.28,57729653.56,8591
2018-03-09,57.51,58.68,57.36,58.52,975156,1.35,2.36%,58.52,56877885.01,9823
2018-03-08,57.79,57.9071,56.34,57.17,1421514,-0.49,-0.85%,57.17,81049182.95,10755
2018-03-07,57.00,57.72,56.49,57.66,1343056,0.09,0.16%,57.66,76972493.51,10334
2018-03-06,57.29,57.74,56.97,57.57,1180877,0.51,0.89%,57.57,67862565.04,10893
2018-03-05,56.24,57.45,56.20,57.06,1054697,0.47,0.83%,57.06,60153191.08,9622
2018-03-02,55.24,56.78,54.94,56.59,1230304,0.81,1.45%,56.59,69023596.45,10557
2018-03-01,56.83,57.21,55.26,55.78,1615058,-1.12,-1.97%,55.78,90666604.06,16509
2018-02-28,57.71,58.10,56.90,56.90,1599940,-0.69,-1.20%,56.90,91826268.39,12129
2018-02-27,58.70,59.34,57.80,57.80,1296465,-0.777,-1.33%,57.59,75505055.91,10021
2018-02-26,58.24,58.69,57.66,58.58,1141538,0.428,0.74%,58.3672,66513777.75,9828
2018-02-23,58.52,58.57,56.8407,58.15,1287372,0.04,0.07%,57.9387,74314570.87,9966
2018-02-22,57.89,59.57,57.70,58.11,1688324,0.678,1.18%,57.8989,98950419.10,13854
2018-02-21,59.70,59.99,57.37,57.43,3068216,-0.608,-1.05%,57.2214,178690233.56,24219
2018-02-20,57.48,58.599,57.17,58.04,1933102,0.409,0.71%,57.8291,112198450.20,17493
2018-02-16,57.68,58.44,57.18,57.63,1368501,-0.219,-0.38%,57.4206,79163701.98,10984
2018-02-15,58.00,58.73,57.01,57.85,885514,0.478,0.84%,57.6398,51075738.22,8959
2018-02-14,55.39,57.48,55.22,57.37,1069105,1.544,2.78%,57.1616,60802164.15,9573
2018-02-13,55.90,56.36,55.33,55.82,1644516,-0.488,-0.87%,55.6172,91488771.54,12261
2018-02-12,55.35,56.80,55.10,56.31,1549137,1.295,2.36%,56.1054,87086068.71,12894
2018-02-09,56.10,56.455,53.22,55.01,1963391,-0.299,-0.54%,54.8101,107296339.69,17941
2018-02-08,56.99,57.028,55.30,55.31,2284484,-1.724,-3.03%,55.1091,127859773.27,17866
2018-02-07,56.88,57.86,56.88,57.04,1465541,-0.12,-0.21%,56.8328,84048269.27,12037
2018-02-06,55.90,57.489,55.30,57.16,2461916,0.907,1.62%,56.9523,139772597.41,22211
2018-02-05,58.29,58.95,56.02,56.25,2442975,-2.531,-4.32%,56.0456,139854763.42,16205
2018-02-02,59.93,60.03,58.61,58.79,2243326,-1.644,-2.73%,58.5764,133018246.23,16795
2018-02-01,60.43,61.03,60.1566,60.44,1004841,-0.259,-0.43%,60.2204,60781054.53,10203
2018-01-31,60.94,61.40,60.27,60.70,1128746,0.329,0.55%,60.4795,68516295.39,8123
2018-01-30,61.18,61.27,60.07,60.37,1255389,-1.235,-2.01%,60.1507,75926764.06,9648
2018-01-29,61.36,62.05,61.36,61.61,941338,0.08,0.13%,61.3862,58121098.03,8387
2018-01-26,61.27,61.55,60.96,61.53,953916,0.309,0.51%,61.3065,58472687.00,7790
2018-01-25,61.70,61.745,60.61,61.22,1482684,-0.06,-0.10%,60.9976,90768851.40,11313
2018-01-24,61.72,62.09,60.97,61.28,2799838,-0.179,-0.29%,61.0574,171818512.50,16917
2018-01-23,61.22,61.88,60.90,61.46,1981341,0.169,0.28%,61.2367,121863095.45,12550
2018-01-22,60.38,61.565,60.141,61.29,2406801,0.857,1.42%,61.0673,147245016.51,15039
2018-01-19,60.11,60.61,58.83,60.43,1776241,0.369,0.62%,60.2105,106951920.09,13559
2018-01-18,59.34,60.50,59.01,60.06,2508134,1.923,3.32%,59.8418,150255829.43,16988
2018-01-17,58.36,58.43,57.72,58.13,1482360,0.10,0.17%,57.9188,86090425.81,12872
2018-01-16,57.38,58.26,57.17,58.03,1905746,0.957,1.68%,57.8192,110526521.66,13354
2018-01-12,56.39,57.29,56.1677,57.07,2108958,0.917,1.64%,56.8627,120066041.15,13673
2018-01-11,54.19,56.19,54.14,56.15,1691531,2.082,3.87%,55.946,94088558.26,14110
2018-01-10,53.62,54.07,53.50,54.06,1176057,0.249,0.46%,53.8636,63373019.26,9679
2018-01-09,53.76,53.93,53.365,53.81,939288,0.03,0.06%,53.6145,50457557.59,8061
2018-01-08,53.33,53.82,52.87,53.78,1148890,0.369,0.69%,53.5846,61465794.23,7678
2018-01-05,53.34,53.52,52.93,53.41,973700,0.149,0.28%,53.216,51792991.98,6759
2018-01-04,53.32,53.50,52.75,53.26,833153,0.159,0.30%,53.0665,44306069.26,6754
2018-01-03,53.13,53.29,52.7056,53.10,1200021,0.767,1.47%,52.9071,63653619.92,10350
2018-01-02,51.80,52.43,51.78,52.33,1017553,0.678,1.32%,52.1399,53100686.85,7562
2017-12-29,51.73,52.03,51.39,51.65,1063712,-0.11,-0.21%,51.4624,55073227.15,8390
2017-12-28,51.69,51.79,51.30,51.76,484286,0.309,0.60%,51.572,25012148.59,4095
2017-12-27,51.48,51.50,51.19,51.45,793094,0.00,0.00%,51.2631,40762515.11,5766
2017-12-26,51.10,51.47,50.97,51.45,601366,0.379,0.74%,51.2631,30878837.33,4505
2017-12-22,50.99,51.30,50.52,51.07,479478,-0.189,-0.37%,50.8845,24459547.92,4332
2017-12-21,50.76,51.4025,50.55,51.26,1247996,0.359,0.71%,51.0738,63886379.14,6740
2017-12-20,50.58,51.18,50.421,50.90,834502,0.279,0.55%,50.7151,42497185.42,6678
2017-12-19,50.81,51.44,50.60,50.62,1125431,-0.219,-0.43%,50.4361,57427970.87,7733
2017-12-18,50.59,50.93,50.32,50.84,852754,0.389,0.77%,50.6553,43223841.31,6808
2017-12-15,50.38,50.92,50.05,50.45,1988083,0.578,1.16%,50.2667,100454301.17,11313
2017-12-14,50.08,50.16,49.75,49.87,1201631,-0.159,-0.32%,49.6888,60012890.01,8733
2017-12-13,50.29,50.48,49.89,50.03,1095613,-0.399,-0.79%,49.8482,54930919.90,7782
2017-12-12,50.24,50.73,50.17,50.43,970336,0.299,0.60%,50.2468,48916260.16,7475
2017-12-11,50.39,50.39,49.82,50.13,1402039,-0.249,-0.50%,49.9479,70198310.74,7377
2017-12-08,49.92,50.40,49.50,50.38,972203,0.837,1.70%,50.197,48755131.72,7963
2017-12-07,48.98,49.645,48.98,49.54,1105181,0.389,0.79%,49.36,54647023.97,7621
2017-12-06,48.79,49.52,48.77,49.15,1020233,0.289,0.59%,48.9714,50167115.41,9067
2017-12-05,49.34,49.37,48.75,48.86,1398355,-0.528,-1.07%,48.6825,68416537.60,9908
2017-12-04,48.91,50.38,48.82,49.39,1952783,0.927,1.92%,49.2106,96993848.95,13745
2017-12-01,48.46,48.93,47.52,48.67,1100914,0.258,0.54%,48.2839,53384508.85,8431
2017-11-30,48.23,48.75,48.04,48.41,1477278,0.208,0.44%,48.026,71545750.93,9546
2017-11-29,47.70,48.75,47.68,48.20,1280800,0.556,1.18%,47.8177,61798939.41,10220
2017-11-28,46.96,47.685,46.82,47.64,1847909,0.704,1.51%,47.2621,87215644.65,9683
2017-11-27,46.79,47.13,46.50,46.93,1008515,0.04,0.09%,46.5577,47222511.72,7729
2017-11-24,47.41,47.435,46.80,46.89,601107,-0.367,-0.78%,46.5181,28224947.93,4656
2017-11-22,47.78,47.81,47.10,47.26,2030082,-0.298,-0.63%,46.8851,96268049.57,9428
