date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,45.67,46.15,45.03,45.16,1057635,-0.42,-0.92%,45.16,47975311.43,10180
2018-03-09,44.92,45.77,44.58,45.58,1444208,1.08,2.43%,45.58,65739719.93,14091
2018-03-08,44.40,44.63,43.93,44.50,1248889,0.13,0.29%,44.50,55350139.78,9911
2018-03-07,43.56,44.52,43.56,44.37,1557777,0.24,0.54%,44.37,68835118.62,13492
2018-03-06,43.55,44.34,43.55,44.13,1544488,0.69,1.59%,44.13,68055662.82,15693
2018-03-05,42.28,43.62,42.18,43.44,1998695,1.15,2.72%,43.44,86344539.40,11633
2018-03-02,41.00,42.51,40.73,42.29,1843208,1.09,2.65%,42.29,77440998.03,15533
2018-03-01,42.39,42.49,41.10,41.20,1684442,-1.15,-2.72%,41.20,70130368.17,16801
2018-02-28,44.09,44.18,42.33,42.35,1419864,-1.62,-3.68%,42.35,60931242.89,11130
2018-02-27,44.96,45.21,43.96,43.97,1241565,-0.95,-2.11%,43.97,55162285.99,12705
2018-02-26,44.53,45.43,44.27,44.92,2050517,0.66,1.49%,44.92,92188982.60,13781
2018-02-23,43.89,44.31,43.44,44.26,799168,0.68,1.56%,44.26,35077618.90,7748
2018-02-22,43.82,44.70,43.50,43.58,1187209,-0.20,-0.46%,43.58,52165005.38,11126
2018-02-21,43.45,44.90,43.45,43.78,2060127,0.08,0.18%,43.78,90877057.69,11834
2018-02-20,44.00,46.10,43.40,43.70,2314339,-0.35,-0.79%,43.70,102890175.07,20657
2018-02-16,42.33,44.95,40.41,44.05,4359112,1.18,2.75%,44.05,188610110.33,31645
2018-02-15,42.39,43.15,41.91,42.87,2118775,0.68,1.61%,42.87,90325503.38,17406
2018-02-14,40.83,42.41,40.55,42.19,1416088,1.10,2.68%,42.19,59391631.35,12046
2018-02-13,41.09,41.34,40.22,41.09,1200601,-0.33,-0.80%,41.09,49102864.04,10981
2018-02-12,40.59,41.77,40.43,41.42,1415045,1.06,2.63%,41.42,58299498.82,12613
2018-02-09,41.25,41.71,38.79,40.36,2582758,-0.46,-1.13%,40.36,103290481.84,20357
2018-02-08,41.49,41.81,40.63,40.82,1868500,-0.73,-1.76%,40.82,76963899.91,16954
2018-02-07,41.86,42.42,41.53,41.55,1821225,-0.28,-0.67%,41.55,76240153.73,15360
2018-02-06,41.13,42.84,40.80,41.83,2546699,-0.28,-0.66%,41.83,106036345.99,21170
2018-02-05,44.26,44.84,42.08,42.11,1423316,-2.46,-5.52%,42.11,61491982.30,11488
