date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,37.73,38.27,37.58,37.98,6028600,0.25,0.66%,37.98,228971931.06,29403
2018-03-09,37.32,37.75,37.27,37.73,6126188,0.55,1.48%,37.73,230078167.37,33664
2018-03-08,37.18,37.445,36.93,37.18,5040418,0.16,0.43%,37.18,187696325.43,28677
2018-03-07,37.24,37.48,36.67,37.02,7465016,-0.52,-1.39%,37.02,276109323.15,43039
2018-03-06,36.64,37.55,36.525,37.54,7878395,0.89,2.43%,37.54,292881004.34,49623
2018-03-05,36.14,37.135,36.00,36.65,7910316,0.28,0.77%,36.65,290032400.61,46455
2018-03-02,35.86,36.465,35.53,36.37,12111025,0.45,1.25%,36.37,435262039.34,53116
2018-03-01,36.82,37.11,35.82,35.92,14516840,-0.90,-2.44%,35.92,528195862.14,85843
2018-02-28,37.76,37.98,36.82,36.82,12903746,-0.81,-2.15%,36.82,482430506.47,55746
2018-02-27,38.41,38.68,37.60,37.63,13552365,-1.18,-3.04%,37.63,513903878.34,75347
2018-02-26,38.07,38.87,38.02,38.81,5077222,0.80,2.10%,38.81,195822679.74,30598
2018-02-23,37.40,38.04,37.13,38.01,5003182,0.85,2.29%,38.01,188626335.45,32589
2018-02-22,37.24,37.42,37.01,37.16,5411316,0.10,0.27%,37.16,201281198.49,28002
2018-02-21,37.14,37.69,37.03,37.06,4568608,-0.07,-0.19%,37.06,170427087.85,33111
2018-02-20,37.32,37.61,37.03,37.13,6047203,-0.33,-0.88%,37.13,225587551.72,39231
2018-02-16,36.89,37.71,36.86,37.46,6699998,0.50,1.35%,37.46,250507612.12,35273
2018-02-15,36.70,37.07,36.495,36.96,5141830,0.41,1.12%,36.96,189421345.93,34310
2018-02-14,36.19,36.835,36.19,36.55,7000692,-0.03,-0.08%,36.55,255673406.64,50619
2018-02-13,35.99,36.82,35.87,36.58,7189280,0.18,0.49%,36.58,262148072.65,44348
2018-02-12,36.34,36.90,36.18,36.40,12469438,0.67,1.88%,36.40,455295729.30,69972
2018-02-09,34.77,35.95,34.12,35.73,16932410,1.17,3.39%,35.73,590665804.95,107635
2018-02-08,36.09,36.35,34.53,34.56,10237342,-1.50,-4.16%,34.56,363775000.53,57849
2018-02-07,36.84,37.41,35.99,36.06,7492267,-0.74,-2.01%,36.06,274811910.65,52938
2018-02-06,35.43,36.81,35.15,36.80,11840409,0.66,1.83%,36.80,428154115.05,84341
2018-02-05,36.60,37.62,36.06,36.14,11535523,-0.58,-1.58%,36.14,424052654.51,77084
2018-02-02,36.78,37.415,36.56,36.72,8101544,-0.29,-0.78%,36.72,299258413.15,46288
2018-02-01,36.91,37.54,36.68,37.01,11816197,0.11,0.30%,37.01,439244649.07,62268
2018-01-31,38.52,38.52,36.67,36.90,13190651,-1.56,-4.06%,36.90,490703350.11,61230
2018-01-30,38.94,39.135,38.46,38.46,7355449,-0.28,-0.72%,38.46,284667681.80,41945
2018-01-29,38.70,39.04,38.61,38.74,6416272,-0.07,-0.18%,38.74,249024877.66,37435
2018-01-26,38.25,38.95,37.86,38.81,9805761,0.63,1.65%,38.81,376632984.71,46614
2018-01-25,38.08,38.33,37.93,38.18,10643255,0.18,0.47%,38.18,405917589.24,44366
2018-01-24,37.69,38.51,37.60,38.00,14594142,0.49,1.31%,38.00,555390931.85,71664
2018-01-23,37.00,37.72,36.7538,37.51,10364308,0.20,0.54%,37.51,388200265.74,50753
2018-01-22,36.79,37.48,36.41,37.31,12209318,0.66,1.80%,37.31,454703926.19,51838
2018-01-19,36.03,36.69,35.97,36.65,18037212,0.47,1.30%,36.65,655825542.88,67053
2018-01-18,36.91,36.95,36.00,36.18,14253465,-0.93,-2.51%,36.18,519025033.10,61147
2018-01-17,36.53,37.13,36.3401,37.11,6230058,0.82,2.26%,37.11,229058810.53,34789
2018-01-16,36.82,36.90,36.26,36.29,7149792,-0.44,-1.20%,36.29,261580352.52,43040
2018-01-12,36.28,36.84,36.12,36.73,6824147,0.53,1.46%,36.73,249122794.90,33597
2018-01-11,35.70,36.30,35.60,36.20,9659529,0.60,1.69%,36.20,347386868.19,42757
2018-01-10,36.55,36.69,35.305,35.60,16875599,-0.94,-2.57%,35.60,606876561.73,97902
2018-01-09,36.22,36.72,36.21,36.54,6216232,0.30,0.83%,36.54,227208320.96,44568
2018-01-08,36.49,36.60,35.895,36.24,9719301,-0.51,-1.39%,36.24,352223425.01,53334
2018-01-05,36.90,36.96,36.49,36.75,9002628,-0.07,-0.19%,36.75,331010768.93,41034
2018-01-04,36.67,36.855,36.39,36.82,7092393,0.28,0.77%,36.82,260050511.55,40298
2018-01-03,35.99,36.89,35.965,36.54,16121962,0.68,1.90%,36.54,590573569.52,79813
2018-01-02,34.77,35.94,34.72,35.86,11040882,1.33,3.85%,35.86,393153928.03,46751
2017-12-29,34.30,34.70,34.30,34.53,8116159,0.05,0.15%,34.53,280358127.92,26549
2017-12-28,34.69,34.69,34.38,34.48,3434947,-0.07,-0.20%,34.48,118570207.28,24069
2017-12-27,34.71,34.75,34.48,34.55,5147749,-0.05,-0.14%,34.55,177984935.11,32301
2017-12-26,35.31,35.43,34.59,34.60,4695072,-0.64,-1.82%,34.60,163814113.88,30750
2017-12-22,35.09,35.35,34.88,35.24,6566619,0.13,0.37%,35.24,231084845.14,37030
