date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,30.62,31.14,30.62,31.10,2788194,0.32,1.04%,31.10,86320849.57,18769
2018-03-09,30.24,31.32,30.21,30.78,3951253,0.98,3.29%,30.78,121914694.33,24659
2018-03-08,29.61,29.82,29.345,29.80,2252133,0.15,0.51%,29.80,66730518.37,17663
2018-03-07,29.62,30.06,29.17,29.65,2685215,-0.33,-1.10%,29.65,79584968.75,20905
2018-03-06,30.00,30.175,29.70,29.98,2553728,0.18,0.60%,29.98,76537243.05,17707
2018-03-05,28.63,30.00,28.59,29.80,3535657,0.99,3.44%,29.80,104472328.45,22948
2018-03-02,28.55,28.90,28.22,28.81,3599695,-0.10,-0.35%,28.81,102968425.95,18675
2018-03-01,28.72,29.27,28.63,28.91,3152112,0.09,0.31%,28.91,91162429.74,24740
2018-02-28,30.06,30.10,28.81,28.82,2823357,-0.92,-3.09%,28.82,82500673.99,18450
2018-02-27,30.45,30.56,29.74,29.74,2421114,-0.56,-1.85%,29.74,72657287.34,17798
2018-02-26,30.73,30.73,30.12,30.30,1939609,-0.40,-1.30%,30.30,58904534.63,15008
2018-02-23,30.37,30.73,30.17,30.70,4593612,0.16,0.52%,30.70,140296733.40,32481
2018-02-22,30.74,31.16,30.13,30.54,5960913,1.45,4.98%,30.54,182237759.47,41200
2018-02-21,29.19,29.70,29.00,29.09,4648450,-0.29,-0.99%,29.09,136415751.87,28043
2018-02-20,29.60,29.91,29.21,29.38,4597039,-0.23,-0.78%,29.38,135702375.51,30730
2018-02-16,29.53,30.095,29.405,29.61,2545167,-0.06,-0.20%,29.61,75528762.26,17501
2018-02-15,30.27,30.29,29.14,29.67,4066590,-0.49,-1.62%,29.67,120751656.16,25118
2018-02-14,28.67,30.375,28.62,30.16,3606304,0.94,3.22%,30.16,107518776.61,23952
2018-02-13,29.16,29.44,28.795,29.22,4063761,-0.47,-1.58%,29.22,118438107.09,25502
2018-02-12,29.40,29.96,29.18,29.69,2766566,0.55,1.89%,29.69,81865562.40,20593
2018-02-09,29.54,29.61,28.09,29.14,6515070,0.04,0.14%,29.14,188563938.00,38374
2018-02-08,30.67,30.85,29.10,29.10,4734287,-1.38,-4.53%,29.10,141069514.47,32307
2018-02-07,31.56,32.14,30.41,30.48,6863966,-1.66,-5.16%,30.48,213519710.38,45228
2018-02-06,30.87,32.225,30.69,32.14,6370254,0.31,0.97%,32.14,201489484.12,44691
2018-02-05,32.62,33.16,31.81,31.83,5812074,-0.85,-2.60%,31.83,188061853.81,41650
2018-02-02,32.94,33.125,32.57,32.68,4313191,-0.67,-2.01%,32.68,141545756.13,27814
2018-02-01,32.44,33.39,32.43,33.35,3552897,0.89,2.74%,33.35,117190303.71,22436
2018-01-31,32.58,32.91,32.15,32.46,3235045,0.00,0.00%,32.46,105062405.16,22510
2018-01-30,32.37,32.61,32.07,32.46,3536446,-0.62,-1.87%,32.46,114585571.56,19767
2018-01-29,33.47,33.50,32.915,33.08,3625123,-1.02,-2.99%,33.08,120170685.00,23391
2018-01-26,34.15,34.43,33.96,34.10,2286448,0.11,0.32%,34.10,78105530.12,15288
2018-01-25,34.80,34.88,33.91,33.99,2639015,-0.66,-1.90%,33.99,90398967.97,19391
2018-01-24,34.80,34.97,34.235,34.65,6333425,0.20,0.58%,34.65,219707963.60,32607
2018-01-23,34.34,34.62,34.06,34.45,2633939,-0.14,-0.40%,34.45,90488508.14,19241
2018-01-22,33.62,34.60,33.55,34.59,2412428,1.09,3.25%,34.59,82437236.31,17772
2018-01-19,32.92,33.585,32.79,33.50,2709412,0.35,1.06%,33.50,89963863.35,17055
2018-01-18,33.40,33.55,33.09,33.15,3168233,-0.52,-1.54%,33.15,105581935.01,20406
2018-01-17,33.37,33.93,33.05,33.67,3341033,0.28,0.84%,33.67,112171494.47,23880
2018-01-16,34.03,34.26,33.325,33.39,3566774,-1.41,-4.05%,33.39,120245260.82,23559
2018-01-12,34.40,35.00,34.27,34.80,5362314,0.79,2.32%,34.80,185960539.81,32005
2018-01-11,33.16,34.20,33.12,34.01,4036403,1.18,3.59%,34.01,136760788.88,25964
2018-01-10,32.61,33.14,32.46,32.83,3009574,0.45,1.39%,32.83,98868641.05,21304
2018-01-09,32.48,32.745,32.155,32.38,2430613,-0.41,-1.25%,32.38,78798570.29,17877
2018-01-08,32.57,32.81,32.15,32.79,2424932,0.30,0.92%,32.79,78855139.12,18249
2018-01-05,32.32,32.51,32.00,32.49,2013845,0.10,0.31%,32.49,65160238.68,13126
2018-01-04,32.15,32.52,31.98,32.39,2559894,0.30,0.93%,32.39,82706593.85,17097
2018-01-03,32.00,32.33,31.65,32.09,3279342,0.23,0.72%,32.09,105151078.08,24092
2018-01-02,31.23,31.915,31.12,31.86,3236845,0.55,1.76%,31.86,102370204.63,20625
2017-12-29,31.36,31.495,30.865,31.31,2096759,-0.09,-0.29%,31.31,65517160.09,13712
2017-12-28,31.41,31.53,31.175,31.40,1412497,-0.08,-0.25%,31.40,44291448.08,9661
2017-12-27,31.40,31.60,31.33,31.48,2320479,0.10,0.32%,31.48,73053120.32,11315
2017-12-26,31.32,31.54,31.08,31.38,1380944,0.23,0.74%,31.38,43283397.31,10336
2017-12-22,31.07,31.24,30.61,31.15,2409818,0.35,1.14%,31.15,74751380.78,15159
2017-12-21,30.44,31.04,30.10,30.80,3230582,0.94,3.15%,30.80,99178783.40,21541
2017-12-20,28.93,29.94,28.84,29.86,3325314,1.17,4.08%,29.86,98268814.75,18630
2017-12-19,28.55,28.74,28.365,28.69,2496943,0.14,0.49%,28.69,71395890.22,16320
2017-12-18,28.15,28.67,28.05,28.55,2971782,1.12,4.08%,28.55,84703112.44,17426
2017-12-15,27.69,27.74,27.41,27.43,5337450,-0.18,-0.65%,27.43,146773934.42,17212
2017-12-14,28.455,28.585,27.59,27.61,3451903,-1.00,-3.50%,27.61,96424560.91,21129
2017-12-13,28.59,28.845,28.41,28.61,2912774,-0.16,-0.56%,28.61,83399596.68,18620
2017-12-12,28.84,28.94,28.60,28.77,2861268,0.18,0.63%,28.77,82296182.21,18379
2017-12-11,27.58,28.60,27.54,28.59,4231630,1.24,4.53%,28.59,119871570.76,23775
2017-12-08,27.27,27.50,27.09,27.35,2978260,0.17,0.63%,27.35,81331446.88,18856
2017-12-07,27.03,27.33,26.95,27.18,3022219,-0.38,-1.38%,27.18,82142162.56,17380
2017-12-06,27.92,27.97,27.36,27.56,2825131,-0.68,-2.41%,27.56,77974821.93,16730
2017-12-05,28.99,29.04,28.195,28.24,3158526,-0.67,-2.32%,28.24,89968623.24,19434
2017-12-04,29.21,29.615,28.85,28.91,3119392,-0.34,-1.16%,28.91,91122696.50,21713
2017-12-01,28.92,29.42,28.73,29.25,5072138,0.61,2.13%,29.25,147685426.93,31968
2017-11-30,28.09,28.69,28.06,28.64,7281686,1.07,3.88%,28.64,207488096.39,30315
2017-11-29,27.47,27.93,27.39,27.57,3755323,0.07,0.25%,27.57,103934426.08,30439
2017-11-28,26.67,27.53,26.53,27.50,4617472,0.81,3.03%,27.50,125735678.81,25868
2017-11-27,26.71,26.765,26.46,26.69,3795954,-0.23,-0.85%,26.69,101064265.06,24249
2017-11-24,27.18,27.19,26.81,26.92,1771702,-0.14,-0.52%,26.92,47769162.61,12353
2017-11-22,27.10,27.25,26.965,27.06,2300266,0.46,1.73%,27.06,62373667.82,16860
2017-11-21,26.79,27.23,26.56,26.60,3476475,0.10,0.38%,26.60,93038456.46,21383
2017-11-20,26.77,26.78,26.375,26.50,2177263,0.01,0.04%,26.50,57725739.08,14507
2017-11-17,26.59,26.82,26.51,26.62,2344334,0.08,0.30%,26.49,62517808.27,13770
