date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,37.87,37.99,37.58,37.83,11347249,-0.01,-0.03%,37.83,428908117.59,50897
2018-03-09,37.85,38.08,37.66,37.84,12272186,0.00,0.00%,37.84,464329545.90,59839
2018-03-08,37.64,37.93,37.22,37.84,13096731,0.48,1.28%,37.84,492460253.72,63791
2018-03-07,37.39,37.84,37.16,37.74,15052041,-0.188,-0.50%,37.36,564730015.31,72597
2018-03-06,38.02,38.0799,37.54,37.93,12168468,0.188,0.50%,37.5481,460778838.92,55747
2018-03-05,37.33,37.90,37.11,37.74,12011053,0.307,0.83%,37.36,452334118.01,61686
2018-03-02,37.47,37.61,36.59,37.43,24060510,-0.356,-0.95%,37.0531,894146465.25,129549
2018-03-01,39.59,39.59,37.41,37.79,26183081,-1.544,-3.96%,37.4095,997440726.51,132667
2018-02-28,39.62,40.15,39.315,39.35,23145222,-0.812,-2.04%,38.9538,918026553.70,96681
2018-02-27,41.49,41.54,40.12,40.17,12738834,-1.356,-3.30%,39.7655,517871398.22,70443
2018-02-26,41.08,41.62,40.75,41.54,9397071,0.624,1.54%,41.1217,387267184.78,43590
2018-02-23,41.05,41.14,40.58,40.91,6424209,0.00,0.00%,40.4981,262203370.82,34938
2018-02-22,40.66,41.20,40.50,40.91,8805943,0.346,0.86%,40.4981,360146196.51,46218
2018-02-21,40.75,41.30,40.5101,40.56,9098549,-0.208,-0.52%,40.1516,371194677.27,53742
2018-02-20,40.90,41.33,40.59,40.77,7814571,-0.317,-0.78%,40.3595,319968539.53,45247
2018-02-16,41.85,42.28,41.00,41.09,14871775,-0.752,-1.82%,40.6763,617053650.36,77059
2018-02-15,42.06,42.21,41.395,41.85,9715834,0.04,0.10%,41.4286,404888737.26,52074
2018-02-14,41.03,41.91,40.93,41.81,10271608,0.406,0.99%,41.389,427211019.19,57041
2018-02-13,41.70,42.07,41.37,41.40,8937154,-0.594,-1.43%,40.9831,371508241.83,50013
2018-02-12,41.95,42.62,41.61,42.00,19392043,0.535,1.30%,41.5771,815296483.55,84345
2018-02-09,41.16,41.97,40.23,41.46,19597996,0.703,1.74%,41.0425,807472907.57,132300
2018-02-08,42.46,42.71,40.74,40.75,18035384,-1.623,-3.87%,40.3397,751572776.47,120012
2018-02-07,41.80,43.56,41.65,42.39,19402866,0.525,1.27%,41.9632,831983271.76,110579
2018-02-06,40.06,42.23,40.00,41.86,26988259,2.297,5.87%,41.4385,1113440108.87,151305
2018-02-05,40.98,41.67,39.51,39.54,19660620,-1.445,-3.56%,39.1419,796544416.02,99481
2018-02-02,42.22,42.27,40.85,41.00,13982144,-1.416,-3.37%,40.5872,577966953.04,66169
2018-02-01,42.12,42.60,41.95,42.43,9629833,0.02,0.05%,42.0028,407965072.76,43318
2018-01-31,42.78,42.95,42.14,42.41,19781173,-0.287,-0.68%,41.983,839005001.60,59094
2018-01-30,42.83,43.22,42.52,42.70,8459713,-0.317,-0.74%,42.2701,361791580.02,42766
2018-01-29,43.47,43.78,42.9824,43.02,8177531,-0.465,-1.08%,42.5868,353253711.94,46381
2018-01-26,43.32,43.565,42.99,43.49,9131233,0.327,0.76%,43.0521,395659457.90,43596
2018-01-25,44.46,44.48,42.975,43.16,11385995,-0.99,-2.26%,42.7254,493305292.69,61338
2018-01-24,43.50,44.40,43.45,44.16,11321705,0.772,1.80%,43.7154,499448343.65,62800
2018-01-23,43.34,43.44,42.905,43.38,14127560,0.089,0.21%,42.9432,610884481.74,47442
2018-01-22,43.16,43.42,42.82,43.29,19562094,0.139,0.32%,42.8541,845916901.48,44179
2018-01-19,44.05,44.09,43.04,43.15,14470776,-0.703,-1.62%,42.7155,625915110.35,59190
2018-01-18,44.18,44.19,43.64,43.86,11868110,-0.168,-0.39%,43.4184,520506654.98,41084
2018-01-17,44.01,44.27,43.40,44.03,15855650,-0.158,-0.36%,43.5867,696695279.04,59515
2018-01-16,45.10,45.52,43.75,44.19,20169295,0.119,0.27%,43.7451,903985200.06,95140
2018-01-12,44.15,44.70,43.66,44.07,14914573,-0.119,-0.27%,43.6263,657132372.65,62481
2018-01-11,43.28,44.27,43.155,44.19,11245753,1.178,2.77%,43.7451,493288995.10,53696
