date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,1163.85,1177.05,1157.42,1164.50,2172272,4.46,0.38%,1164.50,2537862140.91,43523
2018-03-09,1136.00,1160.80,1132.46,1160.04,2128038,34.04,3.02%,1160.04,2444801606.15,48524
2018-03-08,1115.32,1127.60,1112.80,1126.00,1355125,16.36,1.47%,1126.00,1519823355.62,28280
2018-03-07,1089.19,1112.22,1085.48,1109.64,1292537,14.58,1.33%,1109.64,1424933529.57,27754
2018-03-06,1099.22,1101.85,1089.78,1095.06,1532783,4.13,0.38%,1095.06,1681308431.15,31058
2018-03-05,1075.14,1097.10,1069.00,1090.93,1202174,12.01,1.11%,1090.93,1306798650.22,28743
2018-03-02,1053.08,1082.00,1048.12,1078.92,2271551,9.40,0.88%,1078.92,2419653126.75,52629
2018-03-01,1107.87,1110.12,1067.00,1069.52,2515910,-35.21,-3.19%,1069.52,2724126686.44,59937
2018-02-28,1123.03,1127.53,1103.24,1104.73,1882600,-13.56,-1.21%,1104.73,2097247613.51,44559
2018-02-27,1141.24,1144.04,1118.00,1118.29,1774080,-25.46,-2.23%,1118.29,2003176228.84,47836
2018-02-26,1127.80,1143.96,1126.69,1143.75,1559079,16.96,1.51%,1143.75,1771017813.87,34454
2018-02-23,1112.64,1127.28,1104.71,1126.79,1260968,20.16,1.82%,1126.79,1409660136.03,29229
2018-02-22,1116.19,1122.82,1102.59,1106.63,1317166,-4.71,-0.42%,1106.63,1465617536.49,28345
2018-02-21,1106.47,1133.97,1106.33,1111.34,1512910,8.88,0.81%,1111.34,1694648117.07,36281
2018-02-20,1090.57,1113.95,1088.52,1102.46,1423145,7.66,0.70%,1102.46,1571124300.21,33459
2018-02-16,1088.41,1104.67,1088.31,1094.80,1681612,5.28,0.48%,1094.80,1844934933.22,37570
2018-02-15,1079.07,1091.48,1064.34,1089.52,1843442,19.82,1.85%,1089.52,1994173062.92,40309
2018-02-14,1048.95,1071.72,1046.75,1069.70,1555787,17.60,1.67%,1069.70,1654608194.33,40262
2018-02-13,1045.00,1058.37,1044.09,1052.10,1265054,0.16,0.02%,1052.10,1331717121.13,31327
2018-02-12,1048.00,1061.50,1040.93,1051.94,2057718,14.16,1.36%,1051.94,2164792076.33,48131
2018-02-09,1017.25,1043.97,992.56,1037.78,3505862,36.26,3.62%,1037.78,3572184284.62,76601
2018-02-08,1055.41,1058.62,1000.66,1001.52,2859136,-47.06,-4.49%,1001.52,2940883044.13,68424
2018-02-07,1081.54,1081.78,1048.26,1048.58,2369232,-32.02,-2.96%,1048.58,2517522491.50,57448
2018-02-06,1027.18,1081.71,1023.14,1080.60,3447956,24.80,2.35%,1080.60,3656424798.57,80701
2018-02-05,1090.60,1110.00,1052.03,1055.80,3798301,-56.10,-5.05%,1055.80,4106342679.34,84332
2018-02-02,1122.00,1123.07,1107.28,1111.90,4857943,-55.80,-4.78%,1111.90,5421790064.50,110642
2018-02-01,1162.61,1174.00,1157.52,1167.70,2412114,-2.24,-0.19%,1167.70,2811694722.60,74528
2018-01-31,1170.57,1173.00,1159.13,1169.94,1538688,6.25,0.54%,1169.94,1796878938.57,33159
2018-01-30,1167.83,1176.52,1163.52,1163.69,1556346,-11.89,-1.01%,1163.69,1818004865.89,33773
2018-01-29,1176.48,1186.89,1171.98,1175.58,1378913,-0.26,-0.02%,1175.58,1624612530.75,29228
2018-01-26,1175.08,1175.84,1158.11,1175.84,2018755,5.47,0.47%,1175.84,2365766589.34,37239
2018-01-25,1172.53,1175.94,1162.76,1170.37,1480540,6.13,0.53%,1170.37,1731909279.17,28291
2018-01-24,1177.33,1179.86,1161.05,1164.24,1416625,-5.73,-0.49%,1164.24,1655668115.78,30423
2018-01-23,1159.85,1171.63,1158.75,1169.97,1333056,14.16,1.23%,1169.97,1555210422.27,28173
2018-01-22,1137.49,1159.88,1135.11,1155.81,1617975,18.30,1.61%,1155.81,1865854432.91,31151
2018-01-19,1131.83,1137.86,1128.30,1137.51,1778229,7.72,0.68%,1137.51,2016441197.00,26236
2018-01-18,1131.41,1132.51,1117.50,1129.79,1198234,-2.19,-0.19%,1129.79,1350789294.57,26046
2018-01-17,1126.22,1132.60,1117.01,1131.98,1202639,10.22,0.91%,1131.98,1354990595.34,28118
2018-01-16,1132.51,1139.91,1117.83,1121.76,1575261,-0.50,-0.04%,1121.76,1775985151.60,34739
2018-01-12,1102.41,1124.29,1101.15,1122.26,1720533,16.74,1.51%,1122.26,1923407067.90,32884
2018-01-11,1106.30,1106.53,1099.59,1105.52,978292,2.91,0.26%,1105.52,1078792142.60,21498
2018-01-10,1097.10,1104.60,1096.11,1102.61,1042793,-3.65,-0.33%,1102.61,1147014633.55,22443
2018-01-09,1109.40,1110.57,1101.23,1106.26,902541,-0.68,-0.06%,1106.26,998543600.24,22846
2018-01-08,1102.23,1111.27,1101.62,1106.94,1047603,4.71,0.43%,1106.94,1159832657.01,20075
2018-01-05,1094.00,1104.25,1092.00,1102.23,1279123,15.83,1.46%,1102.23,1406879374.91,26397
2018-01-04,1088.00,1093.57,1084.00,1086.40,1004605,3.92,0.36%,1086.40,1092886723.82,22929
2018-01-03,1064.31,1086.29,1063.21,1082.48,1430170,17.48,1.64%,1082.48,1542403806.39,28758
2018-01-02,1048.34,1066.94,1045.23,1065.00,1237564,18.60,1.78%,1065.00,1313339387.81,27612
2017-12-29,1046.72,1049.70,1044.90,1046.40,887511,-1.74,-0.17%,1046.40,929026590.18,17624
2017-12-28,1051.60,1054.75,1044.77,1048.14,837121,-1.23,-0.12%,1048.14,877851884.04,16706
2017-12-27,1057.39,1058.37,1048.05,1049.37,1271911,-7.37,-0.70%,1049.37,1336378890.16,21785
2017-12-26,1058.07,1060.12,1050.20,1056.74,761237,-3.38,-0.32%,1056.74,803596870.23,14313
2017-12-22,1061.11,1064.20,1059.44,1060.12,755095,-3.51,-0.33%,1060.12,800925256.95,14699
2017-12-21,1064.95,1069.33,1061.79,1063.63,995703,-1.32,-0.12%,1063.63,1060244229.49,17657
2017-12-20,1071.78,1073.38,1061.52,1064.95,1268582,-5.73,-0.54%,1064.95,1351668209.41,23756
2017-12-19,1075.20,1076.84,1063.55,1070.68,1338725,-6.46,-0.60%,1070.68,1432816992.11,23885
2017-12-18,1066.08,1078.49,1062.00,1077.14,1554552,12.95,1.22%,1077.14,1670286562.03,26152
2017-12-15,1054.61,1067.62,1049.50,1064.19,3275931,15.04,1.43%,1064.19,3475619403.50,42372
2017-12-14,1045.00,1058.50,1043.11,1049.15,1558835,8.54,0.82%,1049.15,1638899618.27,31837
2017-12-13,1046.12,1046.66,1038.38,1040.61,1282677,0.13,0.01%,1040.61,1335765012.88,22935
2017-12-12,1039.63,1050.31,1033.69,1040.48,1279659,-0.62,-0.06%,1040.48,1335166525.31,26512
2017-12-11,1035.50,1043.80,1032.05,1041.10,1192838,4.05,0.39%,1041.10,1239685519.61,22271
2017-12-08,1037.49,1042.05,1032.52,1037.05,1290774,6.12,0.59%,1037.05,1339571530.36,22836
2017-12-07,1020.43,1034.24,1018.07,1030.93,1458242,12.55,1.23%,1030.93,1501818674.85,26078
2017-12-06,1001.50,1024.97,1001.14,1018.38,1271964,13.23,1.32%,1018.38,1294202229.96,22931
2017-12-05,995.94,1020.61,988.28,1005.15,2067318,6.47,0.65%,1005.15,2087562955.75,39006
2017-12-04,1012.66,1016.10,995.57,998.68,1906439,-11.49,-1.14%,998.68,1913149264.93,38385
2017-12-01,1015.80,1022.49,1002.02,1010.17,1909566,-11.24,-1.10%,1010.17,1930877501.29,39104
2017-11-30,1022.37,1028.49,1015.00,1021.41,1724031,-0.25,-0.02%,1021.41,1761331669.23,33563
2017-11-29,1042.68,1044.08,1015.65,1021.66,2459426,-25.75,-2.46%,1021.66,2518214471.29,51043
2017-11-28,1055.09,1062.38,1040.00,1047.41,1424394,-6.80,-0.65%,1047.41,1497529923.00,28339
2017-11-27,1040.00,1055.46,1038.44,1054.21,1307881,13.60,1.31%,1054.21,1373451038.47,25739
2017-11-24,1035.87,1043.18,1035.00,1040.61,536996,4.65,0.45%,1040.61,558747044.46,9539
2017-11-22,1035.00,1039.71,1031.43,1035.96,746878,1.47,0.14%,1035.96,773269890.13,15097
2017-11-21,1023.31,1035.11,1022.65,1034.49,1096999,16.11,1.58%,1034.49,1131039460.38,21015
2017-11-20,1020.26,1022.61,1017.50,1018.38,953470,-0.71,-0.07%,1018.38,971995435.83,19083
2017-11-17,1034.01,1034.42,1017.75,1019.09,1397064,-13.41,-1.30%,1019.09,1431509171.75,25250
2017-11-16,1022.52,1035.92,1022.52,1032.50,1129688,11.59,1.14%,1032.50,1165320054.05,20206
2017-11-15,1019.21,1024.09,1015.42,1020.91,853992,-5.09,-0.50%,1020.91,871932552.92,17502
2017-11-14,1022.59,1026.81,1014.15,1026.00,959222,0.25,0.02%,1026.00,981278801.50,19918
2017-11-13,1023.42,1031.58,1022.57,1025.75,885779,-2.32,-0.23%,1025.75,909851807.03,17541
2017-11-10,1026.46,1030.76,1025.28,1028.07,720676,-3.19,-0.31%,1028.07,740637002.78,15062
2017-11-09,1033.99,1033.99,1019.67,1031.26,1242465,-8.59,-0.83%,1031.26,1275360093.33,27815
2017-11-08,1030.52,1043.52,1028.45,1039.85,1088716,6.52,0.63%,1039.85,1129745068.11,18855
2017-11-07,1027.27,1033.97,1025.13,1033.33,1112331,7.43,0.72%,1033.33,1146372143.90,22601
2017-11-06,1028.99,1034.87,1025.00,1025.90,1125185,-6.58,-0.64%,1025.90,1157466085.07,21943
2017-11-03,1022.11,1032.65,1020.31,1032.48,1076350,6.90,0.67%,1032.48,1106883347.86,22019
2017-11-02,1021.76,1028.09,1013.01,1025.58,1048970,0.08,0.01%,1025.58,1072430140.62,24072
2017-11-01,1017.21,1029.67,1016.95,1025.50,1373444,8.86,0.87%,1025.50,1407636053.19,28220
2017-10-31,1015.22,1024.00,1010.42,1016.64,1331391,-0.47,-0.05%,1016.64,1353329154.97,24566
2017-10-30,1014.00,1024.97,1007.50,1017.11,2085062,-2.16,-0.21%,1017.11,2119302179.24,40235
