date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,117.66,118.09,116.7901,117.83,769251,0.61,0.52%,117.83,90533814.82,7486
2018-03-09,115.05,117.68,115.05,117.22,658184,2.69,2.35%,117.22,76887249.48,7716
2018-03-08,114.33,114.90,113.831,114.53,578283,0.22,0.19%,114.53,66183411.43,6574
2018-03-07,113.05,114.64,113.05,114.31,602909,0.13,0.11%,114.31,68740415.21,5665
2018-03-06,113.80,114.80,113.07,114.18,879843,0.45,0.40%,114.18,100215131.28,8580
2018-03-05,112.87,114.24,111.61,113.73,1550058,0.28,0.25%,113.73,175881906.74,11245
2018-03-02,111.00,113.74,110.045,113.45,1440874,2.00,1.79%,113.45,161779223.28,13367
2018-03-01,113.62,114.59,111.05,111.45,1594826,-1.94,-1.71%,111.45,179106063.16,14666
2018-02-28,114.70,115.47,113.34,113.39,1756322,-0.81,-0.71%,113.39,200060870.40,11776
2018-02-27,114.66,114.95,113.11,114.20,1964035,-0.50,-0.44%,114.20,223859686.04,16819
2018-02-26,114.80,115.00,113.67,114.70,831714,0.24,0.21%,114.70,95283271.72,9024
2018-02-23,112.86,114.51,112.3611,114.46,1061841,2.44,2.18%,114.46,120354330.98,8900
2018-02-22,113.00,113.85,111.70,112.02,960842,-0.22,-0.20%,112.02,108061064.78,9389
2018-02-21,114.74,115.24,112.22,112.24,870872,-2.49,-2.17%,112.24,98947189.49,10045
2018-02-20,114.00,115.24,113.70,114.73,1343004,0.38,0.33%,114.73,153787942.70,13054
2018-02-16,112.69,114.86,112.43,114.35,1686790,2.00,1.78%,114.35,192292020.67,14224
2018-02-15,106.76,112.37,105.71,112.35,2883485,4.77,4.43%,112.35,315897015.81,25563
2018-02-14,106.18,108.14,104.705,107.58,1503777,0.73,0.68%,107.58,160135635.27,14529
2018-02-13,105.54,108.07,105.465,106.85,1248813,0.45,0.42%,106.85,133608017.73,12221
2018-02-12,104.87,107.39,104.39,106.40,1900242,2.47,2.38%,106.40,201750454.66,21865
2018-02-09,101.29,104.85,99.45,103.93,1575669,3.34,3.32%,103.93,161270837.72,16231
2018-02-08,106.39,106.98,100.48,100.59,1454498,-5.73,-5.39%,100.59,150955477.83,12144
2018-02-07,105.43,108.06,105.43,106.32,770089,0.31,0.29%,106.32,82278469.63,8257
2018-02-06,103.30,106.34,101.591,106.01,1256877,1.03,0.98%,106.01,131850304.93,13263
2018-02-05,108.04,109.41,104.73,104.98,1013183,-3.74,-3.44%,104.98,108142532.29,9456
2018-02-02,110.94,110.94,108.60,108.72,1053201,-2.87,-2.57%,108.72,115376569.74,9047
2018-02-01,111.67,112.215,110.69,111.59,964985,-0.19,-0.17%,111.59,107587305.72,10228
2018-01-31,111.79,112.90,111.17,111.78,941578,0.40,0.36%,111.78,105486981.37,9225
2018-01-30,111.51,112.64,110.52,111.38,717440,-1.04,-0.93%,111.38,80141463.01,7644
2018-01-29,112.88,113.26,111.91,112.42,792499,-0.84,-0.74%,112.42,89222674.13,7691
2018-01-26,112.49,113.26,111.95,113.26,682045,1.06,0.94%,113.26,76952949.35,6691
2018-01-25,112.67,113.11,111.94,112.20,846320,0.03,0.03%,112.20,95085533.91,8544
2018-01-24,110.24,112.27,110.16,112.17,1325386,2.28,2.07%,112.17,148048569.16,13727
2018-01-23,109.17,110.00,108.67,109.89,1216075,0.79,0.72%,109.89,133432216.86,8717
2018-01-22,107.74,109.16,107.265,109.10,875418,1.09,1.01%,109.10,94976451.07,8054
2018-01-19,106.88,108.06,104.65,108.01,1077177,1.83,1.72%,108.01,115827275.52,8859
2018-01-18,106.05,106.78,105.231,106.18,642029,0.38,0.36%,106.18,68136058.90,5983
2018-01-17,105.00,106.17,104.71,105.80,804918,1.20,1.15%,105.80,84993452.02,7317
2018-01-16,103.62,105.41,103.52,104.60,1553288,1.34,1.30%,104.60,162436350.76,11058
2018-01-12,104.55,104.55,102.96,103.26,843457,-0.74,-0.71%,103.26,87107070.26,8761
2018-01-11,103.73,104.19,102.76,104.00,658275,0.43,0.42%,104.00,68270975.99,6669
2018-01-10,104.47,104.47,103.01,103.57,1222986,-1.24,-1.18%,103.57,126591138.99,11790
2018-01-09,105.36,106.52,104.63,104.81,1353435,0.63,0.60%,104.81,142368957.77,10903
2018-01-08,103.55,104.83,103.08,104.18,577055,0.62,0.60%,104.18,60090056.87,5462
2018-01-05,103.85,104.25,102.99,103.56,1001729,-0.09,-0.09%,103.56,103589327.81,9503
2018-01-04,102.32,103.75,102.215,103.65,1121874,1.94,1.91%,103.65,116090541.00,8435
2018-01-03,100.03,102.57,99.79,101.71,1221598,2.15,2.16%,101.71,123947843.22,10011
2018-01-02,100.69,100.95,98.82,99.56,1150420,-0.68,-0.68%,99.56,114462829.10,7376
2017-12-29,100.60,100.75,99.98,100.24,844418,-0.08,-0.08%,100.24,84775480.22,5256
2017-12-28,100.35,100.41,99.605,100.32,948161,-0.01,-0.01%,100.32,94912365.84,8160
2017-12-27,101.02,101.02,99.75,100.33,1077759,-0.40,-0.40%,100.33,108008600.02,7145
2017-12-26,100.06,101.01,99.57,100.73,440802,0.37,0.37%,100.73,44318529.30,4000
2017-12-22,100.26,100.64,99.96,100.36,548734,-0.01,-0.01%,100.36,55040016.49,6022
2017-12-21,101.06,102.23,99.82,100.37,1119040,-1.35,-1.33%,100.37,112372292.50,9959
2017-12-20,103.08,103.385,101.63,101.72,734217,-1.00,-0.97%,101.72,75021820.96,6808
2017-12-19,101.38,102.89,100.86,102.72,1218007,1.36,1.34%,102.72,124474710.13,10895
2017-12-18,102.20,102.265,100.64,101.36,1003716,0.53,0.53%,101.36,101649992.92,8142
2017-12-15,99.87,101.45,99.60,100.83,2747251,1.29,1.30%,100.83,276688411.94,10914
2017-12-14,99.85,100.17,99.32,99.54,1269885,0.19,0.19%,99.54,126583068.90,7274
2017-12-13,100.43,101.37,99.07,99.36,1049833,-0.78,-0.78%,99.35,104720884.79,10031
2017-12-12,99.66,100.73,99.65,100.14,892820,-0.08,-0.08%,100.1299,89420169.25,6738
2017-12-11,99.18,100.51,98.82,100.22,866231,0.85,0.86%,100.2099,86506606.66,8117
2017-12-08,99.39,99.845,99.00,99.37,639007,0.18,0.18%,99.36,63448228.73,6626
2017-12-07,97.46,99.57,97.46,99.19,709782,2.00,2.06%,99.18,70246631.95,7317
2017-12-06,96.65,98.48,96.34,97.19,1630742,0.56,0.58%,97.1802,159014585.20,11966
2017-12-05,95.96,97.67,95.37,96.63,1328567,0.67,0.70%,96.6202,128837402.20,11368
2017-12-04,101.25,101.49,95.32,95.96,2119253,-4.79,-4.75%,95.9503,204708599.28,21441
2017-12-01,100.46,101.01,98.32,100.75,1093707,0.19,0.19%,100.7398,109552985.96,11327
2017-11-30,99.46,100.75,98.73,100.56,1725694,1.60,1.62%,100.5498,172970040.57,15027
2017-11-29,103.67,103.67,98.89,98.96,1837349,-4.59,-4.43%,98.95,183579675.24,15236
2017-11-28,104.35,104.90,103.4303,103.55,838236,-0.34,-0.33%,103.5395,86991754.87,9171
2017-11-27,103.78,104.19,102.74,103.89,686347,0.42,0.41%,103.8795,71202374.92,6536
2017-11-24,102.61,103.51,102.47,103.47,266019,1.04,1.02%,103.4595,27441085.40,2917
2017-11-22,103.17,103.37,102.09,102.43,659497,-0.78,-0.76%,102.4197,67619510.79,6647
