date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,33.07,33.12,32.05,32.24,5507826,-0.83,-2.51%,32.24,178388691.23,34768
2018-03-09,32.89,33.18,32.17,33.07,4575384,0.47,1.44%,33.07,149836445.91,32096
2018-03-08,33.34,33.58,32.58,32.60,5563172,-0.68,-2.04%,32.60,182684343.37,33005
2018-03-07,34.46,34.52,32.97,33.28,7064903,-1.31,-3.79%,33.28,237158676.77,44879
2018-03-06,34.09,34.71,34.02,34.59,6900468,0.50,1.47%,34.59,237675034.37,41627
2018-03-05,34.18,34.29,33.442,34.09,10937532,-0.09,-0.26%,34.09,370922772.71,58696
2018-03-02,33.90,34.37,32.70,34.18,16535820,2.48,7.82%,34.18,557704758.65,88199
2018-03-01,31.39,31.95,30.73,31.70,9283673,0.12,0.38%,31.70,291359656.81,58133
2018-02-28,31.50,32.18,31.44,31.58,4587988,0.36,1.15%,31.58,145970834.36,29976
2018-02-27,32.62,33.17,31.21,31.22,5222243,-0.91,-2.83%,31.22,165595643.97,37237
2018-02-26,33.04,33.13,31.895,32.13,5962013,-0.56,-1.71%,32.13,192252490.16,38550
2018-02-23,32.49,32.72,32.02,32.69,3628245,0.32,0.99%,32.69,117732820.41,24387
2018-02-22,32.33,32.70,32.24,32.37,2601166,0.15,0.47%,32.37,84466763.51,19222
2018-02-21,31.79,32.92,31.75,32.22,4562302,0.61,1.93%,32.22,148219469.71,32286
2018-02-20,31.09,32.41,30.75,31.61,9581621,-1.66,-4.99%,31.61,304606611.19,57289
2018-02-16,33.26,33.95,33.23,33.27,4362417,-0.06,-0.18%,33.27,146059693.31,22739
2018-02-15,33.41,33.59,32.66,33.33,2760519,0.22,0.66%,33.33,91619519.33,17209
2018-02-14,32.10,33.40,31.99,33.11,4070030,0.68,2.10%,33.11,133685817.11,25884
2018-02-13,31.38,32.51,31.29,32.43,4181019,1.01,3.21%,32.43,134141639.47,26141
2018-02-12,32.54,32.62,31.32,31.42,7131572,-0.87,-2.69%,31.42,226020519.16,42459
2018-02-09,31.73,32.60,30.54,32.29,8642969,1.12,3.59%,32.29,274766630.95,51879
2018-02-08,32.82,32.85,31.16,31.17,4082656,-1.45,-4.45%,31.17,129404493.31,28930
2018-02-07,32.20,33.05,31.84,32.62,3988817,0.46,1.43%,32.62,130260367.58,31827
2018-02-06,29.89,32.475,29.28,32.16,8789486,1.60,5.24%,32.16,275668332.21,54178
2018-02-05,31.80,32.215,30.52,30.56,7562069,-1.53,-4.77%,30.56,237802001.79,46175
2018-02-02,32.68,32.81,31.91,32.09,4474828,-0.79,-2.40%,32.09,144307426.00,30421
2018-02-01,32.82,33.50,32.57,32.88,5666008,-0.36,-1.08%,32.88,187125132.59,38595
2018-01-31,34.42,34.68,33.02,33.24,5508681,-1.15,-3.34%,33.24,184737137.38,30183
2018-01-30,34.90,35.0256,34.25,34.39,4644401,-0.69,-1.97%,34.39,160291993.43,30283
2018-01-29,34.47,35.33,34.47,35.08,2543343,0.23,0.66%,35.08,89198536.11,18392
2018-01-26,34.58,34.865,34.17,34.85,2641256,0.27,0.78%,34.85,91528270.88,18537
2018-01-25,35.10,35.19,34.37,34.58,2166522,-0.30,-0.86%,34.58,75045598.76,15215
2018-01-24,35.46,35.58,34.48,34.88,2482704,-0.58,-1.64%,34.88,86913759.30,17666
2018-01-23,35.44,35.68,35.06,35.46,3369183,-0.02,-0.06%,35.46,119228071.87,18487
2018-01-22,34.80,35.50,34.735,35.48,4819110,0.67,1.92%,35.48,170230603.07,29552
2018-01-19,33.93,34.87,33.76,34.81,3711513,1.05,3.11%,34.81,128263672.50,23479
2018-01-18,33.31,33.88,33.25,33.76,2527262,0.50,1.50%,33.76,85133448.82,17257
2018-01-17,32.82,33.46,32.82,33.26,2741531,0.55,1.68%,33.26,91004650.00,18657
2018-01-16,33.92,34.00,32.67,32.71,5396366,-1.16,-3.42%,32.71,178795571.38,31384
2018-01-12,33.16,34.2334,33.03,33.87,4803321,0.68,2.05%,33.87,162801859.86,29402
2018-01-11,32.16,33.27,31.935,33.19,5280243,1.16,3.62%,33.19,172844968.67,32354
2018-01-10,31.69,32.22,31.53,32.03,3044281,0.04,0.13%,32.03,97353655.73,19824
2018-01-09,32.16,32.18,31.57,31.99,5362553,-0.31,-0.96%,31.99,170722301.66,32168
2018-01-08,32.83,33.08,31.76,32.30,4920037,-0.25,-0.77%,32.30,158545983.23,26230
2018-01-05,32.75,32.86,32.345,32.55,3949413,-0.19,-0.58%,32.55,128566821.15,23944
