date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,271.00,275.31,270.77,273.38,3065557,2.61,0.96%,273.38,838172056.81,35002
2018-03-09,268.70,271.09,267.04,270.77,4410571,4.43,1.66%,270.77,1189311555.15,44301
2018-03-08,266.48,268.10,262.63,266.34,2565359,0.99,0.37%,266.34,681541580.68,26083
2018-03-07,262.69,266.43,260.9455,265.35,2509352,-1.58,-0.59%,265.35,662464170.27,31306
2018-03-06,264.77,267.87,263.21,266.93,2217341,3.81,1.45%,266.93,589431511.82,29890
2018-03-05,256.46,264.55,256.24,263.12,2445846,5.00,1.94%,263.12,639748819.40,30940
2018-03-02,255.00,259.24,252.10,258.12,3122826,1.34,0.52%,258.12,799390976.91,40516
2018-03-01,262.61,263.55,256.201,256.78,3483534,-6.15,-2.34%,256.78,903638187.85,44242
2018-02-28,269.14,269.49,262.57,262.93,3104329,-4.25,-1.59%,262.93,825882504.27,31217
2018-02-27,271.00,273.12,267.93,267.93,3140609,-3.321,-1.23%,267.1801,850124726.17,33435
2018-02-26,267.50,271.78,266.77,271.26,2751367,4.477,1.68%,270.5007,743879548.79,26790
2018-02-23,263.00,266.98,262.40,266.77,2507056,5.325,2.04%,266.0233,665058919.38,27914
2018-02-22,264.40,266.32,260.72,261.43,2678880,-1.964,-0.75%,260.6983,704056940.87,30854
2018-02-21,263.92,270.00,263.13,263.40,3017869,-1.486,-0.56%,262.6627,802527456.63,32335
2018-02-20,266.89,268.85,263.31,264.89,2618423,-2.722,-1.02%,264.1486,695894562.55,29536
2018-02-16,265.99,269.28,265.90,267.62,2602502,-0.06,-0.02%,266.8709,696587350.92,32677
2018-02-15,265.76,268.00,262.91,267.68,3523083,5.086,1.94%,266.9308,937018443.56,40822
2018-02-14,255.00,262.71,254.477,262.58,3793777,7.03,2.76%,261.845,985934657.82,42147
2018-02-13,252.01,256.40,250.58,255.53,2700493,2.363,0.94%,254.8148,685876834.57,32080
2018-02-12,251.15,256.15,248.82,253.16,3692544,3.849,1.55%,252.4514,933395124.23,41826
2018-02-09,249.62,251.67,239.29,249.30,5978553,2.942,1.20%,248.6022,1471464481.79,66664
2018-02-08,257.93,258.78,246.05,246.35,4166152,-10.72,-4.18%,245.6605,1048733111.15,49818
2018-02-07,255.90,261.95,255.66,257.10,4125037,-1.596,-0.62%,256.3804,1067504700.23,46923
2018-02-06,244.21,258.75,242.11,258.70,6739908,9.563,3.85%,257.9759,1699134668.77,76628
2018-02-05,257.51,263.30,241.50,249.11,6528467,-10.899,-4.20%,248.4127,1659982486.42,71060
2018-02-02,270.00,271.75,259.35,260.04,5913920,-12.156,-4.48%,259.3121,1560625478.36,58374
2018-02-01,266.15,272.59,266.001,272.23,3388237,4.328,1.62%,271.468,915626890.36,33745
2018-01-31,268.55,270.00,266.33,267.89,3710160,-1.047,-0.39%,267.1402,996505722.95,36997
2018-01-30,270.39,272.00,267.111,268.94,3970433,-3.53,-1.30%,268.1872,1067937198.77,35987
2018-01-29,269.04,273.79,268.81,272.48,3881092,4.328,1.62%,271.7173,1056308752.49,36999
2018-01-26,267.49,269.00,266.05,268.14,3535395,-0.888,-0.33%,267.3895,946789093.75,34816
2018-01-25,266.35,270.50,265.01,269.03,5054952,3.341,1.26%,268.277,1356612890.90,44803
2018-01-24,260.74,265.78,260.30,265.68,4313964,5.574,2.15%,264.9364,1137262461.11,45107
2018-01-23,258.00,260.26,256.85,260.09,4003561,-1.426,-0.55%,259.362,1036989987.21,41079
2018-01-22,255.45,262.8699,255.19,261.52,5264672,5.385,2.11%,260.788,1372140971.36,46263
2018-01-19,251.00,256.14,250.26,256.12,4643375,5.136,2.05%,255.4031,1177362421.90,42762
2018-01-18,254.49,254.54,250.60,250.97,4984536,-2.672,-1.06%,250.2675,1253918599.10,48669
2018-01-17,260.98,262.00,248.8364,253.65,8608134,-4.797,-1.86%,252.94,2174782534.22,84633
2018-01-16,259.25,261.77,256.3958,258.46,4445460,1.426,0.56%,257.7366,1150982899.51,46647
2018-01-12,255.75,257.30,254.09,257.03,2849176,1.895,0.74%,256.3106,729233442.55,27386
2018-01-11,255.75,255.89,252.97,255.13,2422405,0.798,0.31%,254.4159,616517115.64,24576
2018-01-10,255.00,255.15,252.35,254.33,2927210,0.389,0.15%,253.6181,743765702.84,31433
2018-01-09,252.80,255.5988,252.62,253.94,2637346,2.124,0.85%,253.2292,669370148.35,27844
2018-01-08,254.75,255.18,251.62,251.81,2940546,-3.70,-1.45%,251.1052,743441848.70,29056
2018-01-05,257.18,257.49,253.691,255.52,2594712,-1.306,-0.51%,254.8048,661527898.62,27508
2018-01-04,255.23,259.72,254.32,256.83,2583204,3.53,1.40%,256.1111,664243087.49,29542
2018-01-03,255.48,256.14,253.22,253.29,2988206,-2.373,-0.93%,252.581,759399795.13,31492
