date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,28.79,29.19,28.70,28.89,1999170,0.14,0.49%,28.89,57810956.49,11122
2018-03-09,28.62,29.04,28.50,28.75,2338248,0.29,1.02%,28.75,67373712.02,16851
2018-03-08,28.46,28.75,28.3248,28.46,2345725,0.15,0.53%,28.46,66884653.86,13238
2018-03-07,28.06,28.40,28.00,28.31,2337731,-0.06,-0.21%,28.31,65970736.09,16103
2018-03-06,28.23,28.595,28.03,28.37,3702849,0.21,0.75%,28.37,104695141.33,24061
2018-03-05,27.92,28.41,27.90,28.16,3707402,0.02,0.07%,28.16,104562153.49,25169
2018-03-02,28.02,28.51,27.85,28.14,4075715,-0.05,-0.18%,28.14,114611196.64,27595
2018-03-01,28.82,29.06,28.03,28.19,3799291,-0.75,-2.59%,28.19,108080049.57,30471
2018-02-28,29.60,29.75,28.94,28.94,3090241,-0.55,-1.87%,28.94,90472148.30,19705
2018-02-27,29.87,30.005,29.47,29.49,2690259,-0.33,-1.11%,29.49,79795425.16,19278
2018-02-26,29.70,29.90,29.46,29.82,1864281,0.30,1.02%,29.82,55357917.14,14078
2018-02-23,29.20,29.66,29.20,29.52,1943477,0.39,1.34%,29.52,57350919.87,14466
2018-02-22,29.35,29.42,28.915,29.13,2603964,-0.02,-0.07%,29.13,75871048.08,19397
2018-02-21,29.45,29.63,29.12,29.15,2591160,-0.33,-1.12%,29.15,76099161.34,17417
2018-02-20,29.56,29.78,29.2248,29.48,2923221,-0.18,-0.61%,29.48,86223361.69,20299
2018-02-16,30.00,30.005,29.6065,29.66,3115741,-0.30,-1.00%,29.66,92793163.60,19427
2018-02-15,29.79,30.07,29.56,29.96,3401296,0.38,1.28%,29.96,101602956.30,21259
2018-02-14,29.00,29.67,28.81,29.58,4696522,0.24,0.82%,29.58,137597015.50,32802
2018-02-13,29.94,30.205,29.05,29.34,5416885,-0.77,-2.56%,29.34,159752231.90,34669
2018-02-12,30.25,30.73,29.965,30.11,7102638,0.12,0.40%,30.11,214382800.79,42865
2018-02-09,30.98,31.79,29.39,29.99,8126258,-0.76,-2.47%,29.99,244163108.11,58760
2018-02-08,33.47,33.47,30.57,30.75,6836789,-2.72,-8.13%,30.75,215343778.38,43933
2018-02-07,33.14,33.88,33.01,33.47,4053834,0.09,0.27%,33.47,136244273.18,31517
2018-02-06,32.57,33.67,32.10,33.38,4014079,0.58,1.77%,33.38,132928622.49,33072
2018-02-05,34.17,34.66,32.72,32.80,3615780,-1.55,-4.51%,32.80,120946470.62,22694
2018-02-02,34.51,34.76,34.27,34.35,2273962,-0.16,-0.46%,34.35,78397275.36,18014
2018-02-01,34.64,34.73,34.25,34.51,2408660,-0.31,-0.89%,34.51,83133324.64,20435
2018-01-31,35.35,35.45,34.76,34.82,2536277,-0.48,-1.36%,34.82,88806552.18,15555
2018-01-30,35.41,35.55,34.94,35.44,2229910,-0.219,-0.62%,35.30,78904000.65,15360
2018-01-29,35.67,36.07,35.64,35.66,1857772,-0.10,-0.28%,35.5191,66490157.76,12860
2018-01-26,35.64,35.91,35.47,35.76,1726701,0.289,0.82%,35.6187,61715158.34,12906
2018-01-25,35.51,35.675,35.14,35.47,1398298,0.10,0.28%,35.3299,49545729.43,11180
2018-01-24,35.30,36.00,35.16,35.37,3181297,0.169,0.48%,35.2303,112747939.77,17297
2018-01-23,35.52,35.59,35.09,35.20,2259210,-0.418,-1.18%,35.061,79588536.56,13303
2018-01-22,35.00,35.67,34.92,35.62,3137856,0.628,1.80%,35.4793,111025660.60,19539
2018-01-19,34.23,35.00,33.95,34.99,2974632,0.906,2.67%,34.8518,103155555.69,15800
2018-01-18,34.28,34.52,33.80,34.08,2400531,-0.289,-0.84%,33.9454,81783109.71,16330
2018-01-17,33.41,35.29,33.27,34.37,6156814,0.867,2.60%,34.2342,212327181.50,34315
2018-01-16,34.00,34.17,33.31,33.50,2852199,-0.408,-1.21%,33.3677,95807278.24,17865
2018-01-12,33.53,34.08,33.53,33.91,4295091,0.319,0.95%,33.7761,145388774.51,24785
2018-01-11,33.58,33.88,33.49,33.59,1971776,0.12,0.36%,33.4573,66346928.13,14239
2018-01-10,33.83,33.875,33.415,33.47,2267697,-0.418,-1.24%,33.3378,76130314.12,14628
2018-01-09,33.35,34.2901,33.27,33.89,2830238,0.757,2.29%,33.7561,96050055.88,18151
2018-01-08,32.83,33.20,32.70,33.13,2188627,0.289,0.88%,32.9991,72353752.15,13543
2018-01-05,32.69,32.91,32.37,32.84,3789864,0.259,0.80%,32.7103,123894462.97,13563
2018-01-04,31.95,32.62,31.87,32.58,4912022,0.717,2.26%,32.4513,158638760.75,26127
