date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,279.97,282.78,279.07,279.74,698969,-0.69,-0.25%,279.74,196094728.26,8306
2018-03-09,275.91,283.34,275.17,280.43,905687,5.73,2.09%,280.43,253627785.04,11125
2018-03-08,273.06,274.90,269.945,274.70,646980,3.44,1.27%,274.70,176576706.60,8281
2018-03-07,264.67,271.75,262.93,271.26,1008836,3.50,1.31%,271.26,271858162.33,9932
2018-03-06,262.89,273.25,260.83,267.76,1232407,7.93,3.05%,267.76,331446366.95,14510
2018-03-05,254.85,261.505,254.28,259.83,701090,4.53,1.77%,259.83,181926772.34,8047
2018-03-02,253.40,255.73,248.75,255.30,902288,-0.41,-0.16%,255.30,228362514.22,10966
2018-03-01,260.97,262.51,254.01,255.71,1043301,-5.84,-2.23%,255.71,268710570.08,13705
2018-02-28,266.60,267.24,261.55,261.55,741364,-3.23,-1.22%,261.55,195441050.30,7996
2018-02-27,271.70,274.00,264.78,264.78,608682,-6.04,-2.23%,264.78,162685970.32,8315
2018-02-26,267.24,271.37,266.23,270.82,499009,4.63,1.74%,270.82,134412213.43,5814
2018-02-23,264.87,266.59,263.15,266.19,469960,2.59,0.98%,266.19,124608803.69,5558
2018-02-22,263.62,266.16,262.50,263.60,683780,1.81,0.69%,263.60,180534485.25,8481
2018-02-21,264.33,266.94,261.78,261.79,549768,-1.82,-0.69%,261.79,145381870.40,7718
2018-02-20,264.49,268.07,262.57,263.61,478835,-3.07,-1.15%,263.61,126975010.79,6797
2018-02-16,269.45,271.20,266.61,266.68,507062,-2.88,-1.07%,266.68,136124202.37,7585
2018-02-15,266.71,271.87,263.67,269.56,807812,4.82,1.82%,269.56,216449466.65,11480
2018-02-14,268.61,269.51,261.5285,264.74,1160797,-6.63,-2.44%,264.74,307292069.40,14959
2018-02-13,267.18,272.58,265.945,271.37,881362,1.94,0.72%,271.37,238421753.36,10971
2018-02-12,269.43,272.00,267.845,269.43,1331586,2.09,0.78%,269.43,359375734.76,14563
2018-02-09,259.43,269.34,256.51,267.34,1808077,10.02,3.89%,267.34,476018183.28,19169
2018-02-08,259.59,265.03,257.3201,258.60,910832,-1.284,-0.50%,257.3199,237515434.57,12624
2018-02-07,259.01,262.51,256.66,259.89,1038423,0.876,0.34%,258.6035,269848915.43,11377
2018-02-06,247.17,263.0999,247.17,259.01,1207778,4.876,1.93%,257.7279,312119731.33,18209
2018-02-05,257.85,262.01,250.34,254.11,1348140,-5.552,-2.15%,252.8522,346655393.10,15311
2018-02-02,265.12,265.19,259.47,259.69,845462,-6.408,-2.42%,258.4045,221230857.05,11553
2018-02-01,267.03,272.29,264.24,266.13,901911,-3.513,-1.31%,264.8127,240669829.30,13052
2018-01-31,275.98,277.41,267.51,269.66,1725956,-5.761,-2.10%,268.3252,466811706.13,15606
2018-01-30,273.48,276.755,269.10,275.45,1096032,0.965,0.35%,274.0865,300075802.59,14127
2018-01-29,285.53,287.98,273.65,274.48,1548725,-10.727,-3.78%,273.1213,430466815.92,19157
2018-01-26,287.98,290.255,282.32,285.26,1377127,-1.174,-0.41%,283.848,392691570.43,16023
2018-01-25,275.00,298.145,274.26,286.44,4860006,14.398,5.32%,285.0221,1397272156.47,50810
2018-01-24,258.39,274.25,257.28,271.97,4080742,42.31,18.53%,270.6237,1084687968.78,43130
2018-01-23,227.56,231.09,226.01,229.45,1230988,-0.408,-0.18%,228.3142,282420512.56,14916
2018-01-22,229.12,230.50,223.25,229.86,970346,-0.189,-0.08%,228.7222,220765146.65,12716
2018-01-19,228.48,231.89,227.12,230.05,658246,2.508,1.11%,228.9113,151596746.03,8081
2018-01-18,226.13,230.4195,225.94,227.53,1291719,2.289,1.02%,226.4037,293942508.68,14646
2018-01-17,227.62,228.35,223.62,225.23,1752866,-6.547,-2.84%,224.1151,395077894.55,20229
2018-01-16,237.17,237.53,231.16,231.81,920960,-3.841,-1.64%,230.6625,215245933.13,10775
2018-01-12,238.51,239.70,235.34,235.67,932861,-2.04,-0.86%,234.5034,220842691.24,8275
2018-01-11,232.50,238.00,231.70,237.72,677764,5.94,2.58%,236.5433,159740338.73,8845
2018-01-10,230.50,233.315,227.64,231.75,835859,-5.513,-2.33%,230.6028,193182989.00,10907
2018-01-09,238.51,239.78,236.415,237.29,764539,-0.955,-0.40%,236.1154,181885890.06,9279
2018-01-08,237.29,238.99,234.72,238.25,954770,0.00,0.00%,237.0707,226689762.66,8506
2018-01-05,236.35,238.62,235.32,238.25,771110,2.179,0.93%,237.0707,183243841.42,9952
2018-01-04,235.04,236.95,233.16,236.06,950354,1.821,0.78%,234.8915,223700332.66,12043
2018-01-03,235.36,236.775,232.40,234.23,901225,-1.473,-0.63%,233.0706,210726557.29,10626
2018-01-02,237.05,238.79,233.00,235.71,636732,-0.537,-0.23%,234.5432,149800432.43,9113
2017-12-29,237.96,240.485,236.05,236.25,542977,-1.702,-0.72%,235.0806,129059309.93,7567
2017-12-28,237.43,238.20,235.27,237.96,441813,0.955,0.41%,236.7821,104796633.33,5488
2017-12-27,236.01,237.11,235.04,237.00,338529,0.985,0.42%,235.8269,80008415.77,5219
2017-12-26,234.00,238.00,234.00,236.01,554902,1.164,0.50%,234.8418,130878210.76,6499
2017-12-22,232.535,235.855,232.39,234.84,585024,-0.179,-0.08%,233.6775,137275930.74,6327
2017-12-21,231.64,235.69,230.895,235.02,637742,4.06,1.77%,233.8567,149148096.55,8324
2017-12-20,230.39,232.03,229.43,230.94,568321,2.338,1.03%,229.7968,131309969.18,5838
2017-12-19,229.13,230.68,227.46,228.59,528867,-1.323,-0.58%,227.4585,121072438.66,6006
