date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,92.00,92.18,89.995,90.07,1980416,-1.39,-1.52%,90.07,178822874.73,16708
2018-03-09,91.08,92.15,89.84,91.46,3198328,-1.92,-2.06%,91.46,289881209.89,25696
2018-03-08,94.02,94.285,93.06,93.38,864043,-0.84,-0.89%,93.38,80721951.45,9607
2018-03-07,95.45,96.37,94.14,94.22,1152082,-1.65,-1.72%,94.22,109054207.68,12009
2018-03-06,96.80,96.98,95.38,95.87,701800,-0.93,-0.96%,95.87,67292195.46,8342
2018-03-05,95.40,97.16,94.78,96.80,768123,1.15,1.20%,96.80,74080717.12,7078
2018-03-02,93.96,95.93,93.55,95.65,888361,1.25,1.32%,95.65,84362094.58,10926
2018-03-01,96.06,96.86,94.22,94.40,1150848,-1.17,-1.22%,94.40,109482927.67,13113
2018-02-28,97.62,98.48,95.55,95.57,1397997,-1.67,-1.72%,95.57,134913482.40,13390
2018-02-27,98.88,100.545,97.22,97.24,979621,-1.28,-1.30%,97.24,96340653.85,11235
2018-02-26,97.81,98.90,97.355,98.52,1230915,1.05,1.08%,98.52,120964057.91,12442
2018-02-23,97.20,97.72,95.97,97.47,1289988,0.16,0.16%,97.47,124897817.21,12475
2018-02-22,98.80,99.06,96.98,97.31,1426147,-1.76,-1.78%,97.31,139200993.25,15329
2018-02-21,98.18,100.26,97.5775,99.07,1916783,1.30,1.33%,99.07,189934661.93,16211
2018-02-20,98.52,98.95,97.25,97.77,1403662,-1.08,-1.09%,97.77,137716270.02,13976
2018-02-16,97.23,100.69,95.70,98.85,2570355,1.49,1.53%,98.85,252958138.15,19367
2018-02-15,96.77,97.82,95.62,97.36,1270626,0.65,0.67%,97.36,123421402.65,12607
2018-02-14,95.16,97.28,94.68,96.71,1370186,1.15,1.20%,96.71,132120615.29,12548
2018-02-13,96.43,97.39,94.73,95.56,1987931,-1.07,-1.11%,95.56,189881511.47,15647
2018-02-12,98.41,99.33,96.34,96.63,1312963,-1.10,-1.13%,96.63,128057882.01,15097
2018-02-09,97.70,98.98,95.04,97.73,2911493,1.25,1.30%,97.73,283102081.83,32670
2018-02-08,101.01,101.51,96.28,96.48,3362677,-5.74,-5.62%,96.48,329332925.20,32523
2018-02-07,92.50,103.39,92.10,102.22,7270568,8.29,8.83%,102.22,726178573.55,62599
2018-02-06,90.60,94.34,89.89,93.93,2692697,2.60,2.85%,93.93,249013668.71,28626
2018-02-05,94.01,94.44,91.30,91.33,1990865,-2.79,-2.96%,91.33,184282867.84,22713
2018-02-02,94.75,95.38,93.75,94.12,1823310,-1.62,-1.69%,94.12,172120044.64,18659
2018-02-01,94.34,96.30,93.46,95.74,1462026,1.17,1.24%,95.74,139377440.11,14973
2018-01-31,94.42,94.91,93.86,94.57,947153,0.87,0.93%,94.57,89576725.04,10588
2018-01-30,94.02,94.98,93.374,94.27,1351805,0.07,0.07%,93.70,127386049.15,15440
2018-01-29,93.35,94.50,92.82,94.20,935486,0.805,0.87%,93.6305,87852875.71,10247
2018-01-26,95.53,96.11,91.47,93.39,2644910,-2.147,-2.26%,92.8254,247846753.29,24556
2018-01-25,96.49,96.94,95.225,95.55,1475003,-0.219,-0.23%,94.9723,141177453.31,16437
