date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,16.51,16.60,16.445,16.48,8384172,-0.02,-0.12%,16.48,138361953.16,33633
2018-03-09,16.28,16.50,16.145,16.50,7147292,0.34,2.10%,16.50,117130721.85,29467
2018-03-08,16.29,16.35,15.995,16.16,5444143,-0.12,-0.74%,16.16,87739180.51,21900
2018-03-07,16.00,16.31,16.00,16.28,7066192,0.08,0.49%,16.28,114394822.54,29667
2018-03-06,16.10,16.26,15.89,16.20,8213378,0.19,1.19%,16.20,132498879.18,30978
2018-03-05,15.63,16.06,15.57,16.01,6382166,0.21,1.33%,16.01,101504042.27,23154
2018-03-02,15.53,15.82,15.30,15.80,6811917,0.19,1.22%,15.80,106365856.46,32828
2018-03-01,15.72,15.81,15.525,15.61,8245783,-0.09,-0.57%,15.61,129262048.72,38244
2018-02-28,15.88,16.055,15.70,15.70,7338996,-0.12,-0.76%,15.70,116530046.29,28076
2018-02-27,15.97,16.235,15.82,15.82,9914274,-0.21,-1.31%,15.82,159168384.76,41705
2018-02-26,16.01,16.15,15.93,16.03,9520074,0.04,0.25%,16.03,152466003.37,35060
2018-02-23,15.80,15.99,15.765,15.99,5484477,0.26,1.65%,15.99,87006856.48,27845
2018-02-22,16.14,16.20,15.70,15.73,7822448,-0.32,-1.99%,15.73,124535734.54,37964
2018-02-21,15.93,16.29,15.85,16.05,10175575,0.15,0.94%,16.05,164082174.61,42228
2018-02-20,15.83,15.97,15.76,15.90,7828421,0.07,0.44%,15.90,124304655.34,28164
2018-02-16,15.79,15.91,15.73,15.83,13752978,-0.03,-0.19%,15.83,217740035.82,43824
2018-02-15,15.95,15.98,15.77,15.86,10831749,-0.03,-0.19%,15.86,171773623.43,34871
2018-02-14,15.49,15.90,15.41,15.89,13726862,0.37,2.38%,15.89,216402263.57,50304
2018-02-13,15.41,15.61,15.38,15.52,9891573,0.04,0.26%,15.52,153458318.53,32302
2018-02-12,15.52,15.66,15.32,15.48,10565223,0.07,0.45%,15.48,164056772.18,38602
2018-02-09,15.36,15.53,14.97,15.41,12596341,0.31,2.05%,15.41,191991943.15,59906
2018-02-08,15.72,15.72,15.10,15.10,18378483,-0.54,-3.45%,15.10,283394149.47,65009
2018-02-07,15.47,15.77,15.45,15.64,14957061,0.11,0.71%,15.64,234059532.68,55242
2018-02-06,15.16,15.66,15.09,15.53,29742716,0.10,0.65%,15.53,459373690.75,107798
2018-02-05,15.91,16.17,15.42,15.43,20177758,-0.65,-4.04%,15.43,318159135.08,72157
2018-02-02,16.31,16.53,16.03,16.08,12434608,-0.26,-1.59%,16.08,202396783.91,46965
2018-02-01,16.14,16.35,16.14,16.34,12872434,0.16,0.99%,16.34,209219518.66,46376
2018-01-31,16.13,16.25,16.10,16.18,9993934,0.08,0.50%,16.18,161697364.84,33477
2018-01-30,16.10,16.26,16.06,16.10,8264494,-0.13,-0.80%,16.10,133253602.07,27087
2018-01-29,16.22,16.30,16.1732,16.23,7159568,0.02,0.12%,16.23,116352265.96,28787
2018-01-26,16.14,16.21,16.08,16.21,8683795,0.16,1.00%,16.21,140298804.75,27674
2018-01-25,16.18,16.23,16.02,16.05,12549592,-0.06,-0.37%,16.05,202085741.14,39156
2018-01-24,16.13,16.23,15.925,16.11,12994443,0.07,0.44%,16.11,209345609.53,43727
2018-01-23,16.05,16.325,15.88,16.04,24556311,0.01,0.06%,16.04,395749237.96,72901
2018-01-22,15.83,16.05,15.75,16.03,10999700,0.22,1.39%,16.03,175177856.29,42118
2018-01-19,15.54,15.81,15.52,15.81,9001578,0.30,1.93%,15.81,141193945.67,29441
2018-01-18,15.81,15.855,15.50,15.51,9854459,-0.25,-1.59%,15.51,153915829.38,33795
2018-01-17,15.75,15.80,15.54,15.76,9992424,0.08,0.51%,15.76,156849220.94,35978
2018-01-16,16.00,16.00,15.585,15.68,10524209,-0.17,-1.07%,15.68,166034004.58,38618
2018-01-12,15.70,15.85,15.65,15.85,7951779,0.22,1.41%,15.85,125605330.97,26506
2018-01-11,15.55,15.66,15.47,15.63,6850310,0.15,0.97%,15.63,106630918.46,24775
2018-01-10,15.38,15.69,15.30,15.48,8935423,0.25,1.64%,15.48,138752250.65,32423
2018-01-09,15.02,15.39,14.97,15.23,6983775,0.28,1.87%,15.23,106583371.03,26061
2018-01-08,14.91,15.01,14.85,14.95,11481418,-0.03,-0.20%,14.95,171560939.21,29575
2018-01-05,14.91,15.01,14.86,14.98,9988323,0.13,0.88%,14.98,149268375.55,29310
2018-01-04,14.88,14.91,14.75,14.85,15114254,0.13,0.88%,14.85,224207277.23,40483
2018-01-03,14.64,14.79,14.5588,14.72,15133740,0.12,0.82%,14.72,222390596.84,44393
2018-01-02,14.71,14.75,14.49,14.60,13410958,0.04,0.27%,14.60,195578397.54,36109
2017-12-29,14.73,14.76,14.54,14.56,7305747,-0.18,-1.22%,14.56,106576105.73,21824
2017-12-28,14.63,14.74,14.55,14.74,6961507,0.15,1.03%,14.74,101991953.06,24332
2017-12-27,14.65,14.71,14.51,14.59,5264392,-0.04,-0.27%,14.59,76763237.33,21829
2017-12-26,14.74,14.88,14.57,14.63,4436854,-0.15,-1.01%,14.63,65127035.84,19379
2017-12-22,14.88,14.88,14.65,14.78,4921753,-0.06,-0.40%,14.78,72583631.12,19095
2017-12-21,14.70,14.92,14.65,14.84,6335219,0.20,1.37%,14.84,93787012.87,23594
2017-12-20,14.76,14.83,14.57,14.64,9899698,0.03,0.21%,14.64,145332922.38,31340
2017-12-19,14.78,14.78,14.61,14.61,13655432,-0.07,-0.48%,14.61,200282800.98,28925
2017-12-18,14.73,14.83,14.54,14.68,10669663,0.10,0.69%,14.68,156335199.20,36178
2017-12-15,14.36,14.80,14.28,14.58,18245192,0.25,1.74%,14.58,266245646.30,43540
2017-12-14,14.67,14.67,14.35,14.44,10346395,-0.139,-0.96%,14.33,149770854.86,43382
2017-12-13,14.84,14.91,14.56,14.58,7884288,-0.228,-1.55%,14.4689,116084022.65,31232
2017-12-12,14.70,14.93,14.61,14.81,9383315,0.189,1.30%,14.6972,138731242.58,36019
2017-12-11,14.83,14.865,14.575,14.62,7732906,-0.228,-1.55%,14.5086,113549628.26,25659
2017-12-08,14.82,14.85,14.62,14.85,6531504,0.139,0.95%,14.7369,96445148.20,27472
2017-12-07,14.50,14.77,14.43,14.71,7786014,0.189,1.31%,14.5979,114107694.60,33092
2017-12-06,14.49,14.73,14.415,14.52,11095684,0.06,0.41%,14.4094,161801580.31,43281
2017-12-05,14.73,14.79,14.43,14.46,8689087,-0.238,-1.63%,14.3498,126492261.60,35669
2017-12-04,14.71,14.93,14.64,14.70,9743982,0.258,1.80%,14.588,144146711.01,42813
2017-12-01,14.45,14.53,13.92,14.44,14848775,0.04,0.28%,14.33,212870182.30,61925
2017-11-30,14.58,14.77,14.37,14.40,13866081,-0.079,-0.55%,14.2903,201427039.99,45222
2017-11-29,14.10,14.58,14.09,14.48,14562408,0.506,3.65%,14.3697,210397481.47,65660
2017-11-28,13.54,13.99,13.51,13.97,11494522,0.466,3.48%,13.8636,158295476.36,35214
2017-11-27,13.45,13.58,13.43,13.50,5934586,0.04,0.30%,13.3972,80220890.88,22930
2017-11-24,13.60,13.635,13.46,13.46,2257258,-0.079,-0.59%,13.3575,30527218.14,9235
2017-11-22,13.59,13.66,13.50,13.54,5127960,-0.01,-0.07%,13.4369,69671177.25,21981
2017-11-21,13.61,13.65,13.50,13.55,5714175,-0.02,-0.15%,13.4468,77451756.49,28843
2017-11-20,13.56,13.64,13.515,13.57,4565510,0.03,0.22%,13.4666,61973789.58,22248
2017-11-17,13.32,13.55,13.32,13.54,6074660,0.139,1.04%,13.4369,81934224.37,25410
2017-11-16,13.58,13.64,13.40,13.40,8297239,-0.109,-0.81%,13.2979,112211461.97,33777
2017-11-15,13.47,13.64,13.36,13.51,8393963,-0.099,-0.73%,13.4071,113550660.73,31366
2017-11-14,13.28,13.64,13.2734,13.61,11459218,0.248,1.87%,13.5063,155260726.96,45879
2017-11-13,13.09,13.38,13.04,13.36,8477144,0.218,1.67%,13.2582,112325760.79,29797
2017-11-10,13.25,13.31,13.14,13.14,8767553,-0.069,-0.53%,13.0399,115886972.96,34219
2017-11-09,13.20,13.37,13.09,13.21,10764818,-0.079,-0.60%,13.1094,142259459.66,41092
2017-11-08,13.41,13.43,13.24,13.29,8270395,-0.109,-0.82%,13.1888,110191740.83,29541
2017-11-07,13.76,13.82,13.39,13.40,9368967,-0.377,-2.76%,13.2979,126917048.75,33269
2017-11-06,13.78,13.86,13.74,13.78,5686020,0.00,0.00%,13.675,78461992.70,20318
2017-11-03,13.78,13.84,13.69,13.78,7819886,-0.089,-0.65%,13.675,107649356.12,30611
