date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,22.60,23.17,22.48,23.12,5227510,0.52,2.30%,23.12,120220591.72,24131
2018-03-09,22.83,22.87,22.38,22.60,4256162,-0.26,-1.14%,22.60,95962514.17,22904
2018-03-08,22.99,23.08,22.555,22.86,3699835,0.23,1.02%,22.86,84502359.28,21021
2018-03-07,22.22,22.66,22.07,22.63,3957730,0.34,1.53%,22.63,89008734.25,24089
2018-03-06,22.20,22.37,21.88,22.29,2505572,0.03,0.13%,22.29,55527399.25,15989
2018-03-05,21.75,22.475,21.75,22.26,4284046,0.42,1.92%,22.26,95416945.76,25028
2018-03-02,21.93,21.99,21.65,21.84,3170433,-0.09,-0.41%,21.84,69022542.54,20675
2018-03-01,21.60,22.2899,21.48,21.93,3653246,0.29,1.34%,21.93,80129618.26,24850
2018-02-28,21.85,22.03,21.62,21.64,5951191,-0.11,-0.51%,21.64,129455668.66,22925
2018-02-27,22.46,22.64,21.73,21.75,3610714,-0.69,-3.07%,21.75,79405406.89,22140
2018-02-26,22.36,22.48,22.12,22.44,2725651,0.08,0.36%,22.44,60894275.96,17280
2018-02-23,22.01,22.36,21.91,22.36,2542638,0.47,2.15%,22.36,56385169.06,16961
2018-02-22,21.87,22.365,21.805,21.89,3035239,0.09,0.41%,21.89,66937597.76,21673
2018-02-21,22.40,22.49,21.78,21.80,4475058,-0.65,-2.90%,21.80,98874791.01,24625
2018-02-20,22.55,22.92,22.44,22.45,4370375,-0.23,-1.01%,22.45,98776318.19,27828
2018-02-16,22.34,22.85,22.34,22.68,7993609,0.39,1.75%,22.68,181251287.11,24678
2018-02-15,21.82,22.2968,21.71,22.29,7607410,0.52,2.39%,22.29,167622980.41,39960
2018-02-14,21.96,22.12,21.64,21.77,6160422,-0.66,-2.94%,21.77,134368167.66,38271
2018-02-13,22.78,22.90,21.98,22.80,6820632,-0.049,-0.22%,22.43,153500001.04,43008
2018-02-12,23.22,23.23,22.28,22.85,6324376,-0.354,-1.55%,22.4792,143641162.97,43047
2018-02-09,22.73,23.37,22.22,23.21,7007019,0.561,2.52%,22.8333,160259318.34,47279
2018-02-08,23.32,23.50,22.63,22.64,5892325,-0.728,-3.17%,22.2726,135700940.04,38357
2018-02-07,23.39,23.89,23.24,23.38,5312359,-0.079,-0.34%,23.0006,125018257.09,35410
2018-02-06,23.06,23.59,22.80,23.46,7721367,0.207,0.90%,23.0793,179281370.27,53812
2018-02-05,23.74,24.02,23.24,23.25,7181401,-0.60,-2.56%,22.8727,168931600.25,47947
2018-02-02,23.39,23.92,23.15,23.86,4547463,0.285,1.23%,23.4728,108021782.15,25514
2018-02-01,24.13,24.305,23.52,23.57,3552678,-0.502,-2.12%,23.1875,84308825.44,22015
2018-01-31,23.62,24.22,23.57,24.08,7906244,0.492,2.12%,23.6892,189411563.63,24273
2018-01-30,23.93,24.08,23.57,23.58,3833299,-0.423,-1.79%,23.1973,90901238.67,21253
2018-01-29,24.09,24.13,23.75,24.01,2883888,-0.216,-0.91%,23.6204,69142330.86,17467
2018-01-26,24.36,24.42,24.01,24.23,2699460,-0.148,-0.62%,23.8368,65269285.03,16515
2018-01-25,24.20,24.39,24.11,24.38,3170854,0.167,0.70%,23.9844,76872453.09,19201
2018-01-24,24.25,24.35,24.11,24.21,4408028,-0.069,-0.29%,23.8171,106759215.89,27029
2018-01-23,23.71,24.36,23.71,24.28,5175402,0.62,2.66%,23.886,124759932.97,27328
2018-01-22,23.39,23.73,23.36,23.65,3710279,0.226,0.98%,23.2662,87650124.72,19825
2018-01-19,23.35,23.44,23.16,23.42,3574090,0.089,0.39%,23.0399,83380213.67,17953
2018-01-18,23.61,23.66,23.305,23.33,4207187,-0.384,-1.64%,22.9514,98448095.86,22542
2018-01-17,23.86,23.86,23.4935,23.72,3859981,0.00,0.00%,23.3351,91287616.53,23890
2018-01-16,23.75,24.08,23.70,23.72,3902398,0.079,0.34%,23.3351,93006120.80,21046
2018-01-12,24.12,24.15,23.61,23.64,5104205,-0.521,-2.19%,23.2564,121251017.59,27573
2018-01-11,24.42,24.61,24.10,24.17,5543966,-0.187,-0.78%,23.7778,134228375.91,21885
2018-01-10,24.45,24.45,24.19,24.36,3465303,-0.138,-0.57%,23.9647,84216409.81,16135
2018-01-09,25.04,25.065,24.48,24.50,4296793,-0.521,-2.12%,24.1024,105976979.10,21140
2018-01-08,25.06,25.18,24.91,25.03,3631662,0.02,0.08%,24.6238,90940077.71,18084
2018-01-05,25.21,25.23,24.75,25.01,4060802,-0.246,-0.99%,24.6041,101362283.78,20183
2018-01-04,25.90,25.95,25.22,25.26,3702824,-0.63,-2.47%,24.8501,94274961.75,20586
2018-01-03,25.98,26.12,25.79,25.90,2804287,-0.01,-0.04%,25.4797,72673504.23,15677
2018-01-02,26.08,26.155,25.79,25.91,3661700,-0.167,-0.65%,25.4895,95065198.21,20480
2017-12-29,26.00,26.25,25.97,26.08,3010650,0.049,0.19%,25.6568,78662371.58,14468
2017-12-28,25.86,26.04,25.70,26.03,3186642,0.157,0.62%,25.6076,82658498.04,15688
2017-12-27,26.04,26.12,25.81,25.87,2332169,-0.079,-0.31%,25.4502,60390130.95,12765
2017-12-26,25.70,26.05,25.63,25.95,2547343,0.275,1.09%,25.5289,66043823.30,14225
2017-12-22,25.57,25.71,25.51,25.67,2935933,0.069,0.27%,25.2534,75257340.16,17131
2017-12-21,25.79,25.90,25.52,25.60,4396550,-0.236,-0.93%,25.1846,112717148.56,22248
2017-12-20,26.08,26.22,25.82,25.84,4922188,-0.256,-1.00%,25.4207,127570236.52,22996
2017-12-19,26.95,27.00,25.99,26.10,5205513,-0.866,-3.26%,25.6764,136556232.94,23911
2017-12-18,27.02,27.30,26.91,26.98,4185871,0.148,0.56%,26.5422,113301105.15,19765
2017-12-15,26.98,27.24,26.82,26.83,9652946,0.02,0.07%,26.3946,259948015.05,20512
2017-12-14,27.06,27.08,26.795,26.81,3960415,-0.157,-0.59%,26.3749,106462141.37,20214
2017-12-13,27.23,27.4293,26.92,26.97,5779256,-0.167,-0.63%,26.5323,156404999.16,27579
2017-12-12,26.77,27.30,26.70,27.14,6450496,0.413,1.57%,26.6996,175138216.76,22216
2017-12-11,26.78,26.83,26.69,26.72,3070857,-0.059,-0.22%,26.2864,82155515.59,16683
2017-12-08,26.81,27.04,26.68,26.78,2763703,0.01,0.04%,26.3454,74240886.62,15958
2017-12-07,26.55,26.85,26.51,26.77,2283103,0.157,0.60%,26.3356,61032343.19,15485
2017-12-06,26.63,26.65,26.385,26.61,1935242,0.049,0.19%,26.1782,51327324.35,13567
2017-12-05,26.79,26.96,26.535,26.56,3769840,0.157,0.61%,26.129,100420488.99,22461
2017-12-04,26.67,26.79,26.38,26.40,3283526,-0.256,-0.98%,25.9716,87008963.55,22401
2017-12-01,26.54,26.77,26.475,26.66,3453781,0.216,0.83%,26.2274,92003728.22,22567
2017-11-30,26.83,26.85,26.30,26.44,5115148,-0.453,-1.71%,26.0109,135536634.11,27411
2017-11-29,26.54,26.95,26.38,26.90,3357969,0.344,1.32%,26.4635,89969546.29,18996
2017-11-28,26.70,26.78,26.41,26.55,2566572,-0.138,-0.52%,26.1191,68115026.85,16060
2017-11-27,26.87,26.93,26.69,26.69,3106585,-0.187,-0.71%,26.2569,83147023.69,19622
2017-11-24,26.72,27.00,26.72,26.88,880694,0.167,0.64%,26.4438,23678434.88,5996
2017-11-22,26.76,26.93,26.71,26.71,2552649,-0.089,-0.34%,26.2766,68440522.24,17023
2017-11-21,26.87,26.93,26.76,26.80,3468473,0.00,0.00%,26.3651,93019603.87,18245
2017-11-20,26.80,26.865,26.54,26.80,3212549,0.00,0.00%,26.3651,85973805.86,14626
2017-11-17,26.75,26.90,26.741,26.80,2769715,-0.039,-0.15%,26.3651,74270719.25,14549
2017-11-16,26.96,27.01,26.66,26.84,4430451,-0.069,-0.26%,26.4044,119213538.78,19434
2017-11-15,26.98,27.10,26.50,26.91,4103440,-0.108,-0.41%,26.4733,110696765.12,20353
2017-11-14,27.18,27.34,27.02,27.02,3800656,-0.207,-0.77%,26.5815,103142479.98,19668
2017-11-13,27.05,27.31,27.01,27.23,3267031,0.216,0.81%,26.7881,88777836.48,16924
2017-11-10,26.85,27.36,26.76,27.01,3328422,-0.01,-0.04%,26.5717,90183414.36,16363
2017-11-09,26.83,27.22,26.83,27.02,3623813,0.03,0.11%,26.5815,97924236.75,22500
2017-11-08,26.91,27.07,26.79,26.99,5084411,-0.01,-0.04%,26.552,136974215.38,23959
2017-11-07,26.80,27.08,26.7546,27.00,3548435,0.157,0.60%,26.5618,95702487.77,24139
2017-11-06,27.17,27.36,26.84,26.84,4193310,-0.295,-1.11%,26.4044,113584657.62,25184
2017-11-03,26.51,27.15,26.51,27.14,4215912,0.551,2.11%,26.6996,113412725.11,26683
2017-11-02,26.97,27.62,26.71,26.95,8229914,0.902,3.57%,26.1487,222930001.09,40185
2017-11-01,25.87,26.14,25.76,26.02,5109705,0.175,0.70%,25.2463,132944667.48,33499
2017-10-31,25.61,25.85,25.31,25.84,4634488,0.233,0.94%,25.0717,118840488.83,28458
2017-10-30,25.59,25.635,25.45,25.60,3332582,0.029,0.12%,24.8388,85188407.54,17957
2017-10-27,25.16,25.66,25.085,25.57,3767007,0.349,1.43%,24.8097,95996982.46,22642
2017-10-26,25.59,25.65,25.17,25.21,2462910,-0.155,-0.63%,24.4604,62239430.18,14529
2017-10-25,25.60,25.67,25.13,25.37,2947129,-0.252,-1.01%,24.6156,74639422.28,21272
2017-10-24,25.97,26.01,25.51,25.63,3090768,-0.34,-1.35%,24.8679,79291814.03,18497
2017-10-23,26.42,26.45,25.91,25.98,2229480,-0.369,-1.44%,25.2075,58086751.53,13490
2017-10-20,26.36,26.43,26.16,26.36,2047129,0.00,0.00%,25.5762,53875235.57,12270
2017-10-19,26.47,26.64,26.33,26.36,1816059,-0.107,-0.42%,25.5762,47966300.57,11022
2017-10-18,26.48,26.625,26.40,26.47,2745444,-0.01,-0.04%,25.6829,72760240.09,15928
2017-10-17,26.17,26.54,26.11,26.48,3285876,0.252,0.99%,25.6926,86533833.62,17724
2017-10-16,26.42,26.47,26.18,26.22,3152529,-0.146,-0.57%,25.4404,82866043.77,20559
2017-10-13,26.55,26.68,26.355,26.37,2850190,-0.058,-0.23%,25.5859,75438461.25,16265
2017-10-12,26.44,26.57,26.26,26.43,3373565,-0.029,-0.11%,25.6441,89089519.47,19306
2017-10-11,26.50,26.78,26.445,26.46,2293005,0.019,0.08%,25.6732,60910935.39,15315
2017-10-10,26.86,27.02,26.28,26.44,4228781,-0.378,-1.45%,25.6538,112141427.94,27570
2017-10-09,26.88,27.05,26.80,26.83,2468502,-0.087,-0.33%,26.0322,66369687.59,12649
2017-10-06,27.02,27.06,26.60,26.92,3510297,-0.213,-0.81%,26.1196,94329438.15,18951
2017-10-05,27.06,27.28,27.06,27.14,3901555,0.078,0.30%,26.333,105965660.27,19818
2017-10-04,27.00,27.12,26.74,27.06,3385752,0.058,0.22%,26.2554,91309885.23,20830
2017-10-03,26.70,27.05,26.47,27.00,4799022,0.281,1.09%,26.1972,129116136.83,28011
2017-10-02,27.26,27.43,26.685,26.71,6679788,-1.087,-4.02%,25.9158,180097090.80,36773
2017-09-29,27.77,27.98,27.66,27.83,3756945,-0.019,-0.07%,27.0025,104431725.03,21437
2017-09-28,27.66,27.905,27.57,27.85,3178842,0.184,0.69%,27.0219,88412093.06,20089
2017-09-27,27.88,27.98,27.47,27.66,4138427,-0.349,-1.28%,26.8376,114705505.38,21088
2017-09-26,28.09,28.12,27.82,28.02,4825583,-0.116,-0.43%,27.1868,135029849.55,23836
2017-09-25,28.05,28.29,27.9442,28.14,2964250,0.262,0.97%,27.3033,83493943.79,16636
2017-09-22,28.45,28.55,27.84,27.87,4057353,-0.679,-2.45%,27.0413,113701085.73,24991
2017-09-21,29.09,29.14,28.57,28.57,3170060,-0.456,-1.62%,27.7205,91184889.71,20853
2017-09-20,29.21,29.3767,28.955,29.04,2746270,-0.058,-0.21%,28.1765,79914402.79,16541
2017-09-19,29.48,29.63,29.05,29.10,5575821,-0.33,-1.15%,28.2347,162744370.23,21576
2017-09-18,29.48,29.64,29.2925,29.44,3817499,-0.01,-0.03%,28.5646,112458218.03,17364
2017-09-15,29.54,29.80,29.44,29.45,7466018,-0.029,-0.10%,28.5743,220398083.25,26527
2017-09-14,29.55,29.71,29.32,29.48,8135031,0.01,0.03%,28.6034,239743512.44,30329
2017-09-13,29.78,29.84,29.36,29.47,5297801,-0.32,-1.11%,28.5937,156602266.46,29652
2017-09-12,30.28,30.40,29.635,29.80,2545907,-0.514,-1.75%,28.9139,76315224.80,18503
2017-09-11,30.25,30.55,30.17,30.33,4214371,0.116,0.40%,29.4282,127891763.56,20772
2017-09-08,30.13,30.59,30.03,30.21,4924277,0.058,0.20%,29.3117,149020706.20,17000
2017-09-07,30.16,30.29,30.065,30.15,2519252,0.029,0.10%,29.2535,75983174.69,15649
2017-09-06,30.21,30.43,30.06,30.12,4136217,-0.049,-0.17%,29.2244,125084041.45,14249
2017-09-05,30.11,30.39,29.96,30.17,2904655,0.029,0.10%,29.2729,87671027.59,21688
2017-09-01,29.82,30.18,29.82,30.14,2500890,0.32,1.11%,29.2438,75273085.18,17355
2017-08-31,29.59,29.88,29.58,29.81,3045571,0.262,0.91%,28.9236,90685723.08,14293
2017-08-30,29.46,29.59,29.28,29.54,2782085,0.029,0.10%,28.6617,81926207.55,14328
2017-08-29,29.36,29.61,29.30,29.51,3439597,0.223,0.79%,28.6325,101529838.51,18413
2017-08-28,29.56,29.59,29.18,29.28,1639758,-0.252,-0.88%,28.4094,48032758.79,9469
2017-08-25,29.53,29.70,29.40,29.54,2389127,0.126,0.44%,28.6617,70616296.38,10152
2017-08-24,29.47,29.70,29.33,29.41,3109627,-0.049,-0.17%,28.5355,91658622.25,13776
2017-08-23,29.03,29.49,28.90,29.46,2316948,0.495,1.76%,28.584,68011399.66,15591
2017-08-22,29.40,29.44,28.77,28.95,3134872,-0.417,-1.46%,28.0892,90769911.54,17095
2017-08-21,28.90,29.47,28.79,29.38,2386815,0.514,1.84%,28.5064,69967631.94,16112
2017-08-18,29.24,29.25,28.81,28.85,2694241,-0.34,-1.20%,27.9922,77934348.00,16617
2017-08-17,29.35,29.42,29.175,29.20,2796264,-0.136,-0.48%,28.3318,81820362.40,19521
2017-08-16,29.22,29.46,29.22,29.34,3256604,0.184,0.65%,28.4676,95649387.17,24928
2017-08-15,29.67,29.67,29.00,29.15,4051062,-0.631,-2.18%,28.2832,118044312.88,23966
2017-08-14,29.36,29.87,29.29,29.80,2821085,0.514,1.81%,28.9139,83978329.10,16763
2017-08-11,29.17,29.29,28.93,29.27,3230845,0.078,0.27%,28.3997,94265501.93,16615
2017-08-10,29.33,29.50,29.145,29.19,2368366,-0.184,-0.65%,28.3221,69302455.64,15416
2017-08-09,29.67,29.77,29.37,29.38,2901998,-0.223,-0.78%,28.5064,85488496.48,20646
2017-08-08,29.41,29.63,29.25,29.61,4181082,0.049,0.17%,28.7296,123183518.71,26021
2017-08-07,29.82,29.90,29.43,29.56,3501049,-0.281,-0.97%,28.6811,103540457.26,17887
2017-08-04,29.91,30.00,29.62,29.85,2143210,-0.175,-0.60%,28.9624,63905324.92,14065
2017-08-03,29.58,30.07,29.45,30.03,2967174,0.359,1.25%,29.1371,88729329.82,19439
2017-08-02,30.13,30.25,29.72,30.03,5740591,-0.184,-0.64%,28.7781,172031086.16,29481
2017-08-01,29.91,30.00,29.62,29.85,2142910,-1.368,-4.51%,28.9624,63896379.64,14062
2017-07-31,31.84,32.045,31.52,31.65,9972117,-0.172,-0.57%,30.3305,316295896.20,24282
2017-07-28,31.94,32.07,31.65,31.83,3144336,-0.077,-0.25%,30.503,100041866.96,20369
2017-07-27,31.81,32.00,31.39,31.91,3082358,-0.077,-0.25%,30.5797,98051823.84,22001
2017-07-26,31.63,32.115,31.61,31.99,3315420,0.278,0.91%,30.6564,106055587.85,19835
2017-07-25,31.35,31.73,31.08,31.70,3002233,0.345,1.15%,30.3785,94534642.95,17968
2017-07-24,31.51,31.66,31.24,31.34,4416547,-0.24,-0.79%,30.0335,138780197.99,23155
2017-07-21,31.72,31.74,31.42,31.59,3303960,-0.144,-0.47%,30.273,104254521.68,19127
2017-07-20,32.21,32.26,31.74,31.74,3643086,-0.402,-1.31%,30.4168,116414343.17,20725
2017-07-19,32.05,32.34,31.92,32.16,2493602,0.096,0.31%,30.8193,80185522.69,13790
2017-07-18,31.98,32.26,31.83,32.06,2249349,0.048,0.16%,30.7235,72193688.41,16170
2017-07-17,31.79,32.05,31.64,32.01,3126556,0.24,0.79%,30.6755,99898779.35,18689
2017-07-14,31.42,31.80,31.42,31.76,2362530,0.412,1.37%,30.436,74907186.53,13720
2017-07-13,31.45,31.59,31.30,31.33,2005766,-0.134,-0.44%,30.0239,62955765.71,10586
2017-07-12,31.21,31.63,31.14,31.47,2517328,0.498,1.68%,30.1581,79279718.58,15955
2017-07-11,30.95,31.07,30.71,30.95,1702415,0.057,0.19%,29.6597,52654066.74,11125
2017-07-10,31.26,31.32,30.88,30.89,2086180,-0.307,-1.03%,29.6022,64680124.99,13228
2017-07-07,31.21,31.32,30.85,31.21,2197441,0.057,0.19%,29.9089,68494348.04,14703
2017-07-06,32.00,32.03,31.15,31.15,4374302,-0.958,-3.11%,29.8514,136886511.00,24221
2017-07-05,32.65,32.65,32.02,32.15,2311130,-0.383,-1.23%,30.8097,74480657.09,17286
2017-07-03,32.10,32.60,32.02,32.55,1094126,0.565,1.85%,31.193,35377723.92,8582
2017-06-30,32.10,32.33,31.7723,31.96,2813946,-0.019,-0.06%,30.6276,89998865.45,18954
2017-06-29,32.42,32.53,31.92,31.98,3331117,-0.728,-2.32%,30.6468,106796390.50,21190
2017-06-28,32.75,32.83,32.59,32.74,3161736,-0.01,-0.03%,31.3751,103513326.95,17886
2017-06-27,33.25,33.43,32.73,32.75,4143375,-0.604,-1.89%,31.3847,136433014.71,21587
2017-06-26,33.48,33.67,33.33,33.38,1881246,-0.01,-0.03%,31.9884,62949329.96,15108
2017-06-23,33.21,33.625,33.21,33.39,3099982,0.201,0.63%,31.998,103563287.26,15166
2017-06-22,33.04,33.33,32.9121,33.18,2175714,0.125,0.39%,31.7968,72166457.83,15523
2017-06-21,33.06,33.28,32.86,33.05,2954121,-0.038,-0.12%,31.6722,97621176.53,18118
2017-06-20,32.82,33.17,32.77,33.09,2644875,0.24,0.76%,31.7105,87246711.15,17247
2017-06-19,32.49,32.84,32.34,32.84,3678451,0.316,1.02%,31.4709,120099210.72,20204
2017-06-16,32.26,32.56,32.06,32.51,4214558,0.326,1.06%,31.1547,136690215.94,20282
2017-06-15,31.74,32.38,31.72,32.17,2560537,0.192,0.63%,30.8289,82316832.26,21037
2017-06-14,32.08,32.52,31.87,31.97,5060416,0.297,0.98%,30.6372,162911753.55,32235
2017-06-13,31.57,31.69,31.385,31.66,3207815,0.038,0.13%,30.3401,101334170.13,16895
2017-06-12,31.26,31.62,31.035,31.62,4001213,0.422,1.41%,30.3018,125689499.79,24180
2017-06-09,30.86,31.33,30.72,31.18,2416939,0.211,0.71%,29.8801,75233437.91,15601
2017-06-08,31.36,31.40,30.67,30.96,3382042,-0.422,-1.40%,29.6693,104731670.94,20052
2017-06-07,31.52,31.69,31.35,31.40,2371311,-0.125,-0.41%,30.091,74621576.49,14202
2017-06-06,31.71,31.83,31.49,31.53,1858881,-0.201,-0.66%,30.2156,58803631.50,13583
2017-06-05,31.75,31.78,31.47,31.74,2041451,-0.153,-0.50%,30.4168,64619891.93,14887
2017-06-02,31.64,32.125,31.64,31.90,3440625,0.412,1.37%,30.5701,109854370.34,18113
2017-06-01,31.29,31.51,30.74,31.47,2854147,0.125,0.41%,30.1581,89060737.34,20208
2017-05-31,31.20,31.49,31.11,31.34,4421928,0.115,0.38%,30.0335,138332805.32,20643
2017-05-30,31.20,31.41,31.13,31.22,1851272,-0.01,-0.03%,29.9185,57877020.02,12839
2017-05-26,31.58,31.64,31.04,31.23,2670315,-0.297,-0.98%,29.9281,83429121.52,17657
2017-05-25,31.63,31.72,31.49,31.54,2468988,-0.144,-0.47%,30.2251,78007458.59,16206
2017-05-24,31.73,31.96,31.62,31.69,3551393,-0.038,-0.13%,30.3689,112762065.49,18463
2017-05-23,31.91,32.05,31.69,31.73,2454434,-0.144,-0.47%,30.4072,78142352.78,17362
2017-05-22,31.70,31.92,31.55,31.88,2515572,0.153,0.50%,30.551,80006056.87,17180
2017-05-19,31.76,31.85,31.26,31.72,3273453,0.00,0.00%,30.3976,103721201.26,16906
2017-05-18,31.34,31.78,31.0033,31.72,3251811,0.345,1.15%,30.3976,102371445.75,22346
2017-05-17,30.99,31.70,30.99,31.36,3331962,0.345,1.16%,30.0526,104787219.46,22276
2017-05-16,31.09,31.20,30.815,31.00,2370731,-0.096,-0.32%,29.7076,73466509.47,15610
2017-05-15,31.32,31.615,31.02,31.10,2295429,-0.182,-0.61%,29.8035,71713108.78,15482
2017-05-12,31.04,31.4329,30.96,31.29,3791754,0.316,1.07%,29.9856,118547675.90,23157
2017-05-11,30.25,31.04,30.03,30.96,3106962,0.546,1.88%,29.6693,95510857.86,19570
2017-05-10,29.90,30.49,29.89,30.39,4254268,0.479,1.67%,29.1231,129184336.32,24560
2017-05-09,30.14,30.18,29.71,29.89,3700764,-0.23,-0.80%,28.6439,110623718.59,23627
2017-05-08,30.21,30.24,29.88,30.13,4007454,0.038,0.13%,28.8739,120676879.08,24678
2017-05-05,29.92,30.21,29.89,30.09,5199636,0.182,0.64%,28.8356,156377638.40,27164
