date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,182.43,183.06,179.55,179.71,4993318,-2.45,-1.34%,179.71,902101757.93,44720
2018-03-09,179.00,182.24,177.92,182.16,4477217,4.22,2.37%,182.16,808925882.55,41376
2018-03-08,179.44,179.98,176.73,177.94,4750745,-0.64,-0.36%,177.94,845098887.55,41933
2018-03-07,178.82,180.00,176.82,178.58,4799246,-2.03,-1.12%,178.58,856934168.78,43579
2018-03-06,182.75,183.00,179.51,181.64,5306777,-0.099,-0.06%,180.6099,960363305.02,44707
2018-03-05,177.86,182.26,177.70,181.74,5748553,3.261,1.84%,180.7094,1036679935.32,48181
2018-03-02,177.72,179.185,176.34,178.46,5671038,-1.173,-0.66%,177.448,1008970081.11,59767
2018-03-01,182.75,184.40,178.25,179.64,6123863,-2.615,-1.44%,178.6213,1107799792.63,65437
2018-02-28,184.41,186.6495,182.27,182.27,6419903,-2.695,-1.47%,181.2363,1182467752.00,54228
2018-02-27,188.87,189.25,184.96,184.98,4618805,-3.46,-1.85%,183.931,862190301.69,47949
2018-02-26,189.17,189.79,187.8601,188.46,4647963,0.109,0.06%,187.3912,876535893.20,38526
2018-02-23,186.20,188.41,185.62,188.35,4315388,2.864,1.55%,187.2819,806943675.89,43370
2018-02-22,183.72,186.2199,182.91,185.47,5653924,2.396,1.32%,184.4182,1045330329.73,50035
2018-02-21,187.21,187.98,182.86,183.06,7527186,-3.629,-1.95%,182.0219,1390784585.70,67467
2018-02-20,189.90,191.44,186.31,186.71,8922129,-0.259,-0.14%,185.6512,1679485565.58,78539
2018-02-16,185.06,187.99,184.86,186.97,7619162,1.69,0.92%,185.9097,1423419075.42,61386
2018-02-15,186.74,187.19,183.255,185.27,5113323,0.577,0.31%,184.2193,944859218.77,51368
2018-02-14,181.88,185.06,181.05,184.69,6767034,0.964,0.53%,183.6426,1239825673.47,58906
2018-02-13,183.23,183.99,180.89,183.72,4273771,-0.338,-0.18%,182.6781,779819583.15,42557
2018-02-12,186.55,187.01,183.41,184.06,6783710,-0.06,-0.03%,183.0162,1253983778.72,55952
2018-02-09,183.25,186.00,175.79,184.12,9059239,2.884,1.60%,183.0759,1639926825.68,91179
2018-02-08,191.14,191.14,180.93,181.22,7241823,-10.013,-5.26%,180.1923,1342626351.32,72948
2018-02-07,190.73,194.515,189.72,191.29,6016847,0.249,0.13%,190.2052,1157716603.47,66508
2018-02-06,178.62,191.96,175.42,191.04,11682716,7.885,4.33%,189.9566,2180022610.46,122569
2018-02-05,190.07,194.295,180.38,183.11,10618526,-10.798,-5.60%,182.0716,2001342392.65,110107
2018-02-02,199.25,199.30,193.44,193.97,6178952,-5.896,-2.97%,192.87,1209999961.03,62036
2018-02-01,199.34,202.25,198.28,199.90,3553795,-0.994,-0.50%,198.7664,712475507.86,41021
2018-01-31,203.22,205.083,200.23,200.90,4547323,-0.905,-0.45%,199.7607,917903417.43,44947
2018-01-30,201.47,203.15,191.57,201.81,5979620,-3.092,-1.52%,200.6655,1201228168.10,57144
2018-01-29,207.23,207.605,204.71,204.92,3632937,-2.297,-1.11%,203.7579,748016424.21,32791
2018-01-26,205.60,207.3098,204.44,207.23,3778050,1.849,0.91%,206.0548,778714778.12,30008
2018-01-25,206.80,206.83,203.84,205.37,3537694,-0.845,-0.41%,204.2053,725538802.87,36529
2018-01-24,205.20,207.10,204.551,206.22,4370661,1.313,0.64%,205.0505,900633156.64,42279
2018-01-23,204.89,206.35,204.151,204.90,3621745,0.438,0.22%,203.738,742419363.48,36370
2018-01-22,201.60,204.47,201.51,204.46,4857697,3.112,1.55%,203.3005,987273937.21,39309
2018-01-19,199.81,201.33,199.13,201.33,5809640,2.983,1.51%,200.1883,1165735295.29,40986
2018-01-18,199.78,200.24,197.66,198.33,4474606,-1.482,-0.75%,197.2053,889079109.66,38193
2018-01-17,197.50,199.82,196.8401,199.82,3996052,3.49,1.79%,198.6868,795383341.04,36097
2018-01-16,197.86,198.9496,195.70,196.31,5692715,-0.109,-0.06%,195.1967,1122609802.30,53851
2018-01-12,195.50,199.42,194.82,196.42,6748410,1.73,0.89%,195.3061,1330584492.33,63319
2018-01-11,191.68,194.73,191.40,194.68,3899237,2.864,1.50%,193.576,753817602.79,33856
2018-01-10,192.76,193.216,191.65,191.80,3119520,-1.293,-0.67%,190.7123,599561296.73,33186
2018-01-09,192.70,193.47,191.64,193.10,3012324,1.054,0.55%,192.0049,580366716.47,34723
2018-01-08,191.72,193.72,191.60,192.04,3508451,-0.457,-0.24%,190.9509,674976948.81,32033
2018-01-05,190.93,192.54,190.51,192.50,4224807,1.979,1.04%,191.4083,811293955.27,43117
2018-01-04,189.87,190.87,188.47,190.51,4047365,1.491,0.79%,189.4296,768207458.75,41341
2018-01-03,188.00,189.36,187.819,189.01,4530468,0.974,0.52%,187.9381,854925130.74,46089
2018-01-02,190.21,190.72,188.0103,188.03,4684674,-1.491,-0.79%,186.9637,885561395.37,46180
2017-12-29,190.74,190.74,189.53,189.53,4637827,-0.249,-0.13%,188.4552,881560039.12,34797
2017-12-28,190.91,190.98,189.64,189.78,3175674,-0.408,-0.22%,188.7038,603451208.47,31195
2017-12-27,190.60,191.49,190.01,190.19,5912613,-0.169,-0.09%,189.1114,1126869810.86,32834
2017-12-26,188.53,190.42,188.34,190.36,2969182,2.217,1.19%,189.2805,563236013.28,28148
2017-12-22,188.20,188.46,187.27,188.13,3256564,0.05,0.03%,187.0631,612102854.35,29494
2017-12-21,187.70,188.84,187.44,188.08,5859058,0.766,0.41%,187.0134,1102763790.86,40491
2017-12-20,187.14,187.9024,186.035,187.31,5383692,1.322,0.72%,186.2478,1007759189.44,45124
2017-12-19,185.235,186.72,184.60,185.98,4576282,1.243,0.68%,184.9253,851132369.66,36341
2017-12-18,183.96,185.47,183.50,184.73,5011891,2.138,1.18%,183.6824,925973114.54,41822
2017-12-15,183.005,183.21,182.13,182.58,8202172,0.447,0.25%,181.5446,1498987082.63,38325
2017-12-14,183.88,184.00,182.06,182.13,3542922,-0.895,-0.49%,181.0971,647371487.20,35160
2017-12-13,182.01,183.67,182.00,183.03,5177363,1.223,0.68%,181.992,947789044.28,46572
2017-12-12,182.75,183.21,181.66,181.80,5275512,-0.447,-0.25%,180.769,961509056.26,48062
2017-12-11,182.90,182.96,181.1201,182.25,6038891,-1.153,-0.63%,181.2165,1099315303.21,41982
2017-12-08,182.50,183.90,182.16,183.41,5092113,1.402,0.77%,182.3699,932738312.17,41786
2017-12-07,180.05,182.58,179.77,182.00,5484946,1.193,0.66%,180.9679,997077579.25,39064
2017-12-06,180.25,182.15,178.68,180.80,6892458,-2.038,-1.12%,179.7747,1244063773.44,57724
2017-12-05,184.79,184.91,182.2589,182.85,6347568,-2.038,-1.11%,181.8131,1162890580.42,49527
2017-12-04,183.19,186.31,183.19,184.90,6193849,4.455,2.48%,183.8514,1146675032.46,57243
2017-12-01,180.32,180.60,176.70,180.42,4683390,0.597,0.33%,179.3968,840819506.86,43863
