date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,48.25,49.40,48.17,48.65,3079334,0.19,0.39%,48.65,150243871.42,25156
2018-03-09,47.35,48.54,47.14,48.46,4477192,1.76,3.77%,48.46,215887337.31,32906
2018-03-08,47.21,47.33,46.01,46.70,4922756,0.22,0.47%,46.70,229935415.03,33917
2018-03-07,47.78,48.32,45.89,46.48,3999845,-2.00,-4.13%,46.48,187180538.47,32930
2018-03-06,48.71,49.22,48.1145,48.48,4533297,0.04,0.08%,48.48,220277656.66,37543
2018-03-05,46.48,48.715,46.33,48.44,5796137,1.76,3.77%,48.44,279528681.98,40579
2018-03-02,45.13,46.75,44.21,46.68,3981591,1.01,2.21%,46.68,181704663.29,30394
2018-03-01,45.36,46.56,45.27,45.67,5393923,0.25,0.55%,45.67,247486262.11,45989
2018-02-28,47.16,47.575,45.39,45.42,4137325,-1.05,-2.26%,45.42,191836316.41,31291
2018-02-27,47.51,48.66,46.455,46.47,5133115,-1.31,-2.74%,46.47,242118819.65,35125
2018-02-26,48.37,48.47,47.41,47.78,4781217,-0.09,-0.19%,47.78,228832856.25,26752
2018-02-23,47.15,47.955,46.94,47.87,4434531,0.79,1.68%,47.87,211302980.90,34517
2018-02-22,45.49,47.269,45.35,47.08,5475549,1.85,4.09%,47.08,256219516.25,42842
2018-02-21,45.52,46.40,44.95,45.23,5559177,-0.61,-1.33%,45.23,254163643.41,39010
2018-02-20,45.75,46.53,45.641,45.84,4431671,0.19,0.42%,45.84,204067343.78,28598
2018-02-16,45.12,46.13,44.86,45.65,4509924,0.12,0.26%,45.65,205977406.78,32604
2018-02-15,45.28,45.56,43.50,45.53,4753447,0.16,0.35%,45.53,213694537.30,31604
2018-02-14,42.34,45.59,42.01,45.37,6297990,2.57,6.00%,45.37,281278089.75,47765
2018-02-13,43.57,43.85,42.58,42.80,4881610,-1.34,-3.04%,42.80,209556343.29,33833
2018-02-12,42.95,44.73,42.51,44.14,6991404,2.02,4.80%,44.14,306116645.57,45355
2018-02-09,43.54,43.55,40.37,42.12,6916628,-0.88,-2.05%,42.12,289120805.03,55142
2018-02-08,44.32,44.85,42.99,43.00,5852777,-1.11,-2.52%,43.00,256375564.61,44298
2018-02-07,45.99,46.83,43.99,44.11,4564766,-1.85,-4.03%,44.11,204523354.64,35288
2018-02-06,43.55,46.37,43.48,45.96,5250925,1.47,3.30%,45.96,237987080.42,44438
2018-02-05,45.68,47.90,44.44,44.49,9397020,-3.30,-6.91%,44.49,427353559.67,66659
2018-02-02,49.94,49.94,47.56,47.79,5479678,-2.80,-5.53%,47.79,264766708.99,48442
2018-02-01,50.57,51.32,50.205,50.59,3320576,0.08,0.16%,50.59,168349218.51,27608
2018-01-31,50.63,50.81,49.58,50.51,4563552,-0.01,-0.02%,50.51,229850497.77,33581
2018-01-30,51.66,51.84,50.33,50.52,4153017,-1.79,-3.42%,50.52,210617781.96,30154
2018-01-29,53.15,53.56,52.20,52.31,3309717,-1.38,-2.57%,52.31,174480892.95,25270
2018-01-26,53.54,53.85,53.20,53.69,2235446,0.10,0.19%,53.69,119688007.58,15777
2018-01-25,54.30,54.52,53.24,53.59,4555317,-0.29,-0.54%,53.59,245127552.46,21713
2018-01-24,53.55,54.25,53.141,53.88,3068019,0.26,0.48%,53.88,165257195.91,22844
2018-01-23,53.92,54.33,53.12,53.62,3878664,0.15,0.28%,53.62,207994361.57,26861
2018-01-22,52.64,53.52,51.62,53.47,4949775,0.86,1.63%,53.47,261364686.90,36776
2018-01-19,53.08,53.08,51.65,52.61,9125250,-1.23,-2.28%,52.61,478267629.74,35563
2018-01-18,53.84,54.56,53.38,53.84,3248520,-0.18,-0.33%,53.84,175398555.31,19907
2018-01-17,53.90,54.65,53.37,54.02,5967540,0.48,0.90%,54.02,322909264.53,24943
2018-01-16,54.67,54.82,53.34,53.54,5032307,-1.00,-1.83%,53.54,271036054.34,24711
2018-01-12,54.60,55.05,53.61,54.54,3675445,-0.18,-0.33%,54.54,199439639.23,23906
2018-01-11,53.41,55.48,53.18,54.72,5526625,1.72,3.25%,54.72,302658041.12,36419
2018-01-10,52.74,53.36,52.42,53.00,3376097,0.54,1.03%,53.00,178968259.16,23690
2018-01-09,52.62,52.90,51.97,52.46,3327178,-0.03,-0.06%,52.46,174782672.55,21437
