date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,56.13,56.13,54.99,55.20,1843453,-0.93,-1.66%,55.20,102091785.76,15029
2018-03-09,54.59,56.13,54.43,56.13,3671537,1.77,3.26%,56.13,203731745.02,26702
2018-03-08,54.31,54.46,53.77,54.36,1721945,0.09,0.17%,54.36,93257489.91,13714
2018-03-07,53.87,54.63,53.71,54.27,3103490,-0.15,-0.28%,54.27,168459702.75,21017
2018-03-06,54.08,54.56,53.59,54.42,3619112,0.48,0.89%,54.42,196177396.88,20915
2018-03-05,51.39,54.23,51.375,53.94,5545277,2.17,4.19%,53.94,296623792.78,34720
2018-03-02,51.33,51.88,50.71,51.77,2443761,0.11,0.21%,51.77,125597617.12,21947
2018-03-01,52.75,53.07,51.55,51.91,2719086,-0.935,-1.78%,51.66,141749199.77,24640
2018-02-28,54.03,54.23,52.84,52.85,1865873,-0.955,-1.78%,52.5955,99523801.81,12756
2018-02-27,54.31,54.85,53.76,53.81,2399739,-0.687,-1.27%,53.5509,129943006.36,17938
2018-02-26,54.26,54.74,54.12,54.50,1673837,0.458,0.85%,54.2375,91164546.32,14000
2018-02-23,53.43,54.08,53.15,54.04,1653143,0.816,1.54%,53.7797,89030252.66,11093
2018-02-22,54.02,54.38,53.00,53.22,2427586,-0.726,-1.35%,52.9637,129839092.49,15002
2018-02-21,53.88,54.615,53.705,53.95,2134207,0.129,0.24%,53.6902,115607427.87,18206
2018-02-20,54.03,54.42,53.45,53.82,2933661,-0.318,-0.59%,53.5608,157709781.07,22177
2018-02-16,54.28,54.90,54.13,54.14,3752043,-0.318,-0.59%,53.8793,204183497.35,25351
2018-02-15,54.91,54.93,54.11,54.46,2543219,-0.07,-0.13%,54.1977,138366962.94,17844
2018-02-14,53.72,54.595,53.49,54.53,1952562,0.557,1.04%,54.2674,105648631.12,17301
2018-02-13,53.32,54.14,52.98,53.97,1716494,0.468,0.88%,53.7101,92233402.00,13354
2018-02-12,54.30,55.09,53.32,53.50,3342096,-0.478,-0.89%,53.2423,179596779.48,28760
2018-02-09,54.07,54.44,52.58,53.98,3656349,0.637,1.20%,53.72,196127123.44,33304
2018-02-08,55.82,56.19,53.23,53.34,4162127,-2.508,-4.51%,53.0831,225498155.61,34874
2018-02-07,54.84,56.57,54.78,55.86,2412088,0.726,1.32%,55.591,135140802.50,18887
2018-02-06,54.83,55.435,53.46,55.13,4041076,-0.448,-0.81%,54.8645,220279687.21,36447
2018-02-05,57.47,58.25,55.52,55.58,3616678,-2.418,-4.19%,55.3123,205108934.24,27279
2018-02-02,58.52,58.79,57.90,58.01,1782351,-0.756,-1.29%,57.7306,103670625.93,14155
2018-02-01,58.60,58.9299,58.2767,58.77,2377460,0.01,0.02%,58.487,139421762.42,14066
2018-01-31,57.28,58.89,57.28,58.76,2281902,0.508,0.88%,58.477,133856227.56,18842
2018-01-30,58.09,58.48,57.82,58.25,2346185,-0.169,-0.29%,57.9695,136604876.06,15205
2018-01-29,59.00,59.20,58.19,58.42,2424269,-0.687,-1.17%,58.1386,141921461.25,13268
2018-01-26,58.56,59.14,58.51,59.11,2419566,0.617,1.06%,58.8253,142669723.71,13916
2018-01-25,58.14,58.65,57.75,58.49,2519542,0.338,0.58%,58.2083,147029725.27,14181
2018-01-24,56.82,58.265,56.82,58.15,3923973,1.473,2.61%,57.87,227301358.83,28574
2018-01-23,55.90,56.715,55.85,56.67,3943676,0.617,1.11%,56.3971,222435662.22,30733
2018-01-22,55.91,56.165,55.635,56.05,2521401,0.09,0.16%,55.7801,141047164.38,16584
2018-01-19,56.16,56.24,55.53,55.96,2271552,-0.129,-0.23%,55.6905,126907026.25,15245
2018-01-18,56.22,56.47,55.83,56.09,1754616,-0.139,-0.25%,55.8199,98394498.04,12885
2018-01-17,55.50,56.42,55.30,56.23,2112833,0.985,1.79%,55.9592,118500683.35,17233
2018-01-16,55.41,55.54,55.1117,55.24,1768652,-0.05,-0.09%,54.974,97837051.51,13293
2018-01-12,55.31,55.33,54.83,55.29,2571800,0.199,0.36%,55.0237,141873465.30,16433
2018-01-11,55.36,55.405,54.87,55.09,1374098,0.05,0.09%,54.8247,75628731.11,12665
2018-01-10,55.12,55.315,54.80,55.04,1891347,0.07,0.13%,54.7749,104231936.47,16162
2018-01-09,55.06,55.43,54.78,54.97,2313811,0.189,0.35%,54.7053,127621339.27,19245
2018-01-08,55.13,55.14,54.62,54.78,1660871,-0.378,-0.69%,54.5162,91007946.30,13712
