date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,81.52,81.71,80.69,81.13,1836954,-0.34,-0.42%,81.13,149353917.87,17704
2018-03-09,80.01,81.80,79.71,81.47,2912760,2.26,2.85%,81.47,237060658.31,21731
2018-03-08,79.53,79.89,79.0001,79.21,2322797,0.01,0.01%,79.21,184200022.69,13871
2018-03-07,78.25,79.315,78.13,79.20,1459548,0.26,0.33%,79.20,115266540.79,12179
2018-03-06,78.62,79.37,78.41,78.94,2230630,0.72,0.92%,78.94,176259446.22,16972
2018-03-05,78.29,78.69,77.08,78.22,2719018,-0.68,-0.86%,78.22,212199432.66,22719
2018-03-02,78.73,79.12,77.23,78.90,2813958,-0.45,-0.57%,78.90,220808608.19,24303
2018-03-01,80.51,80.66,78.79,79.35,2515240,-1.29,-1.60%,79.35,200404460.94,24931
2018-02-28,80.40,82.08,79.78,80.79,4025695,0.948,1.19%,80.64,325535467.12,31513
2018-02-27,82.36,82.62,79.81,79.84,3865898,-2.296,-2.80%,79.6917,312378955.00,30097
2018-02-26,84.03,84.29,82.13,82.14,2888407,-1.667,-1.99%,81.9875,239032472.45,20704
2018-02-23,83.75,83.97,83.08,83.81,1565682,0.429,0.52%,83.6544,130778632.11,14164
2018-02-22,84.74,84.90,83.12,83.38,1863514,-0.908,-1.08%,83.2252,156225063.04,17414
2018-02-21,84.43,86.44,84.26,84.29,1772124,-0.02,-0.02%,84.1335,151178762.51,17531
2018-02-20,82.73,84.70,82.73,84.31,1977818,1.038,1.25%,84.1534,166635482.10,16134
2018-02-16,84.46,84.7232,83.26,83.27,2564439,-1.288,-1.53%,83.1154,214744460.10,21988
2018-02-15,86.09,86.31,84.33,84.56,3023925,-1.407,-1.64%,84.403,256884869.06,26030
2018-02-14,82.12,87.11,82.01,85.97,3946835,2.755,3.32%,85.8104,337237588.91,34153
2018-02-13,81.74,83.57,81.66,83.21,2515598,1.387,1.70%,83.0555,208632380.44,22050
2018-02-12,80.91,82.16,80.59,81.82,2435861,1.387,1.73%,81.6681,198729544.30,22753
2018-02-09,79.23,81.23,77.561,80.43,3239095,1.767,2.25%,80.2806,257289118.83,30054
2018-02-08,81.95,82.374,78.64,78.66,5065753,-3.354,-4.10%,78.5139,407856332.03,33667
2018-02-07,80.99,83.28,80.54,82.02,3526731,1.328,1.65%,81.8677,290340566.55,32712
2018-02-06,78.58,80.97,77.78,80.69,4634685,0.779,0.98%,80.5402,368951899.60,34297
2018-02-05,82.13,83.01,79.82,79.91,2386173,-2.735,-3.32%,79.7616,194555074.09,19471
2018-02-02,85.55,85.80,82.31,82.65,2718375,-3.104,-3.63%,82.4965,226239730.56,21614
2018-02-01,85.33,86.285,85.10,85.76,2139897,0.11,0.13%,85.6007,183517836.35,17676
2018-01-31,86.52,87.00,85.63,85.65,1857363,-0.759,-0.88%,85.4909,159693524.30,16527
2018-01-30,86.50,87.43,86.36,86.41,1678640,-0.868,-1.00%,86.2495,145565503.55,13725
2018-01-29,87.44,88.11,87.03,87.28,1599138,-0.409,-0.47%,87.1179,139942752.40,11947
2018-01-26,86.94,87.69,86.33,87.69,944730,1.058,1.22%,87.5272,82483579.89,7736
2018-01-25,86.04,86.75,85.40,86.63,1467760,0.838,0.98%,86.4691,126600493.95,12388
2018-01-24,86.80,86.99,85.13,85.79,2134245,-0.739,-0.86%,85.6307,183702931.57,15476
2018-01-23,85.69,86.98,85.57,86.53,1632562,0.759,0.89%,86.3693,141323795.59,12742
2018-01-22,85.42,85.79,85.015,85.77,1541415,0.279,0.33%,85.6107,131871408.91,11029
2018-01-19,84.64,86.05,84.475,85.49,2206776,1.537,1.83%,85.3312,188672522.44,12393
2018-01-18,84.18,84.82,83.91,83.95,1314366,-0.08,-0.10%,83.7941,110822332.07,9994
2018-01-17,82.90,84.51,82.90,84.03,1440416,0.629,0.76%,83.874,121002287.24,11899
2018-01-16,84.57,84.99,82.98,83.40,1530604,-0.549,-0.66%,83.2451,128310113.93,10311
2018-01-12,83.25,84.71,83.10,83.95,1870095,0.878,1.06%,83.7941,156797877.77,13012
2018-01-11,81.98,83.215,81.64,83.07,3886383,1.417,1.74%,82.9157,321799997.57,15666
2018-01-10,81.66,82.11,81.39,81.65,1745535,-0.279,-0.34%,81.4984,142634367.70,11244
2018-01-09,81.11,82.07,80.97,81.93,1354775,0.988,1.22%,81.7779,110685491.42,11049
2018-01-08,80.30,81.06,79.53,80.94,2483142,1.647,2.08%,80.7897,200424042.79,18536
2018-01-05,80.24,80.24,78.91,79.29,2273569,-0.958,-1.20%,79.1428,180385250.93,18100
2018-01-04,80.86,81.23,80.23,80.25,1548169,-0.599,-0.74%,80.101,124594286.35,11394
2018-01-03,79.81,80.895,79.62,80.85,1425569,1.168,1.47%,80.6999,114713273.63,11020
2018-01-02,80.28,80.34,78.93,79.68,1701522,-0.18,-0.23%,79.532,135202946.63,14532
2017-12-29,80.79,80.94,79.84,79.86,1539703,-0.589,-0.73%,79.7117,123564871.82,14054
2017-12-28,80.18,80.54,80.00,80.45,828965,0.299,0.37%,80.3006,66599246.22,7851
2017-12-27,79.46,80.38,79.32,80.15,939222,0.779,0.98%,80.0012,75227006.75,8538
2017-12-26,79.40,79.96,79.26,79.37,909670,0.02,0.03%,79.2226,72299686.49,7596
2017-12-22,79.42,79.70,79.25,79.35,1416285,-0.02,-0.03%,79.2026,112445075.14,9783
2017-12-21,78.80,79.95,78.49,79.37,2047130,1.018,1.30%,79.2226,162310106.43,18027
2017-12-20,78.135,78.63,77.56,78.35,1327820,0.539,0.69%,78.2045,103891249.95,11990
2017-12-19,78.20,78.46,77.63,77.81,1448984,-0.279,-0.36%,77.6655,112882217.54,10950
2017-12-18,77.81,78.57,77.38,78.09,2275125,0.998,1.30%,77.945,177956232.33,16751
2017-12-15,76.71,77.37,76.28,77.09,3694504,1.068,1.41%,76.9468,284174734.27,19506
2017-12-14,76.89,77.09,76.01,76.02,1739510,-0.729,-0.95%,75.8788,132688116.34,12002
2017-12-13,77.22,77.62,76.74,76.75,2245620,-0.25,-0.32%,76.6075,173267386.28,14035
2017-12-12,77.57,77.58,76.93,77.00,2246558,-0.469,-0.61%,76.857,173442351.73,16815
2017-12-11,78.16,78.30,77.245,77.47,1589759,-0.908,-1.16%,77.3261,123405171.15,11929
2017-12-08,77.61,78.395,77.50,78.38,2142533,1.098,1.42%,78.2344,167572598.73,14458
2017-12-07,76.83,77.39,76.60,77.28,2254415,0.529,0.69%,77.1365,173607451.51,14732
2017-12-06,77.75,77.86,76.63,76.75,1434971,-0.878,-1.13%,76.6075,110422695.93,13218
2017-12-05,77.70,78.31,77.605,77.63,1493491,-0.03,-0.04%,77.4858,116300293.30,12309
2017-12-04,78.03,78.62,77.52,77.66,2349313,0.409,0.53%,77.5158,183197672.80,17184
2017-12-01,77.27,77.92,76.25,77.25,2164557,-0.309,-0.40%,77.1065,167028517.11,17509
