date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,44.75,45.70,44.51,44.82,1940630,0.47,1.06%,44.82,87312355.33,13527
2018-03-09,44.50,44.58,43.79,44.35,1431404,0.01,0.02%,44.35,63296281.22,11782
2018-03-08,44.28,44.36,43.67,44.34,1670134,0.44,1.00%,44.34,73709894.37,12384
2018-03-07,43.77,44.12,43.40,43.90,2279635,-0.43,-0.97%,43.90,99645804.82,17105
2018-03-06,45.39,45.42,43.86,44.33,2988803,-0.90,-1.99%,44.33,132426941.85,23196
2018-03-05,43.93,45.51,43.90,45.23,4832206,1.03,2.33%,45.23,217705971.28,25549
2018-03-02,44.56,44.65,43.48,44.20,4234000,-0.91,-2.02%,44.20,186778278.00,22433
2018-03-01,45.67,45.83,45.04,45.11,2721356,-0.27,-0.59%,45.11,123470634.91,23444
2018-02-28,45.61,45.94,45.20,45.38,2527295,-0.16,-0.35%,45.38,115025780.67,18468
2018-02-27,46.77,47.00,45.08,45.54,3590939,-1.09,-2.34%,45.54,164597824.26,23970
2018-02-26,47.12,47.36,46.43,46.63,8411746,0.02,0.04%,46.63,393218288.04,25320
2018-02-23,46.75,46.975,46.32,46.61,1130098,-0.06,-0.13%,46.61,52644281.81,9464
2018-02-22,46.50,47.04,46.14,46.67,2086161,0.37,0.80%,46.67,97422295.94,12626
2018-02-21,46.67,47.37,46.25,46.30,2553424,-0.34,-0.73%,46.30,119532122.70,17222
2018-02-20,46.92,47.02,46.155,46.64,2607989,-0.52,-1.10%,46.64,121485635.69,19348
2018-02-16,47.63,47.74,46.46,47.16,4546663,-0.49,-1.03%,47.16,214009395.05,28996
2018-02-15,48.17,48.37,47.215,47.65,2706945,-0.29,-0.60%,47.65,128709956.21,18901
2018-02-14,47.00,48.44,46.92,47.94,3535575,0.69,1.46%,47.94,169423470.59,21075
2018-02-13,47.81,48.04,47.00,47.25,2444916,-0.73,-1.52%,47.25,115462463.69,18952
2018-02-12,48.44,48.7599,47.42,48.35,1897782,0.516,1.09%,47.98,91611581.14,17056
2018-02-09,48.13,48.90,46.87,47.83,3500577,0.288,0.61%,47.464,167385487.14,30633
2018-02-08,48.35,48.68,47.54,47.54,2523425,-0.933,-1.94%,47.1762,121161426.22,22566
2018-02-07,48.30,49.05,48.02,48.48,2263359,-0.139,-0.29%,48.109,110097843.84,21311
2018-02-06,45.98,48.90,45.78,48.62,4454464,2.203,4.78%,48.2479,213758096.75,42886
2018-02-05,46.99,47.70,46.00,46.40,4284234,-1.092,-2.32%,46.0449,200527124.00,30073
2018-02-02,48.19,48.325,46.89,47.50,2698865,-1.171,-2.42%,47.1365,128222431.12,23356
