date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,39.53,39.84,38.824,38.93,1939157,-0.64,-1.62%,38.93,75862389.28,14184
2018-03-09,38.88,39.65,38.86,39.57,1608470,0.91,2.35%,39.57,63454934.48,11409
2018-03-08,38.80,38.97,38.415,38.66,2026119,0.02,0.05%,38.66,78306920.10,14037
2018-03-07,38.24,38.875,38.24,38.64,2034343,0.23,0.60%,38.64,78518529.77,13826
2018-03-06,38.74,38.78,37.955,38.41,2021746,-0.23,-0.60%,38.41,77476650.69,13884
2018-03-05,37.91,38.75,37.91,38.64,1566962,0.43,1.13%,38.64,60283806.36,10222
2018-03-02,37.71,38.44,37.71,38.21,2075722,0.22,0.58%,38.21,79085495.99,12927
2018-03-01,38.82,38.82,37.68,37.99,2240877,-0.84,-2.16%,37.99,85311677.57,18779
2018-02-28,39.72,39.91,38.83,38.83,2740008,-0.73,-1.85%,38.83,107250450.78,18017
2018-02-27,39.86,40.14,39.545,39.56,1938042,-0.27,-0.68%,39.56,77029370.82,14261
2018-02-26,39.33,39.84,38.93,39.83,2086898,0.62,1.58%,39.83,82588199.50,12931
2018-02-23,39.21,39.28,38.38,39.21,1477516,0.27,0.69%,39.21,57440952.19,10688
2018-02-22,38.86,39.21,38.65,38.94,2154959,0.09,0.23%,38.94,83964111.44,13820
2018-02-21,38.98,39.42,38.83,38.85,1849458,-0.02,-0.05%,38.85,72241745.52,12968
2018-02-20,39.24,39.30,38.74,38.87,1408042,-0.42,-1.07%,38.87,54869822.55,11045
2018-02-16,39.12,39.56,38.85,39.29,3134816,0.11,0.28%,39.29,122926693.42,16534
2018-02-15,38.40,39.43,38.33,39.18,2829148,1.15,3.02%,39.18,110378292.58,15571
2018-02-14,37.64,38.16,37.25,38.03,3320790,0.23,0.61%,38.03,125728284.08,20809
2018-02-13,37.75,38.19,37.5975,37.80,3386140,-0.24,-0.63%,37.80,128331079.44,19993
2018-02-12,37.79,38.68,37.41,38.04,4473250,0.29,0.77%,38.04,169566351.54,29437
2018-02-09,35.62,38.10,35.33,37.75,8335009,-1.05,-2.71%,37.75,308840605.85,49410
2018-02-08,40.44,40.51,38.80,38.80,3177533,-1.65,-4.08%,38.80,126020199.35,24924
2018-02-07,40.15,40.78,40.14,40.45,2657711,0.06,0.15%,40.45,107607901.22,18736
2018-02-06,39.76,40.86,39.35,40.39,2480853,0.09,0.22%,40.39,99334502.75,20853
2018-02-05,42.07,42.33,40.29,40.30,3405814,-1.74,-4.14%,40.30,140145087.60,23754
2018-02-02,42.31,42.60,42.01,42.04,1921760,-0.54,-1.27%,42.04,81206000.10,14387
