date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,154.42,154.46,151.93,152.23,2415238,-1.98,-1.28%,152.23,368623895.57,22978
2018-03-09,152.01,154.47,151.605,154.21,2884585,2.98,1.97%,154.21,443335979.18,31328
2018-03-08,151.36,151.91,150.17,151.23,2186333,0.82,0.55%,151.23,330001482.45,25183
2018-03-07,147.57,151.34,147.24,150.41,3984949,1.08,0.72%,150.41,595037167.37,38539
2018-03-06,149.36,149.92,148.32,149.33,2782886,0.82,0.55%,149.33,415245239.92,32453
2018-03-05,147.57,148.98,146.52,148.51,3399986,0.37,0.25%,148.51,503958372.27,36778
2018-03-02,146.32,148.79,146.13,148.14,3403861,0.93,0.63%,148.14,502729700.17,36884
2018-03-01,151.33,151.45,146.625,147.21,4626293,-3.90,-2.58%,147.21,685799768.29,52476
2018-02-28,154.40,154.98,150.98,151.11,3528978,-2.81,-1.83%,151.11,539012433.11,29170
2018-02-27,156.63,156.94,153.84,153.92,3098227,-2.58,-1.65%,153.92,480143940.19,30928
2018-02-26,155.58,156.72,155.11,156.50,2902896,1.38,0.89%,156.50,453282838.64,23923
2018-02-23,153.84,155.27,153.62,155.12,3165528,1.81,1.18%,155.12,489955295.68,19155
2018-02-22,154.01,154.80,152.79,153.31,2224436,0.005,0.00%,153.31,342096125.89,23651
2018-02-21,154.98,156.86,154.03,154.05,4054910,-0.289,-0.19%,153.305,630525610.39,39181
2018-02-20,152.91,155.32,152.561,154.34,3713812,0.309,0.20%,153.5936,573486863.90,35005
2018-02-16,153.09,155.03,152.79,154.03,2801135,0.607,0.40%,153.2851,431623656.84,22692
2018-02-15,151.58,153.8625,150.79,153.42,3635334,3.025,2.02%,152.6781,555171311.45,31311
2018-02-14,147.81,150.77,147.0459,150.38,2960330,1.871,1.27%,149.6528,441527233.71,29457
2018-02-13,148.86,149.45,148.10,148.50,2815256,-0.965,-0.65%,147.7819,418648915.87,29086
2018-02-12,149.04,150.63,147.08,149.47,3455630,1.562,1.06%,148.7472,514921052.28,34393
2018-02-09,147.02,149.31,143.85,147.90,5405929,1.871,1.29%,147.1848,790623311.44,56903
2018-02-08,151.49,151.49,145.72,146.02,3362608,-5.145,-3.42%,145.3138,499156100.20,34795
2018-02-07,151.39,154.53,151.01,151.19,3171943,-0.209,-0.14%,150.4588,483700943.63,32199
2018-02-06,147.68,152.435,147.19,151.40,5319181,1.224,0.82%,150.6678,796765185.85,54950
2018-02-05,155.45,157.5152,146.99,150.17,5772238,-6.449,-4.14%,149.4438,884667014.62,60368
2018-02-02,158.69,159.5114,156.39,156.65,4208686,-2.985,-1.88%,155.8924,665457746.30,36027
2018-02-01,159.00,160.81,158.4215,159.65,2753489,-0.02,-0.01%,158.8779,439474141.82,25617
2018-01-31,159.99,160.53,159.30,159.67,3289902,0.697,0.44%,158.8978,526054908.69,29165
2018-01-30,160.35,161.00,158.01,158.97,3888177,-2.488,-1.55%,158.2012,619407378.41,32635
2018-01-29,164.85,165.13,161.40,161.47,3669818,-3.503,-2.13%,160.6891,595925326.25,37147
2018-01-26,162.71,165.10,161.00,164.99,5019817,3.135,1.95%,164.1921,821745769.72,39842
2018-01-25,160.60,161.89,159.67,161.84,4083059,1.861,1.17%,161.0573,658186758.96,33691
2018-01-24,160.23,160.62,159.13,159.97,2654849,0.378,0.24%,159.1964,424671156.65,26563
2018-01-23,158.99,160.34,158.76,159.59,3902427,1.045,0.66%,158.8182,622991426.74,32631
2018-01-22,158.70,158.97,158.01,158.54,3269297,-0.149,-0.09%,157.7733,517986432.62,21176
2018-01-19,158.41,158.70,157.60,158.69,3765521,0.906,0.58%,157.9226,596278044.98,23218
2018-01-18,158.90,159.65,157.77,157.78,2655788,-0.627,-0.40%,157.017,420616365.50,22932
2018-01-17,157.69,158.95,157.451,158.41,3163077,0.517,0.33%,157.6439,501223025.49,26440
2018-01-16,159.14,159.85,157.28,157.89,3422354,-1.174,-0.74%,157.1264,542456949.00,27331
2018-01-12,158.58,159.49,157.80,159.07,2343709,1.144,0.73%,158.3007,372822802.19,22210
2018-01-11,157.12,158.00,157.01,157.92,2329423,0.826,0.53%,157.1563,367335115.10,23047
2018-01-10,156.17,157.12,155.02,157.09,2562656,1.075,0.69%,156.3303,401009177.42,26189
2018-01-09,155.01,156.7715,154.81,156.01,3391750,1.264,0.82%,155.2555,529300384.01,27451
2018-01-08,156.00,156.1397,154.23,154.74,2739854,-0.836,-0.54%,153.9917,424123861.96,25418
2018-01-05,154.98,156.25,154.51,155.58,2478959,1.075,0.70%,154.8276,384820736.80,21883
2018-01-04,152.81,154.50,152.71,154.50,4496507,2.05,1.35%,153.7528,692268917.05,39775
2018-01-03,152.90,153.60,151.80,152.44,6337580,-1.264,-0.83%,151.7028,966446093.31,49114
2018-01-02,153.82,154.00,152.711,153.71,2863633,0.348,0.23%,152.9667,439238674.16,22716
2017-12-29,154.37,154.7197,153.36,153.36,1669346,-0.766,-0.50%,152.6184,256693761.90,10896
2017-12-28,154.01,154.39,153.63,154.13,1654091,0.179,0.12%,153.3846,254746191.01,13430
2017-12-27,154.03,154.095,153.32,153.95,1764067,0.189,0.12%,153.2055,271263096.39,13988
2017-12-26,153.45,154.4327,153.45,153.76,1408039,0.269,0.18%,153.0164,216496410.11,9400
2017-12-22,153.99,154.29,153.13,153.49,2151960,-0.229,-0.15%,152.7477,330375142.04,20319
2017-12-21,155.15,155.27,153.50,153.72,4858403,-1.005,-0.65%,152.9766,747946147.41,35679
2017-12-20,154.89,155.19,154.10,154.73,3582710,0.617,0.40%,153.9817,554368492.97,20571
2017-12-19,155.15,155.42,154.02,154.11,4251341,-0.478,-0.31%,153.3647,656632324.71,28498
2017-12-18,154.92,155.3096,154.00,154.59,3575628,0.338,0.22%,153.8424,552844761.38,33182
2017-12-15,154.025,154.64,153.58,154.25,4293865,1.015,0.67%,153.504,662117061.70,22284
2017-12-14,156.10,156.43,153.1673,153.23,3142008,-2.558,-1.65%,152.489,483844598.66,29134
2017-12-13,153.45,156.53,153.12,155.80,5064191,2.05,1.34%,155.0466,787798541.61,31907
2017-12-12,153.41,154.62,153.00,153.74,2959288,0.527,0.35%,152.9965,455479028.55,22374
2017-12-11,153.65,153.92,152.94,153.21,3623697,-0.448,-0.29%,152.4691,555081406.95,20811
2017-12-08,153.91,154.11,153.07,153.66,1482434,0.378,0.25%,152.9169,227628456.72,12912
2017-12-07,153.00,153.79,152.83,153.28,2044929,0.279,0.18%,152.5387,313429969.15,15240
2017-12-06,153.29,153.74,152.81,153.00,2896520,-0.06,-0.04%,152.2601,444058251.49,23346
2017-12-05,153.82,154.82,153.02,153.06,2582492,-0.707,-0.46%,152.3198,396924994.29,24788
2017-12-04,155.82,156.19,153.77,153.77,3250407,-0.627,-0.41%,153.0264,503287217.90,31550
2017-12-01,155.70,156.28,152.88,154.40,3013488,-1.552,-1.00%,153.6533,466008746.58,29598
2017-11-30,153.93,156.70,153.43,155.96,5681093,2.707,1.77%,155.2058,884365277.06,35076
2017-11-29,153.05,153.56,152.39,153.24,3346194,0.478,0.31%,152.4989,511860396.33,33810
2017-11-28,151.07,153.13,151.02,152.76,3656581,2.319,1.55%,152.0213,557293560.95,32262
2017-11-27,149.91,151.10,149.71,150.43,2284568,0.766,0.51%,149.7025,343910685.68,19087
2017-11-24,149.37,150.43,149.285,149.66,1196256,0.667,0.45%,148.9362,179397112.42,10323
2017-11-22,149.49,149.81,148.78,148.99,1815445,-0.358,-0.24%,148.2695,270737668.68,15878
2017-11-21,148.25,149.68,148.25,149.35,3028251,1.403,0.95%,148.6277,452013224.00,24298
2017-11-20,146.42,148.30,146.42,147.94,3554257,1.443,0.99%,147.2246,525826778.70,18963
2017-11-17,146.38,146.999,146.20,146.49,1637380,-0.388,-0.27%,145.7816,240090034.75,15020
2017-11-16,146.32,147.19,146.01,146.88,2209322,1.249,0.86%,146.1697,324481725.85,19748
2017-11-15,146.68,147.43,146.21,146.37,2521544,-0.941,-0.64%,144.9207,370019069.88,24343
2017-11-14,146.10,147.60,145.75,147.32,2312041,0.594,0.41%,145.8613,339788074.39,20923
2017-11-13,145.67,146.989,145.25,146.72,2014222,0.96,0.67%,145.2673,295092776.34,16282
2017-11-10,144.84,146.63,144.40,145.75,2908163,0.307,0.21%,144.3069,424343499.04,25295
2017-11-09,146.27,146.45,144.62,145.44,2299684,-1.406,-0.97%,143.9999,334340579.40,23155
2017-11-08,146.81,147.51,146.54,146.86,2514718,-0.109,-0.07%,145.4059,369382548.90,16317
2017-11-07,145.81,147.045,145.71,146.97,2613930,1.356,0.94%,145.5148,383509452.52,23694
2017-11-06,145.49,146.06,145.145,145.60,2038885,0.624,0.43%,144.1584,297112173.80,20841
2017-11-03,145.40,145.47,144.78,144.97,1424239,-0.436,-0.30%,143.5346,206611733.98,15317
2017-11-02,144.72,145.41,143.86,145.41,1944234,0.475,0.33%,143.9702,281654695.56,17832
2017-11-01,144.59,145.19,144.23,144.93,2161710,0.762,0.53%,143.495,313011139.75,21964
2017-10-31,144.35,145.07,144.09,144.16,2443231,-0.475,-0.33%,142.7326,353140203.59,21154
2017-10-30,145.68,145.75,144.53,144.64,1805574,-1.545,-1.07%,143.2079,261593902.95,18050
2017-10-27,145.86,146.40,145.53,146.20,1869458,0.356,0.25%,144.7524,273058746.67,16915
2017-10-26,146.50,146.50,145.19,145.84,2146669,-0.149,-0.10%,144.396,312886501.47,16855
2017-10-25,146.46,146.50,145.35,145.99,2202872,-0.129,-0.09%,144.5445,321349680.47,23286
2017-10-24,146.59,147.00,145.88,146.12,3319174,0.198,0.14%,144.6732,485626655.16,27217
2017-10-23,146.02,146.49,145.34,145.92,2892166,0.564,0.39%,144.4752,421983137.44,23493
2017-10-20,145.14,145.959,143.38,145.35,3369519,1.713,1.20%,143.9108,487911135.92,25744
2017-10-19,143.41,143.83,142.62,143.62,2623096,0.178,0.13%,142.198,376275217.81,22301
2017-10-18,143.39,143.71,143.10,143.44,1734079,0.01,0.01%,142.0197,248757085.10,18647
2017-10-17,143.50,143.89,142.51,143.43,2435622,-0.317,-0.22%,142.0098,348580738.05,18819
2017-10-16,143.37,143.88,143.01,143.75,2001855,0.376,0.27%,142.3267,287430364.63,17624
2017-10-13,144.34,144.55,143.27,143.37,2157642,0.178,0.13%,141.9504,310084057.15,18989
2017-10-12,142.69,143.42,142.69,143.19,3004010,0.465,0.33%,141.7722,429887162.80,23922
2017-10-11,143.11,143.74,142.37,142.72,3241240,-0.584,-0.41%,141.3069,462657686.50,25029
2017-10-10,144.01,144.20,140.20,143.31,4096764,-0.287,-0.20%,141.891,585732350.26,34374
2017-10-09,145.17,145.30,143.3683,143.60,2423348,-0.02,-0.01%,142.1782,348799059.45,21275
2017-10-06,142.81,143.66,142.65,143.62,2165613,0.545,0.38%,142.198,310551392.49,15574
2017-10-05,142.95,143.75,142.42,143.07,2245549,0.515,0.36%,141.6534,321335645.69,20689
2017-10-04,142.87,143.06,142.09,142.55,1787426,-0.119,-0.08%,141.1386,254820780.66,17414
2017-10-03,142.70,143.15,142.23,142.67,2240867,0.01,0.01%,141.2574,319389565.68,20983
2017-10-02,141.81,142.6697,141.74,142.66,2522096,0.911,0.65%,141.2475,359108651.57,20591
2017-09-29,139.77,141.77,139.20,141.74,3673617,1.149,0.83%,140.3366,518694897.56,25528
2017-09-28,139.52,140.58,139.29,140.58,2082563,1.00,0.72%,139.1881,291763406.82,17786
2017-09-27,140.55,140.583,139.48,139.57,3040245,-0.663,-0.48%,138.1881,424955325.12,25774
2017-09-26,141.06,141.41,140.15,140.24,2361761,-0.564,-0.40%,138.8514,331624004.39,16977
2017-09-25,141.75,141.91,140.48,140.81,2943608,-0.931,-0.66%,139.4158,414655809.32,22730
2017-09-22,140.61,142.06,140.51,141.75,2917230,0.881,0.63%,140.3465,413400327.82,22760
2017-09-21,138.88,141.335,138.81,140.86,3914594,2.149,1.56%,139.4653,550706313.10,29292
2017-09-20,138.06,138.82,137.82,138.69,3644382,0.931,0.68%,137.3168,504941116.12,21255
2017-09-19,137.88,138.08,137.18,137.75,3421514,0.079,0.06%,136.3861,471205943.46,21759
2017-09-18,139.30,139.34,137.29,137.67,2879676,-1.267,-0.92%,136.3069,396865191.48,26932
